Orthogroup	MFC_MF29_genes	MHP_F72C_genes
OG0000146	DR095_RS00215	EHI52_RS02865
OG0000147	DR095_RS00220	EHI52_RS02860
OG0000148	DR095_RS00235	EHI52_RS02845
OG0000149	DR095_RS00245	EHI52_RS02835
OG0000150	DR095_RS00260	EHI52_RS02820
OG0000151	DR095_RS00315	EHI52_RS02775
OG0000152	DR095_RS00320	EHI52_RS02770
OG0000153	DR095_RS00325	EHI52_RS02765
OG0000154	DR095_RS00335	EHI52_RS02755
OG0000155	DR095_RS00355	EHI52_RS02715
OG0000156	DR095_RS00390	EHI52_RS02705
OG0000157	DR095_RS03780	EHI52_RS02700
OG0000158	DR095_RS03785	EHI52_RS03885
OG0000159	DR095_RS00635	EHI52_RS03925
OG0000160	DR095_RS00640	EHI52_RS02460
OG0000161	DR095_RS00650	EHI52_RS02455
OG0000162	DR095_RS02680	EHI52_RS02445
OG0000163	DR095_RS02685	EHI52_RS02440
OG0000164	DR095_RS03975	EHI52_RS01665
OG0000165	DR095_RS02760	EHI52_RS01995
OG0000166	DR095_RS02780	EHI52_RS01975
OG0000167	DR095_RS02795	EHI52_RS01960
OG0000168	DR095_RS02800	EHI52_RS01955
OG0000169	DR095_RS01750	EHI52_RS03055
OG0000170	DR095_RS01765	EHI52_RS03075
OG0000171	DR095_RS01775	EHI52_RS03085
OG0000172	DR095_RS01780	EHI52_RS03095
OG0000173	DR095_RS01785	EHI52_RS03100
OG0000174	DR095_RS01790	EHI52_RS03105
OG0000175	DR095_RS01805	EHI52_RS03120
OG0000176	DR095_RS01845	EHI52_RS03170
OG0000177	DR095_RS01850	EHI52_RS03175
OG0000178	DR095_RS01855	EHI52_RS03180
OG0000179	DR095_RS01865	EHI52_RS03190
OG0000180	DR095_RS01870	EHI52_RS03195
OG0000181	DR095_RS03870	EHI52_RS03235
OG0000182	DR095_RS01895	EHI52_RS03245
OG0000183	DR095_RS01930	EHI52_RS03280
OG0000184	DR095_RS02970	EHI52_RS03325
OG0000185	DR095_RS02985	EHI52_RS03310
OG0000186	DR095_RS01970	EHI52_RS01585
OG0000187	DR095_RS01985	EHI52_RS01600
OG0000188	DR095_RS01995	EHI52_RS01610
OG0000189	DR095_RS03890	EHI52_RS02310
OG0000190	DR095_RS02010	EHI52_RS02305
OG0000191	DR095_RS02030	EHI52_RS02285
OG0000192	DR095_RS02040	EHI52_RS01280
OG0000193	DR095_RS02055	EHI52_RS01270
OG0000194	DR095_RS02065	EHI52_RS00690
OG0000195	DR095_RS02070	EHI52_RS00695
OG0000196	DR095_RS03895	EHI52_RS00715
OG0000197	DR095_RS02095	EHI52_RS00720
