Orthogroup	MFC_MF29_genes	MFC_Ms42_genes
OG0000149	DR095_RS00245	MYF_RS00725
OG0000150	DR095_RS00260	MYF_RS00740
OG0000151	DR095_RS00315	MYF_RS00795
OG0000152	DR095_RS00320	MYF_RS00800
OG0000153	DR095_RS00325	MYF_RS00805
OG0000154	DR095_RS00335	MYF_RS00815
OG0000155	DR095_RS00355	MYF_RS00835
OG0000156	DR095_RS00390	MYF_RS00855
OG0000157	DR095_RS03780	MYF_RS00860
OG0000158	DR095_RS03785	MYF_RS00870
OG0000159	DR095_RS00635	MYF_RS01165
OG0000160	DR095_RS00640	MYF_RS01170
OG0000161	DR095_RS00650	MYF_RS01175
OG0000162	DR095_RS02680	MYF_RS01185
OG0000163	DR095_RS02685	MYF_RS01190
OG0000164	DR095_RS03975	MYF_RS01220
OG0000165	DR095_RS02760	MYF_RS01265
OG0000166	DR095_RS02780	MYF_RS01285
OG0000167	DR095_RS02795	MYF_RS01300
OG0000168	DR095_RS02800	MYF_RS01305
OG0000169	DR095_RS01750	MYF_RS02560
OG0000170	DR095_RS01765	MYF_RS02585
OG0000171	DR095_RS01775	MYF_RS02595
OG0000172	DR095_RS01780	MYF_RS02600
OG0000173	DR095_RS01785	MYF_RS02605
OG0000174	DR095_RS01790	MYF_RS02610
OG0000175	DR095_RS01805	MYF_RS02625
OG0000176	DR095_RS01845	MYF_RS02670
OG0000177	DR095_RS01850	MYF_RS02675
OG0000178	DR095_RS01855	MYF_RS02680
OG0000179	DR095_RS01865	MYF_RS02690
OG0000180	DR095_RS01870	MYF_RS02695
OG0000181	DR095_RS03870	MYF_RS02710
OG0000182	DR095_RS01895	MYF_RS02720
OG0000183	DR095_RS01930	MYF_RS02755
OG0000184	DR095_RS02970	MYF_RS02785
OG0000185	DR095_RS02985	MYF_RS02800
OG0000186	DR095_RS01970	MYF_RS01895
OG0000187	DR095_RS01985	MYF_RS01910
OG0000188	DR095_RS01995	MYF_RS01920
OG0000189	DR095_RS03890	MYF_RS01930
OG0000190	DR095_RS02010	MYF_RS01935
OG0000191	DR095_RS02030	MYF_RS01955
OG0000192	DR095_RS02040	MYF_RS01965
OG0000193	DR095_RS02055	MYF_RS01980
OG0000194	DR095_RS02065	MYF_RS01990
OG0000195	DR095_RS02070	MYF_RS01995
OG0000196	DR095_RS03895	MYF_RS02015
OG0000197	DR095_RS02095	MYF_RS02020
OG0000198	DR095_RS02110	MYF_RS02035
OG0000199	DR095_RS02115	MYF_RS02040
OG0000200	DR095_RS02130	MYF_RS02050
OG0000201	DR095_RS02140	MYF_RS02060
OG0000202	DR095_RS02195	MYF_RS02115
OG0000203	DR095_RS02200	MYF_RS02120
OG0000204	DR095_RS03925	MYF_RS02125
OG0000205	DR095_RS02490	MYF_RS02130
OG0000206	DR095_RS02470	MYF_RS02150
OG0000207	DR095_RS02455	MYF_RS02165
OG0000208	DR095_RS02450	MYF_RS02170
OG0000209	DR095_RS02445	MYF_RS02175
OG0000210	DR095_RS02400	MYF_RS02220
OG0000211	DR095_RS02390	MYF_RS02230
OG0000212	DR095_RS02380	MYF_RS02240
OG0000213	DR095_RS02375	MYF_RS02245
OG0000214	DR095_RS02370	MYF_RS02250
OG0000215	DR095_RS02365	MYF_RS02255
OG0000216	DR095_RS02360	MYF_RS02260
OG0000217	DR095_RS02355	MYF_RS02265
OG0000218	DR095_RS03910	MYF_RS02275
OG0000219	DR095_RS02340	MYF_RS02280
OG0000220	DR095_RS02335	MYF_RS02285
OG0000221	DR095_RS02330	MYF_RS02290
OG0000222	DR095_RS02325	MYF_RS03240
OG0000223	DR095_RS02320	MYF_RS02295
OG0000224	DR095_RS02310	MYF_RS02305
OG0000225	DR095_RS02300	MYF_RS02315
OG0000226	DR095_RS02295	MYF_RS02320
OG0000227	DR095_RS02290	MYF_RS02325
OG0000228	DR095_RS04045	MYF_RS03530
OG0000229	DR095_RS02280	MYF_RS02335
OG0000230	DR095_RS02275	MYF_RS02340
OG0000231	DR095_RS02265	MYF_RS02350
OG0000232	DR095_RS02255	MYF_RS02360
OG0000233	DR095_RS02245	MYF_RS02370
OG0000234	DR095_RS02215	MYF_RS02400
OG0000235	DR095_RS02205	MYF_RS02410
OG0000236	DR095_RS01540	MYF_RS02415
OG0000237	DR095_RS01560	MYF_RS02430
OG0000238	DR095_RS01565	MYF_RS02435
OG0000239	DR095_RS01595	MYF_RS02465
OG0000240	DR095_RS01600	MYF_RS02470
OG0000241	DR095_RS01705	MYF_RS02480
OG0000242	DR095_RS01710	MYF_RS02485
OG0000243	DR095_RS01715	MYF_RS02490
OG0000244	DR095_RS01725	MYF_RS02500
OG0000245	DR095_RS01735	MYF_RS02510
OG0000246	DR095_RS01030	MYF_RS00085
OG0000247	DR095_RS01020	MYF_RS00095
OG0000248	DR095_RS00995	MYF_RS00120
OG0000249	DR095_RS00990	MYF_RS00125
OG0000250	DR095_RS00975	MYF_RS00140
OG0000251	DR095_RS00945	MYF_RS00170
OG0000252	DR095_RS00935	MYF_RS00180
OG0000253	DR095_RS00930	MYF_RS00185
OG0000254	DR095_RS00920	MYF_RS00195
OG0000255	DR095_RS00915	MYF_RS00205
OG0000256	DR095_RS00910	MYF_RS00210
OG0000257	DR095_RS00885	MYF_RS00235
OG0000258	DR095_RS00875	MYF_RS00245
OG0000259	DR095_RS00845	MYF_RS00275
OG0000260	DR095_RS00835	MYF_RS00285
OG0000261	DR095_RS03795	MYF_RS00295
OG0000262	DR095_RS00810	MYF_RS00310
OG0000263	DR095_RS00795	MYF_RS00325
OG0000264	DR095_RS00780	MYF_RS00340
OG0000265	DR095_RS00770	MYF_RS00350
OG0000266	DR095_RS00755	MYF_RS00365
OG0000267	DR095_RS00740	MYF_RS00380
OG0000268	DR095_RS00735	MYF_RS00385
OG0000269	DR095_RS00720	MYF_RS00400
OG0000270	DR095_RS03930	MYF_RS02955
OG0000271	DR095_RS02520	MYF_RS02950
OG0000272	DR095_RS02525	MYF_RS02945
OG0000273	DR095_RS02530	MYF_RS02940
OG0000274	DR095_RS02550	MYF_RS02920
OG0000275	DR095_RS03935	MYF_RS02915
OG0000276	DR095_RS02560	MYF_RS02910
OG0000277	DR095_RS03940	MYF_RS02900
OG0000278	DR095_RS02575	MYF_RS02895
OG0000279	DR095_RS02585	MYF_RS02885
OG0000280	DR095_RS02590	MYF_RS02880
OG0000281	DR095_RS02595	MYF_RS03275
OG0000282	DR095_RS02620	MYF_RS02855
OG0000283	DR095_RS02625	MYF_RS02850
OG0000284	DR095_RS02630	MYF_RS02845
OG0000285	DR095_RS03955	MYF_RS02840
OG0000286	DR095_RS00590	MYF_RS01115
OG0000287	DR095_RS00565	MYF_RS01090
OG0000288	DR095_RS00555	MYF_RS01080
OG0000289	DR095_RS00550	MYF_RS01075
OG0000290	DR095_RS03370	MYF_RS00905
OG0000291	DR095_RS00450	MYF_RS00915
OG0000292	DR095_RS00455	MYF_RS00920
OG0000293	DR095_RS00460	MYF_RS00925
OG0000294	DR095_RS00470	MYF_RS00935
OG0000295	DR095_RS00475	MYF_RS00940
OG0000296	DR095_RS00515	MYF_RS01040
OG0000297	DR095_RS00520	MYF_RS01045
OG0000298	DR095_RS00980	MYF_RS00135
OG0000299	DR095_RS00960	MYF_RS00155
OG0000300	DR095_RS00785	MYF_RS00335
OG0000301	DR095_RS00750	MYF_RS00370
OG0000302	DR095_RS00745	MYF_RS00375
OG0000303	DR095_RS00045	MYF_RS00515
OG0000304	DR095_RS00080	MYF_RS00545
OG0000305	DR095_RS00210	MYF_RS00690
OG0000306	DR095_RS00290	MYF_RS00770
OG0000307	DR095_RS00330	MYF_RS00810
OG0000308	DR095_RS00430	MYF_RS00895
OG0000309	DR095_RS00485	MYF_RS01005
OG0000310	DR095_RS00560	MYF_RS01085
OG0000311	DR095_RS00610	MYF_RS01140
OG0000312	DR095_RS00630	MYF_RS01160
OG0000313	DR095_RS02705	MYF_RS01210
OG0000314	DR095_RS02775	MYF_RS01280
OG0000315	DR095_RS02805	MYF_RS01310
OG0000316	DR095_RS02815	MYF_RS01320
OG0000317	DR095_RS02840	MYF_RS01360
OG0000318	DR095_RS04005	MYF_RS01450
OG0000319	DR095_RS01290	MYF_RS01555
OG0000320	DR095_RS01355	MYF_RS01620
OG0000321	DR095_RS01420	MYF_RS01685
OG0000322	DR095_RS01465	MYF_RS01730
OG0000323	DR095_RS02955	MYF_RS01860
OG0000324	DR095_RS02035	MYF_RS01960
OG0000325	DR095_RS02075	MYF_RS02000
OG0000326	DR095_RS02170	MYF_RS02090
OG0000327	DR095_RS02175	MYF_RS02095
OG0000328	DR095_RS02440	MYF_RS02180
OG0000329	DR095_RS02420	MYF_RS02200
OG0000330	DR095_RS02235	MYF_RS02380
OG0000331	DR095_RS01720	MYF_RS02495
OG0000332	DR095_RS01815	MYF_RS02635
OG0000333	DR095_RS01825	MYF_RS02645
OG0000334	DR095_RS01890	MYF_RS02715
OG0000335	DR095_RS03875	MYF_RS02725
OG0000336	DR095_RS03950	MYF_RS02870
OG0000337	DR095_RS01160	MYF_RS03105
OG0000338	DR095_RS01120	MYF_RS03145
OG0000339	DR095_RS01375	MYF_RS01640
OG0000340	DR095_RS01400	MYF_RS01665
OG0000341	DR095_RS02015	MYF_RS01940
OG0000342	DR095_RS02105	MYF_RS02030
OG0000343	DR095_RS01835	MYF_RS02655
OG0000344	DR095_RS00060	MYF_RS00530
OG0000345	DR095_RS02305	MYF_RS02310
OG0000346	DR095_RS03945	MYF_RS02875
OG0000347	DR095_RS01490	MYF_RS01755
OG0000348	DR095_RS03905	MYF_RS02100
OG0000349	DR095_RS02540	MYF_RS02930
OG0000350	DR095_RS00295	MYF_RS03360
OG0000351	DR095_RS00660	MYF_RS00465
OG0000352	DR095_RS02755	MYF_RS01260
OG0000353	DR095_RS01460	MYF_RS01725
OG0000354	DR095_RS00110	MYF_RS00580
OG0000355	DR095_RS03980	MYF_RS01235
OG0000356	DR095_RS03985	MYF_RS01315
OG0000357	DR095_RS03860	MYF_RS02615
OG0000358	DR095_RS01800	MYF_RS02620
OG0000359	DR095_RS03900	MYF_RS02070
OG0000360	DR095_RS00880	MYF_RS00240
OG0000361	DR095_RS00850	MYF_RS00270
OG0000362	DR095_RS00540	MYF_RS01065
OG0000363	DR095_RS01530	MYF_RS01795
OG0000365	DR095_RS04025	MYF_RS01420
OG0000366	DR095_RS02870	MYF_RS01390
OG0000367	DR095_RS02860	MYF_RS01380
OG0000368	DR095_RS01055	MYF_RS00060
OG0000369	DR095_RS03410	MYF_RS00025
OG0000370	DR095_RS01095	MYF_RS00020
OG0000371	DR095_RS01100	MYF_RS00015
OG0000372	DR095_RS01105	MYF_RS00010
OG0000373	DR095_RS01130	MYF_RS03135
OG0000374	DR095_RS01140	MYF_RS03125
OG0000375	DR095_RS01285	MYF_RS01550
OG0000376	DR095_RS01340	MYF_RS01605
OG0000377	DR095_RS01350	MYF_RS01615
OG0000378	DR095_RS01385	MYF_RS01650
OG0000379	DR095_RS01455	MYF_RS01720
OG0000380	DR095_RS01480	MYF_RS01745
OG0000381	DR095_RS01520	MYF_RS01785
OG0000382	DR095_RS02910	MYF_RS01815
