Orthogroup	MFC_MF29_genes	MHP_NCTC10127_genes
OG0000125	DR095_RS01505	EXC50_RS02670
OG0000126	DR095_RS01515	EXC50_RS02660
OG0000127	DR095_RS01525	EXC50_RS02650
OG0000128	DR095_RS02900	EXC50_RS02635
OG0000129	DR095_RS02905	EXC50_RS02630
OG0000130	DR095_RS02915	EXC50_RS02620
OG0000131	DR095_RS02945	EXC50_RS02590
OG0000132	DR095_RS04000	EXC50_RS02575
OG0000133	DR095_RS00015	EXC50_RS03555
OG0000134	DR095_RS03750	EXC50_RS03550
OG0000135	DR095_RS00035	EXC50_RS03535
OG0000136	DR095_RS00040	EXC50_RS03530
OG0000137	DR095_RS00070	EXC50_RS03500
OG0000138	DR095_RS00095	EXC50_RS03465
OG0000139	DR095_RS00125	EXC50_RS03435
OG0000140	DR095_RS00130	EXC50_RS03430
OG0000141	DR095_RS00155	EXC50_RS01775
OG0000142	DR095_RS03765	EXC50_RS01770
OG0000143	DR095_RS00185	EXC50_RS01745
OG0000144	DR095_RS00195	EXC50_RS01735
OG0000145	DR095_RS00205	EXC50_RS01725
OG0000146	DR095_RS00215	EXC50_RS01715
OG0000147	DR095_RS00220	EXC50_RS01710
OG0000148	DR095_RS00235	EXC50_RS01695
OG0000149	DR095_RS00245	EXC50_RS01685
OG0000150	DR095_RS00260	EXC50_RS01670
OG0000151	DR095_RS00315	EXC50_RS01625
OG0000152	DR095_RS00320	EXC50_RS01620
OG0000153	DR095_RS00325	EXC50_RS01615
OG0000154	DR095_RS00335	EXC50_RS01605
OG0000155	DR095_RS00355	EXC50_RS01565
OG0000156	DR095_RS00390	EXC50_RS01555
OG0000157	DR095_RS03780	EXC50_RS01550
OG0000158	DR095_RS03785	EXC50_RS04235
OG0000159	DR095_RS00635	EXC50_RS03825
OG0000160	DR095_RS00640	EXC50_RS03820
OG0000161	DR095_RS00650	EXC50_RS03815
OG0000162	DR095_RS02680	EXC50_RS01290
OG0000163	DR095_RS02685	EXC50_RS01285
OG0000164	DR095_RS03975	EXC50_RS00550
OG0000165	DR095_RS02760	EXC50_RS00885
OG0000166	DR095_RS02780	EXC50_RS00905
OG0000167	DR095_RS02795	EXC50_RS00920
OG0000168	DR095_RS02800	EXC50_RS00925
OG0000169	DR095_RS01750	EXC50_RS01885
OG0000170	DR095_RS01765	EXC50_RS01900
OG0000171	DR095_RS01775	EXC50_RS01910
