Orthogroup	MFC_Ms42_genes	MHP_4284_genes
OG0000054	MYF_RS01155	ABLE99_RS02375
OG0000055	MYF_RS03395, MYF_RS03525	ABLE99_RS00135
OG0000056	MYF_RS03060	ABLE99_RS03395
OG0000057	MYF_RS00645	ABLE99_RS02815
OG0000062	MYF_RS03115	ABLE99_RS03445
OG0000063	MYF_RS03110	ABLE99_RS03440
OG0000064	MYF_RS03100	ABLE99_RS03430
OG0000065	MYF_RS01575	ABLE99_RS02085
OG0000066	MYF_RS01705	ABLE99_RS01320
OG0000068	MYF_RS00590	ABLE99_RS01015
OG0000069	MYF_RS00755	ABLE99_RS02710
OG0000070	MYF_RS01135	ABLE99_RS02380
OG0000071	MYF_RS02760	ABLE99_RS03155
OG0000072	MYF_RS02765	ABLE99_RS03160
OG0000073	MYF_RS02005	ABLE99_RS00970
OG0000074	MYF_RS02195	ABLE99_RS00775
OG0000075	MYF_RS00305	ABLE99_RS00340
OG0000076	MYF_RS00320	ABLE99_RS00355
OG0000077	MYF_RS00410	ABLE99_RS00440
OG0000078	MYF_RS00880	ABLE99_RS01630
OG0000079	MYF_RS01050	ABLE99_RS02455
OG0000080	MYF_RS01000, MYF_RS03365	ABLE99_RS02500
OG0000081	MYF_RS00300	ABLE99_RS00335
OG0000082	MYF_RS01110	ABLE99_RS02300
OG0000083	MYF_RS01430	ABLE99_RS01935
OG0000084	MYF_RS01400	ABLE99_RS01965
OG0000085	MYF_RS01395	ABLE99_RS01970
OG0000086	MYF_RS01385	ABLE99_RS01980
OG0000087	MYF_RS01370	ABLE99_RS01995
OG0000088	MYF_RS01365	ABLE99_RS02000
OG0000089	MYF_RS01355	ABLE99_RS02010
OG0000090	MYF_RS00070	ABLE99_RS00070
OG0000091	MYF_RS00055	ABLE99_RS00055
OG0000092	MYF_RS00040	ABLE99_RS00040
OG0000093	MYF_RS00035	ABLE99_RS00035
OG0000094	MYF_RS00030	ABLE99_RS00030
OG0000095	MYF_RS00005	ABLE99_RS00005
OG0000096	MYF_RS03150	ABLE99_RS03480
OG0000097	MYF_RS03130	ABLE99_RS03460
OG0000098	MYF_RS03120	ABLE99_RS03450
OG0000099	MYF_RS03065	ABLE99_RS03400
OG0000100	MYF_RS03050	ABLE99_RS03385
OG0000101	MYF_RS03045	ABLE99_RS03380
OG0000102	MYF_RS03035	ABLE99_RS01655
OG0000103	MYF_RS01540	ABLE99_RS02050
OG0000104	MYF_RS01545	ABLE99_RS02055
OG0000105	MYF_RS01560	ABLE99_RS02070
OG0000106	MYF_RS01570	ABLE99_RS02080
OG0000107	MYF_RS01580	ABLE99_RS02090
OG0000108	MYF_RS01585	ABLE99_RS02095
OG0000109	MYF_RS01590	ABLE99_RS02100
OG0000110	MYF_RS01595	ABLE99_RS02290
OG0000111	MYF_RS01600	ABLE99_RS02285
OG0000112	MYF_RS01610	ABLE99_RS02275
OG0000113	MYF_RS01625	ABLE99_RS02255
OG0000114	MYF_RS01635	ABLE99_RS02245
OG0000115	MYF_RS01645	ABLE99_RS02235
OG0000116	MYF_RS01655	ABLE99_RS01265
OG0000117	MYF_RS01660	ABLE99_RS01270
OG0000118	MYF_RS01690	ABLE99_RS01305
OG0000119	MYF_RS01695	ABLE99_RS01310
OG0000120	MYF_RS01710	ABLE99_RS01325
OG0000121	MYF_RS01735	ABLE99_RS01350
OG0000122	MYF_RS01740	ABLE99_RS01355
OG0000123	MYF_RS01760	ABLE99_RS01375
OG0000124	MYF_RS01765	ABLE99_RS01380
OG0000125	MYF_RS01770	ABLE99_RS01385
OG0000126	MYF_RS01780	ABLE99_RS01395
OG0000127	MYF_RS01790	ABLE99_RS01405
OG0000128	MYF_RS01805	ABLE99_RS01420
OG0000129	MYF_RS01810	ABLE99_RS01425
OG0000130	MYF_RS01820	ABLE99_RS01435
OG0000131	MYF_RS01850	ABLE99_RS01465
OG0000132	MYF_RS01865	ABLE99_RS01480
OG0000133	MYF_RS00485	ABLE99_RS00525
OG0000134	MYF_RS00490	ABLE99_RS00530
OG0000135	MYF_RS00505	ABLE99_RS00545
OG0000136	MYF_RS00510	ABLE99_RS00550
OG0000137	MYF_RS00540	ABLE99_RS00580
OG0000138	MYF_RS00565	ABLE99_RS01040
OG0000139	MYF_RS00595	ABLE99_RS01010
OG0000140	MYF_RS00600	ABLE99_RS01005
OG0000141	MYF_RS00635	ABLE99_RS02825
OG0000142	MYF_RS00640	ABLE99_RS02820
OG0000143	MYF_RS00665	ABLE99_RS02800
OG0000144	MYF_RS00675	ABLE99_RS02790
OG0000145	MYF_RS00685	ABLE99_RS02780
OG0000146	MYF_RS00695	ABLE99_RS02770
OG0000147	MYF_RS00700	ABLE99_RS02765
OG0000148	MYF_RS00715	ABLE99_RS02750
OG0000149	MYF_RS00725	ABLE99_RS02740
OG0000150	MYF_RS00740	ABLE99_RS02725
OG0000151	MYF_RS00795	ABLE99_RS02675
OG0000152	MYF_RS00800	ABLE99_RS02670
OG0000153	MYF_RS00805	ABLE99_RS02665
OG0000154	MYF_RS00815	ABLE99_RS02655
OG0000155	MYF_RS00835	ABLE99_RS02615
OG0000156	MYF_RS00855	ABLE99_RS02610
OG0000157	MYF_RS00860	ABLE99_RS02600
OG0000158	MYF_RS00870	ABLE99_RS02590
OG0000159	MYF_RS01165	ABLE99_RS02365
OG0000160	MYF_RS01170	ABLE99_RS02360
OG0000161	MYF_RS01175	ABLE99_RS02355
OG0000162	MYF_RS01185	ABLE99_RS02345
OG0000163	MYF_RS01190	ABLE99_RS02340
OG0000164	MYF_RS01220	ABLE99_RS01560
OG0000165	MYF_RS01265	ABLE99_RS01855
OG0000166	MYF_RS01285	ABLE99_RS01875
OG0000167	MYF_RS01300	ABLE99_RS01890
OG0000168	MYF_RS01305	ABLE99_RS01895
OG0000169	MYF_RS02560	ABLE99_RS02935
OG0000170	MYF_RS02585	ABLE99_RS02950
OG0000171	MYF_RS02595	ABLE99_RS02960
OG0000172	MYF_RS02600	ABLE99_RS02965
OG0000173	MYF_RS02605	ABLE99_RS02970
OG0000174	MYF_RS02610	ABLE99_RS02975
OG0000175	MYF_RS02625	ABLE99_RS02990
OG0000176	MYF_RS02670	ABLE99_RS03040
OG0000177	MYF_RS02675	ABLE99_RS03045
OG0000178	MYF_RS02680	ABLE99_RS03050
OG0000179	MYF_RS02690	ABLE99_RS03060
OG0000180	MYF_RS02695	ABLE99_RS03065
OG0000181	MYF_RS02710	ABLE99_RS03105
OG0000182	MYF_RS02720	ABLE99_RS03115
OG0000183	MYF_RS02755	ABLE99_RS03150
OG0000184	MYF_RS02785	ABLE99_RS03175
OG0000185	MYF_RS02800	ABLE99_RS03190
OG0000186	MYF_RS01895	ABLE99_RS01490
OG0000187	MYF_RS01910	ABLE99_RS01505
OG0000188	MYF_RS01920	ABLE99_RS01515
OG0000189	MYF_RS01930	ABLE99_RS02135
OG0000190	MYF_RS01935	ABLE99_RS02130
OG0000191	MYF_RS01955	ABLE99_RS02110
OG0000192	MYF_RS01965	ABLE99_RS01185
OG0000193	MYF_RS01980	ABLE99_RS01170
OG0000194	MYF_RS01990	ABLE99_RS00985
OG0000195	MYF_RS01995	ABLE99_RS00980
OG0000196	MYF_RS02015	ABLE99_RS00960
