Orthogroup	MFC_Ms42_genes	MHP_131B_genes
OG0000096	MYF_RS03150	NB627_RS03825
OG0000097	MYF_RS03130	NB627_RS03805
OG0000098	MYF_RS03120	NB627_RS03795
OG0000099	MYF_RS03065	NB627_RS03745
OG0000100	MYF_RS03050	NB627_RS03725
OG0000101	MYF_RS03045	NB627_RS03720
OG0000102	MYF_RS03035	NB627_RS01835
OG0000103	MYF_RS01540	NB627_RS02375
OG0000104	MYF_RS01545	NB627_RS02380
OG0000105	MYF_RS01560	NB627_RS02400
OG0000106	MYF_RS01570	NB627_RS02405
OG0000107	MYF_RS01580	NB627_RS02415
OG0000108	MYF_RS01585	NB627_RS02420
OG0000109	MYF_RS01590	NB627_RS02425
OG0000110	MYF_RS01595	NB627_RS02555
OG0000111	MYF_RS01600	NB627_RS02550
OG0000112	MYF_RS01610	NB627_RS02540
OG0000113	MYF_RS01625	NB627_RS02515
OG0000114	MYF_RS01635	NB627_RS02510
OG0000115	MYF_RS01645	NB627_RS02495
OG0000116	MYF_RS01655	NB627_RS01420
OG0000117	MYF_RS01660	NB627_RS01425
OG0000118	MYF_RS01690	NB627_RS01460
OG0000119	MYF_RS01695	NB627_RS01465
OG0000120	MYF_RS01710	NB627_RS01485
OG0000121	MYF_RS01735	NB627_RS01515
OG0000122	MYF_RS01740	NB627_RS01520
OG0000123	MYF_RS01760	NB627_RS01540
OG0000124	MYF_RS01765	NB627_RS01545
OG0000125	MYF_RS01770	NB627_RS01550
OG0000126	MYF_RS01780	NB627_RS01560
OG0000127	MYF_RS01790	NB627_RS01570
OG0000128	MYF_RS01805	NB627_RS01585
OG0000129	MYF_RS01810	NB627_RS01590
OG0000130	MYF_RS01820	NB627_RS01600
OG0000131	MYF_RS01850	NB627_RS01630
OG0000132	MYF_RS01865	NB627_RS01645
OG0000133	MYF_RS00485	NB627_RS00640
OG0000134	MYF_RS00490	NB627_RS00645
OG0000135	MYF_RS00505	NB627_RS00660
OG0000136	MYF_RS00510	NB627_RS00665
OG0000137	MYF_RS00540	NB627_RS00695
OG0000138	MYF_RS00565	NB627_RS00730
OG0000139	MYF_RS00595	NB627_RS00760
OG0000140	MYF_RS00600	NB627_RS00765
OG0000141	MYF_RS00635	NB627_RS03120
OG0000142	MYF_RS00640	NB627_RS03115
OG0000143	MYF_RS00665	NB627_RS03100
OG0000144	MYF_RS00675	NB627_RS03085
OG0000145	MYF_RS00685	NB627_RS03075
OG0000146	MYF_RS00695	NB627_RS03065
OG0000147	MYF_RS00700	NB627_RS03060
OG0000148	MYF_RS00715	NB627_RS03045
OG0000149	MYF_RS00725	NB627_RS03035
