Orthogroup	MFC_Ms42_genes	MHP_111A_genes
OG0000126	MYF_RS01780	NB623_RS01550
OG0000127	MYF_RS01790	NB623_RS01560
OG0000128	MYF_RS01805	NB623_RS01575
OG0000129	MYF_RS01810	NB623_RS01580
OG0000130	MYF_RS01820	NB623_RS01590
OG0000131	MYF_RS01850	NB623_RS01620
OG0000132	MYF_RS01865	NB623_RS01635
OG0000133	MYF_RS00485	NB623_RS00525
OG0000134	MYF_RS00490	NB623_RS00530
OG0000135	MYF_RS00505	NB623_RS00545
OG0000136	MYF_RS00510	NB623_RS00550
OG0000137	MYF_RS00540	NB623_RS00590
OG0000138	MYF_RS00565	NB623_RS00615
OG0000139	MYF_RS00595	NB623_RS00645
OG0000140	MYF_RS00600	NB623_RS00650
OG0000141	MYF_RS00635	NB623_RS03095
OG0000142	MYF_RS00640	NB623_RS03090
OG0000143	MYF_RS00665	NB623_RS03075
OG0000144	MYF_RS00675	NB623_RS03060
OG0000145	MYF_RS00685	NB623_RS03050
OG0000146	MYF_RS00695	NB623_RS03040
OG0000147	MYF_RS00700	NB623_RS03035
OG0000148	MYF_RS00715	NB623_RS03020
OG0000149	MYF_RS00725	NB623_RS03010
OG0000150	MYF_RS00740	NB623_RS02995
OG0000151	MYF_RS00795	NB623_RS02945
OG0000152	MYF_RS00800	NB623_RS02940
OG0000153	MYF_RS00805	NB623_RS02935
OG0000154	MYF_RS00815	NB623_RS02925
OG0000155	MYF_RS00835	NB623_RS02885
OG0000156	MYF_RS00855	NB623_RS02875
OG0000157	MYF_RS00860	NB623_RS02870
OG0000158	MYF_RS00870	NB623_RS02860
OG0000159	MYF_RS01165	NB623_RS02615
OG0000160	MYF_RS01170	NB623_RS02610
OG0000161	MYF_RS01175	NB623_RS02605
OG0000162	MYF_RS01185	NB623_RS02595
OG0000163	MYF_RS01190	NB623_RS02590
OG0000164	MYF_RS01220	NB623_RS01725
OG0000165	MYF_RS01265	NB623_RS02155
OG0000166	MYF_RS01285	NB623_RS02135
OG0000167	MYF_RS01300	NB623_RS02120
OG0000168	MYF_RS01305	NB623_RS02115
OG0000169	MYF_RS02560	NB623_RS03200
OG0000170	MYF_RS02585	NB623_RS03215
OG0000171	MYF_RS02595	NB623_RS03225
OG0000172	MYF_RS02600	NB623_RS03230
OG0000173	MYF_RS02605	NB623_RS03235
OG0000174	MYF_RS02610	NB623_RS03240
OG0000175	MYF_RS02625	NB623_RS03265
OG0000176	MYF_RS02670	NB623_RS03310
OG0000177	MYF_RS02675	NB623_RS03315
OG0000178	MYF_RS02680	NB623_RS03320
OG0000179	MYF_RS02690	NB623_RS03330
OG0000180	MYF_RS02695	NB623_RS03335
OG0000181	MYF_RS02710	NB623_RS03375
OG0000182	MYF_RS02720	NB623_RS03385
OG0000183	MYF_RS02755	NB623_RS03420
OG0000184	MYF_RS02785	NB623_RS03485
OG0000185	MYF_RS02800	NB623_RS03475
OG0000186	MYF_RS01895	NB623_RS01645
OG0000187	MYF_RS01910	NB623_RS01660
OG0000188	MYF_RS01920	NB623_RS01670
OG0000189	MYF_RS01930	NB623_RS02445
OG0000190	MYF_RS01935	NB623_RS02440
OG0000191	MYF_RS01955	NB623_RS02415
OG0000192	MYF_RS01965	NB623_RS01340
