Orthogroup	MHP_MHP699_genes	MHP_J_genes
OG0000525	DR100_RS04860	MHJ_RS03305
OG0000526	DR100_RS04195	MHJ_RS03870
OG0000527	DR100_RS04455	MHJ_RS03865
OG0000527	DR100_RS04460	MHJ_RS03860
OG0000528	DR100_RS02775	MHJ_RS01970
OG0000529	DR100_RS03015	MHJ_RS02190
OG0000530	DR100_RS03460	MHJ_RS02290
OG0000531	DR100_RS00320	MHJ_RS01370
OG0000532	DR100_RS03540	MHJ_RS01585
OG0000533	DR100_RS00715	MHJ_RS00585
OG0000534	DR100_RS00465	MHJ_RS00360
OG0000535	DR100_RS04635	MHJ_RS00045
OG0000537	DR100_RS00825	MHJ_RS00705
OG0000538	DR100_RS00040	MHJ_RS01095
OG0000539	DR100_RS00635	MHJ_RS00190
OG0000540	DR100_RS01830	MHJ_RS02600
OG0000541	DR100_RS02495	MHJ_RS02680
OG0000542	DR100_RS00495	MHJ_RS00330
OG0000544	DR100_RS04560	MHJ_RS01225
OG0000545	DR100_RS02100	MHJ_RS01770
OG0000546	DR100_RS04445	MHJ_RS02755
OG0000547	DR100_RS01680	MHJ_RS02885
OG0000548	DR100_RS03425	MHJ_RS01550
OG0000549	DR100_RS04865	MHJ_RS03295
OG0000550	DR100_RS01340	MHJ_RS03430
OG0000551	DR100_RS03160	MHJ_RS02965
OG0000552	DR100_RS01555	MHJ_RS03115
OG0000553	DR100_RS04780	MHJ_RS02650
OG0000554	DR100_RS02285	MHJ_RS02335
OG0000555	DR100_RS04155	MHJ_RS03945
OG0000557	DR100_RS00185	MHJ_RS01235
OG0000558	DR100_RS00155	MHJ_RS01205
OG0000559	DR100_RS02180	MHJ_RS01645
OG0000560	DR100_RS02115	MHJ_RS01760
OG0000561	DR100_RS00025	MHJ_RS01080
OG0000562	DR100_RS02110	MHJ_RS01765
OG0000563	DR100_RS02125	MHJ_RS01750
OG0000564	DR100_RS03935	MHJ_RS01260
OG0000565	DR100_RS02050	MHJ_RS01820
OG0000566	DR100_RS02065	MHJ_RS01810
OG0000567	DR100_RS02095	MHJ_RS01780
OG0000568	DR100_RS00785	MHJ_RS00665
OG0000569	DR100_RS00160	MHJ_RS01210
OG0000570	DR100_RS04555	MHJ_RS01215
OG0000571	DR100_RS00170	MHJ_RS01220
OG0000572	DR100_RS00190	MHJ_RS01240
OG0000573	DR100_RS02185	MHJ_RS01640
OG0000574	DR100_RS00230	MHJ_RS01280
OG0000575	DR100_RS00145	MHJ_RS01195
OG0000576	DR100_RS02230	MHJ_RS03625
OG0000577	DR100_RS01810	MHJ_RS02620
OG0000578	DR100_RS02465	MHJ_RS02645
OG0000579	DR100_RS03380	MHJ_RS01740
OG0000580	DR100_RS04170	MHJ_RS02760
OG0000581	DR100_RS03395	MHJ_RS01725
OG0000582	DR100_RS04565	MHJ_RS03835
OG0000583	DR100_RS02195	MHJ_RS01630
OG0000585	DR100_RS03870	MHJ_RS03590
OG0000586	DR100_RS02210	MHJ_RS01620
OG0000587	DR100_RS04190	MHJ_RS04025
OG0000588	DR100_RS02235	MHJ_RS01600
OG0000589	DR100_RS03530	MHJ_RS03650
OG0000591	DR100_RS04185	MHJ_RS03990
OG0000593	DR100_RS01275	MHJ_RS03495
OG0000594	DR100_RS00150	MHJ_RS01200
OG0000595	DR100_RS03575	MHJ_RS03020
OG0000596	DR100_RS02145	MHJ_RS01685
OG0000597	DR100_RS03565	MHJ_RS03015
OG0000598	DR100_RS02140	MHJ_RS01690
OG0000599	DR100_RS02135	MHJ_RS01695
OG0000601	DR100_RS02120	MHJ_RS01755
OG0000606	DR100_RS03390	MHJ_RS01730
OG0000607	DR100_RS00135	MHJ_RS03755
OG0000612	DR100_RS04200	MHJ_RS03855
OG0000621	DR100_RS03825	MHJ_RS03985
