Orthogroup	MHP_MHP699_genes	MHP_J_genes
OG0000029	DR100_RS03520	MHJ_RS01055
OG0000029	DR100_RS00725	MHJ_RS00595
OG0000030	DR100_RS04855	MHJ_RS03310
OG0000030	DR100_RS04695	MHJ_RS03325
OG0000031	DR100_RS03415	MHJ_RS01560
OG0000032	DR100_RS03775	MHJ_RS03320
OG0000035	DR100_RS03560	MHJ_RS03170
OG0000036	DR100_RS01080	MHJ_RS00105
OG0000037	DR100_RS03435	MHJ_RS03820
OG0000039	DR100_RS04510, DR100_RS03660	MHJ_RS01575
OG0000040	DR100_RS03895	MHJ_RS03260
OG0000041	DR100_RS00105	MHJ_RS00655, MHJ_RS01160
OG0000042	DR100_RS03115	MHJ_RS02920
OG0000043	DR100_RS02005	MHJ_RS01865
OG0000044	DR100_RS04930	MHJ_RS04020
OG0000045	DR100_RS03545	MHJ_RS01580
OG0000046	DR100_RS04840	MHJ_RS03960, MHJ_RS03265
OG0000048	DR100_RS02540	MHJ_RS02050
OG0000049	DR100_RS01465	MHJ_RS03025, MHJ_RS03010
OG0000050	DR100_RS02715	MHJ_RS02400
OG0000051	DR100_RS01815	MHJ_RS02615
OG0000052	DR100_RS01115	MHJ_RS00075
OG0000053	DR100_RS04755	MHJ_RS01420
OG0000054	DR100_RS02740	MHJ_RS02425
OG0000055	DR100_RS01060	MHJ_RS00110
OG0000056	DR100_RS01270	MHJ_RS03500
OG0000057	DR100_RS01665	MHJ_RS02900
OG0000061	DR100_RS02060	MHJ_RS01540
OG0000062	DR100_RS01225	MHJ_RS03545
OG0000063	DR100_RS04645	MHJ_RS03540
OG0000064	DR100_RS01240	MHJ_RS03530
OG0000065	DR100_RS03025	MHJ_RS02200
OG0000066	DR100_RS00275	MHJ_RS01325
OG0000067	DR100_RS02670	MHJ_RS00510
OG0000068	DR100_RS00760	MHJ_RS00630
OG0000069	DR100_RS01775	MHJ_RS02785
OG0000070	DR100_RS02745	MHJ_RS02430
OG0000071	DR100_RS03100	MHJ_RS03250
OG0000072	DR100_RS04835	MHJ_RS03255
OG0000073	DR100_RS00805	MHJ_RS00685
OG0000074	DR100_RS04605	MHJ_RS00875
OG0000075	DR100_RS00505	MHJ_RS00320
OG0000076	DR100_RS00490	MHJ_RS00335
OG0000077	DR100_RS00400	MHJ_RS00425
OG0000078	DR100_RS02200	MHJ_RS01625
OG0000079	DR100_RS01910	MHJ_RS02515
OG0000080	DR100_RS04175	MHJ_RS03800
OG0000081	DR100_RS00510	MHJ_RS00315
OG0000082	DR100_RS02290	MHJ_RS03775
OG0000083	DR100_RS02770	MHJ_RS01975
OG0000084	DR100_RS02590	MHJ_RS02000
OG0000085	DR100_RS02585	MHJ_RS02005
OG0000086	DR100_RS02575	MHJ_RS02015
OG0000087	DR100_RS02560	MHJ_RS02030
OG0000088	DR100_RS02555	MHJ_RS02035
OG0000089	DR100_RS02545	MHJ_RS02045
OG0000090	DR100_RS01120	MHJ_RS00070
OG0000091	DR100_RS01135	MHJ_RS00055
OG0000092	DR100_RS01150	MHJ_RS00040
OG0000093	DR100_RS01155	MHJ_RS00035
OG0000094	DR100_RS01160	MHJ_RS00030
OG0000095	DR100_RS01185	MHJ_RS00005
OG0000096	DR100_RS01190	MHJ_RS03580
OG0000097	DR100_RS01210	MHJ_RS03560
OG0000098	DR100_RS01220	MHJ_RS03550
OG0000099	DR100_RS03485	MHJ_RS03505
OG0000100	DR100_RS01280	MHJ_RS03490
OG0000101	DR100_RS01285	MHJ_RS03485
OG0000102	DR100_RS02175	MHJ_RS01650
OG0000103	DR100_RS02990	MHJ_RS02165
OG0000104	DR100_RS02995	MHJ_RS02170
OG0000105	DR100_RS03010	MHJ_RS02185
OG0000106	DR100_RS03020	MHJ_RS02195
OG0000107	DR100_RS03030	MHJ_RS02205
OG0000108	DR100_RS03035	MHJ_RS02210
OG0000109	DR100_RS00005	MHJ_RS02215
OG0000110	DR100_RS02280	MHJ_RS02330
OG0000111	DR100_RS02275	MHJ_RS02325
OG0000112	DR100_RS02265	MHJ_RS02315
OG0000113	DR100_RS04875	MHJ_RS02295
OG0000114	DR100_RS03465	MHJ_RS02285
OG0000115	DR100_RS03475	MHJ_RS02275
OG0000116	DR100_RS00220	MHJ_RS01270
OG0000117	DR100_RS00225	MHJ_RS01275
OG0000118	DR100_RS00260	MHJ_RS01310
OG0000119	DR100_RS00265	MHJ_RS01315
OG0000120	DR100_RS00280	MHJ_RS01330
OG0000121	DR100_RS00305	MHJ_RS01355
OG0000122	DR100_RS00310	MHJ_RS01360
OG0000123	DR100_RS00330	MHJ_RS01380
OG0000124	DR100_RS00335	MHJ_RS01385
OG0000125	DR100_RS00345	MHJ_RS01390
OG0000126	DR100_RS02315	MHJ_RS01400
OG0000127	DR100_RS02325	MHJ_RS01410
OG0000128	DR100_RS02340	MHJ_RS01425
OG0000129	DR100_RS02345	MHJ_RS01430
OG0000130	DR100_RS02355	MHJ_RS01440
OG0000131	DR100_RS02385	MHJ_RS01470
OG0000132	DR100_RS04760	MHJ_RS01485
OG0000133	DR100_RS02665	MHJ_RS00515
OG0000134	DR100_RS02660	MHJ_RS00520
OG0000135	DR100_RS02645	MHJ_RS00535
OG0000136	DR100_RS02640	MHJ_RS00540
OG0000137	DR100_RS02610	MHJ_RS00575
OG0000138	DR100_RS00735	MHJ_RS00605
OG0000139	DR100_RS00765	MHJ_RS00635
OG0000140	DR100_RS00770	MHJ_RS00640
OG0000141	DR100_RS01655	MHJ_RS02910
OG0000142	DR100_RS04720	MHJ_RS02905
OG0000143	DR100_RS01685	MHJ_RS02880
OG0000144	DR100_RS01695	MHJ_RS02870
OG0000145	DR100_RS01705	MHJ_RS02855
OG0000146	DR100_RS01715	MHJ_RS02845
OG0000147	DR100_RS01720	MHJ_RS02840
OG0000148	DR100_RS01735	MHJ_RS02825
OG0000149	DR100_RS01745	MHJ_RS02815
OG0000150	DR100_RS01760	MHJ_RS02800
OG0000151	DR100_RS03315	MHJ_RS02745
OG0000152	DR100_RS03310	MHJ_RS02740
OG0000153	DR100_RS03305	MHJ_RS02735
OG0000154	DR100_RS03295	MHJ_RS02725
OG0000155	DR100_RS02500	MHJ_RS02685
OG0000156	DR100_RS02490	MHJ_RS02675
OG0000157	DR100_RS04790	MHJ_RS02670
OG0000158	DR100_RS04785	MHJ_RS04010
OG0000159	DR100_RS02730	MHJ_RS04030
OG0000160	DR100_RS02725	MHJ_RS02410
OG0000161	DR100_RS02720	MHJ_RS02405
OG0000162	DR100_RS02710	MHJ_RS02395
OG0000163	DR100_RS02705	MHJ_RS02390
OG0000164	DR100_RS03410	MHJ_RS01565
OG0000165	DR100_RS01980	MHJ_RS01890
OG0000166	DR100_RS01960	MHJ_RS01915
OG0000167	DR100_RS02815	MHJ_RS01930
OG0000168	DR100_RS02810	MHJ_RS01935
OG0000169	DR100_RS01460	MHJ_RS03005
OG0000170	DR100_RS01475	MHJ_RS03035
OG0000171	DR100_RS01485	MHJ_RS03045
OG0000172	DR100_RS01490	MHJ_RS03050
OG0000173	DR100_RS01495	MHJ_RS03055
OG0000174	DR100_RS01500	MHJ_RS03060
OG0000175	DR100_RS01515	MHJ_RS03075
OG0000176	DR100_RS03330	MHJ_RS03125
OG0000177	DR100_RS03335	MHJ_RS03130
OG0000178	DR100_RS03340	MHJ_RS03135
OG0000179	DR100_RS03350	MHJ_RS03145
OG0000180	DR100_RS03355	MHJ_RS03150
OG0000181	DR100_RS04825	MHJ_RS03200
OG0000182	DR100_RS03060	MHJ_RS03210
OG0000183	DR100_RS03095	MHJ_RS03245
OG0000184	DR100_RS03180	MHJ_RS03285
OG0000185	DR100_RS03195	MHJ_RS03270
OG0000186	DR100_RS04765	MHJ_RS01495
OG0000187	DR100_RS02425	MHJ_RS01510
OG0000188	DR100_RS02435	MHJ_RS01520
OG0000189	DR100_RS04845	MHJ_RS02250
OG0000190	DR100_RS03230	MHJ_RS02245
OG0000191	DR100_RS03210	MHJ_RS02225
OG0000192	DR100_RS00140	MHJ_RS01190
OG0000193	DR100_RS00125	MHJ_RS01180
OG0000194	DR100_RS00790	MHJ_RS00670
OG0000195	DR100_RS00795	MHJ_RS00675
OG0000196	DR100_RS00815	MHJ_RS00695
OG0000197	DR100_RS00820	MHJ_RS00700
OG0000198	DR100_RS00835	MHJ_RS00715
OG0000199	DR100_RS00840	MHJ_RS00720
OG0000200	DR100_RS00855	MHJ_RS00730
OG0000201	DR100_RS00865	MHJ_RS00740
OG0000202	DR100_RS00920	MHJ_RS00795
OG0000203	DR100_RS00925	MHJ_RS00800
OG0000204	DR100_RS00930	MHJ_RS00805
OG0000205	DR100_RS00935	MHJ_RS00810
OG0000206	DR100_RS00955	MHJ_RS00830
OG0000207	DR100_RS00970	MHJ_RS00845
OG0000208	DR100_RS00975	MHJ_RS00850
OG0000209	DR100_RS00980	MHJ_RS00855
OG0000210	DR100_RS01025	MHJ_RS00900
OG0000211	DR100_RS02965	MHJ_RS00910
OG0000212	DR100_RS02955	MHJ_RS00920
OG0000213	DR100_RS02950	MHJ_RS00925
OG0000214	DR100_RS02945	MHJ_RS00930
OG0000215	DR100_RS02940	MHJ_RS00935
OG0000216	DR100_RS02935	MHJ_RS00940
OG0000217	DR100_RS02930	MHJ_RS00945
OG0000218	DR100_RS02920	MHJ_RS00955
OG0000219	DR100_RS02915	MHJ_RS00960
OG0000220	DR100_RS02910	MHJ_RS00965
OG0000221	DR100_RS02905	MHJ_RS00970
OG0000222	DR100_RS02900	MHJ_RS00975
OG0000223	DR100_RS02895	MHJ_RS00980
OG0000224	DR100_RS02885	MHJ_RS00990
OG0000224	DR100_RS03890	MHJ_RS00990
OG0000225	DR100_RS02875	MHJ_RS01000
OG0000226	DR100_RS02870	MHJ_RS01005
OG0000227	DR100_RS02865	MHJ_RS01010
OG0000228	DR100_RS04935	MHJ_RS04015
OG0000229	DR100_RS02855	MHJ_RS01020
OG0000230	DR100_RS02850	MHJ_RS01025
OG0000231	DR100_RS02840	MHJ_RS01035
OG0000232	DR100_RS02830	MHJ_RS01045
OG0000233	DR100_RS00010	MHJ_RS01065
OG0000234	DR100_RS00045	MHJ_RS01100
OG0000235	DR100_RS00055	MHJ_RS01110
OG0000236	DR100_RS00060	MHJ_RS01115
OG0000237	DR100_RS00065	MHJ_RS01120
OG0000238	DR100_RS00075	MHJ_RS01130
OG0000239	DR100_RS03120	MHJ_RS02925
