Orthogroup	MHP_112B_genes	MFC_MF29_genes
OG0000166	NBX26_RS02140	DR095_RS02780
OG0000167	NBX26_RS02125	DR095_RS02795
OG0000168	NBX26_RS02120	DR095_RS02800
OG0000169	NBX26_RS03215	DR095_RS01750
OG0000170	NBX26_RS03230	DR095_RS01765
OG0000171	NBX26_RS03240	DR095_RS01775
OG0000172	NBX26_RS03245	DR095_RS01780
OG0000173	NBX26_RS03250	DR095_RS01785
OG0000174	NBX26_RS03255	DR095_RS01790
OG0000175	NBX26_RS03270	DR095_RS01805
OG0000176	NBX26_RS03330	DR095_RS01845
OG0000177	NBX26_RS03335	DR095_RS01850
OG0000178	NBX26_RS03340	DR095_RS01855
OG0000179	NBX26_RS03350	DR095_RS01865
OG0000180	NBX26_RS03355	DR095_RS01870
OG0000181	NBX26_RS03395	DR095_RS03870
OG0000182	NBX26_RS03405	DR095_RS01895
OG0000183	NBX26_RS03440	DR095_RS01930
OG0000184	NBX26_RS03495	DR095_RS02970
OG0000185	NBX26_RS03480	DR095_RS02985
OG0000186	NBX26_RS01655	DR095_RS01970
OG0000187	NBX26_RS01670	DR095_RS01985
OG0000188	NBX26_RS01680	DR095_RS01995
OG0000189	NBX26_RS02455	DR095_RS03890
OG0000190	NBX26_RS02450	DR095_RS02010
OG0000191	NBX26_RS02425	DR095_RS02030
OG0000192	NBX26_RS01345	DR095_RS02040
OG0000193	NBX26_RS01330	DR095_RS02055
OG0000194	NBX26_RS00695	DR095_RS02065
OG0000195	NBX26_RS00700	DR095_RS02070
OG0000196	NBX26_RS00725	DR095_RS03895
OG0000197	NBX26_RS00735	DR095_RS02095
OG0000198	NBX26_RS00745	DR095_RS02110
OG0000199	NBX26_RS00750	DR095_RS02115
OG0000200	NBX26_RS00765	DR095_RS02130
OG0000201	NBX26_RS00775	DR095_RS02140
OG0000202	NBX26_RS00830	DR095_RS02195
OG0000203	NBX26_RS00835	DR095_RS02200
OG0000204	NBX26_RS00840	DR095_RS03925
OG0000205	NBX26_RS00845	DR095_RS02490
OG0000206	NBX26_RS00865	DR095_RS02470
OG0000207	NBX26_RS00880	DR095_RS02455
OG0000208	NBX26_RS00885	DR095_RS02450
OG0000209	NBX26_RS00890	DR095_RS02445
OG0000210	NBX26_RS00935	DR095_RS02400
OG0000211	NBX26_RS01080	DR095_RS02390
OG0000212	NBX26_RS01085	DR095_RS02380
OG0000213	NBX26_RS01090	DR095_RS02375
OG0000214	NBX26_RS01095	DR095_RS02370
OG0000215	NBX26_RS01100	DR095_RS02365
OG0000216	NBX26_RS01105	DR095_RS02360
OG0000217	NBX26_RS01110	DR095_RS02355
OG0000218	NBX26_RS01120	DR095_RS03910
