Orthogroup	MHP_131B_genes	MHP_KM014_genes
OG0000147	NB627_RS03060	CIB43_RS03785
OG0000148	NB627_RS03045	CIB43_RS03780
OG0000149	NB627_RS03035	CIB43_RS03760
OG0000150	NB627_RS03025	CIB43_RS03745
OG0000151	NB627_RS02970	CIB43_RS03700
OG0000152	NB627_RS02965	CIB43_RS03695
OG0000153	NB627_RS02960	CIB43_RS03690
OG0000154	NB627_RS02950	CIB43_RS03680
OG0000155	NB627_RS02910	CIB43_RS03645
OG0000156	NB627_RS02905	CIB43_RS03635
OG0000157	NB627_RS02895	CIB43_RS03625
OG0000158	NB627_RS02885	CIB43_RS03620
OG0000159	NB627_RS02645	CIB43_RS03385
OG0000160	NB627_RS02640	CIB43_RS03380
OG0000161	NB627_RS02635	CIB43_RS03375
OG0000163	NB627_RS02620	CIB43_RS03370
OG0000164	NB627_RS01735	CIB43_RS02495
OG0000165	NB627_RS02080	CIB43_RS02840
OG0000166	NB627_RS02100	CIB43_RS02860
OG0000167	NB627_RS02115	CIB43_RS02875
OG0000168	NB627_RS02120	CIB43_RS02880
OG0000169	NB627_RS03235	CIB43_RS00130
OG0000171	NB627_RS03265	CIB43_RS00155
OG0000172	NB627_RS03270	CIB43_RS00160
OG0000173	NB627_RS03275	CIB43_RS00165
OG0000174	NB627_RS03280	CIB43_RS00170
OG0000175	NB627_RS03295	CIB43_RS00190
OG0000176	NB627_RS03350	CIB43_RS00235
OG0000177	NB627_RS03355	CIB43_RS00240
OG0000178	NB627_RS03365	CIB43_RS00245
OG0000179	NB627_RS03370	CIB43_RS00255
OG0000180	NB627_RS03375	CIB43_RS00260
OG0000181	NB627_RS03415	CIB43_RS00310
OG0000182	NB627_RS03425	CIB43_RS00320
OG0000183	NB627_RS03460	CIB43_RS00355
OG0000184	NB627_RS03505	CIB43_RS00430
OG0000185	NB627_RS03490	CIB43_RS00380
OG0000186	NB627_RS01655	CIB43_RS02400
OG0000187	NB627_RS01670	CIB43_RS02410
OG0000188	NB627_RS01680	CIB43_RS02425
OG0000189	NB627_RS02465	CIB43_RS03200
