Orthogroup	MHP_131B_genes	MFC_MF33_genes
OG0000090	NB627_RS00070	DR085_RS02335
OG0000091	NB627_RS00055	DR085_RS02320
OG0000092	NB627_RS00050	DR085_RS02305
OG0000093	NB627_RS00035	DR085_RS02300
OG0000094	NB627_RS00030	DR085_RS02295
OG0000095	NB627_RS00005	DR085_RS02270
OG0000096	NB627_RS03825	DR085_RS02265
OG0000097	NB627_RS03805	DR085_RS02245
OG0000098	NB627_RS03795	DR085_RS02235
OG0000099	NB627_RS03745	DR085_RS02430
OG0000100	NB627_RS03725	DR085_RS02440
OG0000101	NB627_RS03720	DR085_RS02445
OG0000102	NB627_RS01835	DR085_RS02455
OG0000103	NB627_RS02375	DR085_RS01930
OG0000104	NB627_RS02380	DR085_RS01925
OG0000105	NB627_RS02400	DR085_RS01910
OG0000106	NB627_RS02405	DR085_RS01900
OG0000107	NB627_RS02415	DR085_RS01890
OG0000108	NB627_RS02420	DR085_RS01885
OG0000109	NB627_RS02425	DR085_RS01880
OG0000110	NB627_RS02555	DR085_RS01875
OG0000111	NB627_RS02550	DR085_RS01870
OG0000112	NB627_RS02540	DR085_RS01860
OG0000113	NB627_RS02515	DR085_RS03750
OG0000114	NB627_RS02510	DR085_RS01835
OG0000115	NB627_RS02495	DR085_RS01825
OG0000116	NB627_RS01420	DR085_RS01815
OG0000117	NB627_RS01425	DR085_RS01810
OG0000118	NB627_RS01460	DR085_RS01780
OG0000119	NB627_RS01465	DR085_RS01775
OG0000120	NB627_RS01485	DR085_RS01760
OG0000121	NB627_RS01515	DR085_RS01735
OG0000122	NB627_RS01520	DR085_RS01730
OG0000123	NB627_RS01540	DR085_RS01710
OG0000124	NB627_RS01545	DR085_RS01705
OG0000125	NB627_RS01550	DR085_RS01700
OG0000126	NB627_RS01560	DR085_RS01690
OG0000127	NB627_RS01570	DR085_RS01680
OG0000128	NB627_RS01585	DR085_RS01665
OG0000129	NB627_RS01590	DR085_RS01660
OG0000130	NB627_RS01600	DR085_RS01650
OG0000131	NB627_RS01630	DR085_RS01620
OG0000132	NB627_RS01645	DR085_RS03735
OG0000133	NB627_RS00640	DR085_RS00350
OG0000134	NB627_RS00645	DR085_RS03640
OG0000135	NB627_RS00660	DR085_RS00370
OG0000136	NB627_RS00665	DR085_RS00375
OG0000137	NB627_RS00695	DR085_RS00405
OG0000138	NB627_RS00730	DR085_RS00435
OG0000139	NB627_RS00760	DR085_RS00465
OG0000140	NB627_RS00765	DR085_RS00470
OG0000141	NB627_RS03120	DR085_RS00510
OG0000142	NB627_RS03115	DR085_RS03655
OG0000143	NB627_RS03100	DR085_RS00540
OG0000144	NB627_RS03085	DR085_RS00550
OG0000145	NB627_RS03075	DR085_RS00560
OG0000146	NB627_RS03065	DR085_RS00570
OG0000147	NB627_RS03060	DR085_RS00575
OG0000148	NB627_RS03045	DR085_RS00590
OG0000149	NB627_RS03035	DR085_RS00600
OG0000150	NB627_RS03025	DR085_RS00615
OG0000151	NB627_RS02970	DR085_RS00670
OG0000152	NB627_RS02965	DR085_RS00675
OG0000153	NB627_RS02960	DR085_RS00680
OG0000154	NB627_RS02950	DR085_RS00690
OG0000155	NB627_RS02910	DR085_RS00710
OG0000156	NB627_RS02905	DR085_RS00730
OG0000157	NB627_RS02895	DR085_RS03660
OG0000158	NB627_RS02885	DR085_RS03665
OG0000159	NB627_RS02645	DR085_RS00970
OG0000160	NB627_RS02640	DR085_RS00975
OG0000161	NB627_RS02635	DR085_RS00985
OG0000162	NB627_RS02625	DR085_RS02725
OG0000163	NB627_RS02620	DR085_RS02720
OG0000164	NB627_RS01735	DR085_RS03860
OG0000165	NB627_RS02080	DR085_RS02810
OG0000166	NB627_RS02100	DR085_RS02780
OG0000167	NB627_RS02115	DR085_RS02765
OG0000168	NB627_RS02120	DR085_RS02760
OG0000169	NB627_RS03235	DR085_RS01405
