Orthogroup	MHP_ES2L_genes	MHP_UFV02_genes
OG0000504	HZK19_RS00870	FEF31_RS00550
OG0000505	HZK19_RS00905	FEF31_RS00585
OG0000506	HZK19_RS00915	FEF31_RS00595
OG0000507	HZK19_RS00950	FEF31_RS00630
OG0000508	HZK19_RS00235	FEF31_RS03520
OG0000509	HZK19_RS00270	FEF31_RS03555
OG0000510	HZK19_RS00280	FEF31_RS03565
OG0000511	HZK19_RS00415	FEF31_RS00095
OG0000513	HZK19_RS03475	FEF31_RS03100
OG0000514	HZK19_RS02825	FEF31_RS02600
OG0000515	HZK19_RS01530	FEF31_RS01240, FEF31_RS01235, FEF31_RS01230
OG0000516	HZK19_RS01975	FEF31_RS04490
OG0000517	HZK19_RS00065	FEF31_RS03350
OG0000518	HZK19_RS03145	FEF31_RS03675
OG0000519	HZK19_RS00760	FEF31_RS00440
OG0000520	HZK19_RS00885	FEF31_RS00565
OG0000521	HZK19_RS00250	FEF31_RS03535
OG0000522	HZK19_RS00285	FEF31_RS03570
OG0000523	HZK19_RS03410	FEF31_RS03035
OG0000524	HZK19_RS02640	FEF31_RS02410
OG0000525	HZK19_RS03375	FEF31_RS04585
OG0000526	HZK19_RS03755	FEF31_RS01585
OG0000527	HZK19_RS01730	FEF31_RS01525
OG0000528	HZK19_RS01980	FEF31_RS01760
OG0000529	HZK19_RS02210	FEF31_RS01980
OG0000530	HZK19_RS02315	FEF31_RS02080
OG0000531	HZK19_RS01365	FEF31_RS01060
OG0000532	HZK19_RS01590	FEF31_RS01290
OG0000533	HZK19_RS00590	FEF31_RS00260
OG0000534	HZK19_RS00365	FEF31_RS00045
OG0000535	HZK19_RS00045	FEF31_RS04655
OG0000536	HZK19_RS03590	FEF31_RS03215
OG0000537	HZK19_RS00700	FEF31_RS00380
OG0000538	HZK19_RS01100	FEF31_RS00780
OG0000539	HZK19_RS00200	FEF31_RS03485
OG0000540	HZK19_RS02605	FEF31_RS02380
OG0000541	HZK19_RS02685	FEF31_RS02460
OG0000542	HZK19_RS00335	FEF31_RS00015
OG0000544	HZK19_RS01215	FEF31_RS04410
OG0000545	HZK19_RS01785	FEF31_RS01575, FEF31_RS01570
OG0000546	HZK19_RS02755	FEF31_RS02530
OG0000547	HZK19_RS02875	FEF31_RS02650
OG0000548	HZK19_RS01560	FEF31_RS01255
OG0000549	HZK19_RS03365	FEF31_RS04580
OG0000550	HZK19_RS03510	FEF31_RS03135
OG0000552	HZK19_RS03180	FEF31_RS03710
OG0000553	HZK19_RS02655	FEF31_RS04535
OG0000554	HZK19_RS02360	FEF31_RS02125
OG0000555	HZK19_RS02880	FEF31_RS02655
OG0000556	HZK19_RS03035	FEF31_RS04460
OG0000557	HZK19_RS01230	FEF31_RS00920
OG0000558	HZK19_RS01195	FEF31_RS00890
OG0000559	HZK19_RS01670	FEF31_RS01360
OG0000560	HZK19_RS01770	FEF31_RS01560
OG0000561	HZK19_RS01085	FEF31_RS00765
OG0000562	HZK19_RS01775	FEF31_RS01565
OG0000563	HZK19_RS01760	FEF31_RS01550
OG0000564	HZK19_RS03725	FEF31_RS00945
OG0000565	HZK19_RS01835	FEF31_RS01620
OG0000566	HZK19_RS01815	FEF31_RS01605
OG0000567	HZK19_RS01790	FEF31_RS01580
OG0000568	HZK19_RS00660	FEF31_RS00340
OG0000569	HZK19_RS01200	FEF31_RS00895
OG0000570	HZK19_RS01205	FEF31_RS04405
OG0000571	HZK19_RS01210	FEF31_RS00905
OG0000572	HZK19_RS01235	FEF31_RS00925
OG0000573	HZK19_RS01665	FEF31_RS01355
OG0000574	HZK19_RS01275	FEF31_RS00965
OG0000575	HZK19_RS01185	FEF31_RS00880
OG0000576	HZK19_RS01615	FEF31_RS01315
OG0000577	HZK19_RS02625	FEF31_RS02400
OG0000578	HZK19_RS02650	FEF31_RS02420
OG0000579	HZK19_RS01750	FEF31_RS01540
OG0000580	HZK19_RS02760	FEF31_RS02535
OG0000581	HZK19_RS01735	FEF31_RS01530
OG0000582	HZK19_RS01225	FEF31_RS04415
OG0000583	HZK19_RS01655	FEF31_RS01345
OG0000584	HZK19_RS03070	FEF31_RS01425
OG0000585	HZK19_RS02180	FEF31_RS01950
OG0000586	HZK19_RS01635	FEF31_RS01330
OG0000587	HZK19_RS03875	FEF31_RS04780
OG0000588	HZK19_RS01610	FEF31_RS01305
OG0000589	HZK19_RS02120	FEF31_RS01890
OG0000591	HZK19_RS03885	FEF31_RS04065
OG0000592	HZK19_RS02615	FEF31_RS02390
OG0000593	HZK19_RS03575	FEF31_RS03200
OG0000594	HZK19_RS01190	FEF31_RS00885
OG0000595	HZK19_RS02965	FEF31_RS02735
OG0000597	HZK19_RS02960	FEF31_RS02730
OG0000600	HZK19_RS03065	FEF31_RS01430
OG0000601	HZK19_RS01765	FEF31_RS01555
OG0000603	HZK19_RS03060	FEF31_RS01440
OG0000604	HZK19_RS03900	FEF31_RS04155
OG0000605	HZK19_RS03055	FEF31_RS01445
OG0000606	HZK19_RS01740	FEF31_RS01535
OG0000614	HZK19_RS02140	FEF31_RS01905
OG0000615	HZK19_RS02660	FEF31_RS02430
OG0000618	HZK19_RS03330	FEF31_RS02240
