Orthogroup	MHP_ES2L_genes	MHP_UFV02_genes
OG0000030	HZK19_RS03380	FEF31_RS04590
OG0000030	HZK19_RS03400	FEF31_RS04600
OG0000031	HZK19_RS01570	FEF31_RS01265
OG0000032	HZK19_RS03395	FEF31_RS03020
OG0000033	HZK19_RS03820, HZK19_RS02375	FEF31_RS02140
OG0000034	HZK19_RS03770	FEF31_RS01895
OG0000035	HZK19_RS03235	FEF31_RS03765
OG0000036	HZK19_RS00100	FEF31_RS03385
OG0000036	HZK19_RS03705, HZK19_RS03710	FEF31_RS03400
OG0000038	HZK19_RS01710	FEF31_RS01510
OG0000038	HZK19_RS03945	FEF31_RS00160
OG0000039	HZK19_RS01580	FEF31_RS01275
OG0000040	HZK19_RS03325	FEF31_RS03890
OG0000042	HZK19_RS02900	FEF31_RS02675
OG0000043	HZK19_RS01875	FEF31_RS01660, FEF31_RS01455
OG0000044	HZK19_RS03955	FEF31_RS04775
OG0000044	HZK19_RS01755	FEF31_RS01545
OG0000045	HZK19_RS01585	FEF31_RS01280, FEF31_RS01285
OG0000046	HZK19_RS03335	FEF31_RS02960, FEF31_RS02245
OG0000048	HZK19_RS02065	FEF31_RS01845
OG0000049	HZK19_RS02995	FEF31_RS03620
OG0000050	HZK19_RS02415	FEF31_RS02180
OG0000051	HZK19_RS02620	FEF31_RS02395
OG0000052	HZK19_RS00075	FEF31_RS03360
OG0000053	HZK19_RS01415	FEF31_RS04425
OG0000054	HZK19_RS02440	FEF31_RS02205
OG0000055	HZK19_RS00120	FEF31_RS03405
OG0000056	HZK19_RS03580	FEF31_RS03205
OG0000057	HZK19_RS02885	FEF31_RS02660
OG0000058	HZK19_RS03015	FEF31_RS01470
OG0000060	HZK19_RS00080	FEF31_RS00850
OG0000061	HZK19_RS01820	FEF31_RS01245
OG0000062	HZK19_RS03630	FEF31_RS03250
OG0000063	HZK19_RS03625	FEF31_RS04645
OG0000064	HZK19_RS03615	FEF31_RS03235
OG0000065	HZK19_RS02220	FEF31_RS01990
OG0000066	HZK19_RS01320	FEF31_RS01015
OG0000067	HZK19_RS00515	FEF31_RS00185
OG0000068	HZK19_RS00635	FEF31_RS00305
OG0000069	HZK19_RS02780	FEF31_RS02555
OG0000070	HZK19_RS02445	FEF31_RS02210
OG0000071	HZK19_RS03315	FEF31_RS03835
OG0000072	HZK19_RS03320	FEF31_RS04700
OG0000073	HZK19_RS00680	FEF31_RS00360
OG0000074	HZK19_RS00875	FEF31_RS04395
OG0000075	HZK19_RS00325	FEF31_RS00005
OG0000076	HZK19_RS00340	FEF31_RS00020
OG0000077	HZK19_RS00425	FEF31_RS00105
OG0000079	HZK19_RS02525	FEF31_RS02300
OG0000080	HZK19_RS02570	FEF31_RS02345
OG0000081	HZK19_RS00320	FEF31_RS03610
OG0000082	HZK19_RS02365	FEF31_RS02130
OG0000083	HZK19_RS01985	FEF31_RS01765
OG0000084	HZK19_RS02015	FEF31_RS01795
OG0000085	HZK19_RS02020	FEF31_RS01800
OG0000086	HZK19_RS02030	FEF31_RS01810
OG0000087	HZK19_RS02045	FEF31_RS01825
OG0000088	HZK19_RS02050	FEF31_RS01830
OG0000089	HZK19_RS02060	FEF31_RS01840
OG0000090	HZK19_RS00070	FEF31_RS03355
OG0000091	HZK19_RS00055	FEF31_RS03340
OG0000092	HZK19_RS00040	FEF31_RS03325
OG0000093	HZK19_RS00035	FEF31_RS03320
OG0000094	HZK19_RS00030	FEF31_RS03315
OG0000095	HZK19_RS00005	FEF31_RS03290
OG0000096	HZK19_RS03665	FEF31_RS03285
OG0000097	HZK19_RS03645	FEF31_RS03265
OG0000098	HZK19_RS03635	FEF31_RS03255
OG0000099	HZK19_RS03585	FEF31_RS04640
OG0000100	HZK19_RS03570	FEF31_RS03195
OG0000101	HZK19_RS03565	FEF31_RS03190
OG0000102	HZK19_RS01675	FEF31_RS01365
OG0000103	HZK19_RS02185	FEF31_RS01955
OG0000104	HZK19_RS02190	FEF31_RS01960
OG0000105	HZK19_RS02205	FEF31_RS01975
OG0000106	HZK19_RS02215	FEF31_RS01985
OG0000107	HZK19_RS02225	FEF31_RS01995
OG0000108	HZK19_RS02230	FEF31_RS02000
OG0000109	HZK19_RS02235	FEF31_RS02005
OG0000110	HZK19_RS02355	FEF31_RS02120
OG0000111	HZK19_RS02350	FEF31_RS02115
OG0000112	HZK19_RS02340	FEF31_RS02105
OG0000113	HZK19_RS02320	FEF31_RS02085
OG0000114	HZK19_RS02310	FEF31_RS02075
OG0000115	HZK19_RS02300	FEF31_RS02065
OG0000116	HZK19_RS01265	FEF31_RS00955
OG0000117	HZK19_RS01270	FEF31_RS00960
OG0000118	HZK19_RS01305	FEF31_RS00995
OG0000119	HZK19_RS01310	FEF31_RS01000
OG0000120	HZK19_RS01325	FEF31_RS01020
OG0000121	HZK19_RS01350	FEF31_RS01045
OG0000122	HZK19_RS01355	FEF31_RS01050
OG0000123	HZK19_RS01375	FEF31_RS01070
OG0000124	HZK19_RS01380	FEF31_RS01075
