Orthogroup	MHP_ES2L_genes	MHP_MHP679_genes
OG0000536	HZK19_RS03590	DR086_RS02465
OG0000537	HZK19_RS00700	DR086_RS03060
OG0000538	HZK19_RS01100	DR086_RS01710
OG0000539	HZK19_RS00200	DR086_RS00080
OG0000540	HZK19_RS02605	DR086_RS00870
OG0000541	HZK19_RS02685	DR086_RS03000
OG0000542	HZK19_RS00335	DR086_RS00220
OG0000543	HZK19_RS01600, HZK19_RS03095	DR086_RS03960
OG0000544	HZK19_RS01215	DR086_RS04960
OG0000545	HZK19_RS01785	DR086_RS00685
OG0000546	HZK19_RS02755	DR086_RS04500
OG0000547	HZK19_RS02875	DR086_RS01120
OG0000548	HZK19_RS01560	DR086_RS03320
OG0000549	HZK19_RS03365	DR086_RS05015
OG0000550	HZK19_RS03510	DR086_RS01445
OG0000551	HZK19_RS02945	DR086_RS02920
OG0000552	HZK19_RS03180	DR086_RS01340
OG0000553	HZK19_RS02655	DR086_RS04995
OG0000554	HZK19_RS02360	DR086_RS03115
OG0000556	HZK19_RS03035	DR086_RS04800
OG0000557	HZK19_RS01230	DR086_RS02560
OG0000558	HZK19_RS01195	DR086_RS02530
OG0000559	HZK19_RS01670	DR086_RS01605
OG0000560	HZK19_RS01770	DR086_RS00670
OG0000561	HZK19_RS01085	DR086_RS01695
OG0000562	HZK19_RS01775	DR086_RS00675
OG0000563	HZK19_RS01760	DR086_RS00660
OG0000564	HZK19_RS03725	DR086_RS03420
OG0000565	HZK19_RS01835	DR086_RS03570
OG0000566	HZK19_RS01815	DR086_RS00815
OG0000567	HZK19_RS01790	DR086_RS00785
OG0000568	HZK19_RS00660	DR086_RS03020
OG0000569	HZK19_RS01200	DR086_RS02535
OG0000570	HZK19_RS01205	DR086_RS04955
OG0000571	HZK19_RS01210	DR086_RS02545
OG0000572	HZK19_RS01235	DR086_RS02570
OG0000573	HZK19_RS01665	DR086_RS01610
OG0000574	HZK19_RS01275	DR086_RS03400
OG0000575	HZK19_RS01185	DR086_RS02520
OG0000576	HZK19_RS01615	DR086_RS01655
OG0000577	HZK19_RS02625	DR086_RS00850
OG0000578	HZK19_RS02650	DR086_RS00830
OG0000579	HZK19_RS01750	DR086_RS00655
OG0000580	HZK19_RS02760	DR086_RS01005
OG0000581	HZK19_RS01735	DR086_RS00640
OG0000582	HZK19_RS01225	DR086_RS04965
OG0000583	HZK19_RS01655	DR086_RS01620
OG0000584	HZK19_RS03070	DR086_RS00715
OG0000585	HZK19_RS02180	DR086_RS02120
OG0000586	HZK19_RS01635	DR086_RS01635
OG0000587	HZK19_RS03875	DR086_RS05080
OG0000588	HZK19_RS01610	DR086_RS01660
OG0000589	HZK19_RS02120	DR086_RS03515
OG0000591	HZK19_RS03885	DR086_RS04045
OG0000592	HZK19_RS02615	DR086_RS00860
OG0000593	HZK19_RS03575	DR086_RS02450
OG0000594	HZK19_RS01190	DR086_RS02525
OG0000595	HZK19_RS02965	DR086_RS02900
OG0000597	HZK19_RS02960	DR086_RS02905
OG0000600	HZK19_RS03065	DR086_RS00720
OG0000601	HZK19_RS01765	DR086_RS00665
OG0000603	HZK19_RS03060	DR086_RS00735
OG0000605	HZK19_RS03055	DR086_RS00740, DR086_RS04115
OG0000606	HZK19_RS01740	DR086_RS00645
OG0000608	HZK19_RS01780	DR086_RS04790
OG0000614	HZK19_RS02140	DR086_RS03580
OG0000617	HZK19_RS01620	DR086_RS01650
OG0000618	HZK19_RS03330	DR086_RS02365
OG0000626	HZK19_RS03185	DR086_RS03955
OG0000665	HZK19_RS01050	DR086_RS02720
