Orthogroup	MHP_ES2L_genes	MHP_MHP679_genes
OG0000230	HZK19_RS01025	DR086_RS02695
OG0000231	HZK19_RS01035	DR086_RS02705
OG0000232	HZK19_RS01045	DR086_RS02715
OG0000233	HZK19_RS01070	DR086_RS01680
OG0000234	HZK19_RS01105	DR086_RS01715
OG0000235	HZK19_RS01115	DR086_RS01725
OG0000236	HZK19_RS01120	DR086_RS01730
OG0000237	HZK19_RS01125	DR086_RS01735
OG0000238	HZK19_RS01130	DR086_RS01745
OG0000239	HZK19_RS02905	DR086_RS02960
OG0000240	HZK19_RS02910	DR086_RS02955
OG0000241	HZK19_RS02920	DR086_RS02945
OG0000242	HZK19_RS02925	DR086_RS02940
OG0000243	HZK19_RS02930	DR086_RS02935
OG0000244	HZK19_RS02940	DR086_RS02925
OG0000245	HZK19_RS02950	DR086_RS02915
OG0000246	HZK19_RS00125	DR086_RS03275
OG0000247	HZK19_RS00135	DR086_RS00010
OG0000248	HZK19_RS00145	DR086_RS00020
OG0000249	HZK19_RS00150	DR086_RS00025
OG0000250	HZK19_RS00165	DR086_RS00040
OG0000251	HZK19_RS00195	DR086_RS00075
OG0000252	HZK19_RS00205	DR086_RS00085
OG0000253	HZK19_RS00210	DR086_RS00090
OG0000254	HZK19_RS00220	DR086_RS00100
OG0000255	HZK19_RS00225	DR086_RS00110
OG0000256	HZK19_RS00230	DR086_RS00115
OG0000257	HZK19_RS00255	DR086_RS00140
OG0000258	HZK19_RS00265	DR086_RS00150
OG0000259	HZK19_RS00295	DR086_RS00180
OG0000260	HZK19_RS00305	DR086_RS00190
OG0000261	HZK19_RS00315	DR086_RS04745
OG0000262	HZK19_RS00330	DR086_RS00215
OG0000263	HZK19_RS00345	DR086_RS00230
OG0000264	HZK19_RS00360	DR086_RS00245
OG0000265	HZK19_RS00370	DR086_RS00255
OG0000266	HZK19_RS00385	DR086_RS00270
OG0000267	HZK19_RS00400	DR086_RS00285
OG0000268	HZK19_RS00405	DR086_RS00290
OG0000269	HZK19_RS00420	DR086_RS00305
OG0000270	HZK19_RS03540	DR086_RS04945
OG0000271	HZK19_RS03535	DR086_RS02410
OG0000272	HZK19_RS03530	DR086_RS02405
OG0000273	HZK19_RS03525	DR086_RS02400
OG0000274	HZK19_RS03505	DR086_RS01450
OG0000275	HZK19_RS03500	DR086_RS04850
OG0000276	HZK19_RS03495	DR086_RS01460
OG0000277	HZK19_RS03485	DR086_RS01470
OG0000278	HZK19_RS03480	DR086_RS01475
OG0000279	HZK19_RS03470	DR086_RS01485
OG0000280	HZK19_RS03465	DR086_RS01490
OG0000281	HZK19_RS03460	DR086_RS01495
OG0000282	HZK19_RS03435	DR086_RS04860
OG0000283	HZK19_RS03430	DR086_RS01525
OG0000284	HZK19_RS03425	DR086_RS01530
OG0000285	HZK19_RS03420	DR086_RS04865
OG0000286	HZK19_RS02390	DR086_RS02220
OG0000287	HZK19_RS02485	DR086_RS00990
OG0000288	HZK19_RS02495	DR086_RS00980
OG0000289	HZK19_RS02500	DR086_RS00975
OG0000290	HZK19_RS02610	DR086_RS00865
OG0000291	HZK19_RS02600	DR086_RS00875
OG0000292	HZK19_RS02595	DR086_RS00880
OG0000293	HZK19_RS02590	DR086_RS00885
OG0000294	HZK19_RS02580	DR086_RS00895
OG0000295	HZK19_RS02575	DR086_RS00900
OG0000296	HZK19_RS02535	DR086_RS00940
OG0000297	HZK19_RS02530	DR086_RS00945
OG0000298	HZK19_RS00160	DR086_RS00035
OG0000299	HZK19_RS00180	DR086_RS00060
OG0000300	HZK19_RS00355	DR086_RS00240
OG0000301	HZK19_RS00390	DR086_RS00275
OG0000302	HZK19_RS00395	DR086_RS00280
OG0000303	HZK19_RS00550	DR086_RS02275
OG0000304	HZK19_RS01055	DR086_RS02725
OG0000305	HZK19_RS02845	DR086_RS01090
OG0000306	HZK19_RS02770	DR086_RS01015
OG0000307	HZK19_RS02735	DR086_RS03215
OG0000308	HZK19_RS02635	DR086_RS00845
OG0000309	HZK19_RS02565	DR086_RS00910
OG0000310	HZK19_RS02490	DR086_RS00985
OG0000311	HZK19_RS02450	DR086_RS02160
OG0000312	HZK19_RS02435	DR086_RS02175
OG0000313	HZK19_RS01565	DR086_RS03315
OG0000314	HZK19_RS01920	DR086_RS00455
OG0000315	HZK19_RS01950	DR086_RS00485
OG0000316	HZK19_RS01960	DR086_RS00495
OG0000317	HZK19_RS02055	DR086_RS00585
OG0000318	HZK19_RS01965	DR086_RS04760
OG0000319	HZK19_RS02200	DR086_RS02100
OG0000320	HZK19_RS02330	DR086_RS03145
OG0000321	HZK19_RS01300	DR086_RS02000
OG0000322	HZK19_RS01345	DR086_RS01955
OG0000323	HZK19_RS01475	DR086_RS01820
OG0000324	HZK19_RS02240	DR086_RS02060
OG0000325	HZK19_RS00675	DR086_RS03035
OG0000326	HZK19_RS00770	DR086_RS03370
OG0000327	HZK19_RS00775	DR086_RS03365
OG0000328	HZK19_RS00860	DR086_RS02855
OG0000329	HZK19_RS00880	DR086_RS02875
OG0000330	HZK19_RS01080	DR086_RS01690
OG0000331	HZK19_RS02935	DR086_RS02930
OG0000332	HZK19_RS03150	DR086_RS01370
OG0000333	HZK19_RS03160	DR086_RS01360
OG0000334	HZK19_RS03270	DR086_RS03540
OG0000335	HZK19_RS03280	DR086_RS02315
OG0000336	HZK19_RS03450	DR086_RS04855
OG0000337	HZK19_RS03620	DR086_RS01270
OG0000338	HZK19_RS03660	DR086_RS01230
OG0000339	HZK19_RS02305	DR086_RS03465
OG0000340	HZK19_RS01280	DR086_RS02020
OG0000341	HZK19_RS02260	DR086_RS02040
OG0000342	HZK19_RS00705	DR086_RS03065
OG0000343	HZK19_RS03170	DR086_RS01350
OG0000344	HZK19_RS00565	DR086_RS02290
OG0000345	HZK19_RS00995	DR086_RS02665
OG0000346	HZK19_RS03455	DR086_RS05090
OG0000347	HZK19_RS01370	DR086_RS01930
OG0000348	HZK19_RS00780	DR086_RS03360
OG0000349	HZK19_RS03515	DR086_RS04845
OG0000350	HZK19_RS02725	DR086_RS03205
OG0000351	HZK19_RS00480	DR086_RS00370
OG0000352	HZK19_RS01895	DR086_RS00435
OG0000353	HZK19_RS01340	DR086_RS01960
OG0000354	HZK19_RS00625	DR086_RS02760
OG0000355	HZK19_RS01870	DR086_RS04750
OG0000356	HZK19_RS01955	DR086_RS04755
OG0000357	HZK19_RS03130	DR086_RS04840
OG0000358	HZK19_RS03135	DR086_RS01385
OG0000359	HZK19_RS00750	DR086_RS05045
OG0000360	HZK19_RS00260	DR086_RS00145
OG0000361	HZK19_RS00290	DR086_RS00175
OG0000362	HZK19_RS02510	DR086_RS00965
OG0000363	HZK19_RS03730	DR086_RS04910
OG0000364	HZK19_RS03760	DR086_RS00380
OG0000365	HZK19_RS02000	DR086_RS00535
OG0000366	HZK19_RS02025	DR086_RS00555
OG0000367	HZK19_RS02035	DR086_RS00565
OG0000368	HZK19_RS00060	DR086_RS01165
OG0000369	HZK19_RS00025	DR086_RS04830
OG0000370	HZK19_RS00020	DR086_RS01205
OG0000371	HZK19_RS00015	DR086_RS01210
OG0000372	HZK19_RS00010	DR086_RS01215
OG0000373	HZK19_RS03650	DR086_RS01240
OG0000374	HZK19_RS03640	DR086_RS01250
OG0000375	HZK19_RS02195	DR086_RS02105
OG0000376	HZK19_RS02345	DR086_RS03130
OG0000377	HZK19_RS02335	DR086_RS03140
OG0000378	HZK19_RS01260	DR086_RS03415
OG0000379	HZK19_RS01335	DR086_RS01965
OG0000380	HZK19_RS01360	DR086_RS01940
OG0000381	HZK19_RS01400	DR086_RS01895
OG0000382	HZK19_RS01430	DR086_RS01865
OG0000383	HZK19_RS01470	DR086_RS01825
OG0000384	HZK19_RS00505	DR086_RS02230
OG0000385	HZK19_RS00510	DR086_RS02235
OG0000386	HZK19_RS00530	DR086_RS02255
OG0000387	HZK19_RS00555	DR086_RS02280
OG0000388	HZK19_RS00560	DR086_RS04925
OG0000389	HZK19_RS00605	DR086_RS02785
OG0000390	HZK19_RS02865	DR086_RS01110
OG0000391	HZK19_RS02855	DR086_RS01100
OG0000392	HZK19_RS02830	DR086_RS01075
OG0000393	HZK19_RS02775	DR086_RS04815
OG0000394	HZK19_RS02700	DR086_RS03645
OG0000395	HZK19_RS02695	DR086_RS03015
OG0000396	HZK19_RS02395	DR086_RS02215
OG0000397	HZK19_RS01880	DR086_RS00420
OG0000398	HZK19_RS01885	DR086_RS00425
OG0000399	HZK19_RS01935	DR086_RS00470
OG0000400	HZK19_RS03000	DR086_RS01425
OG0000401	HZK19_RS03155	DR086_RS01365
OG0000402	HZK19_RS03165	DR086_RS01355
OG0000403	HZK19_RS03175	DR086_RS01345
OG0000404	HZK19_RS03205	DR086_RS01315
OG0000405	HZK19_RS03220	DR086_RS01300
OG0000406	HZK19_RS03285	DR086_RS02320
OG0000407	HZK19_RS03290	DR086_RS04930
OG0000408	HZK19_RS03295	DR086_RS02330
OG0000409	HZK19_RS03300	DR086_RS02335
OG0000410	HZK19_RS03360	DR086_RS02395
OG0000411	HZK19_RS03350	DR086_RS02385
OG0000412	HZK19_RS03345	DR086_RS02380
OG0000413	HZK19_RS01485	DR086_RS01810
OG0000414	HZK19_RS01495	DR086_RS01800
OG0000415	HZK19_RS01500	DR086_RS01795
OG0000416	HZK19_RS01510	DR086_RS01785
OG0000417	HZK19_RS02255	DR086_RS02045
OG0000418	HZK19_RS02250	DR086_RS02050
OG0000419	HZK19_RS00685	DR086_RS03045
OG0000420	HZK19_RS00720	DR086_RS03080
OG0000421	HZK19_RS00755	DR086_RS03385
OG0000422	HZK19_RS00765	DR086_RS03375
OG0000423	HZK19_RS00820	DR086_RS02815
OG0000424	HZK19_RS00825	DR086_RS02820
OG0000425	HZK19_RS00835	DR086_RS02830
OG0000426	HZK19_RS00840	DR086_RS04980
OG0000427	HZK19_RS00865	DR086_RS04985
OG0000428	HZK19_RS00890	DR086_RS02885
OG0000429	HZK19_RS00985	DR086_RS02655
OG0000430	HZK19_RS01030	DR086_RS02700
OG0000431	HZK19_RS01040	DR086_RS02710
OG0000432	HZK19_RS01075	DR086_RS01685
OG0000433	HZK19_RS01090	DR086_RS01700
OG0000434	HZK19_RS01095	DR086_RS01705
OG0000435	HZK19_RS01110	DR086_RS01720
OG0000436	HZK19_RS01135	DR086_RS01750
OG0000437	HZK19_RS01145	DR086_RS01760
OG0000438	HZK19_RS01150	DR086_RS01765
OG0000439	HZK19_RS01155	DR086_RS01770
OG0000440	HZK19_RS02915	DR086_RS02950
OG0000441	HZK19_RS02955	DR086_RS02910
OG0000442	HZK19_RS00130	DR086_RS03280
OG0000443	HZK19_RS00175	DR086_RS00055
OG0000444	HZK19_RS00190	DR086_RS00070
OG0000445	HZK19_RS00215	DR086_RS00095
OG0000446	HZK19_RS00240	DR086_RS00125
OG0000447	HZK19_RS00245	DR086_RS00130
OG0000448	HZK19_RS00275	DR086_RS00160
OG0000449	HZK19_RS00300	DR086_RS00185
OG0000450	HZK19_RS00310	DR086_RS00195
OG0000451	HZK19_RS00350	DR086_RS00235
OG0000452	HZK19_RS00375	DR086_RS00260
OG0000453	HZK19_RS00410	DR086_RS00295
OG0000455	HZK19_RS03560	DR086_RS02435
OG0000456	HZK19_RS03440	DR086_RS01515
OG0000457	HZK19_RS03415	DR086_RS01540
OG0000458	HZK19_RS02480	DR086_RS03680
OG0000459	HZK19_RS02505	DR086_RS00970
