Orthogroup	MFC_Ms42_genes	MHP_ES2L_genes
OG0000121	MYF_RS01735	HZK19_RS01350
OG0000122	MYF_RS01740	HZK19_RS01355
OG0000123	MYF_RS01760	HZK19_RS01375
OG0000124	MYF_RS01765	HZK19_RS01380
OG0000125	MYF_RS01770	HZK19_RS01385
OG0000126	MYF_RS01780	HZK19_RS01395
OG0000127	MYF_RS01790	HZK19_RS01405
OG0000128	MYF_RS01805	HZK19_RS01420
OG0000129	MYF_RS01810	HZK19_RS01425
OG0000130	MYF_RS01820	HZK19_RS01435
OG0000131	MYF_RS01850	HZK19_RS01465
OG0000132	MYF_RS01865	HZK19_RS01480
OG0000133	MYF_RS00485	HZK19_RS00520
OG0000134	MYF_RS00490	HZK19_RS00525
OG0000135	MYF_RS00505	HZK19_RS00540
OG0000136	MYF_RS00510	HZK19_RS00545
OG0000137	MYF_RS00540	HZK19_RS00575
OG0000138	MYF_RS00565	HZK19_RS00610
OG0000139	MYF_RS00595	HZK19_RS00640
OG0000140	MYF_RS00600	HZK19_RS00645
OG0000141	MYF_RS00635	HZK19_RS02895
OG0000142	MYF_RS00640	HZK19_RS02890
OG0000143	MYF_RS00665	HZK19_RS02870
OG0000144	MYF_RS00675	HZK19_RS02860
OG0000145	MYF_RS00685	HZK19_RS02850
OG0000146	MYF_RS00695	HZK19_RS02840
OG0000147	MYF_RS00700	HZK19_RS02835
OG0000148	MYF_RS00715	HZK19_RS02820
OG0000149	MYF_RS00725	HZK19_RS02810
OG0000150	MYF_RS00740	HZK19_RS02795
OG0000151	MYF_RS00795	HZK19_RS02750
OG0000152	MYF_RS00800	HZK19_RS02745
OG0000153	MYF_RS00805	HZK19_RS02740
OG0000154	MYF_RS00815	HZK19_RS02730
OG0000155	MYF_RS00835	HZK19_RS02690
OG0000156	MYF_RS00855	HZK19_RS02680
OG0000157	MYF_RS00860	HZK19_RS02675
OG0000158	MYF_RS00870	HZK19_RS03895
OG0000159	MYF_RS01165	HZK19_RS03970
OG0000160	MYF_RS01170	HZK19_RS02425
OG0000161	MYF_RS01175	HZK19_RS02420
OG0000162	MYF_RS01185	HZK19_RS02410
OG0000163	MYF_RS01190	HZK19_RS02405
OG0000164	MYF_RS01220	HZK19_RS01575
OG0000165	MYF_RS01265	HZK19_RS01905
OG0000166	MYF_RS01285	HZK19_RS01925
OG0000167	MYF_RS01300	HZK19_RS01940
OG0000168	MYF_RS01305	HZK19_RS01945
OG0000169	MYF_RS02560	HZK19_RS02990
OG0000170	MYF_RS02585	HZK19_RS03005
OG0000171	MYF_RS02595	HZK19_RS03110
OG0000172	MYF_RS02600	HZK19_RS03115
OG0000173	MYF_RS02605	HZK19_RS03120
OG0000174	MYF_RS02610	HZK19_RS03125
OG0000175	MYF_RS02625	HZK19_RS03140
OG0000176	MYF_RS02670	HZK19_RS03190
OG0000177	MYF_RS02675	HZK19_RS03195
OG0000178	MYF_RS02680	HZK19_RS03200
OG0000179	MYF_RS02690	HZK19_RS03210
