Orthogroup	MHP_111A_genes	MHP_ES2_genes
OG0000554	NB623_RS02535	E5E95_RS02600
OG0000555	NB623_RS03080	E5E95_RS04170
OG0000556	NB623_RS01970	E5E95_RS02515
OG0000557	NB623_RS01385	E5E95_RS01280
OG0000558	NB623_RS01355	E5E95_RS01250
OG0000559	NB623_RS01825	E5E95_RS01810
OG0000560	NB623_RS02290	E5E95_RS01930
OG0000561	NB623_RS01240	E5E95_RS01125
OG0000562	NB623_RS02280	E5E95_RS01935
OG0000563	NB623_RS02295	E5E95_RS01920
OG0000564	NB623_RS01405	E5E95_RS03980
OG0000565	NB623_RS02220	E5E95_RS01985
OG0000566	NB623_RS02240	E5E95_RS01975
OG0000567	NB623_RS02265	E5E95_RS01950
OG0000568	NB623_RS00685	E5E95_RS00685
OG0000569	NB623_RS01360	E5E95_RS01255
OG0000570	NB623_RS01365	E5E95_RS01260
OG0000571	NB623_RS01370	E5E95_RS01265
OG0000572	NB623_RS01390	E5E95_RS01285
OG0000573	NB623_RS01820	E5E95_RS01805
OG0000574	NB623_RS01425	E5E95_RS01325
OG0000575	NB623_RS01350	E5E95_RS01240
OG0000576	NB623_RS01775	E5E95_RS01765
OG0000577	NB623_RS02825	E5E95_RS02860
OG0000578	NB623_RS02850	E5E95_RS02885
OG0000579	NB623_RS02305	E5E95_RS01900
OG0000580	NB623_RS02955	E5E95_RS04160
OG0000581	NB623_RS02310	E5E95_RS01885
OG0000582	NB623_RS01380	E5E95_RS03970
OG0000583	NB623_RS01810	E5E95_RS01795
OG0000584	NB623_RS01955	E5E95_RS02485, E5E95_RS01705
OG0000585	NB623_RS02350	E5E95_RS02325
OG0000586	NB623_RS01795	E5E95_RS01780
OG0000587	NB623_RS02215	E5E95_RS04030
OG0000588	NB623_RS01765	E5E95_RS01755
OG0000589	NB623_RS01010	E5E95_RS02260
OG0000590	NB623_RS01945	E5E95_RS04210, E5E95_RS01715, E5E95_RS02475
OG0000591	NB623_RS02200	E5E95_RS04205
OG0000592	NB623_RS02815	E5E95_RS02850
OG0000593	NB623_RS03720	E5E95_RS03745
OG0000596	NB623_RS01870	E5E95_RS01845
OG0000598	NB623_RS01875	E5E95_RS01850
OG0000599	NB623_RS01880	E5E95_RS01855
OG0000600	NB623_RS01960	E5E95_RS02490
OG0000603	NB623_RS01965	E5E95_RS02495
OG0000604	NB623_RS02965	E5E95_RS04220
OG0000607	NB623_RS01335	E5E95_RS03855
OG0000608	NB623_RS02275	E5E95_RS01940
OG0000609	NB623_RS02250	E5E95_RS03860
OG0000610	NB623_RS00675	E5E95_RS04190
OG0000612	NB623_RS01885	E5E95_RS04010
OG0000613	NB623_RS02205	E5E95_RS04035
OG0000614	NB623_RS00975	E5E95_RS02285
OG0000622	NB623_RS00960	E5E95_RS03960
