Orthogroup	MHP_111A_genes	MHP_ES2_genes
OG0000179	NB623_RS03330	E5E95_RS03380
OG0000180	NB623_RS03335	E5E95_RS03385
OG0000181	NB623_RS03375	E5E95_RS03435
OG0000182	NB623_RS03385	E5E95_RS03445
OG0000183	NB623_RS03420	E5E95_RS03480
OG0000184	NB623_RS03485	E5E95_RS03525
OG0000185	NB623_RS03475	E5E95_RS03510
OG0000186	NB623_RS01645	E5E95_RS01540
OG0000187	NB623_RS01660	E5E95_RS01555
OG0000188	NB623_RS01670	E5E95_RS01565
OG0000189	NB623_RS02445	E5E95_RS02415
OG0000190	NB623_RS02440	E5E95_RS02410
OG0000191	NB623_RS02415	E5E95_RS02390
OG0000192	NB623_RS01340	E5E95_RS01235
OG0000193	NB623_RS01325	E5E95_RS01225
OG0000194	NB623_RS00690	E5E95_RS00690
OG0000195	NB623_RS00695	E5E95_RS00695
OG0000196	NB623_RS00720	E5E95_RS00715
OG0000197	NB623_RS00730	E5E95_RS00720
OG0000198	NB623_RS00740	E5E95_RS00735
OG0000199	NB623_RS00745	E5E95_RS00740
OG0000200	NB623_RS00760	E5E95_RS00755
OG0000201	NB623_RS00770	E5E95_RS00765
OG0000202	NB623_RS00830	E5E95_RS00820
OG0000203	NB623_RS00835	E5E95_RS00825
OG0000204	NB623_RS00840	E5E95_RS00830
OG0000205	NB623_RS00845	E5E95_RS00835
OG0000206	NB623_RS00865	E5E95_RS00855
OG0000207	NB623_RS00880	E5E95_RS00870
OG0000208	NB623_RS00885	E5E95_RS00875
OG0000209	NB623_RS00890	E5E95_RS00880
OG0000210	NB623_RS00935	E5E95_RS00925
OG0000211	NB623_RS01070	E5E95_RS00955
OG0000212	NB623_RS01080	E5E95_RS00965
OG0000213	NB623_RS01085	E5E95_RS00970
OG0000214	NB623_RS01090	E5E95_RS00975
OG0000215	NB623_RS01095	E5E95_RS00980
OG0000216	NB623_RS01100	E5E95_RS00985
OG0000217	NB623_RS01105	E5E95_RS00995
OG0000218	NB623_RS01115	E5E95_RS01000
OG0000219	NB623_RS01120	E5E95_RS01005
OG0000220	NB623_RS01125	E5E95_RS01010
OG0000221	NB623_RS01130	E5E95_RS01015
OG0000222	NB623_RS01135	E5E95_RS01020
OG0000223	NB623_RS01140	E5E95_RS01025
OG0000224	NB623_RS01150	E5E95_RS01035
OG0000225	NB623_RS01160	E5E95_RS01045
OG0000226	NB623_RS01165	E5E95_RS01050
OG0000227	NB623_RS01170	E5E95_RS01055
OG0000228	NB623_RS01175	E5E95_RS04285
OG0000229	NB623_RS01180	E5E95_RS01065
OG0000230	NB623_RS01185	E5E95_RS01070
OG0000231	NB623_RS01195	E5E95_RS01080
OG0000232	NB623_RS01205	E5E95_RS01090
OG0000233	NB623_RS01225	E5E95_RS01110
OG0000234	NB623_RS01260	E5E95_RS01145
OG0000235	NB623_RS01270	E5E95_RS01155
OG0000236	NB623_RS01275	E5E95_RS01160
OG0000237	NB623_RS01280	E5E95_RS01165
OG0000238	NB623_RS01285	E5E95_RS01175
OG0000239	NB623_RS03105	E5E95_RS03145
OG0000240	NB623_RS03110	E5E95_RS03150
OG0000241	NB623_RS03120	E5E95_RS03160
OG0000242	NB623_RS03125	E5E95_RS03165
OG0000243	NB623_RS03130	E5E95_RS03170
OG0000244	NB623_RS03140	E5E95_RS03180
OG0000245	NB623_RS03145	E5E95_RS03190
OG0000246	NB623_RS00130	E5E95_RS00130
OG0000247	NB623_RS00140	E5E95_RS00140
OG0000248	NB623_RS00150	E5E95_RS00150
OG0000249	NB623_RS00155	E5E95_RS00155
OG0000250	NB623_RS00175	E5E95_RS00170
OG0000251	NB623_RS00205	E5E95_RS00205
OG0000252	NB623_RS00210	E5E95_RS00215
OG0000253	NB623_RS00215	E5E95_RS00220
OG0000254	NB623_RS00225	E5E95_RS00230
OG0000255	NB623_RS00230	E5E95_RS00240
OG0000256	NB623_RS00240	E5E95_RS00245
OG0000257	NB623_RS00260	E5E95_RS00270
OG0000258	NB623_RS00270	E5E95_RS00280
OG0000259	NB623_RS00300	E5E95_RS00310
OG0000260	NB623_RS00310	E5E95_RS00320
OG0000261	NB623_RS00320	E5E95_RS00330
OG0000262	NB623_RS00340	E5E95_RS00350
OG0000263	NB623_RS00350	E5E95_RS00360
OG0000264	NB623_RS00365	E5E95_RS00375
OG0000265	NB623_RS00375	E5E95_RS00385
OG0000266	NB623_RS00390	E5E95_RS00400
OG0000267	NB623_RS00405	E5E95_RS00415
OG0000268	NB623_RS00410	E5E95_RS00420
OG0000269	NB623_RS00425	E5E95_RS00435
OG0000270	NB623_RS03685	E5E95_RS03710
OG0000271	NB623_RS03675	E5E95_RS03705
OG0000272	NB623_RS03670	E5E95_RS03700
OG0000273	NB623_RS03665	E5E95_RS03695
OG0000274	NB623_RS03650	E5E95_RS03675
OG0000275	NB623_RS03640	E5E95_RS03670
OG0000276	NB623_RS03635	E5E95_RS03665
OG0000277	NB623_RS03625	E5E95_RS03655
OG0000278	NB623_RS03620	E5E95_RS03650
OG0000279	NB623_RS03615	E5E95_RS03640
OG0000280	NB623_RS03605	E5E95_RS03635
OG0000281	NB623_RS03600	E5E95_RS03630
OG0000282	NB623_RS03570, NB623_RS03575	E5E95_RS03605
OG0000283	NB623_RS03565	E5E95_RS03600
OG0000284	NB623_RS03560	E5E95_RS03595
OG0000285	NB623_RS03555	E5E95_RS03590
OG0000286	NB623_RS02575	E5E95_RS04305
OG0000287	NB623_RS02675	E5E95_RS02720
OG0000288	NB623_RS02685	E5E95_RS02730
OG0000289	NB623_RS02690	E5E95_RS02735
OG0000290	NB623_RS02810	E5E95_RS02845
OG0000291	NB623_RS02800	E5E95_RS02835
OG0000292	NB623_RS02795	E5E95_RS02830
OG0000293	NB623_RS02790	E5E95_RS02825
OG0000294	NB623_RS02780	E5E95_RS02815
OG0000295	NB623_RS02775	E5E95_RS02810
OG0000296	NB623_RS02730	E5E95_RS02770
OG0000297	NB623_RS02725	E5E95_RS02765
OG0000298	NB623_RS00165	E5E95_RS00165
OG0000299	NB623_RS00185	E5E95_RS00190
OG0000300	NB623_RS00360	E5E95_RS00370
OG0000301	NB623_RS00395	E5E95_RS00405
OG0000302	NB623_RS00400	E5E95_RS00410
OG0000303	NB623_RS00555	E5E95_RS00560
OG0000304	NB623_RS01210	E5E95_RS01095
OG0000305	NB623_RS03045	E5E95_RS03080
OG0000306	NB623_RS02970	E5E95_RS03005
OG0000307	NB623_RS02930	E5E95_RS02970
OG0000308	NB623_RS02835	E5E95_RS02875
OG0000309	NB623_RS02765	E5E95_RS02800
OG0000310	NB623_RS02680	E5E95_RS02725
OG0000311	NB623_RS02635	E5E95_RS02690
OG0000312	NB623_RS02620	E5E95_RS02675
OG0000313	NB623_RS01715	E5E95_RS01620
OG0000314	NB623_RS02140	E5E95_RS02075
OG0000315	NB623_RS02110	E5E95_RS02105
OG0000316	NB623_RS02100	E5E95_RS02115
OG0000317	NB623_RS02005	E5E95_RS02205
OG0000318	NB623_RS02095	E5E95_RS02120
OG0000319	NB623_RS02370	E5E95_RS02345
OG0000320	NB623_RS02500	E5E95_RS02570
OG0000321	NB623_RS01450	E5E95_RS01350
OG0000322	NB623_RS01500	E5E95_RS01395
OG0000323	NB623_RS01630	E5E95_RS01525
OG0000324	NB623_RS02410	E5E95_RS02385
OG0000325	NB623_RS00705	E5E95_RS00700
OG0000326	NB623_RS00805	E5E95_RS00795
OG0000327	NB623_RS00810	E5E95_RS00800
OG0000328	NB623_RS00895	E5E95_RS00885
OG0000329	NB623_RS00915	E5E95_RS00905
OG0000330	NB623_RS01235	E5E95_RS01120
OG0000331	NB623_RS03135	E5E95_RS03175
OG0000332	NB623_RS03270	E5E95_RS03320
OG0000333	NB623_RS03280	E5E95_RS03330
OG0000334	NB623_RS03380	E5E95_RS03440
OG0000335	NB623_RS03390	E5E95_RS03450
OG0000336	NB623_RS03590	E5E95_RS03620
OG0000337	NB623_RS03765	E5E95_RS03795
OG0000338	NB623_RS03805	E5E95_RS03835
OG0000339	NB623_RS02475	E5E95_RS02540
OG0000340	NB623_RS01430	E5E95_RS01330
OG0000341	NB623_RS02435	E5E95_RS02405
OG0000342	NB623_RS00735	E5E95_RS00730
OG0000343	NB623_RS03290	E5E95_RS03340
OG0000344	NB623_RS00570	E5E95_RS00575
OG0000345	NB623_RS01155	E5E95_RS01040
OG0000346	NB623_RS03595	E5E95_RS03625
OG0000347	NB623_RS01525	E5E95_RS01420
OG0000348	NB623_RS00815	E5E95_RS00805
OG0000349	NB623_RS03655	E5E95_RS03685
OG0000350	NB623_RS02920	E5E95_RS02960
OG0000351	NB623_RS00480	E5E95_RS00495
OG0000352	NB623_RS02160	E5E95_RS02050
OG0000353	NB623_RS01490	E5E95_RS01390
OG0000354	NB623_RS00630	E5E95_RS00635
OG0000355	NB623_RS02185	E5E95_RS02020
OG0000356	NB623_RS02105	E5E95_RS02110
OG0000357	NB623_RS03245	E5E95_RS03300
OG0000358	NB623_RS03250	E5E95_RS03305
OG0000359	NB623_RS00780	E5E95_RS00775
OG0000360	NB623_RS00265	E5E95_RS00275
OG0000361	NB623_RS00295	E5E95_RS00305
OG0000362	NB623_RS02705	E5E95_RS02745
OG0000363	NB623_RS01565	E5E95_RS03985
OG0000364	NB623_RS02210	E5E95_RS01995
OG0000365	NB623_RS02060	E5E95_RS02150
OG0000366	NB623_RS02035	E5E95_RS02175
OG0000367	NB623_RS02025	E5E95_RS02185
OG0000368	NB623_RS00060	E5E95_RS00060
OG0000369	NB623_RS00025	E5E95_RS00025
OG0000370	NB623_RS00020	E5E95_RS00020
OG0000371	NB623_RS00015	E5E95_RS00015
OG0000372	NB623_RS00010	E5E95_RS00010
OG0000373	NB623_RS03795	E5E95_RS03825
OG0000374	NB623_RS03785	E5E95_RS03815
OG0000375	NB623_RS02365	E5E95_RS02340
OG0000376	NB623_RS02515	E5E95_RS02585
OG0000377	NB623_RS02505	E5E95_RS02575
OG0000378	NB623_RS01410	E5E95_RS01310
OG0000379	NB623_RS01485	E5E95_RS01385
OG0000380	NB623_RS01515	E5E95_RS01410
OG0000381	NB623_RS01555	E5E95_RS01450
OG0000382	NB623_RS01585	E5E95_RS01480
OG0000383	NB623_RS01625	E5E95_RS01520
OG0000384	NB623_RS00510	E5E95_RS00515
OG0000385	NB623_RS00520	E5E95_RS00520
OG0000386	NB623_RS00535	E5E95_RS00540
OG0000387	NB623_RS00560	E5E95_RS00565
OG0000388	NB623_RS00565	E5E95_RS00570
OG0000389	NB623_RS00610	E5E95_RS00615
OG0000390	NB623_RS03065	E5E95_RS03100
OG0000391	NB623_RS03055	E5E95_RS03090
OG0000392	NB623_RS03030	E5E95_RS03065
OG0000393	NB623_RS02975	E5E95_RS03010
OG0000394	NB623_RS02895	E5E95_RS02940
OG0000395	NB623_RS02890	E5E95_RS02930
OG0000397	NB623_RS02175	E5E95_RS02035
OG0000398	NB623_RS02170	E5E95_RS02040
OG0000399	NB623_RS02125	E5E95_RS02090
OG0000400	NB623_RS03210	E5E95_RS03265
OG0000401	NB623_RS03275	E5E95_RS03325
OG0000402	NB623_RS03285	E5E95_RS03335
OG0000403	NB623_RS03295	E5E95_RS03345
OG0000404	NB623_RS03325	E5E95_RS03375
OG0000405	NB623_RS03340	E5E95_RS03390
OG0000406	NB623_RS03395	E5E95_RS03455
OG0000407	NB623_RS03400	E5E95_RS03460
OG0000408	NB623_RS03405	E5E95_RS03465
OG0000409	NB623_RS03410	E5E95_RS03470
OG0000410	NB623_RS03495	E5E95_RS03530
OG0000411	NB623_RS03480	E5E95_RS03520
OG0000413	NB623_RS01640	E5E95_RS01535
OG0000414	NB623_RS01650	E5E95_RS01545
OG0000415	NB623_RS01655	E5E95_RS01550
OG0000416	NB623_RS01665	E5E95_RS01560
OG0000417	NB623_RS02430	E5E95_RS02400
OG0000418	NB623_RS02420	E5E95_RS02395
OG0000419	NB623_RS00715	E5E95_RS00710
OG0000420	NB623_RS00750	E5E95_RS00745
OG0000421	NB623_RS00790	E5E95_RS00780
OG0000422	NB623_RS00800	E5E95_RS00790
OG0000423	NB623_RS00855	E5E95_RS00845
OG0000424	NB623_RS00860	E5E95_RS00850
OG0000425	NB623_RS00870	E5E95_RS00860
OG0000426	NB623_RS00875	E5E95_RS00865
OG0000427	NB623_RS00900	E5E95_RS00890
OG0000428	NB623_RS00925	E5E95_RS00915
OG0000429	NB623_RS01145	E5E95_RS01030
OG0000430	NB623_RS01190	E5E95_RS01075
OG0000431	NB623_RS01200	E5E95_RS01085
OG0000432	NB623_RS01230	E5E95_RS01115
OG0000433	NB623_RS01245	E5E95_RS01130
OG0000434	NB623_RS01255	E5E95_RS01135
OG0000435	NB623_RS01265	E5E95_RS01150
OG0000436	NB623_RS01290	E5E95_RS01180
OG0000437	NB623_RS01300	E5E95_RS01190
OG0000438	NB623_RS01305	E5E95_RS01195
OG0000439	NB623_RS01310	E5E95_RS01200
OG0000440	NB623_RS03115	E5E95_RS03155
OG0000441	NB623_RS03150	E5E95_RS03195
OG0000442	NB623_RS00135	E5E95_RS00135
OG0000443	NB623_RS00180	E5E95_RS00185
OG0000444	NB623_RS00195	E5E95_RS00200
OG0000445	NB623_RS00220	E5E95_RS00225
OG0000446	NB623_RS00245	E5E95_RS00255
OG0000447	NB623_RS00255	E5E95_RS00260
OG0000448	NB623_RS00280	E5E95_RS00290
OG0000449	NB623_RS00305	E5E95_RS00315
OG0000450	NB623_RS00315	E5E95_RS00325
OG0000451	NB623_RS00355	E5E95_RS00365
OG0000452	NB623_RS00380	E5E95_RS00390
OG0000453	NB623_RS00415	E5E95_RS00425
OG0000455	NB623_RS03705	E5E95_RS03730
OG0000456	NB623_RS03580	E5E95_RS03610
OG0000457	NB623_RS03545	E5E95_RS03585
OG0000458	NB623_RS02670	E5E95_RS02715
OG0000459	NB623_RS02700	E5E95_RS02740
OG0000460	NB623_RS02710	E5E95_RS02750
OG0000461	NB623_RS02755	E5E95_RS02795
OG0000462	NB623_RS02750	E5E95_RS02790
OG0000463	NB623_RS02745	E5E95_RS02785
OG0000464	NB623_RS02740	E5E95_RS02780
OG0000465	NB623_RS02735	E5E95_RS02775
OG0000466	NB623_RS00385	E5E95_RS00395
OG0000467	NB623_RS02845	E5E95_RS02880
OG0000468	NB623_RS02130	E5E95_RS02085
OG0000469	NB623_RS02070	E5E95_RS02145
OG0000470	NB623_RS00850	E5E95_RS03895
OG0000471	NB623_RS00930	E5E95_RS00920
OG0000472	NB623_RS03500	E5E95_RS03540
OG0000473	NB623_RS03690	E5E95_RS03715
OG0000474	NB623_RS03695	E5E95_RS03720
OG0000475	NB623_RS03700	E5E95_RS03725
OG0000476	NB623_RS01675	E5E95_RS01570
OG0000477	NB623_RS02785	E5E95_RS02820
OG0000478	NB623_RS03630	E5E95_RS03660
OG0000479	NB623_RS01445	E5E95_RS01345
OG0000480	NB623_RS02065	E5E95_RS03865
OG0000481	NB623_RS00825	E5E95_RS00815
OG0000482	NB623_RS01330	E5E95_RS01230
OG0000483	NB623_RS02020	E5E95_RS02190
OG0000484	NB623_RS00190	E5E95_RS00195
OG0000485	NB623_RS01295	E5E95_RS01185
OG0000486	NB623_RS02450	E5E95_RS02420
OG0000488	NB623_RS02055	E5E95_RS02160
OG0000490	NB623_RS03800	E5E95_RS03830
OG0000493	NB623_RS00575	E5E95_RS00580
OG0000494	NB623_RS00635	E5E95_RS00640
OG0000495	NB623_RS03005	E5E95_RS03035
OG0000496	NB623_RS02990	E5E95_RS03025
OG0000497	NB623_RS02985	E5E95_RS03020
OG0000500	NB623_RS02165	E5E95_RS02045
OG0000501	NB623_RS03220	E5E95_RS04280, E5E95_RS04275
OG0000502	NB623_RS01320	E5E95_RS01220
OG0000503	NB623_RS00765	E5E95_RS00760
OG0000504	NB623_RS00905	E5E95_RS00895
OG0000506	NB623_RS01075	E5E95_RS00960
OG0000509	NB623_RS00275	E5E95_RS00285
OG0000510	NB623_RS00285	E5E95_RS00295
OG0000511	NB623_RS00420	E5E95_RS00430
OG0000512	NB623_RS02715	E5E95_RS02755
OG0000514	NB623_RS03025	E5E95_RS03060
OG0000516	NB623_RS02090	E5E95_RS02130
OG0000517	NB623_RS00065	E5E95_RS00065
OG0000519	NB623_RS00795	E5E95_RS00785
OG0000520	NB623_RS00920	E5E95_RS00910
OG0000522	NB623_RS00290	E5E95_RS00300
OG0000523	NB623_RS03540	E5E95_RS03580
OG0000525	NB623_RS03505	E5E95_RS03545
OG0000526	NB623_RS02260	E5E95_RS04020
OG0000527	NB623_RS02315	E5E95_RS01880
OG0000528	NB623_RS02080	E5E95_RS02135
OG0000531	NB623_RS01520	E5E95_RS01415
OG0000532	NB623_RS01745	E5E95_RS01740
OG0000533	NB623_RS00595	E5E95_RS00600
OG0000534	NB623_RS00370	E5E95_RS00380
OG0000536	NB623_RS03735	E5E95_RS03765
OG0000540	NB623_RS02805	E5E95_RS02840
OG0000541	NB623_RS02880	E5E95_RS02920
OG0000543	NB623_RS01930	E5E95_RS02460
OG0000544	NB623_RS01375	E5E95_RS01270
OG0000545	NB623_RS02270	E5E95_RS01945
OG0000546	NB623_RS02950	E5E95_RS02990
OG0000552	NB623_RS03300	E5E95_RS03350
OG0000553	NB623_RS02855	E5E95_RS02890
