NZ_CP079799.1	+	1	1392
NZ_CP079799.1	+	1537	2673
NZ_CP079799.1	+	2779	4638
NZ_CP079799.1	+	4638	5096
NZ_CP079799.1	+	5110	6093
NZ_CP079799.1	+	6086	7057
NZ_CP079799.1	+	7160	7729
NZ_CP079799.1	+	7819	8820
NZ_CP079799.1	+	8989	11010
NZ_CP079799.1	+	11095	12102
NZ_CP079799.1	+	12105	12851
NZ_CP079799.1	+	12835	14439
NZ_CP079799.1	+	14444	14689
NZ_CP079799.1	+	14760	15623
NZ_CP079799.1	+	15630	16475
NZ_CP079799.1	-	16509	17591
NZ_CP079799.1	+	17738	18604
NZ_CP079799.1	+	18750	19364
NZ_CP079799.1	-	19556	19753
NZ_CP079799.1	-	20060	22336
NZ_CP079799.1	-	22529	24772
NZ_CP079799.1	-	24846	27173
NZ_CP079799.1	-	27160	27981
NZ_CP079799.1	-	28155	30437
NZ_CP079799.1	-	30548	32875
NZ_CP079799.1	-	32862	33665
NZ_CP079799.1	+	34044	34526
NZ_CP079799.1	+	34633	34926
NZ_CP079799.1	+	34919	36238
NZ_CP079799.1	+	36231	37631
NZ_CP079799.1	+	37868	38353
NZ_CP079799.1	-	38488	39081
NZ_CP079799.1	-	39059	41719
NZ_CP079799.1	-	41719	44259
NZ_CP079799.1	-	44252	46180
NZ_CP079799.1	+	46390	47400
NZ_CP079799.1	+	47499	49475
NZ_CP079799.1	-	49576	51660
NZ_CP079799.1	-	51666	51899
NZ_CP079799.1	-	51953	53374
NZ_CP079799.1	-	53496	54509
NZ_CP079799.1	+	54662	55471
NZ_CP079799.1	+	55473	56732
NZ_CP079799.1	+	56817	57188
NZ_CP079799.1	+	57192	58400
NZ_CP079799.1	+	58495	58827
NZ_CP079799.1	+	58872	60029
NZ_CP079799.1	+	60465	61193
NZ_CP079799.1	+	61221	61526
NZ_CP079799.1	+	61580	62134
NZ_CP079799.1	+	62147	62710
NZ_CP079799.1	+	62728	64251
NZ_CP079799.1	+	64280	65110
NZ_CP079799.1	+	65128	66543
NZ_CP079799.1	+	66530	66790
NZ_CP079799.1	+	66898	67383
NZ_CP079799.1	+	67599	68555
NZ_CP079799.1	+	68586	69497
NZ_CP079799.1	+	69582	70904
NZ_CP079799.1	+	70932	72299
NZ_CP079799.1	+	72292	74133
NZ_CP079799.1	+	74090	76183
NZ_CP079799.1	+	76190	76963
NZ_CP079799.1	+	76957	77787
NZ_CP079799.1	+	77805	79049
NZ_CP079799.1	+	79122	83822
NZ_CP079799.1	+	83936	86773
NZ_CP079799.1	-	86831	88381
NZ_CP079799.1	+	88499	88807
NZ_CP079799.1	+	88995	90797
NZ_CP079799.1	+	91008	92132
NZ_CP079799.1	+	92191	92880
NZ_CP079799.1	+	92898	94199
NZ_CP079799.1	+	94251	94523
NZ_CP079799.1	+	94526	94756
NZ_CP079799.1	+	94757	96553
NZ_CP079799.1	+	96624	97571
NZ_CP079799.1	-	97888	99972
NZ_CP079799.1	-	99985	100455
NZ_CP079799.1	-	100507	100926
NZ_CP079799.1	-	101057	101437
NZ_CP079799.1	-	101441	101953
NZ_CP079799.1	-	101944	102444
NZ_CP079799.1	+	102709	104055
NZ_CP079799.1	+	104270	105652
NZ_CP079799.1	-	105839	107122
NZ_CP079799.1	-	107127	107825
NZ_CP079799.1	-	108541	111501
NZ_CP079799.1	-	111812	111887
NZ_CP079799.1	-	111889	111964
NZ_CP079799.1	-	111967	112041
NZ_CP079799.1	-	112093	112183
NZ_CP079799.1	-	112188	112263
NZ_CP079799.1	-	112319	112395
NZ_CP079799.1	-	112400	112476
NZ_CP079799.1	-	112483	112559
NZ_CP079799.1	-	112641	112717
NZ_CP079799.1	+	112768	113586
NZ_CP079799.1	-	113870	115342
NZ_CP079799.1	-	115332	117413
NZ_CP079799.1	-	117986	118687
NZ_CP079799.1	-	118677	119036
NZ_CP079799.1	+	119038	119226
NZ_CP079799.1	+	119474	120190
NZ_CP079799.1	-	120570	123413
NZ_CP079799.1	-	123406	125865
NZ_CP079799.1	-	126063	126395
NZ_CP079799.1	+	126551	128116
NZ_CP079799.1	-	128139	128726
NZ_CP079799.1	+	128883	128956
NZ_CP079799.1	+	129100	129591
NZ_CP079799.1	+	130126	131112
NZ_CP079799.1	+	131249	132166
NZ_CP079799.1	+	132191	135634
NZ_CP079799.1	+	135643	138573
NZ_CP079799.1	-	138578	140656
NZ_CP079799.1	+	140838	141566
NZ_CP079799.1	+	141685	141951
NZ_CP079799.1	+	142082	142463
NZ_CP079799.1	-	142528	145437
NZ_CP079799.1	-	145672	146271
NZ_CP079799.1	-	146498	147799
NZ_CP079799.1	-	147949	149346
NZ_CP079799.1	-	149367	152483
NZ_CP079799.1	-	152752	154671
NZ_CP079799.1	-	155142	156110
NZ_CP079799.1	-	156172	156247
NZ_CP079799.1	-	156251	156336
NZ_CP079799.1	+	156563	157786
NZ_CP079799.1	+	157871	159460
NZ_CP079799.1	+	159473	159988
NZ_CP079799.1	+	160178	161302
NZ_CP079799.1	+	161302	162306
NZ_CP079799.1	-	162426	162501
NZ_CP079799.1	+	163136	164008
NZ_CP079799.1	+	163977	164678
NZ_CP079799.1	-	164843	165037
NZ_CP079799.1	-	165093	165446
NZ_CP079799.1	-	165491	165685
NZ_CP079799.1	-	165678	166331
NZ_CP079799.1	-	166561	167997
NZ_CP079799.1	-	168093	168884
NZ_CP079799.1	+	168959	169234
NZ_CP079799.1	-	169263	170333
NZ_CP079799.1	-	170385	171044
NZ_CP079799.1	+	171195	171494
NZ_CP079799.1	+	171503	171757
NZ_CP079799.1	-	172016	172840
NZ_CP079799.1	+	172970	173066
NZ_CP079799.1	+	173094	174197
NZ_CP079799.1	+	174415	175869
NZ_CP079799.1	+	175994	176941
NZ_CP079799.1	-	177203	177286
NZ_CP079799.1	+	177396	180188
NZ_CP079799.1	+	180233	181318
NZ_CP079799.1	+	181305	182021
NZ_CP079799.1	+	182082	183485
NZ_CP079799.1	+	183476	183883
NZ_CP079799.1	+	183876	184400
NZ_CP079799.1	+	184387	185145
NZ_CP079799.1	-	185153	185227
NZ_CP079799.1	+	185286	185891
NZ_CP079799.1	+	185875	186525
NZ_CP079799.1	+	186535	187347
NZ_CP079799.1	+	187363	188598
NZ_CP079799.1	+	188794	190191
NZ_CP079799.1	+	190267	190689
NZ_CP079799.1	-	190765	191415
NZ_CP079799.1	-	191396	192253
NZ_CP079799.1	-	192254	192847
NZ_CP079799.1	-	192828	193388
NZ_CP079799.1	-	193415	194095
NZ_CP079799.1	-	194575	195456
NZ_CP079799.1	-	195463	195858
NZ_CP079799.1	-	195858	196310
NZ_CP079799.1	-	196328	196711
NZ_CP079799.1	-	196683	198722
NZ_CP079799.1	+	198800	199996
NZ_CP079799.1	+	200218	200979
NZ_CP079799.1	+	200951	201412
NZ_CP079799.1	+	201413	202126
NZ_CP079799.1	+	202119	203264
NZ_CP079799.1	+	203257	203685
NZ_CP079799.1	+	203666	204388
NZ_CP079799.1	-	204598	204960
NZ_CP079799.1	-	204963	205961
NZ_CP079799.1	-	205968	206372
NZ_CP079799.1	-	206375	206788
NZ_CP079799.1	-	206934	207047
NZ_CP079799.1	-	207092	207319
NZ_CP079799.1	-	207320	208072
NZ_CP079799.1	-	208063	208701
NZ_CP079799.1	-	208747	210168
NZ_CP079799.1	-	210168	210611
NZ_CP079799.1	-	210724	211374
NZ_CP079799.1	-	211376	211741
NZ_CP079799.1	-	211744	212283
NZ_CP079799.1	-	212290	212685
NZ_CP079799.1	-	212691	212876
NZ_CP079799.1	-	212922	213467
NZ_CP079799.1	-	213471	213794
NZ_CP079799.1	-	213799	214167
NZ_CP079799.1	-	214169	214456
NZ_CP079799.1	-	214449	214814
NZ_CP079799.1	-	214822	215232
NZ_CP079799.1	-	215235	215918
NZ_CP079799.1	-	215918	216529
NZ_CP079799.1	-	216543	216815
NZ_CP079799.1	-	216815	217663
NZ_CP079799.1	-	217786	218289
NZ_CP079799.1	-	218293	218937
