Orthogroup	MHP_Ue273_genes	MHP_131B_genes
OG0000102	VQY17_RS01750	NB627_RS01835
OG0000103	VQY17_RS02220	NB627_RS02375
OG0000104	VQY17_RS02225	NB627_RS02380
OG0000105	VQY17_RS02240	NB627_RS02400
OG0000106	VQY17_RS02250	NB627_RS02405
OG0000107	VQY17_RS02260	NB627_RS02415
OG0000108	VQY17_RS02265	NB627_RS02420
OG0000109	VQY17_RS02270	NB627_RS02425
OG0000110	VQY17_RS02390	NB627_RS02555
OG0000111	VQY17_RS02385	NB627_RS02550
OG0000112	VQY17_RS02375	NB627_RS02540
OG0000113	VQY17_RS02355	NB627_RS02515
OG0000114	VQY17_RS02345	NB627_RS02510
OG0000115	VQY17_RS02335	NB627_RS02495
OG0000116	VQY17_RS01315	NB627_RS01420
OG0000117	VQY17_RS01320	NB627_RS01425
OG0000118	VQY17_RS01355	NB627_RS01460
OG0000119	VQY17_RS01360	NB627_RS01465
OG0000120	VQY17_RS01375	NB627_RS01485
OG0000121	VQY17_RS01405	NB627_RS01515
OG0000122	VQY17_RS01410	NB627_RS01520
OG0000123	VQY17_RS01430	NB627_RS01540
OG0000124	VQY17_RS01435	NB627_RS01545
OG0000125	VQY17_RS01440	NB627_RS01550
OG0000126	VQY17_RS01455	NB627_RS01560
OG0000127	VQY17_RS01460	NB627_RS01570
OG0000128	VQY17_RS01475	NB627_RS01585
OG0000129	VQY17_RS01480	NB627_RS01590
OG0000130	VQY17_RS01490	NB627_RS01600
OG0000131	VQY17_RS01520	NB627_RS01630
OG0000132	VQY17_RS01535	NB627_RS01645
OG0000133	VQY17_RS00530	NB627_RS00640
OG0000134	VQY17_RS00535	NB627_RS00645
OG0000135	VQY17_RS00550	NB627_RS00660
OG0000136	VQY17_RS00555	NB627_RS00665
OG0000137	VQY17_RS00595	NB627_RS00695
OG0000138	VQY17_RS00620	NB627_RS00730
OG0000139	VQY17_RS00650	NB627_RS00760
OG0000140	VQY17_RS00655	NB627_RS00765
OG0000141	VQY17_RS02915	NB627_RS03120
OG0000142	VQY17_RS02910	NB627_RS03115
OG0000143	VQY17_RS02885	NB627_RS03100
OG0000144	VQY17_RS02875	NB627_RS03085
OG0000145	VQY17_RS02865	NB627_RS03075
OG0000146	VQY17_RS02855	NB627_RS03065
OG0000147	VQY17_RS02850	NB627_RS03060
OG0000148	VQY17_RS02835	NB627_RS03045
OG0000149	VQY17_RS02825	NB627_RS03035
OG0000150	VQY17_RS02810	NB627_RS03025
OG0000151	VQY17_RS02760	NB627_RS02970
OG0000152	VQY17_RS02755	NB627_RS02965
OG0000153	VQY17_RS02750	NB627_RS02960
OG0000154	VQY17_RS02740	NB627_RS02950
OG0000155	VQY17_RS02705	NB627_RS02910
OG0000156	VQY17_RS02695	NB627_RS02905
OG0000157	VQY17_RS02690	NB627_RS02895
OG0000158	VQY17_RS02680	NB627_RS02885
OG0000159	VQY17_RS02460	NB627_RS02645
OG0000160	VQY17_RS02455	NB627_RS02640
OG0000161	VQY17_RS02450	NB627_RS02635
OG0000162	VQY17_RS02440	NB627_RS02625
OG0000163	VQY17_RS02435	NB627_RS02620
OG0000164	VQY17_RS01640	NB627_RS01735
OG0000165	VQY17_RS02015	NB627_RS02080
OG0000166	VQY17_RS02035	NB627_RS02100
OG0000167	VQY17_RS02050	NB627_RS02115
OG0000168	VQY17_RS02055	NB627_RS02120
OG0000169	VQY17_RS03035	NB627_RS03235
OG0000170	VQY17_RS03050	NB627_RS03255
OG0000171	VQY17_RS03060	NB627_RS03265
OG0000172	VQY17_RS03065	NB627_RS03270
OG0000173	VQY17_RS03070	NB627_RS03275
OG0000174	VQY17_RS03075	NB627_RS03280
OG0000175	VQY17_RS03090	NB627_RS03295
OG0000176	VQY17_RS03135	NB627_RS03350
OG0000177	VQY17_RS03140	NB627_RS03355
OG0000178	VQY17_RS03145	NB627_RS03365
OG0000179	VQY17_RS03155	NB627_RS03370
OG0000180	VQY17_RS03160	NB627_RS03375
OG0000181	VQY17_RS03210	NB627_RS03415
OG0000182	VQY17_RS03220	NB627_RS03425
OG0000183	VQY17_RS03255	NB627_RS03460
OG0000184	VQY17_RS03305	NB627_RS03505
OG0000185	VQY17_RS03290	NB627_RS03490
OG0000186	VQY17_RS01545	NB627_RS01655
OG0000187	VQY17_RS01560	NB627_RS01670
OG0000188	VQY17_RS01570	NB627_RS01680
OG0000189	VQY17_RS02305	NB627_RS02465
OG0000190	VQY17_RS02300	NB627_RS02460
OG0000191	VQY17_RS02280	NB627_RS02435
OG0000192	VQY17_RS01240	NB627_RS01335
OG0000193	VQY17_RS01230	NB627_RS01315
OG0000194	VQY17_RS00690	NB627_RS00800
OG0000195	VQY17_RS00695	NB627_RS00805
OG0000196	VQY17_RS00715	NB627_RS00830
OG0000197	VQY17_RS00720	NB627_RS00840
OG0000198	VQY17_RS00735	NB627_RS00850
OG0000199	VQY17_RS00740	NB627_RS00855
OG0000200	VQY17_RS00755	NB627_RS00875
OG0000201	VQY17_RS00765	NB627_RS00880
OG0000202	VQY17_RS00825	NB627_RS00940
OG0000203	VQY17_RS00830	NB627_RS00945
OG0000204	VQY17_RS00835	NB627_RS00950
OG0000205	VQY17_RS00840	NB627_RS00955
OG0000206	VQY17_RS00860	NB627_RS00975
OG0000207	VQY17_RS00875	NB627_RS00990
OG0000208	VQY17_RS00880	NB627_RS00995
OG0000209	VQY17_RS00885	NB627_RS01000
OG0000210	VQY17_RS00935	NB627_RS01045
OG0000211	VQY17_RS00970	NB627_RS01055
OG0000212	VQY17_RS00980	NB627_RS01065
OG0000213	VQY17_RS00985	NB627_RS01070
OG0000214	VQY17_RS00990	NB627_RS01075
OG0000215	VQY17_RS00995	NB627_RS01080
OG0000216	VQY17_RS01000	NB627_RS01085
OG0000217	VQY17_RS01005	NB627_RS01090
OG0000218	VQY17_RS01015	NB627_RS01100
OG0000219	VQY17_RS01020	NB627_RS01105
OG0000220	VQY17_RS01025	NB627_RS01110
OG0000221	VQY17_RS01030	NB627_RS01115
OG0000222	VQY17_RS01035	NB627_RS01120
OG0000223	VQY17_RS01040	NB627_RS01125
OG0000224	VQY17_RS01050	NB627_RS01135
OG0000225	VQY17_RS01060	NB627_RS01145
OG0000226	VQY17_RS01065	NB627_RS01150
OG0000227	VQY17_RS01070	NB627_RS01155
OG0000228	VQY17_RS01075	NB627_RS01160
OG0000229	VQY17_RS01080	NB627_RS01165
OG0000230	VQY17_RS01085	NB627_RS01170
OG0000231	VQY17_RS01095	NB627_RS01180
OG0000232	VQY17_RS01105	NB627_RS01190
OG0000233	VQY17_RS01125	NB627_RS01210
OG0000234	VQY17_RS01165	NB627_RS01245
OG0000235	VQY17_RS01175	NB627_RS01255
OG0000236	VQY17_RS01180	NB627_RS01260
OG0000237	VQY17_RS01185	NB627_RS01265
