Orthogroup	MHP_Ue273_genes	MHP_131B_genes
OG0000554	VQY17_RS02395	NB627_RS02565
OG0000557	VQY17_RS01285	NB627_RS01385
OG0000558	VQY17_RS01255	NB627_RS01345
OG0000559	VQY17_RS01745	NB627_RS01830
OG0000560	VQY17_RS01880	NB627_RS01940
OG0000561	VQY17_RS01140	NB627_RS01225
OG0000562	VQY17_RS01885	NB627_RS01945
OG0000563	VQY17_RS01870	NB627_RS01935
OG0000564	VQY17_RS01305	NB627_RS01410
OG0000565	VQY17_RS01945	NB627_RS02010
OG0000566	VQY17_RS01925	NB627_RS01990
OG0000567	VQY17_RS01900	NB627_RS01960
OG0000568	VQY17_RS00685	NB627_RS00795
OG0000569	VQY17_RS01260	NB627_RS01350
OG0000570	VQY17_RS01265	NB627_RS01355
OG0000571	VQY17_RS01270	NB627_RS01360
OG0000572	VQY17_RS01290	NB627_RS01390
OG0000573	VQY17_RS01740	NB627_RS01825
OG0000574	VQY17_RS01325	NB627_RS01430
OG0000576	VQY17_RS01690	NB627_RS01780
OG0000577	VQY17_RS02650	NB627_RS02850
OG0000578	VQY17_RS02670	NB627_RS02870
OG0000579	VQY17_RS01845	NB627_RS01920
OG0000580	VQY17_RS02770	NB627_RS02980
OG0000581	VQY17_RS01830	NB627_RS01915
OG0000582	VQY17_RS01280	NB627_RS01380
OG0000583	VQY17_RS01730	NB627_RS01815
OG0000585	VQY17_RS02215	NB627_RS02370
OG0000586	VQY17_RS01705	NB627_RS01800
OG0000587	VQY17_RS01950	NB627_RS02020
OG0000588	VQY17_RS01680	NB627_RS01770
OG0000591	VQY17_RS01970	NB627_RS02035
OG0000593	VQY17_RS03530	NB627_RS03730
OG0000594	VQY17_RS01250	NB627_RS01340
OG0000596	VQY17_RS01785	NB627_RS01870
OG0000598	VQY17_RS01790	NB627_RS01875
OG0000599	VQY17_RS01795	NB627_RS01880
OG0000604	VQY17_RS02780	NB627_RS02990
OG0000608	VQY17_RS01890	NB627_RS01950
OG0000610	VQY17_RS00675	NB627_RS00785
OG0000611	VQY17_RS00090	NB627_RS00095
OG0000612	VQY17_RS01800	NB627_RS01885
OG0000613	VQY17_RS01965	NB627_RS02030
OG0000622	VQY17_RS00950	NB627_RS02340
OG0000649	VQY17_RS01395	NB627_RS01505
