Orthogroup	MFC_ATCC27716_genes	MHP_UFV02_genes
OG0000165	MFC_RS01345	FEF31_RS01685
OG0000166	MFC_RS01365	FEF31_RS01705
OG0000167	MFC_RS01380	FEF31_RS01720
OG0000168	MFC_RS01385	FEF31_RS01725
OG0000169	MFC_RS01430	FEF31_RS03615
OG0000170	MFC_RS01455	FEF31_RS04785, FEF31_RS04795
OG0000171	MFC_RS01465	FEF31_RS03640
OG0000172	MFC_RS01470	FEF31_RS03645
OG0000173	MFC_RS01475	FEF31_RS03650
OG0000174	MFC_RS01480	FEF31_RS03655
OG0000175	MFC_RS01495	FEF31_RS03670
OG0000176	MFC_RS01540	FEF31_RS03715
OG0000177	MFC_RS01545	FEF31_RS03720
OG0000178	MFC_RS01550	FEF31_RS03725
OG0000179	MFC_RS01560	FEF31_RS03735
OG0000180	MFC_RS01565	FEF31_RS03740
OG0000181	MFC_RS01580	FEF31_RS04690
OG0000182	MFC_RS01590	FEF31_RS03795
OG0000183	MFC_RS01625	FEF31_RS03830
OG0000184	MFC_RS01655	FEF31_RS02980
OG0000185	MFC_RS01670	FEF31_RS02965
OG0000186	MFC_RS01710	FEF31_RS04435
OG0000187	MFC_RS01725	FEF31_RS01200
OG0000188	MFC_RS01735	FEF31_RS01210
OG0000189	MFC_RS03385	FEF31_RS04520
OG0000190	MFC_RS01750	FEF31_RS02035
OG0000191	MFC_RS01770	FEF31_RS02015
OG0000192	MFC_RS01780	FEF31_RS00875
OG0000193	MFC_RS01795	FEF31_RS00860
OG0000194	MFC_RS01805	FEF31_RS00345
OG0000195	MFC_RS01810	FEF31_RS00350
OG0000196	MFC_RS01830	FEF31_RS00370
OG0000197	MFC_RS01835	FEF31_RS00375
OG0000198	MFC_RS01850	FEF31_RS00390
OG0000199	MFC_RS01855	FEF31_RS00395
OG0000200	MFC_RS01865	FEF31_RS00410
OG0000201	MFC_RS01875	FEF31_RS00420
OG0000202	MFC_RS01930	FEF31_RS00475
OG0000203	MFC_RS01935	FEF31_RS00480
OG0000204	MFC_RS01940	FEF31_RS00485
OG0000205	MFC_RS01945	FEF31_RS00490
OG0000206	MFC_RS01965	FEF31_RS00510
OG0000207	MFC_RS01980	FEF31_RS00525
OG0000208	MFC_RS01985	FEF31_RS00530
OG0000209	MFC_RS01990	FEF31_RS00535
OG0000210	MFC_RS02040	FEF31_RS00580
OG0000211	MFC_RS02050	FEF31_RS00590
OG0000212	MFC_RS02060	FEF31_RS00600
OG0000213	MFC_RS02065	FEF31_RS00605
OG0000214	MFC_RS02070	FEF31_RS00610
OG0000215	MFC_RS02075	FEF31_RS00615
OG0000216	MFC_RS02080	FEF31_RS00620
OG0000217	MFC_RS02085	FEF31_RS00625
OG0000218	MFC_RS02095	FEF31_RS00635
OG0000219	MFC_RS02100	FEF31_RS00640
OG0000220	MFC_RS02105	FEF31_RS00645
OG0000221	MFC_RS02110	FEF31_RS00650
OG0000222	MFC_RS03235	FEF31_RS00655
OG0000223	MFC_RS02115	FEF31_RS00660
OG0000224	MFC_RS02125	FEF31_RS00670
OG0000225	MFC_RS02135	FEF31_RS00680
OG0000226	MFC_RS02140	FEF31_RS00685
OG0000227	MFC_RS02145	FEF31_RS00690
OG0000228	MFC_RS03530	FEF31_RS04770
OG0000229	MFC_RS02155	FEF31_RS00700
OG0000230	MFC_RS02160	FEF31_RS00705
OG0000231	MFC_RS02170	FEF31_RS00715
OG0000232	MFC_RS02180	FEF31_RS00725
OG0000233	MFC_RS02190	FEF31_RS00750
OG0000234	MFC_RS02220	FEF31_RS00785
OG0000235	MFC_RS02230	FEF31_RS00795
OG0000236	MFC_RS02235	FEF31_RS00800
OG0000237	MFC_RS02250	FEF31_RS00805
OG0000238	MFC_RS02255	FEF31_RS00810
OG0000239	MFC_RS02285	FEF31_RS02680
OG0000240	MFC_RS02290	FEF31_RS02685
OG0000241	MFC_RS02300	FEF31_RS02695
OG0000242	MFC_RS02305	FEF31_RS02700
OG0000243	MFC_RS02310	FEF31_RS02705
OG0000244	MFC_RS02320	FEF31_RS02715
OG0000245	MFC_RS02330	FEF31_RS02720
OG0000246	MFC_RS02345	FEF31_RS03410
OG0000247	MFC_RS02355	FEF31_RS03420
OG0000248	MFC_RS02380	FEF31_RS03430
OG0000249	MFC_RS02385	FEF31_RS03435
OG0000250	MFC_RS02400	FEF31_RS03450
OG0000251	MFC_RS02430	FEF31_RS03480
OG0000252	MFC_RS02440	FEF31_RS03490
OG0000253	MFC_RS02445	FEF31_RS03495
OG0000254	MFC_RS02455	FEF31_RS03505
OG0000255	MFC_RS02465	FEF31_RS03510
OG0000256	MFC_RS02470	FEF31_RS03515
OG0000257	MFC_RS02495	FEF31_RS03540
OG0000258	MFC_RS02505	FEF31_RS03550
OG0000259	MFC_RS02535	FEF31_RS03580
OG0000260	MFC_RS02545	FEF31_RS03590
OG0000261	MFC_RS02555	FEF31_RS04680
OG0000262	MFC_RS02570	FEF31_RS00010
OG0000263	MFC_RS02585	FEF31_RS00025
OG0000264	MFC_RS02600	FEF31_RS00040
OG0000265	MFC_RS02610	FEF31_RS00050
OG0000266	MFC_RS02625	FEF31_RS00065
OG0000267	MFC_RS02640	FEF31_RS00080
OG0000268	MFC_RS02645	FEF31_RS00085
