Orthogroup	MFC_ATCC27716_genes	MFC_MF22_genes
OG0000148	MFC_RS01035	DR094_RS00395
OG0000149	MFC_RS01045	DR094_RS00385
OG0000150	MFC_RS01060	DR094_RS00370
OG0000151	MFC_RS01115	DR094_RS00315
OG0000152	MFC_RS01120	DR094_RS00310
OG0000153	MFC_RS01125	DR094_RS00305
OG0000154	MFC_RS01135	DR094_RS00295
OG0000155	MFC_RS01155	DR094_RS00275
OG0000156	MFC_RS01175	DR094_RS00260
OG0000157	MFC_RS01180	DR094_RS03545
OG0000158	MFC_RS01190	DR094_RS03540
OG0000159	MFC_RS01245	DR094_RS00020
OG0000160	MFC_RS01250	DR094_RS00015
OG0000161	MFC_RS01255	DR094_RS00010
OG0000162	MFC_RS01265	DR094_RS02560
OG0000163	MFC_RS01270	DR094_RS02565
OG0000164	MFC_RS01300	DR094_RS03770
OG0000165	MFC_RS01345	DR094_RS02890
OG0000166	MFC_RS01365	DR094_RS02910
OG0000167	MFC_RS01380	DR094_RS02925
OG0000168	MFC_RS01385	DR094_RS02930
OG0000169	MFC_RS01430	DR094_RS01830
OG0000170	MFC_RS01455	DR094_RS01845
OG0000171	MFC_RS01465	DR094_RS01855
OG0000172	MFC_RS01470	DR094_RS01860
OG0000173	MFC_RS01475	DR094_RS01865
OG0000174	MFC_RS01480	DR094_RS01870
OG0000175	MFC_RS01495	DR094_RS01885
OG0000176	MFC_RS01540	DR094_RS01925
OG0000177	MFC_RS01545	DR094_RS01930
OG0000178	MFC_RS01550	DR094_RS01935
OG0000179	MFC_RS01560	DR094_RS01945
OG0000180	MFC_RS01565	DR094_RS01950
OG0000181	MFC_RS01580	DR094_RS03710
OG0000182	MFC_RS01590	DR094_RS01975
OG0000183	MFC_RS01625	DR094_RS02010
OG0000184	MFC_RS01655	DR094_RS02865
OG0000185	MFC_RS01670	DR094_RS02880
OG0000186	MFC_RS01710	DR094_RS02535
OG0000187	MFC_RS01725	DR094_RS02520
OG0000188	MFC_RS01735	DR094_RS02510
OG0000189	MFC_RS03385	DR094_RS03755
OG0000190	MFC_RS01750	DR094_RS02495
OG0000191	MFC_RS01770	DR094_RS02475
OG0000192	MFC_RS01780	DR094_RS02465
OG0000193	MFC_RS01795	DR094_RS02450
OG0000194	MFC_RS01805	DR094_RS02440
OG0000195	MFC_RS01810	DR094_RS02435
OG0000196	MFC_RS01830	DR094_RS03750
OG0000197	MFC_RS01835	DR094_RS02410
OG0000198	MFC_RS01850	DR094_RS02395
OG0000199	MFC_RS01855	DR094_RS02390
OG0000200	MFC_RS01865	DR094_RS02375
OG0000201	MFC_RS01875	DR094_RS02365
OG0000202	MFC_RS01930	DR094_RS02310
OG0000203	MFC_RS01935	DR094_RS02305
OG0000204	MFC_RS01940	DR094_RS03670
OG0000205	MFC_RS01945	DR094_RS01420
OG0000206	MFC_RS01965	DR094_RS01440
OG0000207	MFC_RS01980	DR094_RS01455
OG0000208	MFC_RS01985	DR094_RS01460
OG0000209	MFC_RS01990	DR094_RS01465
OG0000210	MFC_RS02040	DR094_RS01510
OG0000211	MFC_RS02050	DR094_RS01520
OG0000212	MFC_RS02060	DR094_RS01530
OG0000213	MFC_RS02065	DR094_RS01535
OG0000214	MFC_RS02070	DR094_RS01540
