Orthogroup	MFC_ATCC27716_genes	MHP_111A_genes
OG0000155	MFC_RS01155	NB623_RS02885
OG0000156	MFC_RS01175	NB623_RS02875
OG0000157	MFC_RS01180	NB623_RS02870
OG0000158	MFC_RS01190	NB623_RS02860
OG0000159	MFC_RS01245	NB623_RS02615
OG0000160	MFC_RS01250	NB623_RS02610
OG0000161	MFC_RS01255	NB623_RS02605
OG0000162	MFC_RS01265	NB623_RS02595
OG0000163	MFC_RS01270	NB623_RS02590
OG0000164	MFC_RS01300	NB623_RS01725
OG0000165	MFC_RS01345	NB623_RS02155
OG0000166	MFC_RS01365	NB623_RS02135
OG0000167	MFC_RS01380	NB623_RS02120
OG0000168	MFC_RS01385	NB623_RS02115
OG0000169	MFC_RS01430	NB623_RS03200
OG0000170	MFC_RS01455	NB623_RS03215
OG0000171	MFC_RS01465	NB623_RS03225
OG0000172	MFC_RS01470	NB623_RS03230
OG0000173	MFC_RS01475	NB623_RS03235
OG0000174	MFC_RS01480	NB623_RS03240
OG0000175	MFC_RS01495	NB623_RS03265
OG0000176	MFC_RS01540	NB623_RS03310
OG0000177	MFC_RS01545	NB623_RS03315
OG0000178	MFC_RS01550	NB623_RS03320
OG0000179	MFC_RS01560	NB623_RS03330
OG0000180	MFC_RS01565	NB623_RS03335
OG0000181	MFC_RS01580	NB623_RS03375
OG0000182	MFC_RS01590	NB623_RS03385
OG0000183	MFC_RS01625	NB623_RS03420
OG0000184	MFC_RS01655	NB623_RS03485
OG0000185	MFC_RS01670	NB623_RS03475
OG0000186	MFC_RS01710	NB623_RS01645
OG0000187	MFC_RS01725	NB623_RS01660
OG0000188	MFC_RS01735	NB623_RS01670
OG0000189	MFC_RS03385	NB623_RS02445
OG0000190	MFC_RS01750	NB623_RS02440
OG0000191	MFC_RS01770	NB623_RS02415
OG0000192	MFC_RS01780	NB623_RS01340
OG0000193	MFC_RS01795	NB623_RS01325
OG0000194	MFC_RS01805	NB623_RS00690
OG0000195	MFC_RS01810	NB623_RS00695
OG0000196	MFC_RS01830	NB623_RS00720
OG0000197	MFC_RS01835	NB623_RS00730
OG0000198	MFC_RS01850	NB623_RS00740
OG0000199	MFC_RS01855	NB623_RS00745
OG0000200	MFC_RS01865	NB623_RS00760
OG0000201	MFC_RS01875	NB623_RS00770
OG0000202	MFC_RS01930	NB623_RS00830
OG0000203	MFC_RS01935	NB623_RS00835
OG0000204	MFC_RS01940	NB623_RS00840
OG0000205	MFC_RS01945	NB623_RS00845
OG0000206	MFC_RS01965	NB623_RS00865
OG0000207	MFC_RS01980	NB623_RS00880
OG0000208	MFC_RS01985	NB623_RS00885
OG0000209	MFC_RS01990	NB623_RS00890
OG0000210	MFC_RS02040	NB623_RS00935
OG0000211	MFC_RS02050	NB623_RS01070
OG0000212	MFC_RS02060	NB623_RS01080
OG0000213	MFC_RS02065	NB623_RS01085
OG0000214	MFC_RS02070	NB623_RS01090
OG0000215	MFC_RS02075	NB623_RS01095
OG0000216	MFC_RS02080	NB623_RS01100
OG0000217	MFC_RS02085	NB623_RS01105
OG0000218	MFC_RS02095	NB623_RS01115
OG0000219	MFC_RS02100	NB623_RS01120
OG0000220	MFC_RS02105	NB623_RS01125
OG0000221	MFC_RS02110	NB623_RS01130
OG0000222	MFC_RS03235	NB623_RS01135
OG0000223	MFC_RS02115	NB623_RS01140
OG0000224	MFC_RS02125	NB623_RS01150
OG0000225	MFC_RS02135	NB623_RS01160
OG0000226	MFC_RS02140	NB623_RS01165
OG0000227	MFC_RS02145	NB623_RS01170
OG0000228	MFC_RS03530	NB623_RS01175
OG0000229	MFC_RS02155	NB623_RS01180
OG0000230	MFC_RS02160	NB623_RS01185
OG0000231	MFC_RS02170	NB623_RS01195
OG0000232	MFC_RS02180	NB623_RS01205
OG0000233	MFC_RS02190	NB623_RS01225
OG0000234	MFC_RS02220	NB623_RS01260
OG0000235	MFC_RS02230	NB623_RS01270
OG0000236	MFC_RS02235	NB623_RS01275
OG0000237	MFC_RS02250	NB623_RS01280
OG0000238	MFC_RS02255	NB623_RS01285
OG0000239	MFC_RS02285	NB623_RS03105
OG0000240	MFC_RS02290	NB623_RS03110
OG0000241	MFC_RS02300	NB623_RS03120
OG0000242	MFC_RS02305	NB623_RS03125
OG0000243	MFC_RS02310	NB623_RS03130
OG0000244	MFC_RS02320	NB623_RS03140
OG0000245	MFC_RS02330	NB623_RS03145
OG0000246	MFC_RS02345	NB623_RS00130
OG0000247	MFC_RS02355	NB623_RS00140
OG0000248	MFC_RS02380	NB623_RS00150
OG0000249	MFC_RS02385	NB623_RS00155
OG0000250	MFC_RS02400	NB623_RS00175
OG0000251	MFC_RS02430	NB623_RS00205
OG0000252	MFC_RS02440	NB623_RS00210
OG0000253	MFC_RS02445	NB623_RS00215
OG0000254	MFC_RS02455	NB623_RS00225
OG0000255	MFC_RS02465	NB623_RS00230
OG0000256	MFC_RS02470	NB623_RS00240
OG0000257	MFC_RS02495	NB623_RS00260
OG0000258	MFC_RS02505	NB623_RS00270
OG0000259	MFC_RS02535	NB623_RS00300
OG0000260	MFC_RS02545	NB623_RS00310
OG0000261	MFC_RS02555	NB623_RS00320
OG0000262	MFC_RS02570	NB623_RS00340
OG0000263	MFC_RS02585	NB623_RS00350
OG0000264	MFC_RS02600	NB623_RS00365
OG0000265	MFC_RS02610	NB623_RS00375
OG0000266	MFC_RS02625	NB623_RS00390
OG0000267	MFC_RS02640	NB623_RS00405
OG0000268	MFC_RS02645	NB623_RS00410
OG0000269	MFC_RS02660	NB623_RS00425
OG0000270	MFC_RS02720	NB623_RS03685
OG0000271	MFC_RS02725	NB623_RS03675
OG0000272	MFC_RS02730	NB623_RS03670
OG0000273	MFC_RS02735	NB623_RS03665
OG0000274	MFC_RS02755	NB623_RS03650
OG0000275	MFC_RS03455	NB623_RS03640
OG0000276	MFC_RS02765	NB623_RS03635
OG0000277	MFC_RS02775	NB623_RS03625
OG0000278	MFC_RS02780	NB623_RS03620
OG0000279	MFC_RS02790	NB623_RS03615
OG0000280	MFC_RS02795	NB623_RS03605
OG0000281	MFC_RS03255	NB623_RS03600
OG0000282	MFC_RS02820	NB623_RS03570
OG0000283	MFC_RS02825	NB623_RS03565
OG0000284	MFC_RS02830	NB623_RS03560
OG0000285	MFC_RS02835	NB623_RS03555
OG0000286	MFC_RS02865	NB623_RS02575
OG0000287	MFC_RS02890	NB623_RS02675
OG0000288	MFC_RS02900	NB623_RS02685
OG0000289	MFC_RS02905	NB623_RS02690
OG0000290	MFC_RS03030	NB623_RS02810
OG0000291	MFC_RS03040	NB623_RS02800
OG0000292	MFC_RS03045	NB623_RS02795
OG0000293	MFC_RS03050	NB623_RS02790
OG0000294	MFC_RS03060	NB623_RS02780
OG0000295	MFC_RS03065	NB623_RS02775
OG0000296	MFC_RS03110	NB623_RS02730
OG0000297	MFC_RS03115	NB623_RS02725
OG0000298	MFC_RS02395	NB623_RS00165
OG0000299	MFC_RS02415	NB623_RS00185
OG0000300	MFC_RS02595	NB623_RS00360
OG0000301	MFC_RS02630	NB623_RS00395
OG0000302	MFC_RS02635	NB623_RS00400
OG0000303	MFC_RS00835	NB623_RS00555
OG0000304	MFC_RS00865	NB623_RS01210
OG0000305	MFC_RS01010	NB623_RS03045
OG0000306	MFC_RS01090	NB623_RS02970
OG0000307	MFC_RS01130	NB623_RS02930
OG0000308	MFC_RS03020	NB623_RS02835
OG0000309	MFC_RS03075	NB623_RS02765
OG0000310	MFC_RS02895	NB623_RS02680
OG0000311	MFC_RS01220	NB623_RS02635
OG0000312	MFC_RS01240	NB623_RS02620
OG0000313	MFC_RS01290	NB623_RS01715
OG0000314	MFC_RS01360	NB623_RS02140
OG0000315	MFC_RS01390	NB623_RS02110
OG0000316	MFC_RS01400	NB623_RS02100
OG0000317	MFC_RS00110	NB623_RS02005
OG0000318	MFC_RS00020	NB623_RS02095
OG0000319	MFC_RS00420	NB623_RS02370
OG0000320	MFC_RS00485	NB623_RS02500
