Orthogroup	MFC_ATCC27716_genes	MHP_ES2L_genes
OG0000196	MFC_RS01830	HZK19_RS00690
OG0000197	MFC_RS01835	HZK19_RS00695
OG0000198	MFC_RS01850	HZK19_RS00710
OG0000199	MFC_RS01855	HZK19_RS00715
OG0000200	MFC_RS01865	HZK19_RS00730
OG0000201	MFC_RS01875	HZK19_RS00740
OG0000202	MFC_RS01930	HZK19_RS00795
OG0000203	MFC_RS01935	HZK19_RS00800
OG0000204	MFC_RS01940	HZK19_RS00805
OG0000205	MFC_RS01945	HZK19_RS00810
OG0000206	MFC_RS01965	HZK19_RS00830
OG0000207	MFC_RS01980	HZK19_RS00845
OG0000208	MFC_RS01985	HZK19_RS00850
OG0000209	MFC_RS01990	HZK19_RS00855
OG0000210	MFC_RS02040	HZK19_RS00900
OG0000211	MFC_RS02050	HZK19_RS00910
OG0000212	MFC_RS02060	HZK19_RS00920
OG0000213	MFC_RS02065	HZK19_RS00925
OG0000214	MFC_RS02070	HZK19_RS00930
OG0000215	MFC_RS02075	HZK19_RS00935
OG0000216	MFC_RS02080	HZK19_RS00940
OG0000217	MFC_RS02085	HZK19_RS00945
OG0000218	MFC_RS02095	HZK19_RS00955
OG0000219	MFC_RS02100	HZK19_RS00960
OG0000220	MFC_RS02105	HZK19_RS00965
OG0000221	MFC_RS02110	HZK19_RS00970
OG0000222	MFC_RS03235	HZK19_RS00975
OG0000223	MFC_RS02115	HZK19_RS00980
OG0000224	MFC_RS02125	HZK19_RS00990
OG0000225	MFC_RS02135	HZK19_RS01000
OG0000226	MFC_RS02140	HZK19_RS01005
OG0000227	MFC_RS02145	HZK19_RS01010
OG0000228	MFC_RS03530	HZK19_RS03950
OG0000229	MFC_RS02155	HZK19_RS01020
OG0000230	MFC_RS02160	HZK19_RS01025
OG0000231	MFC_RS02170	HZK19_RS01035
OG0000232	MFC_RS02180	HZK19_RS01045
OG0000233	MFC_RS02190	HZK19_RS01070
OG0000234	MFC_RS02220	HZK19_RS01105
OG0000235	MFC_RS02230	HZK19_RS01115
OG0000236	MFC_RS02235	HZK19_RS01120
OG0000237	MFC_RS02250	HZK19_RS01125
OG0000238	MFC_RS02255	HZK19_RS01130
OG0000239	MFC_RS02285	HZK19_RS02905
OG0000240	MFC_RS02290	HZK19_RS02910
OG0000241	MFC_RS02300	HZK19_RS02920
OG0000242	MFC_RS02305	HZK19_RS02925
