Orthogroup	MHP_LH_genes	MHP_154B_genes
OG0000537	KUD10_RS00720	NB624_RS00950
OG0000539	KUD10_RS00215	NB624_RS00215
OG0000540	KUD10_RS02725	NB624_RS02810, NB624_RS02805
OG0000543	KUD10_RS01215	NB624_RS02075
OG0000544	KUD10_RS01325	NB624_RS01240
OG0000545	KUD10_RS01885	NB624_RS01820
OG0000546	KUD10_RS02865	NB624_RS02950
OG0000552	KUD10_RS03210	NB624_RS03305
OG0000553	KUD10_RS02770	NB624_RS02855
OG0000554	KUD10_RS02455	NB624_RS02535
OG0000555	KUD10_RS02990	NB624_RS03075
OG0000556	KUD10_RS01170	NB624_RS02120
OG0000556	KUD10_RS01160	NB624_RS02135
OG0000557	KUD10_RS01335	NB624_RS01255
OG0000558	KUD10_RS01305	NB624_RS01220
OG0000559	KUD10_RS01760	NB624_RS01700
OG0000560	KUD10_RS01875	NB624_RS01810
OG0000561	KUD10_RS01105	NB624_RS01110
OG0000562	KUD10_RS01880	NB624_RS01815
OG0000563	KUD10_RS01865	NB624_RS01805
OG0000564	KUD10_RS01360	NB624_RS01280
OG0000565	KUD10_RS01930	NB624_RS01880
OG0000566	KUD10_RS01915	NB624_RS01860
OG0000567	KUD10_RS01890	NB624_RS01825
OG0000568	KUD10_RS00680	NB624_RS00995
OG0000569	KUD10_RS01310	NB624_RS01225
OG0000570	KUD10_RS01315	NB624_RS01230
OG0000571	KUD10_RS01320	NB624_RS01235
OG0000572	KUD10_RS01340	NB624_RS01260
OG0000573	KUD10_RS01755	NB624_RS01695
OG0000574	KUD10_RS01380	NB624_RS01300
OG0000575	KUD10_RS01295	NB624_RS01210
OG0000577	KUD10_RS02745	NB624_RS02830
OG0000578	KUD10_RS02765	NB624_RS02850
OG0000579	KUD10_RS01855	NB624_RS01790
OG0000580	KUD10_RS02870	NB624_RS02955
OG0000581	KUD10_RS01835	NB624_RS01775
OG0000582	KUD10_RS01330	NB624_RS01250
OG0000583	KUD10_RS01745	NB624_RS01685
OG0000584	KUD10_RS01190	NB624_RS02100
OG0000585	KUD10_RS02275	NB624_RS02345
OG0000586	KUD10_RS01730	NB624_RS01670
OG0000587	KUD10_RS03745	NB624_RS01885
OG0000588	KUD10_RS01705	NB624_RS01650
OG0000589	KUD10_RS02220	NB624_RS02255
OG0000590	KUD10_RS01200	NB624_RS02090
OG0000591	KUD10_RS03705	NB624_RS01900
OG0000592	KUD10_RS02735	NB624_RS02820
OG0000594	KUD10_RS01300	NB624_RS01215
OG0000595	KUD10_RS03070	NB624_RS03165
OG0000597	KUD10_RS03065	NB624_RS03160
OG0000600	KUD10_RS01185	NB624_RS02105
OG0000602	KUD10_RS02090	NB624_RS02045
OG0000603	KUD10_RS01180	NB624_RS02110
OG0000605	KUD10_RS01175	NB624_RS02115
OG0000606	KUD10_RS01840	NB624_RS01780
OG0000609	KUD10_RS01905	NB624_RS01840
OG0000611	KUD10_RS00090	NB624_RS00095
OG0000614	KUD10_RS02240	NB624_RS02270
OG0000619	KUD10_RS01845	NB624_RS01785
