Orthogroup	MHP_LH_genes	MHP_154B_genes
OG0000261	KUD10_RS00330	NB624_RS00330
OG0000262	KUD10_RS00345	NB624_RS00350
OG0000263	KUD10_RS00360	NB624_RS00360
OG0000264	KUD10_RS00375	NB624_RS00375
OG0000265	KUD10_RS00385	NB624_RS00385
OG0000266	KUD10_RS00400	NB624_RS00400
OG0000267	KUD10_RS00415	NB624_RS00415
OG0000268	KUD10_RS00420	NB624_RS00420
OG0000269	KUD10_RS00435	NB624_RS00435
OG0000270	KUD10_RS03560	NB624_RS03635
OG0000271	KUD10_RS03555	NB624_RS03630
OG0000272	KUD10_RS03550	NB624_RS03625
OG0000273	KUD10_RS03545	NB624_RS03620
OG0000274	KUD10_RS03525	NB624_RS03605
OG0000275	KUD10_RS03520	NB624_RS03595
OG0000276	KUD10_RS03515	NB624_RS03590
OG0000277	KUD10_RS03505	NB624_RS03580
OG0000278	KUD10_RS03500	NB624_RS03575
OG0000279	KUD10_RS03490	NB624_RS03565
OG0000280	KUD10_RS03485	NB624_RS03560
OG0000281	KUD10_RS03480	NB624_RS03555
OG0000282	KUD10_RS03455	NB624_RS03530
OG0000283	KUD10_RS03450	NB624_RS03525
OG0000284	KUD10_RS03445	NB624_RS03520
OG0000285	KUD10_RS03440	NB624_RS03515
OG0000286	KUD10_RS02505	NB624_RS02570
OG0000287	KUD10_RS02600	NB624_RS02675
OG0000288	KUD10_RS02610	NB624_RS02685
OG0000289	KUD10_RS02615	NB624_RS02690
OG0000290	KUD10_RS02730	NB624_RS02815
OG0000291	KUD10_RS02720	NB624_RS02800
OG0000292	KUD10_RS02715	NB624_RS02795
OG0000293	KUD10_RS02710	NB624_RS02790
OG0000294	KUD10_RS02700	NB624_RS02780
OG0000295	KUD10_RS02695	NB624_RS02775
OG0000296	KUD10_RS02650	NB624_RS02725
OG0000297	KUD10_RS02645	NB624_RS02720
OG0000298	KUD10_RS00175	NB624_RS00175
OG0000299	KUD10_RS00195	NB624_RS00195
OG0000300	KUD10_RS00370	NB624_RS00370
OG0000301	KUD10_RS00405	NB624_RS00405
OG0000302	KUD10_RS00410	NB624_RS00410
OG0000303	KUD10_RS00565	NB624_RS00555
OG0000304	KUD10_RS01070	NB624_RS00600
OG0000305	KUD10_RS02955	NB624_RS03040
OG0000306	KUD10_RS02880	NB624_RS02965
OG0000307	KUD10_RS02845	NB624_RS02930
OG0000308	KUD10_RS02750	NB624_RS02835
OG0000309	KUD10_RS02685	NB624_RS02765
OG0000310	KUD10_RS02605	NB624_RS02680
OG0000311	KUD10_RS02565	NB624_RS02630
OG0000312	KUD10_RS02550	NB624_RS02615
OG0000313	KUD10_RS01660	NB624_RS01590
OG0000314	KUD10_RS02005	NB624_RS01960
OG0000315	KUD10_RS02035	NB624_RS01990
OG0000316	KUD10_RS02045	NB624_RS02000
OG0000317	KUD10_RS02140	NB624_RS02195
OG0000318	KUD10_RS02050	NB624_RS02005
OG0000319	KUD10_RS02295	NB624_RS02365
OG0000320	KUD10_RS02425	NB624_RS02500
OG0000321	KUD10_RS01405	NB624_RS01325
OG0000322	KUD10_RS01450	NB624_RS01370
OG0000323	KUD10_RS01580	NB624_RS01500
OG0000324	KUD10_RS02335	NB624_RS02405
OG0000325	KUD10_RS00695	NB624_RS00980
OG0000326	KUD10_RS00790	NB624_RS00880
OG0000327	KUD10_RS00795	NB624_RS00875
OG0000328	KUD10_RS00880	NB624_RS00790
OG0000329	KUD10_RS00900	NB624_RS00770
OG0000330	KUD10_RS01100	NB624_RS01105
OG0000331	KUD10_RS03045	NB624_RS03130
OG0000332	KUD10_RS03180	NB624_RS03270
OG0000333	KUD10_RS03190	NB624_RS03280
OG0000334	KUD10_RS03290	NB624_RS03385
OG0000335	KUD10_RS03300	NB624_RS03395
OG0000336	KUD10_RS03470	NB624_RS03545
OG0000337	KUD10_RS03645	NB624_RS03715
OG0000338	KUD10_RS03685	NB624_RS03755
OG0000339	KUD10_RS02400	NB624_RS02475
OG0000340	KUD10_RS01385	NB624_RS01305
OG0000341	KUD10_RS02355	NB624_RS02430
OG0000342	KUD10_RS00725	NB624_RS00945
OG0000343	KUD10_RS03200	NB624_RS03290
OG0000344	KUD10_RS00580	NB624_RS00570
OG0000345	KUD10_RS01015	NB624_RS00655
OG0000346	KUD10_RS03475	NB624_RS03550
OG0000347	KUD10_RS01475	NB624_RS01395
OG0000348	KUD10_RS00800	NB624_RS00870
OG0000349	KUD10_RS03535	NB624_RS03610
OG0000350	KUD10_RS02835	NB624_RS02920
OG0000351	KUD10_RS00490	NB624_RS00490
OG0000352	KUD10_RS01985	NB624_RS01940
OG0000353	KUD10_RS01445	NB624_RS01365
OG0000354	KUD10_RS00645	NB624_RS01045
OG0000355	KUD10_RS01960	NB624_RS01915
OG0000356	KUD10_RS02040	NB624_RS01995
OG0000357	KUD10_RS03160	NB624_RS03250
OG0000358	KUD10_RS03165	NB624_RS03255
OG0000359	KUD10_RS00770	NB624_RS00900
OG0000360	KUD10_RS00275	NB624_RS00275
OG0000361	KUD10_RS00305	NB624_RS00305
OG0000362	KUD10_RS02625	NB624_RS02700
OG0000363	KUD10_RS01515	NB624_RS01435
OG0000365	KUD10_RS02085	NB624_RS02040
OG0000366	KUD10_RS02110	NB624_RS02065
OG0000367	KUD10_RS02120	NB624_RS02175
OG0000368	KUD10_RS00060	NB624_RS00060
OG0000369	KUD10_RS00025	NB624_RS00025
OG0000370	KUD10_RS00020	NB624_RS00020
OG0000371	KUD10_RS00015	NB624_RS00015
OG0000372	KUD10_RS00010	NB624_RS00010
OG0000373	KUD10_RS03675	NB624_RS03745
OG0000374	KUD10_RS03665	NB624_RS03735
OG0000375	KUD10_RS02290	NB624_RS02360
