Orthogroup	MHP_ES2L_genes	MHP_ES2_genes
OG0000147	HZK19_RS02835	E5E95_RS03070
OG0000148	HZK19_RS02820	E5E95_RS03055
OG0000149	HZK19_RS02810	E5E95_RS03045
OG0000150	HZK19_RS02795	E5E95_RS03030
OG0000151	HZK19_RS02750	E5E95_RS02985
OG0000152	HZK19_RS02745	E5E95_RS02980
OG0000153	HZK19_RS02740	E5E95_RS02975
OG0000154	HZK19_RS02730	E5E95_RS02965
OG0000155	HZK19_RS02690	E5E95_RS02925
OG0000156	HZK19_RS02680	E5E95_RS02915
OG0000157	HZK19_RS02675	E5E95_RS02910
OG0000158	HZK19_RS03895	E5E95_RS02905
OG0000159	HZK19_RS03970	E5E95_RS04310
OG0000160	HZK19_RS02425	E5E95_RS02665
OG0000161	HZK19_RS02420	E5E95_RS02660
OG0000162	HZK19_RS02410	E5E95_RS02650
OG0000163	HZK19_RS02405	E5E95_RS02645
OG0000164	HZK19_RS01575	E5E95_RS01630
OG0000165	HZK19_RS01905	E5E95_RS02055
OG0000166	HZK19_RS01925	E5E95_RS02080
OG0000167	HZK19_RS01940	E5E95_RS02095
OG0000168	HZK19_RS01945	E5E95_RS02100
OG0000169	HZK19_RS02990	E5E95_RS03255
OG0000170	HZK19_RS03005	E5E95_RS03270
OG0000171	HZK19_RS03110	E5E95_RS03280
OG0000172	HZK19_RS03115	E5E95_RS03285
OG0000173	HZK19_RS03120	E5E95_RS03290
OG0000174	HZK19_RS03125	E5E95_RS03295
OG0000175	HZK19_RS03140	E5E95_RS03310
OG0000176	HZK19_RS03190	E5E95_RS03360
OG0000177	HZK19_RS03195	E5E95_RS03365
OG0000178	HZK19_RS03200	E5E95_RS03370
OG0000179	HZK19_RS03210	E5E95_RS03380
OG0000180	HZK19_RS03215	E5E95_RS03385
OG0000181	HZK19_RS03265	E5E95_RS03435
OG0000182	HZK19_RS03275	E5E95_RS03445
OG0000183	HZK19_RS03310	E5E95_RS03480
OG0000184	HZK19_RS03355	E5E95_RS03525
OG0000185	HZK19_RS03340	E5E95_RS03510
OG0000186	HZK19_RS01490	E5E95_RS01540
OG0000187	HZK19_RS01505	E5E95_RS01555
OG0000188	HZK19_RS01515	E5E95_RS01565
OG0000189	HZK19_RS02270	E5E95_RS02415
OG0000190	HZK19_RS02265	E5E95_RS02410
OG0000191	HZK19_RS02245	E5E95_RS02390
OG0000192	HZK19_RS01180	E5E95_RS01235
OG0000193	HZK19_RS01175	E5E95_RS01225
OG0000194	HZK19_RS00665	E5E95_RS00690
