Orthogroup	MHP_ES2L_genes	MHP_ES2_genes
OG0000490	HZK19_RS03655	E5E95_RS03830
OG0000491	HZK19_RS01315	E5E95_RS01365
OG0000492	HZK19_RS01390	E5E95_RS01440
OG0000493	HZK19_RS00570	E5E95_RS00580
OG0000494	HZK19_RS00630	E5E95_RS00640
OG0000495	HZK19_RS02800	E5E95_RS03035
OG0000496	HZK19_RS02790	E5E95_RS03025
OG0000497	HZK19_RS02785	E5E95_RS03020
OG0000500	HZK19_RS01890	E5E95_RS02045
OG0000501	HZK19_RS03010	E5E95_RS04280, E5E95_RS04275
OG0000502	HZK19_RS01165	E5E95_RS01220
OG0000503	HZK19_RS00735	E5E95_RS00760
OG0000504	HZK19_RS00870	E5E95_RS00895
OG0000506	HZK19_RS00915	E5E95_RS00960
OG0000508	HZK19_RS00235	E5E95_RS00250
OG0000509	HZK19_RS00270	E5E95_RS00285
OG0000510	HZK19_RS00280	E5E95_RS00295
OG0000511	HZK19_RS00415	E5E95_RS00430
OG0000513	HZK19_RS03475	E5E95_RS03645
OG0000514	HZK19_RS02825	E5E95_RS03060
OG0000515	HZK19_RS01530	E5E95_RS01580
OG0000516	HZK19_RS01975	E5E95_RS02130
OG0000517	HZK19_RS00065	E5E95_RS00065
OG0000518	HZK19_RS03145	E5E95_RS03315
OG0000519	HZK19_RS00760	E5E95_RS00785
OG0000520	HZK19_RS00885	E5E95_RS00910
OG0000521	HZK19_RS00250	E5E95_RS00265
OG0000522	HZK19_RS00285	E5E95_RS00300
OG0000523	HZK19_RS03410	E5E95_RS03580
OG0000525	HZK19_RS03375	E5E95_RS03545
OG0000526	HZK19_RS03755	E5E95_RS04020
OG0000527	HZK19_RS01730	E5E95_RS01880
OG0000528	HZK19_RS01980	E5E95_RS02135
OG0000529	HZK19_RS02210	E5E95_RS02355
OG0000531	HZK19_RS01365	E5E95_RS01415
OG0000532	HZK19_RS01590	E5E95_RS01740
OG0000533	HZK19_RS00590	E5E95_RS00600
OG0000534	HZK19_RS00365	E5E95_RS00380
OG0000535	HZK19_RS00045	E5E95_RS00045
OG0000536	HZK19_RS03590	E5E95_RS03765
OG0000537	HZK19_RS00700	E5E95_RS00725
OG0000538	HZK19_RS01100	E5E95_RS01140
OG0000539	HZK19_RS00200	E5E95_RS00210
OG0000540	HZK19_RS02605	E5E95_RS02840
OG0000541	HZK19_RS02685	E5E95_RS02920
OG0000543	HZK19_RS03095	E5E95_RS02460
OG0000544	HZK19_RS01215	E5E95_RS01270
OG0000545	HZK19_RS01785	E5E95_RS01945
OG0000546	HZK19_RS02755	E5E95_RS02990
OG0000547	HZK19_RS02875	E5E95_RS03110
OG0000548	HZK19_RS01560	E5E95_RS01615
OG0000549	HZK19_RS03365	E5E95_RS03535
OG0000550	HZK19_RS03510	E5E95_RS03680
OG0000552	HZK19_RS03180	E5E95_RS03350
OG0000553	HZK19_RS02655	E5E95_RS02890
OG0000554	HZK19_RS02360	E5E95_RS02600
OG0000555	HZK19_RS02880	E5E95_RS04170
OG0000556	HZK19_RS03050, HZK19_RS03035	E5E95_RS02515
OG0000557	HZK19_RS01230	E5E95_RS01280
OG0000558	HZK19_RS01195	E5E95_RS01250
OG0000559	HZK19_RS01670	E5E95_RS01810
OG0000560	HZK19_RS01770	E5E95_RS01930
OG0000561	HZK19_RS01085	E5E95_RS01125
OG0000562	HZK19_RS01775	E5E95_RS01935
OG0000563	HZK19_RS01760	E5E95_RS01920
OG0000564	HZK19_RS03725	E5E95_RS03980
OG0000565	HZK19_RS01835	E5E95_RS01985
OG0000566	HZK19_RS01815	E5E95_RS01975
OG0000567	HZK19_RS01790	E5E95_RS01950
OG0000568	HZK19_RS00660	E5E95_RS00685
OG0000569	HZK19_RS01200	E5E95_RS01255
OG0000570	HZK19_RS01205	E5E95_RS01260
OG0000571	HZK19_RS01210	E5E95_RS01265
OG0000572	HZK19_RS01235	E5E95_RS01285
OG0000573	HZK19_RS01665	E5E95_RS01805
OG0000574	HZK19_RS01275	E5E95_RS01325
OG0000575	HZK19_RS01185	E5E95_RS01240
OG0000576	HZK19_RS01615	E5E95_RS01765
OG0000577	HZK19_RS02625	E5E95_RS02860
OG0000578	HZK19_RS02650	E5E95_RS02885
OG0000579	HZK19_RS01750	E5E95_RS01900
OG0000580	HZK19_RS02760	E5E95_RS04160
OG0000581	HZK19_RS01735	E5E95_RS01885
OG0000582	HZK19_RS01225	E5E95_RS03970
OG0000583	HZK19_RS01655	E5E95_RS01795
OG0000584	HZK19_RS03070	E5E95_RS02485, E5E95_RS01705
OG0000585	HZK19_RS02180	E5E95_RS02325
OG0000586	HZK19_RS01635	E5E95_RS01780
OG0000587	HZK19_RS03875	E5E95_RS04030
OG0000588	HZK19_RS01610	E5E95_RS01755
OG0000589	HZK19_RS02120	E5E95_RS02260
OG0000590	HZK19_RS03080	E5E95_RS04210, E5E95_RS01715, E5E95_RS02475
OG0000591	HZK19_RS03885	E5E95_RS04205
OG0000592	HZK19_RS02615	E5E95_RS02850
OG0000593	HZK19_RS03575	E5E95_RS03745
OG0000594	HZK19_RS01190	E5E95_RS01245
OG0000595	HZK19_RS02965	E5E95_RS03205
OG0000597	HZK19_RS02960	E5E95_RS03200
OG0000600	HZK19_RS03065	E5E95_RS02490
OG0000601	HZK19_RS01765	E5E95_RS01925
OG0000602	HZK19_RS02005	E5E95_RS02155
OG0000603	HZK19_RS03060	E5E95_RS02495
OG0000604	HZK19_RS03900	E5E95_RS04220
OG0000605	HZK19_RS03055	E5E95_RS02500
OG0000606	HZK19_RS01740	E5E95_RS01890
OG0000608	HZK19_RS01780	E5E95_RS01940
OG0000609	HZK19_RS01805	E5E95_RS03860
OG0000614	HZK19_RS02140	E5E95_RS02285
OG0000615	HZK19_RS02660	E5E95_RS02895
OG0000618	HZK19_RS03330	E5E95_RS03500
OG0000619	HZK19_RS01745	E5E95_RS01895
OG0000620	HZK19_RS01845	E5E95_RS04025
OG0000626	HZK19_RS03185	E5E95_RS03950
OG0000665	HZK19_RS01050	E5E95_RS03850
