Orthogroup	MHP_KM014_genes	MHP_ES2L_genes
OG0000042	CIB43_RS03855	HZK19_RS02900
OG0000043	CIB43_RS02825	HZK19_RS01875
OG0000043	CIB43_RS00070	HZK19_RS01875
OG0000044	CIB43_RS02665	HZK19_RS01755
OG0000045	CIB43_RS02520	HZK19_RS01585
OG0000047	CIB43_RS01205	HZK19_RS03090
OG0000048	CIB43_RS02995	HZK19_RS02065
OG0000049	CIB43_RS00150	HZK19_RS02995
OG0000051	CIB43_RS03575	HZK19_RS02620
OG0000052	CIB43_RS00775	HZK19_RS00075
OG0000053	CIB43_RS02315	HZK19_RS01415
OG0000054	CIB43_RS03395	HZK19_RS02440
OG0000055	CIB43_RS00835	HZK19_RS00120
OG0000056	CIB43_RS03960	HZK19_RS03580
OG0000057	CIB43_RS03840	HZK19_RS02885
OG0000058	CIB43_RS01140	HZK19_RS03015
OG0000058	CIB43_RS01300	HZK19_RS03020
OG0000060	CIB43_RS00780	HZK19_RS00080
OG0000061	CIB43_RS02745	HZK19_RS01820
OG0000062	CIB43_RS00675	HZK19_RS03630
OG0000063	CIB43_RS00660	HZK19_RS03625
OG0000064	CIB43_RS00650	HZK19_RS03615
OG0000065	CIB43_RS03145	HZK19_RS02220
OG0000068	CIB43_RS01520	HZK19_RS00635
OG0000069	CIB43_RS03740	HZK19_RS02780
OG0000070	CIB43_RS03400	HZK19_RS02445
OG0000071	CIB43_RS00360	HZK19_RS03315
OG0000072	CIB43_RS00375	HZK19_RS03320
OG0000073	CIB43_RS01580	HZK19_RS00680
OG0000075	CIB43_RS01060	HZK19_RS00325
OG0000077	CIB43_RS01330	HZK19_RS00425
OG0000078	CIB43_RS02560	HZK19_RS01645
OG0000079	CIB43_RS03480	HZK19_RS02525
OG0000080	CIB43_RS03525	HZK19_RS02570
OG0000081	CIB43_RS01055	HZK19_RS00320
OG0000082	CIB43_RS03315	HZK19_RS02365
OG0000083	CIB43_RS02935	HZK19_RS01985
OG0000084	CIB43_RS02955	HZK19_RS02015
OG0000086	CIB43_RS02970	HZK19_RS02030
OG0000087	CIB43_RS02975	HZK19_RS02045
OG0000088	CIB43_RS02980	HZK19_RS02050
OG0000089	CIB43_RS02990	HZK19_RS02060
OG0000090	CIB43_RS00770	HZK19_RS00070
OG0000091	CIB43_RS00760	HZK19_RS00055
OG0000092	CIB43_RS00745	HZK19_RS00040
OG0000093	CIB43_RS00735	HZK19_RS00035
OG0000094	CIB43_RS00730	HZK19_RS00030
OG0000095	CIB43_RS00715	HZK19_RS00005
OG0000096	CIB43_RS00700	HZK19_RS03665
OG0000097	CIB43_RS00690	HZK19_RS03645
OG0000100	CIB43_RS00610	HZK19_RS03570
OG0000101	CIB43_RS00600	HZK19_RS03565
OG0000102	CIB43_RS02580	HZK19_RS01675
OG0000103	CIB43_RS03110	HZK19_RS02185
OG0000104	CIB43_RS03120	HZK19_RS02190
OG0000105	CIB43_RS03130	HZK19_RS02205
OG0000106	CIB43_RS03140	HZK19_RS02215
OG0000107	CIB43_RS03150	HZK19_RS02225
OG0000108	CIB43_RS03155	HZK19_RS02230
OG0000109	CIB43_RS03160	HZK19_RS02235
OG0000110	CIB43_RS03290	HZK19_RS02355
OG0000111	CIB43_RS03285	HZK19_RS02350
OG0000112	CIB43_RS03280	HZK19_RS02340
OG0000113	CIB43_RS03260	HZK19_RS02320
OG0000114	CIB43_RS03245	HZK19_RS02310
OG0000115	CIB43_RS03230	HZK19_RS02300
OG0000116	CIB43_RS02165	HZK19_RS01265
OG0000117	CIB43_RS02170	HZK19_RS01270
OG0000118	CIB43_RS02205	HZK19_RS01305
OG0000119	CIB43_RS02210	HZK19_RS01310
OG0000120	CIB43_RS02230	HZK19_RS01325
OG0000121	CIB43_RS02250	HZK19_RS01350
OG0000122	CIB43_RS02255	HZK19_RS01355
OG0000123	CIB43_RS02275	HZK19_RS01375
OG0000124	CIB43_RS02280	HZK19_RS01380
OG0000125	CIB43_RS02285	HZK19_RS01385
OG0000126	CIB43_RS02295	HZK19_RS01395
OG0000127	CIB43_RS02305	HZK19_RS01405
OG0000128	CIB43_RS02320	HZK19_RS01420
OG0000129	CIB43_RS02330	HZK19_RS01425
OG0000130	CIB43_RS02335	HZK19_RS01435
OG0000131	CIB43_RS02370	HZK19_RS01465
OG0000132	CIB43_RS02385	HZK19_RS01480
OG0000133	CIB43_RS01415	HZK19_RS00520
OG0000134	CIB43_RS01425	HZK19_RS00525
OG0000135	CIB43_RS01435	HZK19_RS00540
OG0000136	CIB43_RS01440	HZK19_RS00545
OG0000137	CIB43_RS01470	HZK19_RS00575
OG0000138	CIB43_RS01495	HZK19_RS00610
OG0000139	CIB43_RS01525	HZK19_RS00640
OG0000140	CIB43_RS01540	HZK19_RS00645
OG0000141	CIB43_RS03850	HZK19_RS02895
OG0000142	CIB43_RS03845	HZK19_RS02890
OG0000143	CIB43_RS03835	HZK19_RS02870
OG0000144	CIB43_RS03815	HZK19_RS02860
OG0000145	CIB43_RS03805	HZK19_RS02850
OG0000146	CIB43_RS03790	HZK19_RS02840
OG0000147	CIB43_RS03785	HZK19_RS02835
OG0000148	CIB43_RS03780	HZK19_RS02820
OG0000149	CIB43_RS03760	HZK19_RS02810
OG0000150	CIB43_RS03745	HZK19_RS02795
OG0000151	CIB43_RS03700	HZK19_RS02750
OG0000152	CIB43_RS03695	HZK19_RS02745
OG0000153	CIB43_RS03690	HZK19_RS02740
OG0000154	CIB43_RS03680	HZK19_RS02730
OG0000155	CIB43_RS03645	HZK19_RS02690
OG0000156	CIB43_RS03635	HZK19_RS02680
OG0000157	CIB43_RS03625	HZK19_RS02675
OG0000158	CIB43_RS03620	HZK19_RS03895
OG0000159	CIB43_RS03385	HZK19_RS03970
OG0000160	CIB43_RS03380	HZK19_RS02425
OG0000161	CIB43_RS03375	HZK19_RS02420
OG0000163	CIB43_RS03370	HZK19_RS02405
OG0000164	CIB43_RS02495	HZK19_RS01575
OG0000165	CIB43_RS02840	HZK19_RS01905
OG0000166	CIB43_RS02860	HZK19_RS01925
OG0000167	CIB43_RS02875	HZK19_RS01940
OG0000168	CIB43_RS02880	HZK19_RS01945
OG0000169	CIB43_RS00130	HZK19_RS02990
OG0000171	CIB43_RS00155	HZK19_RS03110
OG0000172	CIB43_RS00160	HZK19_RS03115
OG0000173	CIB43_RS00165	HZK19_RS03120
OG0000174	CIB43_RS00170	HZK19_RS03125
OG0000175	CIB43_RS00190	HZK19_RS03140
OG0000176	CIB43_RS00235	HZK19_RS03190
OG0000177	CIB43_RS00240	HZK19_RS03195
OG0000178	CIB43_RS00245	HZK19_RS03200
OG0000179	CIB43_RS00255	HZK19_RS03210
OG0000180	CIB43_RS00260	HZK19_RS03215
OG0000181	CIB43_RS00310	HZK19_RS03265
OG0000182	CIB43_RS00320	HZK19_RS03275
OG0000183	CIB43_RS00355	HZK19_RS03310
OG0000184	CIB43_RS00430	HZK19_RS03355
OG0000185	CIB43_RS00380	HZK19_RS03340
OG0000186	CIB43_RS02400	HZK19_RS01490
OG0000187	CIB43_RS02410	HZK19_RS01505
OG0000188	CIB43_RS02425	HZK19_RS01515
OG0000189	CIB43_RS03200	HZK19_RS02270
OG0000190	CIB43_RS03195	HZK19_RS02265
OG0000191	CIB43_RS03180	HZK19_RS02245
OG0000192	CIB43_RS02085	HZK19_RS01180
OG0000193	CIB43_RS02075	HZK19_RS01175
OG0000194	CIB43_RS01560	HZK19_RS00665
OG0000195	CIB43_RS01565	HZK19_RS00670
OG0000196	CIB43_RS01585	HZK19_RS00690
OG0000197	CIB43_RS01590	HZK19_RS00695
OG0000198	CIB43_RS01605	HZK19_RS00710
OG0000199	CIB43_RS01615	HZK19_RS00715
OG0000200	CIB43_RS01630	HZK19_RS00730
OG0000201	CIB43_RS01635	HZK19_RS00740
OG0000202	CIB43_RS01690	HZK19_RS00795
OG0000203	CIB43_RS01695	HZK19_RS00800
OG0000204	CIB43_RS01700	HZK19_RS00805
OG0000205	CIB43_RS01705	HZK19_RS00810
OG0000206	CIB43_RS01735	HZK19_RS00830
OG0000207	CIB43_RS01740	HZK19_RS00845
OG0000208	CIB43_RS01745	HZK19_RS00850
OG0000209	CIB43_RS01750	HZK19_RS00855
OG0000210	CIB43_RS01800	HZK19_RS00900
OG0000211	CIB43_RS01805	HZK19_RS00910
OG0000212	CIB43_RS01815	HZK19_RS00920
OG0000213	CIB43_RS01820	HZK19_RS00925
OG0000214	CIB43_RS01825	HZK19_RS00930
OG0000215	CIB43_RS01830	HZK19_RS00935
OG0000216	CIB43_RS01835	HZK19_RS00940
OG0000217	CIB43_RS01845	HZK19_RS00945
OG0000218	CIB43_RS01850	HZK19_RS00955
OG0000219	CIB43_RS01855	HZK19_RS00960
OG0000220	CIB43_RS01860	HZK19_RS00965
OG0000221	CIB43_RS01865	HZK19_RS00970
OG0000222	CIB43_RS01870	HZK19_RS00975
OG0000223	CIB43_RS01875	HZK19_RS00980
OG0000225	CIB43_RS01895	HZK19_RS01000
OG0000226	CIB43_RS01900	HZK19_RS01005
OG0000227	CIB43_RS01905	HZK19_RS01010
OG0000228	CIB43_RS01910	HZK19_RS03950
OG0000229	CIB43_RS01915	HZK19_RS01020
OG0000230	CIB43_RS01920	HZK19_RS01025
OG0000231	CIB43_RS01935	HZK19_RS01035
OG0000232	CIB43_RS01940	HZK19_RS01045
OG0000233	CIB43_RS01965	HZK19_RS01070
