Orthogroup	MHP_KM014_genes	MHP_Ue273_genes
OG0000105	CIB43_RS03130	VQY17_RS02240
OG0000106	CIB43_RS03140	VQY17_RS02250
OG0000107	CIB43_RS03150	VQY17_RS02260
OG0000108	CIB43_RS03155	VQY17_RS02265
OG0000109	CIB43_RS03160	VQY17_RS02270
OG0000110	CIB43_RS03290	VQY17_RS02390
OG0000111	CIB43_RS03285	VQY17_RS02385
OG0000112	CIB43_RS03280	VQY17_RS02375
OG0000113	CIB43_RS03260	VQY17_RS02355
OG0000114	CIB43_RS03245	VQY17_RS02345
OG0000115	CIB43_RS03230	VQY17_RS02335
OG0000116	CIB43_RS02165	VQY17_RS01315
OG0000117	CIB43_RS02170	VQY17_RS01320
OG0000118	CIB43_RS02205	VQY17_RS01355
OG0000119	CIB43_RS02210	VQY17_RS01360
OG0000120	CIB43_RS02230	VQY17_RS01375
OG0000121	CIB43_RS02250	VQY17_RS01405
OG0000122	CIB43_RS02255	VQY17_RS01410
OG0000123	CIB43_RS02275	VQY17_RS01430
OG0000124	CIB43_RS02280	VQY17_RS01435
OG0000125	CIB43_RS02285	VQY17_RS01440
OG0000126	CIB43_RS02295	VQY17_RS01455
OG0000127	CIB43_RS02305	VQY17_RS01460
OG0000128	CIB43_RS02320	VQY17_RS01475
OG0000129	CIB43_RS02330	VQY17_RS01480
OG0000130	CIB43_RS02335	VQY17_RS01490
OG0000131	CIB43_RS02370	VQY17_RS01520
OG0000132	CIB43_RS02385	VQY17_RS01535
OG0000133	CIB43_RS01415	VQY17_RS00530
OG0000134	CIB43_RS01425	VQY17_RS00535
OG0000135	CIB43_RS01435	VQY17_RS00550
OG0000136	CIB43_RS01440	VQY17_RS00555
OG0000137	CIB43_RS01470	VQY17_RS00595
OG0000138	CIB43_RS01495	VQY17_RS00620
OG0000139	CIB43_RS01525	VQY17_RS00650
OG0000140	CIB43_RS01540	VQY17_RS00655
OG0000141	CIB43_RS03850	VQY17_RS02915
OG0000142	CIB43_RS03845	VQY17_RS02910
OG0000143	CIB43_RS03835	VQY17_RS02885
OG0000144	CIB43_RS03815	VQY17_RS02875
OG0000145	CIB43_RS03805	VQY17_RS02865
OG0000146	CIB43_RS03790	VQY17_RS02855
OG0000147	CIB43_RS03785	VQY17_RS02850
OG0000148	CIB43_RS03780	VQY17_RS02835
OG0000149	CIB43_RS03760	VQY17_RS02825
OG0000150	CIB43_RS03745	VQY17_RS02810
OG0000151	CIB43_RS03700	VQY17_RS02760
OG0000152	CIB43_RS03695	VQY17_RS02755
OG0000153	CIB43_RS03690	VQY17_RS02750
OG0000154	CIB43_RS03680	VQY17_RS02740
OG0000155	CIB43_RS03645	VQY17_RS02705
OG0000156	CIB43_RS03635	VQY17_RS02695
OG0000157	CIB43_RS03625	VQY17_RS02690
OG0000158	CIB43_RS03620	VQY17_RS02680
OG0000159	CIB43_RS03385	VQY17_RS02460
OG0000160	CIB43_RS03380	VQY17_RS02455
OG0000161	CIB43_RS03375	VQY17_RS02450
OG0000163	CIB43_RS03370	VQY17_RS02435
OG0000164	CIB43_RS02495	VQY17_RS01640
OG0000165	CIB43_RS02840	VQY17_RS02015
OG0000166	CIB43_RS02860	VQY17_RS02035
OG0000167	CIB43_RS02875	VQY17_RS02050
OG0000168	CIB43_RS02880	VQY17_RS02055
OG0000169	CIB43_RS00130	VQY17_RS03035
OG0000171	CIB43_RS00155	VQY17_RS03060
OG0000172	CIB43_RS00160	VQY17_RS03065
OG0000173	CIB43_RS00165	VQY17_RS03070
OG0000174	CIB43_RS00170	VQY17_RS03075
OG0000175	CIB43_RS00190	VQY17_RS03090
OG0000176	CIB43_RS00235	VQY17_RS03135
OG0000177	CIB43_RS00240	VQY17_RS03140
OG0000178	CIB43_RS00245	VQY17_RS03145
OG0000179	CIB43_RS00255	VQY17_RS03155
OG0000180	CIB43_RS00260	VQY17_RS03160
OG0000181	CIB43_RS00310	VQY17_RS03210
OG0000182	CIB43_RS00320	VQY17_RS03220
OG0000183	CIB43_RS00355	VQY17_RS03255
OG0000184	CIB43_RS00430	VQY17_RS03305
OG0000185	CIB43_RS00380	VQY17_RS03290
OG0000186	CIB43_RS02400	VQY17_RS01545
OG0000187	CIB43_RS02410	VQY17_RS01560
OG0000188	CIB43_RS02425	VQY17_RS01570
OG0000189	CIB43_RS03200	VQY17_RS02305
OG0000190	CIB43_RS03195	VQY17_RS02300
OG0000191	CIB43_RS03180	VQY17_RS02280
OG0000192	CIB43_RS02085	VQY17_RS01240
OG0000193	CIB43_RS02075	VQY17_RS01230
OG0000194	CIB43_RS01560	VQY17_RS00690
OG0000195	CIB43_RS01565	VQY17_RS00695
OG0000196	CIB43_RS01585	VQY17_RS00715
OG0000197	CIB43_RS01590	VQY17_RS00720
OG0000198	CIB43_RS01605	VQY17_RS00735
OG0000199	CIB43_RS01615	VQY17_RS00740
OG0000200	CIB43_RS01630	VQY17_RS00755
OG0000201	CIB43_RS01635	VQY17_RS00765
OG0000202	CIB43_RS01690	VQY17_RS00825
OG0000203	CIB43_RS01695	VQY17_RS00830
OG0000204	CIB43_RS01700	VQY17_RS00835
OG0000205	CIB43_RS01705	VQY17_RS00840
OG0000206	CIB43_RS01735	VQY17_RS00860
OG0000207	CIB43_RS01740	VQY17_RS00875
OG0000208	CIB43_RS01745	VQY17_RS00880
OG0000209	CIB43_RS01750	VQY17_RS00885
OG0000210	CIB43_RS01800	VQY17_RS00935
OG0000211	CIB43_RS01805	VQY17_RS00970
OG0000212	CIB43_RS01815	VQY17_RS00980
OG0000213	CIB43_RS01820	VQY17_RS00985
OG0000214	CIB43_RS01825	VQY17_RS00990
OG0000215	CIB43_RS01830	VQY17_RS00995
OG0000216	CIB43_RS01835	VQY17_RS01000
OG0000217	CIB43_RS01845	VQY17_RS01005
OG0000218	CIB43_RS01850	VQY17_RS01015
OG0000219	CIB43_RS01855	VQY17_RS01020
OG0000220	CIB43_RS01860	VQY17_RS01025
OG0000221	CIB43_RS01865	VQY17_RS01030
OG0000222	CIB43_RS01870	VQY17_RS01035
OG0000223	CIB43_RS01875	VQY17_RS01040
OG0000225	CIB43_RS01895	VQY17_RS01060
OG0000226	CIB43_RS01900	VQY17_RS01065
OG0000227	CIB43_RS01905	VQY17_RS01070
OG0000228	CIB43_RS01910	VQY17_RS01075
OG0000229	CIB43_RS01915	VQY17_RS01080
OG0000230	CIB43_RS01920	VQY17_RS01085
OG0000231	CIB43_RS01935	VQY17_RS01095
OG0000232	CIB43_RS01940	VQY17_RS01105
OG0000233	CIB43_RS01965	VQY17_RS01125
OG0000234	CIB43_RS02000	VQY17_RS01165
OG0000235	CIB43_RS02005	VQY17_RS01175
OG0000236	CIB43_RS02010	VQY17_RS01180
OG0000237	CIB43_RS02015	VQY17_RS01185
OG0000238	CIB43_RS02025	VQY17_RS01190
OG0000239	CIB43_RS03860	VQY17_RS02930
OG0000240	CIB43_RS03870	VQY17_RS02935
OG0000241	CIB43_RS03875	VQY17_RS02945
OG0000242	CIB43_RS03880	VQY17_RS02950
OG0000243	CIB43_RS03885	VQY17_RS02955
OG0000244	CIB43_RS03900	VQY17_RS02965
OG0000245	CIB43_RS03905	VQY17_RS02970
OG0000246	CIB43_RS00845	VQY17_RS00140
OG0000247	CIB43_RS00850	VQY17_RS00150
OG0000248	CIB43_RS00875	VQY17_RS00160
OG0000250	CIB43_RS00885	VQY17_RS00180
OG0000251	CIB43_RS00925	VQY17_RS00210
OG0000252	CIB43_RS00930	VQY17_RS00220
OG0000253	CIB43_RS00940	VQY17_RS00225
OG0000254	CIB43_RS00950	VQY17_RS00235
OG0000255	CIB43_RS00955	VQY17_RS00245
OG0000256	CIB43_RS00960	VQY17_RS00250
OG0000257	CIB43_RS00985	VQY17_RS00275
OG0000258	CIB43_RS01015	VQY17_RS00285
OG0000259	CIB43_RS01030	VQY17_RS00315
OG0000260	CIB43_RS01045	VQY17_RS00325
OG0000262	CIB43_RS01075	VQY17_RS00350
OG0000263	CIB43_RS01080	VQY17_RS00365
OG0000264	CIB43_RS01100	VQY17_RS00380
OG0000265	CIB43_RS01110	VQY17_RS00390
OG0000266	CIB43_RS01120	VQY17_RS00405
OG0000267	CIB43_RS01135	VQY17_RS00420
OG0000268	CIB43_RS01305	VQY17_RS00425
OG0000269	CIB43_RS01320	VQY17_RS00440
OG0000270	CIB43_RS00575	VQY17_RS03495
OG0000271	CIB43_RS00570	VQY17_RS03490
OG0000272	CIB43_RS00565	VQY17_RS03485
