Orthogroup	MHP_KM014_genes	MHP_UFV02_genes
OG0000054	CIB43_RS03395	FEF31_RS02205
OG0000055	CIB43_RS00835	FEF31_RS03405
OG0000056	CIB43_RS03960	FEF31_RS03205
OG0000057	CIB43_RS03840	FEF31_RS02660
OG0000058	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085	FEF31_RS01470
OG0000059	CIB43_RS00080, CIB43_RS01165	FEF31_RS01460
OG0000060	CIB43_RS00780	FEF31_RS00850
OG0000061	CIB43_RS02745	FEF31_RS01245
OG0000062	CIB43_RS00675	FEF31_RS03250
OG0000063	CIB43_RS00660	FEF31_RS04645
OG0000064	CIB43_RS00650	FEF31_RS03235
OG0000065	CIB43_RS03145	FEF31_RS01990
OG0000068	CIB43_RS01520	FEF31_RS00305
OG0000069	CIB43_RS03740	FEF31_RS02555
OG0000070	CIB43_RS03400	FEF31_RS02210
OG0000071	CIB43_RS00360	FEF31_RS03835
OG0000072	CIB43_RS00375	FEF31_RS04700
OG0000073	CIB43_RS01580	FEF31_RS00360
OG0000075	CIB43_RS01060	FEF31_RS00005
OG0000077	CIB43_RS01330	FEF31_RS00105
OG0000078	CIB43_RS02560	FEF31_RS01340
OG0000079	CIB43_RS03480	FEF31_RS02300
OG0000080	CIB43_RS03525	FEF31_RS02345
OG0000081	CIB43_RS01055	FEF31_RS03610
OG0000082	CIB43_RS03315	FEF31_RS02130
OG0000083	CIB43_RS02935	FEF31_RS01765
OG0000084	CIB43_RS02955	FEF31_RS01795
OG0000086	CIB43_RS02970	FEF31_RS01810
OG0000087	CIB43_RS02975	FEF31_RS01825
OG0000088	CIB43_RS02980	FEF31_RS01830
OG0000089	CIB43_RS02990	FEF31_RS01840
OG0000090	CIB43_RS00770	FEF31_RS03355
OG0000091	CIB43_RS00760	FEF31_RS03340
OG0000092	CIB43_RS00745	FEF31_RS03325
OG0000093	CIB43_RS00735	FEF31_RS03320
OG0000094	CIB43_RS00730	FEF31_RS03315
OG0000095	CIB43_RS00715	FEF31_RS03290
OG0000096	CIB43_RS00700	FEF31_RS03285
OG0000097	CIB43_RS00690	FEF31_RS03265
OG0000100	CIB43_RS00610	FEF31_RS03195
OG0000101	CIB43_RS00600	FEF31_RS03190
OG0000102	CIB43_RS02580	FEF31_RS01365
OG0000103	CIB43_RS03110	FEF31_RS01955
OG0000104	CIB43_RS03120	FEF31_RS01960
OG0000105	CIB43_RS03130	FEF31_RS01975
OG0000106	CIB43_RS03140	FEF31_RS01985
OG0000107	CIB43_RS03150	FEF31_RS01995
OG0000108	CIB43_RS03155	FEF31_RS02000
OG0000109	CIB43_RS03160	FEF31_RS02005
OG0000110	CIB43_RS03290	FEF31_RS02120
OG0000111	CIB43_RS03285	FEF31_RS02115
OG0000112	CIB43_RS03280	FEF31_RS02105
OG0000113	CIB43_RS03260	FEF31_RS02085
OG0000114	CIB43_RS03245	FEF31_RS02075
OG0000115	CIB43_RS03230	FEF31_RS02065
OG0000116	CIB43_RS02165	FEF31_RS00955
OG0000117	CIB43_RS02170	FEF31_RS00960
OG0000118	CIB43_RS02205	FEF31_RS00995
OG0000119	CIB43_RS02210	FEF31_RS01000
OG0000120	CIB43_RS02230	FEF31_RS01020
OG0000121	CIB43_RS02250	FEF31_RS01045
OG0000122	CIB43_RS02255	FEF31_RS01050
OG0000123	CIB43_RS02275	FEF31_RS01070
OG0000124	CIB43_RS02280	FEF31_RS01075
OG0000125	CIB43_RS02285	FEF31_RS01080
OG0000126	CIB43_RS02295	FEF31_RS01090
OG0000127	CIB43_RS02305	FEF31_RS01100
OG0000128	CIB43_RS02320	FEF31_RS01115
OG0000129	CIB43_RS02330	FEF31_RS01120
OG0000130	CIB43_RS02335	FEF31_RS01130
OG0000131	CIB43_RS02370	FEF31_RS01160
OG0000132	CIB43_RS02385	FEF31_RS04430
OG0000133	CIB43_RS01415	FEF31_RS00190
OG0000134	CIB43_RS01425	FEF31_RS00195
OG0000135	CIB43_RS01435	FEF31_RS00210
OG0000136	CIB43_RS01440	FEF31_RS00215
OG0000137	CIB43_RS01470	FEF31_RS00245
OG0000138	CIB43_RS01495	FEF31_RS00280
OG0000139	CIB43_RS01525	FEF31_RS00310
OG0000140	CIB43_RS01540	FEF31_RS00315
OG0000141	CIB43_RS03850	FEF31_RS02670
OG0000142	CIB43_RS03845	FEF31_RS04555
OG0000143	CIB43_RS03835	FEF31_RS02645
OG0000144	CIB43_RS03815	FEF31_RS02635
OG0000145	CIB43_RS03805	FEF31_RS02625
OG0000146	CIB43_RS03790	FEF31_RS02615
OG0000147	CIB43_RS03785	FEF31_RS02610
OG0000148	CIB43_RS03780	FEF31_RS02595
OG0000149	CIB43_RS03760	FEF31_RS02585
OG0000150	CIB43_RS03745	FEF31_RS02570
OG0000151	CIB43_RS03700	FEF31_RS02525
OG0000152	CIB43_RS03695	FEF31_RS02520
OG0000153	CIB43_RS03690	FEF31_RS02515
OG0000154	CIB43_RS03680	FEF31_RS02505
OG0000155	CIB43_RS03645	FEF31_RS02465
OG0000156	CIB43_RS03635	FEF31_RS02455
OG0000157	CIB43_RS03625	FEF31_RS04545
OG0000158	CIB43_RS03620	FEF31_RS04540
OG0000159	CIB43_RS03385	FEF31_RS02195
OG0000160	CIB43_RS03380	FEF31_RS02190
OG0000161	CIB43_RS03375	FEF31_RS02185
OG0000163	CIB43_RS03370	FEF31_RS02170
OG0000164	CIB43_RS02495	FEF31_RS01270
OG0000165	CIB43_RS02840	FEF31_RS01685
OG0000166	CIB43_RS02860	FEF31_RS01705
OG0000167	CIB43_RS02875	FEF31_RS01720
OG0000168	CIB43_RS02880	FEF31_RS01725
