Orthogroup	MHP_1257_genes	MHP_133A_genes
OG0000490	ABKJ22_RS03495	NB626_RS03815
OG0000491	ABKJ22_RS01365	NB626_RS01465
OG0000492	ABKJ22_RS01440	NB626_RS01545
OG0000493	ABKJ22_RS00580	NB626_RS00680
OG0000494	ABKJ22_RS01060	NB626_RS00740
OG0000496	ABKJ22_RS02770	NB626_RS03010
OG0000497	ABKJ22_RS02765	NB626_RS03005
OG0000498	ABKJ22_RS02675	NB626_RS02920
OG0000499	ABKJ22_RS02640	NB626_RS02885
OG0000501	ABKJ22_RS02970	NB626_RS03250
OG0000502	ABKJ22_RS01215	NB626_RS01315
OG0000503	ABKJ22_RS00940	NB626_RS00865
OG0000504	ABKJ22_RS00805	NB626_RS01015
OG0000505	ABKJ22_RS00755	NB626_RS01055
OG0000507	ABKJ22_RS00705	NB626_RS01100
OG0000509	ABKJ22_RS00280	NB626_RS00285
OG0000510	ABKJ22_RS00290	NB626_RS00295
OG0000511	ABKJ22_RS00435	NB626_RS00530
OG0000512	ABKJ22_RS02500	NB626_RS02735
OG0000513	ABKJ22_RS03310	NB626_RS03635
OG0000514	ABKJ22_RS02805	NB626_RS03045
OG0000517	ABKJ22_RS00065	NB626_RS00065
OG0000518	ABKJ22_RS03010	NB626_RS03295
OG0000519	ABKJ22_RS00915	NB626_RS00900
OG0000522	ABKJ22_RS00295	NB626_RS00300
OG0000523	ABKJ22_RS03245	NB626_RS03560
OG0000524	ABKJ22_RS02615	NB626_RS02855
OG0000525	ABKJ22_RS03210	NB626_RS03520
OG0000526	ABKJ22_RS01820	NB626_RS01960, NB626_RS01955
OG0000527	ABKJ22_RS01745	NB626_RS01900
OG0000530	ABKJ22_RS02300	NB626_RS02505
OG0000532	ABKJ22_RS01625	NB626_RS01735
OG0000533	ABKJ22_RS01100	NB626_RS00700
OG0000534	ABKJ22_RS00375	NB626_RS00385
OG0000536	ABKJ22_RS03430	NB626_RS03750
OG0000540	ABKJ22_RS02585	NB626_RS02825
OG0000541	ABKJ22_RS02655	NB626_RS02900
OG0000544	ABKJ22_RS01265	NB626_RS01370
OG0000545	ABKJ22_RS01810	NB626_RS01945
OG0000546	ABKJ22_RS02730	NB626_RS02970
OG0000551	ABKJ22_RS02925	NB626_RS03165
OG0000552	ABKJ22_RS03045	NB626_RS03335
OG0000553	ABKJ22_RS02630	NB626_RS02870
OG0000554	ABKJ22_RS02345	NB626_RS02560
OG0000557	ABKJ22_RS01275	NB626_RS01380
OG0000558	ABKJ22_RS01245	NB626_RS01350
OG0000559	ABKJ22_RS01695	NB626_RS01815
OG0000560	ABKJ22_RS01795	NB626_RS01930
OG0000561	ABKJ22_RS01125	NB626_RS01230
OG0000562	ABKJ22_RS01800	NB626_RS01935
OG0000563	ABKJ22_RS01785	NB626_RS01925
OG0000564	ABKJ22_RS01305	NB626_RS01410
OG0000565	ABKJ22_RS01850	NB626_RS02000
OG0000566	ABKJ22_RS01840	NB626_RS01980
OG0000567	ABKJ22_RS01815	NB626_RS01950
OG0000568	ABKJ22_RS01015	NB626_RS00785
OG0000569	ABKJ22_RS01250	NB626_RS01355
OG0000570	ABKJ22_RS01255	NB626_RS01360
OG0000571	ABKJ22_RS01260	NB626_RS01365
OG0000572	ABKJ22_RS01280	NB626_RS01385
OG0000573	ABKJ22_RS01690	NB626_RS01810
OG0000574	ABKJ22_RS01325	NB626_RS01425
OG0000575	ABKJ22_RS01235	NB626_RS01345
OG0000576	ABKJ22_RS01650	NB626_RS01765
OG0000577	ABKJ22_RS02605	NB626_RS02840
OG0000578	ABKJ22_RS02625	NB626_RS02865
OG0000579	ABKJ22_RS01760	NB626_RS01910
OG0000580	ABKJ22_RS02735	NB626_RS02975
OG0000581	ABKJ22_RS01750	NB626_RS01905
OG0000582	ABKJ22_RS01270	NB626_RS01375
OG0000583	ABKJ22_RS01680	NB626_RS01800
OG0000585	ABKJ22_RS02200	NB626_RS02365
OG0000586	ABKJ22_RS01665	NB626_RS01785
OG0000587	ABKJ22_RS01855	NB626_RS02010
OG0000588	ABKJ22_RS01640	NB626_RS01755
OG0000589	ABKJ22_RS02245	NB626_RS02290
OG0000591	ABKJ22_RS01870	NB626_RS02025
OG0000593	ABKJ22_RS03410	NB626_RS03735
OG0000604	ABKJ22_RS02740	NB626_RS02985
OG0000608	ABKJ22_RS01805	NB626_RS01940
OG0000610	ABKJ22_RS01025	NB626_RS00775
OG0000611	ABKJ22_RS00090	NB626_RS00095
OG0000613	ABKJ22_RS01865	NB626_RS02020
OG0000622	ABKJ22_RS00760	NB626_RS02335
OG0000632	ABKJ22_RS01725	NB626_RS01880
