Orthogroup	MHP_1257_genes	MHP_133A_genes
OG0000104	ABKJ22_RS02190	NB626_RS02375
OG0000105	ABKJ22_RS02175	NB626_RS02395
OG0000106	ABKJ22_RS02165	NB626_RS02400
OG0000107	ABKJ22_RS02155	NB626_RS02410
OG0000108	ABKJ22_RS02150	NB626_RS02415
OG0000109	ABKJ22_RS02145	NB626_RS02420
OG0000110	ABKJ22_RS02340	NB626_RS02550
OG0000111	ABKJ22_RS02335	NB626_RS02545
OG0000112	ABKJ22_RS02325	NB626_RS02535
OG0000113	ABKJ22_RS02305	NB626_RS02510
OG0000114	ABKJ22_RS02295	NB626_RS02500
OG0000115	ABKJ22_RS02285	NB626_RS02490
OG0000116	ABKJ22_RS01315	NB626_RS01415
OG0000117	ABKJ22_RS01320	NB626_RS01420
OG0000118	ABKJ22_RS01355	NB626_RS01455
OG0000119	ABKJ22_RS01360	NB626_RS01460
OG0000120	ABKJ22_RS01375	NB626_RS01475
OG0000121	ABKJ22_RS01400	NB626_RS01505
OG0000122	ABKJ22_RS01405	NB626_RS01510
OG0000123	ABKJ22_RS01425	NB626_RS01530
OG0000124	ABKJ22_RS01430	NB626_RS01535
OG0000125	ABKJ22_RS01435	NB626_RS01540
OG0000126	ABKJ22_RS01445	NB626_RS01550
OG0000127	ABKJ22_RS01455	NB626_RS01560
OG0000128	ABKJ22_RS01470	NB626_RS01575
OG0000129	ABKJ22_RS01475	NB626_RS01580
OG0000130	ABKJ22_RS01485	NB626_RS01590
OG0000131	ABKJ22_RS01515	NB626_RS01620
OG0000132	ABKJ22_RS01530	NB626_RS01635
OG0000133	ABKJ22_RS00530	NB626_RS00630
OG0000134	ABKJ22_RS00535	NB626_RS00635
OG0000135	ABKJ22_RS00550	NB626_RS00650
OG0000136	ABKJ22_RS00555	NB626_RS00655
OG0000137	ABKJ22_RS00585	NB626_RS00685
OG0000138	ABKJ22_RS01080	NB626_RS00720
OG0000139	ABKJ22_RS01050	NB626_RS00750
OG0000140	ABKJ22_RS01045	NB626_RS00755
OG0000141	ABKJ22_RS02875	NB626_RS03115
OG0000142	ABKJ22_RS02870	NB626_RS03110
OG0000143	ABKJ22_RS02850	NB626_RS03095
OG0000144	ABKJ22_RS02840	NB626_RS03080
OG0000145	ABKJ22_RS02830	NB626_RS03070
OG0000146	ABKJ22_RS02820	NB626_RS03060
OG0000147	ABKJ22_RS02815	NB626_RS03055
OG0000148	ABKJ22_RS02800	NB626_RS03040
OG0000149	ABKJ22_RS02790	NB626_RS03030
OG0000150	ABKJ22_RS02775	NB626_RS03025
OG0000151	ABKJ22_RS02720	NB626_RS02965
OG0000152	ABKJ22_RS02715	NB626_RS02960
OG0000153	ABKJ22_RS02710	NB626_RS02955
OG0000154	ABKJ22_RS02700	NB626_RS02945
OG0000155	ABKJ22_RS02660	NB626_RS02905
OG0000156	ABKJ22_RS02650	NB626_RS02895
OG0000157	ABKJ22_RS02645	NB626_RS02890
OG0000158	ABKJ22_RS02635	NB626_RS02880
OG0000159	ABKJ22_RS02410	NB626_RS02640
OG0000160	ABKJ22_RS02405	NB626_RS02635
OG0000161	ABKJ22_RS02400	NB626_RS02630
OG0000162	ABKJ22_RS02390	NB626_RS02620
OG0000163	ABKJ22_RS02385	NB626_RS02615
OG0000164	ABKJ22_RS01610	NB626_RS01715
OG0000165	ABKJ22_RS01915	NB626_RS02075
OG0000166	ABKJ22_RS01935	NB626_RS02090
OG0000167	ABKJ22_RS01950	NB626_RS02105
OG0000168	ABKJ22_RS01955	NB626_RS02110
OG0000169	ABKJ22_RS02950	NB626_RS03230
OG0000170	ABKJ22_RS02965	NB626_RS03245
OG0000171	ABKJ22_RS02975	NB626_RS03255
OG0000172	ABKJ22_RS02980	NB626_RS03260
OG0000173	ABKJ22_RS02985	NB626_RS03265
OG0000174	ABKJ22_RS02990	NB626_RS03270
OG0000175	ABKJ22_RS03005	NB626_RS03290
OG0000176	ABKJ22_RS03050	NB626_RS03345
OG0000177	ABKJ22_RS03055	NB626_RS03350
OG0000178	ABKJ22_RS03060	NB626_RS03355
OG0000179	ABKJ22_RS03070	NB626_RS03365
OG0000180	ABKJ22_RS03075	NB626_RS03370
OG0000181	ABKJ22_RS03105	NB626_RS03410
OG0000182	ABKJ22_RS03115	NB626_RS03420
OG0000183	ABKJ22_RS03150	NB626_RS03455
OG0000184	ABKJ22_RS03190	NB626_RS03500
OG0000185	ABKJ22_RS03175	NB626_RS03485
OG0000186	ABKJ22_RS01540	NB626_RS01645
OG0000187	ABKJ22_RS01555	NB626_RS01660
OG0000188	ABKJ22_RS01565	NB626_RS01670
OG0000189	ABKJ22_RS02110	NB626_RS02460
OG0000190	ABKJ22_RS02115	NB626_RS02455
OG0000191	ABKJ22_RS02135	NB626_RS02430
OG0000192	ABKJ22_RS01230	NB626_RS01335
OG0000193	ABKJ22_RS01220	NB626_RS01320
OG0000194	ABKJ22_RS01010	NB626_RS00790
OG0000195	ABKJ22_RS01005	NB626_RS00795
OG0000196	ABKJ22_RS00985	NB626_RS00820
OG0000197	ABKJ22_RS00980	NB626_RS00830
OG0000198	ABKJ22_RS00965	NB626_RS00840
OG0000199	ABKJ22_RS00960	NB626_RS00845
OG0000200	ABKJ22_RS00945	NB626_RS00860
OG0000201	ABKJ22_RS00935	NB626_RS00870
OG0000202	ABKJ22_RS00880	NB626_RS00940
OG0000203	ABKJ22_RS00875	NB626_RS00945
OG0000204	ABKJ22_RS00870	NB626_RS00950
OG0000205	ABKJ22_RS00865	NB626_RS00955
OG0000206	ABKJ22_RS00845	NB626_RS00975
OG0000207	ABKJ22_RS00830	NB626_RS00990
OG0000208	ABKJ22_RS00825	NB626_RS00995
OG0000209	ABKJ22_RS00820	NB626_RS01000
OG0000210	ABKJ22_RS00775	NB626_RS01050
OG0000211	ABKJ22_RS00745	NB626_RS01065
OG0000212	ABKJ22_RS00735	NB626_RS01070
OG0000213	ABKJ22_RS00730	NB626_RS01075
OG0000214	ABKJ22_RS00725	NB626_RS01080
OG0000215	ABKJ22_RS00720	NB626_RS01085
OG0000216	ABKJ22_RS00715	NB626_RS01090
OG0000217	ABKJ22_RS00710	NB626_RS01095
OG0000218	ABKJ22_RS00700	NB626_RS01105
OG0000219	ABKJ22_RS00695	NB626_RS01110
OG0000220	ABKJ22_RS00690	NB626_RS01115
OG0000221	ABKJ22_RS00685	NB626_RS01120
OG0000222	ABKJ22_RS00680	NB626_RS01125
OG0000223	ABKJ22_RS00675	NB626_RS01130
OG0000224	ABKJ22_RS00665	NB626_RS01140
OG0000225	ABKJ22_RS00655	NB626_RS01150
OG0000226	ABKJ22_RS00650	NB626_RS01155
OG0000227	ABKJ22_RS00645	NB626_RS01160
OG0000228	ABKJ22_RS00640	NB626_RS01165
OG0000229	ABKJ22_RS00635	NB626_RS01170
OG0000230	ABKJ22_RS00630	NB626_RS01180
OG0000231	ABKJ22_RS00620	NB626_RS01185
OG0000232	ABKJ22_RS00610	NB626_RS01195
OG0000233	ABKJ22_RS01110	NB626_RS01215
OG0000234	ABKJ22_RS01145	NB626_RS01250
OG0000235	ABKJ22_RS01155	NB626_RS01260
OG0000236	ABKJ22_RS01160	NB626_RS01265
OG0000237	ABKJ22_RS01165	NB626_RS01270
OG0000238	ABKJ22_RS01170	NB626_RS01275
OG0000239	ABKJ22_RS02885	NB626_RS03125
OG0000240	ABKJ22_RS02890	NB626_RS03130
OG0000241	ABKJ22_RS02900	NB626_RS03140
OG0000242	ABKJ22_RS02905	NB626_RS03145
OG0000243	ABKJ22_RS02910	NB626_RS03150
OG0000244	ABKJ22_RS02920	NB626_RS03160
OG0000245	ABKJ22_RS02930	NB626_RS03170
OG0000246	ABKJ22_RS00135	NB626_RS00140
OG0000247	ABKJ22_RS00145	NB626_RS00150
OG0000248	ABKJ22_RS00155	NB626_RS00160
OG0000249	ABKJ22_RS00160	NB626_RS00165
OG0000250	ABKJ22_RS00175	NB626_RS00180
OG0000251	ABKJ22_RS00205	NB626_RS00215
OG0000252	ABKJ22_RS00215	NB626_RS00220
OG0000253	ABKJ22_RS00220	NB626_RS00225
OG0000254	ABKJ22_RS00230	NB626_RS00235
OG0000255	ABKJ22_RS00235	NB626_RS00240
OG0000256	ABKJ22_RS00240	NB626_RS00250
OG0000257	ABKJ22_RS00265	NB626_RS00270
OG0000258	ABKJ22_RS00275	NB626_RS00280
OG0000259	ABKJ22_RS00305	NB626_RS00310
OG0000260	ABKJ22_RS00315	NB626_RS00320
OG0000261	ABKJ22_RS00325	NB626_RS00330
OG0000262	ABKJ22_RS00340	NB626_RS00350
OG0000263	ABKJ22_RS00355	NB626_RS00365
OG0000264	ABKJ22_RS00370	NB626_RS00380
OG0000265	ABKJ22_RS00380	NB626_RS00390
OG0000266	ABKJ22_RS00395	NB626_RS00405
OG0000267	ABKJ22_RS00410	NB626_RS00420
OG0000268	ABKJ22_RS00415	NB626_RS00520
OG0000269	ABKJ22_RS00440	NB626_RS00535
OG0000270	ABKJ22_RS03375	NB626_RS03700
OG0000271	ABKJ22_RS03370	NB626_RS03695
OG0000272	ABKJ22_RS03365	NB626_RS03690
OG0000273	ABKJ22_RS03360	NB626_RS03685
OG0000274	ABKJ22_RS03340	NB626_RS03670
OG0000275	ABKJ22_RS03335	NB626_RS03660
OG0000276	ABKJ22_RS03330	NB626_RS03655
OG0000277	ABKJ22_RS03320	NB626_RS03645
OG0000278	ABKJ22_RS03315	NB626_RS03640
OG0000279	ABKJ22_RS03305	NB626_RS03630
OG0000280	ABKJ22_RS03300	NB626_RS03620
OG0000281	ABKJ22_RS03295	NB626_RS03615
OG0000282	ABKJ22_RS03270	NB626_RS03590
OG0000283	ABKJ22_RS03265	NB626_RS03585
OG0000284	ABKJ22_RS03260	NB626_RS03580
OG0000285	ABKJ22_RS03255	NB626_RS03575
OG0000286	ABKJ22_RS02370	NB626_RS02600
OG0000287	ABKJ22_RS02465	NB626_RS02700
OG0000288	ABKJ22_RS02475	NB626_RS02710
OG0000289	ABKJ22_RS02480	NB626_RS02715
OG0000290	ABKJ22_RS02590	NB626_RS02830
OG0000291	ABKJ22_RS02580	NB626_RS02820
OG0000292	ABKJ22_RS02575	NB626_RS02815
OG0000293	ABKJ22_RS02570	NB626_RS02810
OG0000294	ABKJ22_RS02560	NB626_RS02800
OG0000295	ABKJ22_RS02555	NB626_RS02795
OG0000296	ABKJ22_RS02515	NB626_RS02750
OG0000297	ABKJ22_RS02510	NB626_RS02745
OG0000298	ABKJ22_RS00170	NB626_RS00175
OG0000299	ABKJ22_RS00190	NB626_RS00195
OG0000300	ABKJ22_RS00365	NB626_RS00375
OG0000301	ABKJ22_RS00400	NB626_RS00410
OG0000302	ABKJ22_RS00405	NB626_RS00415
OG0000303	ABKJ22_RS00560	NB626_RS00660
OG0000304	ABKJ22_RS00605	NB626_RS01200
OG0000305	ABKJ22_RS02825	NB626_RS03065
OG0000306	ABKJ22_RS02745	NB626_RS02990
OG0000307	ABKJ22_RS02705	NB626_RS02950
OG0000308	ABKJ22_RS02610	NB626_RS02850
OG0000309	ABKJ22_RS02545	NB626_RS02785
OG0000310	ABKJ22_RS02470	NB626_RS02705
OG0000311	ABKJ22_RS02430	NB626_RS02660
OG0000312	ABKJ22_RS02415	NB626_RS02645
OG0000313	ABKJ22_RS01600	NB626_RS01705
OG0000314	ABKJ22_RS01930	NB626_RS02085
OG0000315	ABKJ22_RS01960	NB626_RS02115
OG0000316	ABKJ22_RS01970	NB626_RS02125
OG0000317	ABKJ22_RS02065	NB626_RS02225
OG0000318	ABKJ22_RS01975	NB626_RS02130
OG0000319	ABKJ22_RS02180	NB626_RS02385
OG0000320	ABKJ22_RS02315	NB626_RS02525
OG0000321	ABKJ22_RS01350	NB626_RS01450
OG0000322	ABKJ22_RS01395	NB626_RS01500
OG0000323	ABKJ22_RS01525	NB626_RS01630
OG0000324	ABKJ22_RS02140	NB626_RS02425
OG0000325	ABKJ22_RS01000	NB626_RS00805
OG0000326	ABKJ22_RS00905	NB626_RS00910
OG0000327	ABKJ22_RS00900	NB626_RS00915
OG0000328	ABKJ22_RS00815	NB626_RS01005
OG0000329	ABKJ22_RS00795	NB626_RS01035
OG0000330	ABKJ22_RS01120	NB626_RS01225
OG0000331	ABKJ22_RS02915	NB626_RS03155
OG0000332	ABKJ22_RS03015	NB626_RS03300
OG0000333	ABKJ22_RS03025	NB626_RS03310
OG0000334	ABKJ22_RS03110	NB626_RS03415
OG0000335	ABKJ22_RS03120	NB626_RS03425
OG0000336	ABKJ22_RS03285	NB626_RS03605
OG0000337	ABKJ22_RS03460	NB626_RS03780
OG0000338	ABKJ22_RS03500	NB626_RS03820
OG0000339	ABKJ22_RS02290	NB626_RS02495
OG0000340	ABKJ22_RS01330	NB626_RS01430
OG0000341	ABKJ22_RS02120	NB626_RS02450
OG0000342	ABKJ22_RS00970	NB626_RS00835
OG0000343	ABKJ22_RS03035	NB626_RS03320
OG0000344	ABKJ22_RS00575	NB626_RS00675
OG0000345	ABKJ22_RS00660	NB626_RS01145
OG0000346	ABKJ22_RS03290	NB626_RS03610
OG0000347	ABKJ22_RS01420	NB626_RS01525
OG0000348	ABKJ22_RS00895	NB626_RS00920
OG0000349	ABKJ22_RS03350	NB626_RS03675
OG0000350	ABKJ22_RS02695	NB626_RS02940
OG0000351	ABKJ22_RS00495	NB626_RS00590
OG0000352	ABKJ22_RS01910	NB626_RS02065
OG0000353	ABKJ22_RS01390	NB626_RS01490
OG0000354	ABKJ22_RS01065	NB626_RS00735
OG0000355	ABKJ22_RS01885	NB626_RS02040
OG0000356	ABKJ22_RS01965	NB626_RS02120
OG0000357	ABKJ22_RS02995	NB626_RS03275
OG0000358	ABKJ22_RS03000	NB626_RS03280
OG0000359	ABKJ22_RS00925	NB626_RS00880
OG0000360	ABKJ22_RS00270	NB626_RS00275
OG0000361	ABKJ22_RS00300	NB626_RS00305
OG0000362	ABKJ22_RS02490	NB626_RS02725
OG0000363	ABKJ22_RS01460	NB626_RS01565
OG0000364	ABKJ22_RS01860	NB626_RS02015
OG0000365	ABKJ22_RS02015	NB626_RS02175
OG0000366	ABKJ22_RS02035	NB626_RS02195
OG0000367	ABKJ22_RS02045	NB626_RS02205
OG0000368	ABKJ22_RS00060	NB626_RS00060
OG0000369	ABKJ22_RS00025	NB626_RS00025
OG0000370	ABKJ22_RS00020	NB626_RS00020
OG0000371	ABKJ22_RS00015	NB626_RS00015
OG0000372	ABKJ22_RS00010	NB626_RS00010
OG0000373	ABKJ22_RS03490	NB626_RS03810
OG0000374	ABKJ22_RS03480	NB626_RS03800
OG0000375	ABKJ22_RS02185	NB626_RS02380
OG0000376	ABKJ22_RS02330	NB626_RS02540
OG0000377	ABKJ22_RS02320	NB626_RS02530
OG0000379	ABKJ22_RS01385	NB626_RS01485
OG0000380	ABKJ22_RS01410	NB626_RS01520
OG0000381	ABKJ22_RS01450	NB626_RS01555
OG0000382	ABKJ22_RS01480	NB626_RS01585
OG0000383	ABKJ22_RS01520	NB626_RS01625
OG0000384	ABKJ22_RS00515	NB626_RS00615
OG0000385	ABKJ22_RS00520	NB626_RS00625
OG0000386	ABKJ22_RS00540	NB626_RS00640
OG0000387	ABKJ22_RS00565	NB626_RS00665
OG0000388	ABKJ22_RS00570	NB626_RS00670
OG0000389	ABKJ22_RS01085	NB626_RS00715
OG0000390	ABKJ22_RS02845	NB626_RS03085
OG0000391	ABKJ22_RS02835	NB626_RS03075
OG0000392	ABKJ22_RS02810	NB626_RS03050
OG0000393	ABKJ22_RS02755	NB626_RS02995
OG0000394	ABKJ22_RS02670	NB626_RS02915
OG0000395	ABKJ22_RS02665	NB626_RS02910
OG0000396	ABKJ22_RS02375	NB626_RS02605
OG0000397	ABKJ22_RS01895	NB626_RS02050
OG0000398	ABKJ22_RS01900	NB626_RS02060
OG0000399	ABKJ22_RS01945	NB626_RS02100
OG0000400	ABKJ22_RS02960	NB626_RS03240
OG0000401	ABKJ22_RS03020	NB626_RS03305
OG0000402	ABKJ22_RS03030	NB626_RS03315
OG0000403	ABKJ22_RS03040	NB626_RS03325
OG0000404	ABKJ22_RS03065	NB626_RS03360
OG0000405	ABKJ22_RS03080	NB626_RS03375
OG0000406	ABKJ22_RS03125	NB626_RS03430
OG0000407	ABKJ22_RS03130	NB626_RS03435
OG0000408	ABKJ22_RS03135	NB626_RS03440
OG0000409	ABKJ22_RS03140	NB626_RS03445
OG0000410	ABKJ22_RS03195	NB626_RS03510
OG0000411	ABKJ22_RS03185	NB626_RS03495
OG0000412	ABKJ22_RS03180	NB626_RS03490
OG0000413	ABKJ22_RS01535	NB626_RS01640
OG0000414	ABKJ22_RS01545	NB626_RS01650
OG0000415	ABKJ22_RS01550	NB626_RS01655
OG0000416	ABKJ22_RS01560	NB626_RS01665
OG0000417	ABKJ22_RS02125	NB626_RS02445
OG0000418	ABKJ22_RS02130	NB626_RS02435
OG0000419	ABKJ22_RS00990	NB626_RS00815
OG0000420	ABKJ22_RS00955	NB626_RS00850
OG0000421	ABKJ22_RS00920	NB626_RS00895
OG0000422	ABKJ22_RS00910	NB626_RS00905
OG0000423	ABKJ22_RS00855	NB626_RS00965
OG0000424	ABKJ22_RS00850	NB626_RS00970
OG0000425	ABKJ22_RS00840	NB626_RS00980
OG0000426	ABKJ22_RS00835	NB626_RS00985
OG0000427	ABKJ22_RS00810	NB626_RS01010
OG0000428	ABKJ22_RS00785	NB626_RS01040
OG0000429	ABKJ22_RS00670	NB626_RS01135
OG0000431	ABKJ22_RS00615	NB626_RS01190
OG0000432	ABKJ22_RS01115	NB626_RS01220
OG0000433	ABKJ22_RS01130	NB626_RS01235
OG0000434	ABKJ22_RS01135	NB626_RS01245
OG0000435	ABKJ22_RS01150	NB626_RS01255
OG0000436	ABKJ22_RS01175	NB626_RS01280
OG0000437	ABKJ22_RS01185	NB626_RS01290
OG0000438	ABKJ22_RS01190	NB626_RS01295
OG0000439	ABKJ22_RS01195	NB626_RS01300
OG0000440	ABKJ22_RS02895	NB626_RS03135
OG0000441	ABKJ22_RS02935	NB626_RS03180
OG0000442	ABKJ22_RS00140	NB626_RS00145
OG0000443	ABKJ22_RS00185	NB626_RS00190
OG0000444	ABKJ22_RS00200	NB626_RS00205
OG0000445	ABKJ22_RS00225	NB626_RS00230
OG0000446	ABKJ22_RS00250	NB626_RS00255
OG0000447	ABKJ22_RS00255	NB626_RS00265
OG0000448	ABKJ22_RS00285	NB626_RS00290
OG0000449	ABKJ22_RS00310	NB626_RS00315
OG0000450	ABKJ22_RS00320	NB626_RS00325
OG0000451	ABKJ22_RS00360	NB626_RS00370
OG0000452	ABKJ22_RS00385	NB626_RS00395
OG0000453	ABKJ22_RS00420	NB626_RS00525
OG0000454	ABKJ22_RS01580	NB626_RS01685
OG0000455	ABKJ22_RS03395	NB626_RS03720
OG0000456	ABKJ22_RS03275	NB626_RS03595
OG0000457	ABKJ22_RS03250	NB626_RS03565
OG0000458	ABKJ22_RS02460	NB626_RS02695
OG0000459	ABKJ22_RS02485	NB626_RS02720
OG0000460	ABKJ22_RS02495	NB626_RS02730
OG0000461	ABKJ22_RS02540	NB626_RS02775
OG0000462	ABKJ22_RS02535	NB626_RS02770
OG0000463	ABKJ22_RS02530	NB626_RS02765
OG0000464	ABKJ22_RS02525	NB626_RS02760
OG0000465	ABKJ22_RS02520	NB626_RS02755
OG0000466	ABKJ22_RS00390	NB626_RS00400
OG0000467	ABKJ22_RS02620	NB626_RS02860
OG0000468	ABKJ22_RS01940	NB626_RS02095
OG0000469	ABKJ22_RS02000	NB626_RS02160
OG0000470	ABKJ22_RS00860	NB626_RS00960
OG0000471	ABKJ22_RS00780	NB626_RS01045
OG0000472	ABKJ22_RS03205	NB626_RS03515
OG0000473	ABKJ22_RS03380	NB626_RS03705
OG0000474	ABKJ22_RS03385	NB626_RS03710
OG0000475	ABKJ22_RS03390	NB626_RS03715
OG0000476	ABKJ22_RS01570	NB626_RS01675
OG0000477	ABKJ22_RS02565	NB626_RS02805
OG0000478	ABKJ22_RS03325	NB626_RS03650
OG0000479	ABKJ22_RS01345	NB626_RS01445
OG0000480	ABKJ22_RS02005	NB626_RS02165
OG0000481	ABKJ22_RS00885	NB626_RS00935
OG0000482	ABKJ22_RS01225	NB626_RS01325
OG0000483	ABKJ22_RS02050	NB626_RS02210
OG0000484	ABKJ22_RS00195	NB626_RS00200
OG0000485	ABKJ22_RS01180	NB626_RS01285
OG0000486	ABKJ22_RS02105	NB626_RS02465
OG0000487	ABKJ22_RS01980	NB626_RS02150
OG0000488	ABKJ22_RS02020	NB626_RS02180
OG0000489	ABKJ22_RS00050	NB626_RS00050
