Orthogroup	MHP_ES2_genes	MFC_MF30_genes
OG0000071	E5E95_RS03485	DR084_RS01120, DR084_RS02230
OG0000072	E5E95_RS03490	DR084_RS03585
OG0000073	E5E95_RS00705	DR084_RS01245
OG0000074	E5E95_RS00900	DR084_RS03540
OG0000076	E5E95_RS00355	DR084_RS00190
OG0000077	E5E95_RS00445	DR084_RS00275
OG0000078	E5E95_RS01790	DR084_RS00725
OG0000079	E5E95_RS02760	DR084_RS00835
OG0000080	E5E95_RS03935	DR084_RS03130
OG0000081	E5E95_RS00335	DR084_RS00170
OG0000082	E5E95_RS02605	DR084_RS00895
OG0000083	E5E95_RS02140	DR084_RS02845
OG0000084	E5E95_RS02165	DR084_RS02690
OG0000085	E5E95_RS02170	DR084_RS02695
OG0000086	E5E95_RS02180	DR084_RS03665
OG0000087	E5E95_RS02195	DR084_RS02720
OG0000088	E5E95_RS02200	DR084_RS02725
OG0000089	E5E95_RS02210	DR084_RS02735
OG0000090	E5E95_RS00070	DR084_RS02370
OG0000091	E5E95_RS00055	DR084_RS02355
OG0000092	E5E95_RS00040	DR084_RS02340
OG0000093	E5E95_RS00035	DR084_RS02335
OG0000094	E5E95_RS00030	DR084_RS02330
OG0000095	E5E95_RS00005	DR084_RS02305
OG0000096	E5E95_RS03840	DR084_RS02300
OG0000097	E5E95_RS03820	DR084_RS02280
OG0000098	E5E95_RS03810	DR084_RS02270
OG0000099	E5E95_RS03760	DR084_RS02520
OG0000100	E5E95_RS03740	DR084_RS02510
OG0000101	E5E95_RS03735	DR084_RS02505
OG0000102	E5E95_RS01815	DR084_RS02495
OG0000103	E5E95_RS02330	DR084_RS01780
OG0000104	E5E95_RS02335	DR084_RS01785
OG0000105	E5E95_RS02350	DR084_RS01800
OG0000106	E5E95_RS02360	DR084_RS01810
OG0000107	E5E95_RS02370	DR084_RS01820
OG0000108	E5E95_RS02375	DR084_RS01825
OG0000109	E5E95_RS02380	DR084_RS01830
OG0000110	E5E95_RS02595	DR084_RS01835
OG0000111	E5E95_RS02590	DR084_RS01840
OG0000112	E5E95_RS02580	DR084_RS01850
OG0000113	E5E95_RS02560	DR084_RS03550
OG0000114	E5E95_RS04300	DR084_RS01875
OG0000115	E5E95_RS02535	DR084_RS01885
OG0000116	E5E95_RS01315	DR084_RS01895
OG0000117	E5E95_RS01320	DR084_RS01900
OG0000118	E5E95_RS01355	DR084_RS01930
OG0000119	E5E95_RS01360	DR084_RS01935
OG0000120	E5E95_RS01375	DR084_RS01950
OG0000121	E5E95_RS01400	DR084_RS01975
OG0000122	E5E95_RS01405	DR084_RS01980
OG0000123	E5E95_RS01425	DR084_RS02000
OG0000124	E5E95_RS01430	DR084_RS02005
OG0000125	E5E95_RS01435	DR084_RS02010
OG0000126	E5E95_RS01445	DR084_RS02020
OG0000127	E5E95_RS01455	DR084_RS02030
OG0000128	E5E95_RS01470	DR084_RS02760
OG0000129	E5E95_RS01475	DR084_RS02765
OG0000130	E5E95_RS01485	DR084_RS02775
OG0000131	E5E95_RS01515	DR084_RS02805
OG0000132	E5E95_RS01530	DR084_RS03675
OG0000133	E5E95_RS00530	DR084_RS00350
OG0000134	E5E95_RS00535	DR084_RS03455
OG0000135	E5E95_RS00550	DR084_RS00370
OG0000136	E5E95_RS00555	DR084_RS00375
OG0000137	E5E95_RS00585	DR084_RS00405
OG0000138	E5E95_RS00620	DR084_RS00430
OG0000139	E5E95_RS00650	DR084_RS00460
OG0000140	E5E95_RS00655	DR084_RS00465
OG0000141	E5E95_RS03135	DR084_RS00490
OG0000142	E5E95_RS03130	DR084_RS03470
OG0000143	E5E95_RS03105	DR084_RS00520
OG0000144	E5E95_RS03095	DR084_RS00530
OG0000145	E5E95_RS03085	DR084_RS00540
OG0000146	E5E95_RS03075	DR084_RS00550
OG0000147	E5E95_RS03070	DR084_RS00555
OG0000148	E5E95_RS03055	DR084_RS00570
OG0000149	E5E95_RS03045	DR084_RS00580
OG0000150	E5E95_RS03030	DR084_RS00595
OG0000151	E5E95_RS02985	DR084_RS00645
OG0000152	E5E95_RS02980	DR084_RS00650
OG0000153	E5E95_RS02975	DR084_RS00655
OG0000154	E5E95_RS02965	DR084_RS00665
OG0000155	E5E95_RS02925	DR084_RS00685
OG0000156	E5E95_RS02915	DR084_RS00700
OG0000157	E5E95_RS02910	DR084_RS03475
OG0000158	E5E95_RS02905	DR084_RS03480
OG0000159	E5E95_RS04310	DR084_RS00950
OG0000160	E5E95_RS02665	DR084_RS00955
OG0000161	E5E95_RS02660	DR084_RS00960
OG0000162	E5E95_RS02650	DR084_RS02975, DR084_RS00970
OG0000163	E5E95_RS02645	DR084_RS00975
OG0000164	E5E95_RS01630	DR084_RS03490
OG0000165	E5E95_RS02055	DR084_RS01050
OG0000166	E5E95_RS02080	DR084_RS01070
OG0000167	E5E95_RS02095	DR084_RS01085
OG0000168	E5E95_RS02100	DR084_RS01090
OG0000169	E5E95_RS03255	DR084_RS02045
OG0000170	E5E95_RS03270	DR084_RS02060
OG0000171	E5E95_RS03280	DR084_RS02070
OG0000172	E5E95_RS03285	DR084_RS02075
OG0000173	E5E95_RS03290	DR084_RS02080
OG0000174	E5E95_RS03295	DR084_RS02085
OG0000175	E5E95_RS03310	DR084_RS02100
OG0000176	E5E95_RS03360	DR084_RS02140
OG0000177	E5E95_RS03365	DR084_RS02145
OG0000178	E5E95_RS03370	DR084_RS02150
OG0000179	E5E95_RS03380	DR084_RS02160
OG0000180	E5E95_RS03385	DR084_RS02165
OG0000181	E5E95_RS03435	DR084_RS03570
OG0000182	E5E95_RS03445	DR084_RS02190
OG0000183	E5E95_RS03480	DR084_RS02225
OG0000184	E5E95_RS03525	DR084_RS02865
OG0000185	E5E95_RS03510	DR084_RS02880
OG0000186	E5E95_RS01540	DR084_RS01135
OG0000187	E5E95_RS01555	DR084_RS01150
OG0000188	E5E95_RS01565	DR084_RS01160
OG0000189	E5E95_RS02415	DR084_RS03510
OG0000190	E5E95_RS02410	DR084_RS01175
OG0000191	E5E95_RS02390	DR084_RS01195
OG0000192	E5E95_RS01235	DR084_RS01205
OG0000193	E5E95_RS01225	DR084_RS01220
OG0000194	E5E95_RS00690	DR084_RS01230
OG0000195	E5E95_RS00695	DR084_RS01235
OG0000196	E5E95_RS00715	DR084_RS03515
OG0000197	E5E95_RS00720	DR084_RS01260
OG0000198	E5E95_RS00735	DR084_RS01275
OG0000199	E5E95_RS00740	DR084_RS01280
OG0000200	E5E95_RS00755	DR084_RS01295
OG0000201	E5E95_RS00765	DR084_RS01305
OG0000202	E5E95_RS00820	DR084_RS01360
OG0000203	E5E95_RS00825	DR084_RS01365
OG0000204	E5E95_RS00830	DR084_RS01370
OG0000205	E5E95_RS00835	DR084_RS01375
OG0000206	E5E95_RS00855	DR084_RS01395
OG0000207	E5E95_RS00870	DR084_RS01410
OG0000208	E5E95_RS00875	DR084_RS01415
OG0000209	E5E95_RS00880	DR084_RS01420
OG0000210	E5E95_RS00925	DR084_RS01465
OG0000211	E5E95_RS00955	DR084_RS01475
OG0000212	E5E95_RS00965	DR084_RS01485
OG0000213	E5E95_RS00970	DR084_RS01490
OG0000214	E5E95_RS00975	DR084_RS01495
OG0000215	E5E95_RS00980	DR084_RS01500
OG0000216	E5E95_RS00985	DR084_RS01505
OG0000217	E5E95_RS00995	DR084_RS01510
OG0000218	E5E95_RS01000	DR084_RS01520
OG0000219	E5E95_RS01005	DR084_RS01525
OG0000220	E5E95_RS01010	DR084_RS01530
OG0000221	E5E95_RS01015	DR084_RS01535
OG0000222	E5E95_RS01020	DR084_RS01540
OG0000223	E5E95_RS01025	DR084_RS01545
OG0000224	E5E95_RS01035	DR084_RS01555
OG0000225	E5E95_RS01045	DR084_RS01565
OG0000226	E5E95_RS01050	DR084_RS01570
OG0000227	E5E95_RS01055	DR084_RS01575
OG0000228	E5E95_RS04285	DR084_RS03705
OG0000229	E5E95_RS01065	DR084_RS01585
OG0000230	E5E95_RS01070	DR084_RS01590
OG0000231	E5E95_RS01080	DR084_RS01600
OG0000232	E5E95_RS01090	DR084_RS01610
OG0000233	E5E95_RS01110	DR084_RS01620
OG0000234	E5E95_RS01145	DR084_RS01650
OG0000235	E5E95_RS01155	DR084_RS01660
OG0000236	E5E95_RS01160	DR084_RS01665
OG0000237	E5E95_RS01165	DR084_RS01680
OG0000238	E5E95_RS01175	DR084_RS01685
OG0000239	E5E95_RS03145	DR084_RS01715
OG0000240	E5E95_RS03150	DR084_RS01720
OG0000241	E5E95_RS03160	DR084_RS01730
OG0000242	E5E95_RS03165	DR084_RS01735
OG0000243	E5E95_RS03170	DR084_RS01740
OG0000244	E5E95_RS03180	DR084_RS01750
OG0000245	E5E95_RS03190	DR084_RS01760
OG0000246	E5E95_RS00130	DR084_RS02385
OG0000247	E5E95_RS00140	DR084_RS02395
OG0000248	E5E95_RS00150	DR084_RS02420
OG0000249	E5E95_RS00155	DR084_RS02425
OG0000250	E5E95_RS00170	DR084_RS00015
OG0000251	E5E95_RS00205	DR084_RS00045
OG0000252	E5E95_RS00215	DR084_RS00055
OG0000253	E5E95_RS00220	DR084_RS00060
OG0000254	E5E95_RS00230	DR084_RS00070
OG0000255	E5E95_RS00240	DR084_RS00075
OG0000256	E5E95_RS00245	DR084_RS00080
OG0000257	E5E95_RS00270	DR084_RS00105
OG0000258	E5E95_RS00280	DR084_RS00115
OG0000259	E5E95_RS00310	DR084_RS00145
OG0000260	E5E95_RS00320	DR084_RS00155
OG0000261	E5E95_RS00330	DR084_RS03450
OG0000262	E5E95_RS00350	DR084_RS00180
OG0000263	E5E95_RS00360	DR084_RS00195
OG0000264	E5E95_RS00375	DR084_RS00210
OG0000265	E5E95_RS00385	DR084_RS00220
OG0000266	E5E95_RS00400	DR084_RS00235
OG0000267	E5E95_RS00415	DR084_RS00250
OG0000268	E5E95_RS00420	DR084_RS00255
OG0000269	E5E95_RS00435	DR084_RS00270
OG0000270	E5E95_RS03710	DR084_RS03610
OG0000271	E5E95_RS03705	DR084_RS02445
OG0000272	E5E95_RS03700	DR084_RS02440
OG0000273	E5E95_RS03695	DR084_RS02435
OG0000274	E5E95_RS03675	DR084_RS02555
OG0000275	E5E95_RS03670	DR084_RS03630
OG0000276	E5E95_RS03665	DR084_RS02565
OG0000277	E5E95_RS03655	DR084_RS03635
OG0000278	E5E95_RS03650	DR084_RS02580
OG0000279	E5E95_RS03640	DR084_RS02590
OG0000280	E5E95_RS03635	DR084_RS02595
OG0000281	E5E95_RS03630	DR084_RS02600
OG0000282	E5E95_RS03605	DR084_RS02625
OG0000283	E5E95_RS03600	DR084_RS02630
OG0000284	E5E95_RS03595	DR084_RS02635
OG0000285	E5E95_RS03590	DR084_RS03650
OG0000286	E5E95_RS04305	DR084_RS00900
OG0000287	E5E95_RS02720	DR084_RS00875
OG0000288	E5E95_RS02730	DR084_RS00865
OG0000289	E5E95_RS02735	DR084_RS00860
OG0000290	E5E95_RS02845	DR084_RS00750
OG0000291	E5E95_RS02835	DR084_RS00760
OG0000292	E5E95_RS02830	DR084_RS00765
OG0000293	E5E95_RS02825	DR084_RS00770
OG0000294	E5E95_RS02815	DR084_RS00780
OG0000295	E5E95_RS02810	DR084_RS00785
OG0000296	E5E95_RS02770	DR084_RS00825
OG0000297	E5E95_RS02765	DR084_RS00830
OG0000298	E5E95_RS00165	DR084_RS00010
OG0000299	E5E95_RS00190	DR084_RS00030
OG0000300	E5E95_RS00370	DR084_RS00205
OG0000301	E5E95_RS00405	DR084_RS00240
OG0000302	E5E95_RS00410	DR084_RS00245
OG0000303	E5E95_RS00560	DR084_RS00380
OG0000304	E5E95_RS01095	DR084_RS00415
OG0000305	E5E95_RS03080	DR084_RS00545
OG0000306	E5E95_RS03005	DR084_RS00625
OG0000307	E5E95_RS02970	DR084_RS00660
OG0000308	E5E95_RS02875	DR084_RS00740
OG0000309	E5E95_RS02800	DR084_RS00795
OG0000310	E5E95_RS02725	DR084_RS00870
OG0000311	E5E95_RS02690	DR084_RS00925
OG0000312	E5E95_RS02675	DR084_RS00945
OG0000313	E5E95_RS01620	DR084_RS00995
OG0000314	E5E95_RS02075	DR084_RS01065
OG0000315	E5E95_RS02105	DR084_RS01095
OG0000316	E5E95_RS02115	DR084_RS01105
OG0000317	E5E95_RS02205	DR084_RS02730
OG0000318	E5E95_RS02120	DR084_RS03680
OG0000319	E5E95_RS02345	DR084_RS01795
OG0000320	E5E95_RS02570	DR084_RS01860
OG0000321	E5E95_RS01350	DR084_RS01925
OG0000322	E5E95_RS01395	DR084_RS01970
OG0000323	E5E95_RS01525	DR084_RS02815
OG0000324	E5E95_RS02385	DR084_RS01200
OG0000325	E5E95_RS00700	DR084_RS01240
OG0000326	E5E95_RS00795	DR084_RS01335
OG0000327	E5E95_RS00800	DR084_RS01340
OG0000328	E5E95_RS00885	DR084_RS01425
OG0000329	E5E95_RS00905	DR084_RS01445
OG0000330	E5E95_RS01120	DR084_RS01630
OG0000331	E5E95_RS03175	DR084_RS01745
OG0000332	E5E95_RS03320	DR084_RS02110
OG0000333	E5E95_RS03330	DR084_RS02120
OG0000334	E5E95_RS03440	DR084_RS02185
OG0000335	E5E95_RS03450	DR084_RS03575
OG0000336	E5E95_RS03620	DR084_RS03645
OG0000337	E5E95_RS03795	DR084_RS02255
OG0000338	E5E95_RS03835	DR084_RS02295
OG0000339	E5E95_RS02540	DR084_RS01880
OG0000340	E5E95_RS01330	DR084_RS01905
OG0000341	E5E95_RS02405	DR084_RS01180
OG0000342	E5E95_RS00730	DR084_RS01270
OG0000343	E5E95_RS03340	DR084_RS02130
OG0000344	E5E95_RS00575	DR084_RS00395
OG0000345	E5E95_RS01040	DR084_RS01560
OG0000346	E5E95_RS03625	DR084_RS03640
OG0000347	E5E95_RS01420	DR084_RS01995
OG0000348	E5E95_RS00805	DR084_RS03525
OG0000349	E5E95_RS03685	DR084_RS02545
