Orthogroup	MHP_TB1_genes	MFC_MF18_genes
OG0000057	B5M19_RS01340	DR082_RS00685
OG0000062	B5M19_RS01970	DR082_RS00025
OG0000063	B5M19_RS01975	DR082_RS00020
OG0000064	B5M19_RS01990	DR082_RS00010
OG0000065	B5M19_RS02925	DR082_RS01905
OG0000066	B5M19_RS01220	DR082_RS02035
OG0000068	B5M19_RS04480	DR082_RS00640
OG0000069	B5M19_RS03520	DR082_RS00795
OG0000070	B5M19_RS02795	DR082_RS01115
OG0000071	B5M19_RS02995	DR082_RS01840
OG0000072	B5M19_RS02990	DR082_RS03775
OG0000073	B5M19_RS01840	DR082_RS02205
OG0000074	B5M19_RS01645	DR082_RS03730
OG0000075	B5M19_RS00265	DR082_RS00360
OG0000076	B5M19_RS00280	DR082_RS00375
OG0000077	B5M19_RS03440	DR082_RS00460
OG0000078	B5M19_RS02055	DR082_RS00920
OG0000079	B5M19_RS01010	DR082_RS01035
OG0000080	B5M19_RS03900	DR082_RS03280
OG0000081	B5M19_RS00260	DR082_RS00355
OG0000082	B5M19_RS04420, B5M19_RS04415	DR082_RS01095
OG0000083	B5M19_RS00845	DR082_RS02990
OG0000084	B5M19_RS02760	DR082_RS02700
OG0000085	B5M19_RS02755	DR082_RS03060, DR082_RS02705
OG0000086	B5M19_RS02745	DR082_RS03910
OG0000087	B5M19_RS02730	DR082_RS02730
OG0000088	B5M19_RS02725	DR082_RS02735
OG0000089	B5M19_RS03690	DR082_RS02745
OG0000090	B5M19_RS03775	DR082_RS00130
OG0000091	B5M19_RS04280	DR082_RS00115
OG0000092	B5M19_RS01895	DR082_RS00100
OG0000093	B5M19_RS01900	DR082_RS00095
OG0000094	B5M19_RS01905	DR082_RS00090
OG0000095	B5M19_RS04290	DR082_RS00065
OG0000096	B5M19_RS01935	DR082_RS00060
OG0000097	B5M19_RS01955	DR082_RS00040
OG0000098	B5M19_RS04295	DR082_RS00030
OG0000099	B5M19_RS00370	DR082_RS02420
OG0000100	B5M19_RS00385	DR082_RS02410
OG0000101	B5M19_RS00390	DR082_RS02405
OG0000102	B5M19_RS02080	DR082_RS02395
OG0000103	B5M19_RS02960	DR082_RS01870
OG0000104	B5M19_RS04460	DR082_RS01875
OG0000105	B5M19_RS02940	DR082_RS01890
