Orthogroup	MHP_TB1_genes	MHP_MHP691_genes
OG0000071	B5M19_RS02995	DR087_RS00780
OG0000072	B5M19_RS02990	DR087_RS02175
OG0000073	B5M19_RS01840	DR087_RS02200
OG0000074	B5M19_RS01645	DR087_RS04685
OG0000075	B5M19_RS00265	DR087_RS01860
OG0000077	B5M19_RS03440	DR087_RS03060
OG0000079	B5M19_RS01010	DR087_RS02980
OG0000080	B5M19_RS03900	DR087_RS04005
OG0000081	B5M19_RS00260	DR087_RS01855
OG0000082	B5M19_RS04415	DR087_RS01685
OG0000083	B5M19_RS00845	DR087_RS00065
OG0000084	B5M19_RS02760	DR087_RS00090
OG0000085	B5M19_RS02755	DR087_RS00095
OG0000086	B5M19_RS02745	DR087_RS00105
OG0000087	B5M19_RS02730	DR087_RS00120
OG0000088	B5M19_RS02725	DR087_RS00125
OG0000089	B5M19_RS03690	DR087_RS00135
OG0000090	B5M19_RS03775	DR087_RS00500
OG0000091	B5M19_RS04280	DR087_RS00485
OG0000092	B5M19_RS01895	DR087_RS00470
OG0000093	B5M19_RS01900	DR087_RS00465
OG0000094	B5M19_RS01905	DR087_RS00460
OG0000095	B5M19_RS04290	DR087_RS00435
OG0000096	B5M19_RS01935	DR087_RS00430
OG0000097	B5M19_RS01955	DR087_RS00410
OG0000098	B5M19_RS04295	DR087_RS00400
OG0000099	B5M19_RS00370	DR087_RS00775
OG0000100	B5M19_RS00385	DR087_RS00750
OG0000101	B5M19_RS00390	DR087_RS00745
OG0000102	B5M19_RS02080	DR087_RS02090
OG0000103	B5M19_RS02960	DR087_RS00180
OG0000104	B5M19_RS04460	DR087_RS00185
OG0000105	B5M19_RS02940	DR087_RS00200
OG0000106	B5M19_RS02930	DR087_RS00210
OG0000107	B5M19_RS04455	DR087_RS00220
OG0000108	B5M19_RS04620	DR087_RS00225
OG0000109	B5M19_RS02910	DR087_RS00230
OG0000110	B5M19_RS02660	DR087_RS01695
OG0000111	B5M19_RS02665	DR087_RS01700
OG0000112	B5M19_RS02675	DR087_RS01710
OG0000113	B5M19_RS02700	DR087_RS04610
OG0000114	B5M19_RS02710	DR087_RS01740
OG0000115	B5M19_RS03610	DR087_RS01750
OG0000116	B5M19_RS02580	DR087_RS03310
OG0000117	B5M19_RS02575	DR087_RS03305
OG0000118	B5M19_RS01235	DR087_RS01190
OG0000119	B5M19_RS01230	DR087_RS01185
OG0000120	B5M19_RS01215	DR087_RS01170
OG0000121	B5M19_RS01190	DR087_RS01145
OG0000122	B5M19_RS01185	DR087_RS01140
OG0000123	B5M19_RS01165	DR087_RS01120
OG0000124	B5M19_RS01160	DR087_RS01115
OG0000125	B5M19_RS01155	DR087_RS01110
OG0000126	B5M19_RS01145	DR087_RS01100
OG0000127	B5M19_RS01135	DR087_RS01090
OG0000128	B5M19_RS01115	DR087_RS01075
OG0000129	B5M19_RS01110	DR087_RS01070
OG0000130	B5M19_RS01100	DR087_RS01060
OG0000131	B5M19_RS01075	DR087_RS04535
OG0000132	B5M19_RS01060	DR087_RS04530
OG0000133	B5M19_RS02380	DR087_RS02865
OG0000134	B5M19_RS02385	DR087_RS02870
OG0000135	B5M19_RS02400	DR087_RS02885
OG0000136	B5M19_RS02405	DR087_RS02890
OG0000137	B5M19_RS02445	DR087_RS02930
OG0000138	B5M19_RS03090	DR087_RS03165
OG0000139	B5M19_RS03070	DR087_RS03135
OG0000140	B5M19_RS03065	DR087_RS03130
OG0000141	B5M19_RS01330	DR087_RS01495
OG0000142	B5M19_RS01335	DR087_RS04585
OG0000143	B5M19_RS01360	DR087_RS01465
OG0000144	B5M19_RS01370	DR087_RS01455
OG0000145	B5M19_RS01380	DR087_RS01445
OG0000146	B5M19_RS01390	DR087_RS01435
OG0000147	B5M19_RS01395	DR087_RS01430
OG0000148	B5M19_RS01410	DR087_RS01415
OG0000149	B5M19_RS01420	DR087_RS01405
OG0000150	B5M19_RS04180	DR087_RS01390
OG0000151	B5M19_RS02540	DR087_RS03290
OG0000152	B5M19_RS02535	DR087_RS03285
OG0000153	B5M19_RS02530	DR087_RS03280
OG0000154	B5M19_RS02520	DR087_RS03270
OG0000155	B5M19_RS02480	DR087_RS03545
OG0000156	B5M19_RS00860	DR087_RS01225
OG0000157	B5M19_RS00865	DR087_RS04555
OG0000158	B5M19_RS04580	DR087_RS04560
OG0000159	B5M19_RS02810	DR087_RS04805
OG0000160	B5M19_RS02815	DR087_RS02460
OG0000161	B5M19_RS02820	DR087_RS02455
OG0000162	B5M19_RS02830	DR087_RS02445
OG0000163	B5M19_RS02835	DR087_RS02440
OG0000164	B5M19_RS04495	DR087_RS03205
OG0000165	B5M19_RS00760	DR087_RS01520
OG0000166	B5M19_RS00785	DR087_RS00005
OG0000167	B5M19_RS00800	DR087_RS00020
OG0000168	B5M19_RS00805	DR087_RS00025
OG0000169	B5M19_RS01450	DR087_RS01010
OG0000170	B5M19_RS01465	DR087_RS00990
OG0000171	B5M19_RS01475	DR087_RS00980
OG0000172	B5M19_RS01480	DR087_RS00975
OG0000173	B5M19_RS01490	DR087_RS00970
OG0000174	B5M19_RS01495	DR087_RS00965
OG0000175	B5M19_RS01510	DR087_RS00950
OG0000176	B5M19_RS01560	DR087_RS00900
OG0000177	B5M19_RS01565	DR087_RS00895
OG0000178	B5M19_RS04200	DR087_RS00890
OG0000179	B5M19_RS01580	DR087_RS00880
OG0000180	B5M19_RS01585	DR087_RS00875
OG0000181	B5M19_RS03045	DR087_RS04520
OG0000182	B5M19_RS03035	DR087_RS00820
OG0000183	B5M19_RS03000	DR087_RS00785
OG0000184	B5M19_RS03105	DR087_RS02140
OG0000185	B5M19_RS03120	DR087_RS02155
OG0000186	B5M19_RS03550	DR087_RS04735
OG0000187	B5M19_RS03535	DR087_RS03425
OG0000188	B5M19_RS03525	DR087_RS03415
OG0000189	B5M19_RS03210	DR087_RS04425
OG0000190	B5M19_RS03215	DR087_RS00260
OG0000191	B5M19_RS03235	DR087_RS00240
OG0000192	B5M19_RS03675	DR087_RS02805
OG0000193	B5M19_RS02360	DR087_RS02790
OG0000194	B5M19_RS01855	DR087_RS02185
OG0000195	B5M19_RS01850	DR087_RS02190
OG0000196	B5M19_RS01830	DR087_RS02210
OG0000197	B5M19_RS01825	DR087_RS02215
OG0000198	B5M19_RS01810	DR087_RS02230
OG0000199	B5M19_RS01805	DR087_RS02235
OG0000200	B5M19_RS01790	DR087_RS02250
OG0000201	B5M19_RS01780	DR087_RS02260
OG0000202	B5M19_RS01725	DR087_RS02315
OG0000203	B5M19_RS01720	DR087_RS02320
OG0000204	B5M19_RS01715	DR087_RS04700
OG0000205	B5M19_RS01710	DR087_RS02610
OG0000206	B5M19_RS01690	DR087_RS02590
OG0000207	B5M19_RS01675	DR087_RS02575
OG0000208	B5M19_RS01670	DR087_RS02570
OG0000209	B5M19_RS01665	DR087_RS02565
OG0000210	B5M19_RS01620	DR087_RS02520
OG0000211	B5M19_RS03415	DR087_RS02630
OG0000212	B5M19_RS03405	DR087_RS02640
OG0000213	B5M19_RS03400	DR087_RS02645
OG0000214	B5M19_RS03395	DR087_RS02650
OG0000215	B5M19_RS03390	DR087_RS02655
OG0000216	B5M19_RS03385	DR087_RS02660
OG0000217	B5M19_RS03380	DR087_RS02665
OG0000218	B5M19_RS03370	DR087_RS02675
OG0000219	B5M19_RS03365	DR087_RS02680
OG0000220	B5M19_RS03360	DR087_RS02685
