Orthogroup	MHP_TB1_genes	MHP_MHP691_genes
OG0000551	B5M19_RS01275	DR087_RS03385
OG0000552	B5M19_RS01550	DR087_RS00910
OG0000553	B5M19_RS00885	DR087_RS04565
OG0000554	B5M19_RS02655	DR087_RS01690
OG0000555	B5M19_RS01350	DR087_RS04580
OG0000556	B5M19_RS02885, B5M19_RS02255	DR087_RS04430
OG0000557	B5M19_RS02615	DR087_RS02850
OG0000558	B5M19_RS03655	DR087_RS02820
OG0000559	B5M19_RS02075	DR087_RS02085
OG0000560	B5M19_RS00635	DR087_RS01645
OG0000561	B5M19_RS02205	DR087_RS01990
OG0000562	B5M19_RS00640	DR087_RS01640
OG0000563	B5M19_RS00625	DR087_RS01655
OG0000564	B5M19_RS03930	DR087_RS03320
OG0000565	B5M19_RS00685	DR087_RS01590
OG0000566	B5M19_RS00675	DR087_RS01600
OG0000567	B5M19_RS00650	DR087_RS01625
OG0000568	B5M19_RS01860	DR087_RS02180
OG0000569	B5M19_RS03665	DR087_RS02825
OG0000570	B5M19_RS02635	DR087_RS04705
OG0000571	B5M19_RS02630	DR087_RS02835
OG0000572	B5M19_RS02610	DR087_RS02855
OG0000573	B5M19_RS02070	DR087_RS02080
OG0000574	B5M19_RS02570	DR087_RS03300
OG0000575	B5M19_RS03670	DR087_RS02810
OG0000576	B5M19_RS02030	DR087_RS02035
OG0000577	B5M19_RS00910	DR087_RS01270
OG0000578	B5M19_RS00890	DR087_RS01250
OG0000580	B5M19_RS02550	DR087_RS04010
OG0000582	B5M19_RS04400	DR087_RS04715
OG0000583	B5M19_RS02060	DR087_RS02070
OG0000584	B5M19_RS02310	DR087_RS00315
OG0000585	B5M19_RS02965	DR087_RS00175, DR087_RS00170
OG0000588	B5M19_RS02025	DR087_RS02030
OG0000590	B5M19_RS02875	DR087_RS00325
OG0000592	B5M19_RS04115	DR087_RS01280
OG0000593	B5M19_RS00380	DR087_RS00755
OG0000594	B5M19_RS03650	DR087_RS02815
OG0000600	B5M19_RS02305	DR087_RS00310
OG0000601	B5M19_RS00630	DR087_RS01650
OG0000603	B5M19_RS02285	DR087_RS00305
OG0000605	B5M19_RS02280	DR087_RS00300
