Orthogroup	MHP_TB1_genes	MFC_ATCC27716_genes
OG0000039	B5M19_RS03320	MFC_RS03135, MFC_RS00935
OG0000040	B5M19_RS02985	MFC_RS01640, MFC_RS01160, MFC_RS01165
OG0000042	B5M19_RS01320	MFC_RS00930, MFC_RS01085
OG0000043	B5M19_RS02270	MFC_RS01320
OG0000045	B5M19_RS03325	MFC_RS00950
OG0000047	B5M19_RS02295	MFC_RS03280
OG0000048	B5M19_RS03695	MFC_RS00140
OG0000050	B5M19_RS02825	MFC_RS01260
OG0000051	B5M19_RS04110	MFC_RS02240
OG0000052	B5M19_RS00005	MFC_RS00160
OG0000053	B5M19_RS01120	MFC_RS00665
OG0000054	B5M19_RS02800	MFC_RS01235
OG0000055	B5M19_RS00045	MFC_RS03415, MFC_RS03540
OG0000056	B5M19_RS00375	MFC_RS00325
OG0000057	B5M19_RS01340	MFC_RS00965
OG0000062	B5M19_RS01970	MFC_RS00270
OG0000063	B5M19_RS01975	MFC_RS00275
OG0000064	B5M19_RS01990	MFC_RS00285
OG0000065	B5M19_RS02925	MFC_RS00440
OG0000066	B5M19_RS01220	MFC_RS00570
OG0000068	B5M19_RS04480	MFC_RS00910
OG0000069	B5M19_RS03520	MFC_RS01075
OG0000070	B5M19_RS02795	MFC_RS01215
OG0000071	B5M19_RS02995	MFC_RS01630
OG0000072	B5M19_RS02990	MFC_RS01635
OG0000073	B5M19_RS01840	MFC_RS03395, MFC_RS03390
OG0000074	B5M19_RS01645	MFC_RS03400
OG0000075	B5M19_RS00265	MFC_RS02565
OG0000076	B5M19_RS00280	MFC_RS02580
OG0000077	B5M19_RS03440	MFC_RS02670
OG0000078	B5M19_RS02055	MFC_RS03005
OG0000079	B5M19_RS01010	MFC_RS02930, MFC_RS03120
OG0000080	B5M19_RS03900	MFC_RS03315
OG0000081	B5M19_RS00260	MFC_RS03430, MFC_RS02560
OG0000082	B5M19_RS04420, B5M19_RS04415	MFC_RS02870
OG0000083	B5M19_RS00845	MFC_RS00040
OG0000084	B5M19_RS02760	MFC_RS00070
OG0000085	B5M19_RS02755	MFC_RS00075
OG0000086	B5M19_RS02745	MFC_RS00085
OG0000087	B5M19_RS02730	MFC_RS03320
