Orthogroup	MHP_112B_genes	MHP_J_genes
OG0000115	NBX26_RS02480	MHJ_RS02275
OG0000116	NBX26_RS01420	MHJ_RS01270
OG0000117	NBX26_RS01425	MHJ_RS01275
OG0000118	NBX26_RS01460	MHJ_RS01310
OG0000119	NBX26_RS01470	MHJ_RS01315
OG0000120	NBX26_RS01485	MHJ_RS01330
OG0000121	NBX26_RS01515	MHJ_RS01355
OG0000122	NBX26_RS01520	MHJ_RS01360
OG0000123	NBX26_RS01540	MHJ_RS01380
OG0000124	NBX26_RS01545	MHJ_RS01385
OG0000125	NBX26_RS01550	MHJ_RS01390
OG0000126	NBX26_RS01560	MHJ_RS01400
OG0000127	NBX26_RS01570	MHJ_RS01410
OG0000128	NBX26_RS01585	MHJ_RS01425
OG0000129	NBX26_RS01590	MHJ_RS01430
OG0000130	NBX26_RS01600	MHJ_RS01440
OG0000131	NBX26_RS01630	MHJ_RS01470
OG0000132	NBX26_RS01645	MHJ_RS01485
OG0000133	NBX26_RS00530	MHJ_RS00515
OG0000134	NBX26_RS00535	MHJ_RS00520
OG0000135	NBX26_RS00550	MHJ_RS00535
OG0000136	NBX26_RS00555	MHJ_RS00540
OG0000137	NBX26_RS00595	MHJ_RS00575
OG0000138	NBX26_RS00620	MHJ_RS00605
OG0000139	NBX26_RS00650	MHJ_RS00635
OG0000140	NBX26_RS00655	MHJ_RS00640
OG0000141	NBX26_RS03105	MHJ_RS02910
OG0000142	NBX26_RS03100	MHJ_RS02905
OG0000143	NBX26_RS03085	MHJ_RS02880
OG0000144	NBX26_RS03070	MHJ_RS02870
OG0000145	NBX26_RS03060	MHJ_RS02855
OG0000146	NBX26_RS03050	MHJ_RS02845
OG0000147	NBX26_RS03045	MHJ_RS02840
OG0000148	NBX26_RS03030	MHJ_RS02825
OG0000149	NBX26_RS03020	MHJ_RS02815
OG0000150	NBX26_RS03005	MHJ_RS02800
OG0000151	NBX26_RS02955	MHJ_RS02745
OG0000152	NBX26_RS02950	MHJ_RS02740
OG0000153	NBX26_RS02945	MHJ_RS02735
OG0000154	NBX26_RS02935	MHJ_RS02725
OG0000155	NBX26_RS02895	MHJ_RS02685
OG0000156	NBX26_RS02890	MHJ_RS02675
OG0000157	NBX26_RS02880	MHJ_RS02670
OG0000158	NBX26_RS02870	MHJ_RS04010
OG0000159	NBX26_RS02625	MHJ_RS04030
OG0000160	NBX26_RS02620	MHJ_RS02410
OG0000161	NBX26_RS02615	MHJ_RS02405
OG0000162	NBX26_RS02605	MHJ_RS02395
OG0000163	NBX26_RS02600	MHJ_RS02390
OG0000164	NBX26_RS01730	MHJ_RS01565
OG0000165	NBX26_RS02160	MHJ_RS01890
OG0000166	NBX26_RS02140	MHJ_RS01915
OG0000167	NBX26_RS02125	MHJ_RS01930
OG0000168	NBX26_RS02120	MHJ_RS01935
OG0000169	NBX26_RS03215	MHJ_RS03005
OG0000170	NBX26_RS03230	MHJ_RS03035
OG0000171	NBX26_RS03240	MHJ_RS03045
OG0000172	NBX26_RS03245	MHJ_RS03050
OG0000173	NBX26_RS03250	MHJ_RS03055
OG0000174	NBX26_RS03255	MHJ_RS03060
OG0000175	NBX26_RS03270	MHJ_RS03075
OG0000176	NBX26_RS03330	MHJ_RS03125
OG0000177	NBX26_RS03335	MHJ_RS03130
OG0000178	NBX26_RS03340	MHJ_RS03135
OG0000179	NBX26_RS03350	MHJ_RS03145
OG0000180	NBX26_RS03355	MHJ_RS03150
OG0000181	NBX26_RS03395	MHJ_RS03200
OG0000182	NBX26_RS03405	MHJ_RS03210
OG0000183	NBX26_RS03440	MHJ_RS03245
OG0000184	NBX26_RS03495	MHJ_RS03285
OG0000185	NBX26_RS03480	MHJ_RS03270
OG0000186	NBX26_RS01655	MHJ_RS01495
