Orthogroup	MHP_112B_genes	MHP_J_genes
OG0000513	NBX26_RS03625	MHJ_RS03395
OG0000514	NBX26_RS03035	MHJ_RS02830
OG0000515	NBX26_RS02255	MHJ_RS01535
OG0000516	NBX26_RS02090	MHJ_RS01965
OG0000517	NBX26_RS00065	MHJ_RS00065
OG0000518	NBX26_RS03275	MHJ_RS03080
OG0000521	NBX26_RS00260	MHJ_RS00245
OG0000522	NBX26_RS00295	MHJ_RS00280
OG0000523	NBX26_RS03560	MHJ_RS03335
OG0000525	NBX26_RS03520	MHJ_RS03305
OG0000526	NBX26_RS02270	MHJ_RS03870
OG0000527	NBX26_RS02325	MHJ_RS03865
OG0000528	NBX26_RS02085	MHJ_RS01970
OG0000530	NBX26_RS02495	MHJ_RS02290
OG0000532	NBX26_RS01750	MHJ_RS01585
OG0000533	NBX26_RS00600	MHJ_RS00585
OG0000534	NBX26_RS00375	MHJ_RS00360
OG0000535	NBX26_RS00045	MHJ_RS00045
OG0000536	NBX26_RS03740	MHJ_RS03510
OG0000540	NBX26_RS02805	MHJ_RS02600
OG0000542	NBX26_RS00345	MHJ_RS00330
OG0000544	NBX26_RS01380	MHJ_RS01225
OG0000545	NBX26_RS02280	MHJ_RS01770
OG0000546	NBX26_RS02960	MHJ_RS02755
OG0000551	NBX26_RS03155	MHJ_RS02965
OG0000552	NBX26_RS03320	MHJ_RS03115
OG0000553	NBX26_RS02865	MHJ_RS02650
OG0000554	NBX26_RS02545	MHJ_RS02335
OG0000555	NBX26_RS03090	MHJ_RS03945
OG0000557	NBX26_RS01390	MHJ_RS01235
OG0000558	NBX26_RS01360	MHJ_RS01205
OG0000559	NBX26_RS01830	MHJ_RS01645
OG0000560	NBX26_RS02300	MHJ_RS01760
OG0000561	NBX26_RS01245	MHJ_RS01080
OG0000562	NBX26_RS02290	MHJ_RS01765
OG0000563	NBX26_RS02305	MHJ_RS01750
OG0000564	NBX26_RS01410	MHJ_RS01260
OG0000565	NBX26_RS02225	MHJ_RS01820
OG0000566	NBX26_RS02245	MHJ_RS01810
OG0000567	NBX26_RS02275	MHJ_RS01780
OG0000568	NBX26_RS00690	MHJ_RS00665
OG0000569	NBX26_RS01365	MHJ_RS01210
OG0000570	NBX26_RS01370	MHJ_RS01215
OG0000571	NBX26_RS01375	MHJ_RS01220
OG0000572	NBX26_RS01395	MHJ_RS01240
OG0000573	NBX26_RS01825	MHJ_RS01640
OG0000574	NBX26_RS01430	MHJ_RS01280
OG0000575	NBX26_RS01355	MHJ_RS01195
OG0000576	NBX26_RS01780	MHJ_RS03625
OG0000577	NBX26_RS02830	MHJ_RS02620
OG0000578	NBX26_RS02860	MHJ_RS02645
OG0000579	NBX26_RS02315	MHJ_RS01740
OG0000580	NBX26_RS02965	MHJ_RS02760
OG0000581	NBX26_RS02320	MHJ_RS01725
OG0000582	NBX26_RS01385	MHJ_RS03835
OG0000583	NBX26_RS01815	MHJ_RS01630
OG0000585	NBX26_RS02360	MHJ_RS03590
OG0000586	NBX26_RS01800	MHJ_RS01620
OG0000587	NBX26_RS02220	MHJ_RS04025
OG0000588	NBX26_RS01770	MHJ_RS01600
OG0000589	NBX26_RS01005	MHJ_RS03650
OG0000591	NBX26_RS02205	MHJ_RS03990
OG0000592	NBX26_RS02820	MHJ_RS02610
OG0000593	NBX26_RS03725	MHJ_RS03495
OG0000596	NBX26_RS01865	MHJ_RS01685
OG0000598	NBX26_RS01870	MHJ_RS01690
OG0000599	NBX26_RS01875	MHJ_RS01695
OG0000602	NBX26_RS02060	MHJ_RS01990
OG0000607	NBX26_RS01340	MHJ_RS03755
OG0000610	NBX26_RS00675	MHJ_RS03970
OG0000612	NBX26_RS01880	MHJ_RS03855
