Orthogroup	MHP_133A_genes	MHP_MHP691_genes
OG0000061	NB626_RS01985	DR087_RS01595
OG0000062	NB626_RS03790	DR087_RS00395
OG0000063	NB626_RS03785	DR087_RS04450
OG0000064	NB626_RS03775	DR087_RS00380
OG0000065	NB626_RS02405	DR087_RS00215
OG0000066	NB626_RS01470	DR087_RS01175
OG0000068	NB626_RS00745	DR087_RS03140
OG0000069	NB626_RS03000	DR087_RS01375
OG0000070	NB626_RS02655	DR087_RS02480
OG0000071	NB626_RS03460	DR087_RS00780
OG0000072	NB626_RS03465	DR087_RS02175
OG0000073	NB626_RS00810	DR087_RS02200
OG0000074	NB626_RS01020, NB626_RS01025	DR087_RS04685
OG0000075	NB626_RS00340	DR087_RS01860
OG0000076	NB626_RS00360	DR087_RS01875
OG0000077	NB626_RS00540	DR087_RS03060
OG0000078	NB626_RS01795	DR087_RS02065
OG0000079	NB626_RS02740	DR087_RS02980
OG0000080	NB626_RS02790	DR087_RS04005
OG0000081	NB626_RS00335	DR087_RS01855
OG0000083	NB626_RS02155	DR087_RS00065
OG0000084	NB626_RS02185	DR087_RS00090
OG0000085	NB626_RS02190	DR087_RS00095
OG0000086	NB626_RS02200	DR087_RS00105
OG0000087	NB626_RS02215	DR087_RS00120
OG0000088	NB626_RS02220	DR087_RS00125
OG0000089	NB626_RS02230	DR087_RS00135
OG0000090	NB626_RS00070	DR087_RS00500
OG0000091	NB626_RS00055	DR087_RS00485
OG0000092	NB626_RS00045	DR087_RS00470
OG0000093	NB626_RS00035	DR087_RS00465
OG0000094	NB626_RS00030	DR087_RS00460
OG0000095	NB626_RS00005	DR087_RS00435
OG0000096	NB626_RS03825	DR087_RS00430
OG0000097	NB626_RS03805	DR087_RS00410
OG0000098	NB626_RS03795	DR087_RS00400
OG0000099	NB626_RS03745	DR087_RS00775
OG0000100	NB626_RS03730	DR087_RS00750
OG0000101	NB626_RS03725	DR087_RS00745
OG0000102	NB626_RS01820	DR087_RS02090
OG0000103	NB626_RS02370	DR087_RS00180
OG0000104	NB626_RS02375	DR087_RS00185
OG0000105	NB626_RS02395	DR087_RS00200
OG0000106	NB626_RS02400	DR087_RS00210
OG0000107	NB626_RS02410	DR087_RS00220
OG0000108	NB626_RS02415	DR087_RS00225
OG0000109	NB626_RS02420	DR087_RS00230
OG0000110	NB626_RS02550	DR087_RS01695
OG0000111	NB626_RS02545	DR087_RS01700
OG0000112	NB626_RS02535	DR087_RS01710
OG0000113	NB626_RS02510	DR087_RS04610
OG0000114	NB626_RS02500	DR087_RS01740
OG0000115	NB626_RS02490	DR087_RS01750
OG0000116	NB626_RS01415	DR087_RS03310
OG0000117	NB626_RS01420	DR087_RS03305
OG0000118	NB626_RS01455	DR087_RS01190
OG0000119	NB626_RS01460	DR087_RS01185
OG0000120	NB626_RS01475	DR087_RS01170
OG0000121	NB626_RS01505	DR087_RS01145
OG0000122	NB626_RS01510	DR087_RS01140
OG0000123	NB626_RS01530	DR087_RS01120
OG0000124	NB626_RS01535	DR087_RS01115
OG0000125	NB626_RS01540	DR087_RS01110
OG0000126	NB626_RS01550	DR087_RS01100
OG0000127	NB626_RS01560	DR087_RS01090
OG0000128	NB626_RS01575	DR087_RS01075
OG0000129	NB626_RS01580	DR087_RS01070
OG0000130	NB626_RS01590	DR087_RS01060
OG0000131	NB626_RS01620	DR087_RS04535
OG0000132	NB626_RS01635	DR087_RS04530
OG0000133	NB626_RS00630	DR087_RS02865
OG0000134	NB626_RS00635	DR087_RS02870
OG0000135	NB626_RS00650	DR087_RS02885
OG0000136	NB626_RS00655	DR087_RS02890
OG0000137	NB626_RS00685	DR087_RS02930
OG0000138	NB626_RS00720	DR087_RS03165
OG0000139	NB626_RS00750	DR087_RS03135
OG0000140	NB626_RS00755	DR087_RS03130
OG0000141	NB626_RS03115	DR087_RS01495
OG0000142	NB626_RS03110	DR087_RS04585
OG0000143	NB626_RS03095	DR087_RS01465
OG0000144	NB626_RS03080	DR087_RS01455
OG0000145	NB626_RS03070	DR087_RS01445
OG0000146	NB626_RS03060	DR087_RS01435
OG0000147	NB626_RS03055	DR087_RS01430
OG0000148	NB626_RS03040	DR087_RS01415
OG0000149	NB626_RS03030	DR087_RS01405
OG0000150	NB626_RS03025	DR087_RS01390
OG0000151	NB626_RS02965	DR087_RS03290
OG0000152	NB626_RS02960	DR087_RS03285
OG0000153	NB626_RS02955	DR087_RS03280
OG0000154	NB626_RS02945	DR087_RS03270
OG0000155	NB626_RS02905	DR087_RS03545
OG0000156	NB626_RS02895	DR087_RS01225
OG0000157	NB626_RS02890	DR087_RS04555
OG0000158	NB626_RS02880	DR087_RS04560
OG0000159	NB626_RS02640	DR087_RS04805
OG0000160	NB626_RS02635	DR087_RS02460
OG0000161	NB626_RS02630	DR087_RS02455
OG0000162	NB626_RS02620	DR087_RS02445
OG0000163	NB626_RS02615	DR087_RS02440
OG0000164	NB626_RS01715	DR087_RS03205
OG0000165	NB626_RS02075	DR087_RS01520
OG0000166	NB626_RS02090	DR087_RS00005
OG0000167	NB626_RS02105	DR087_RS00020
OG0000168	NB626_RS02110	DR087_RS00025
OG0000169	NB626_RS03230	DR087_RS01010
OG0000170	NB626_RS03245	DR087_RS00990
OG0000171	NB626_RS03255	DR087_RS00980
OG0000172	NB626_RS03260	DR087_RS00975
OG0000173	NB626_RS03265	DR087_RS00970
OG0000174	NB626_RS03270	DR087_RS00965
OG0000175	NB626_RS03290	DR087_RS00950
OG0000176	NB626_RS03345	DR087_RS00900
OG0000177	NB626_RS03350	DR087_RS00895
OG0000178	NB626_RS03355	DR087_RS00890
OG0000179	NB626_RS03365	DR087_RS00880
OG0000180	NB626_RS03370	DR087_RS00875
OG0000181	NB626_RS03410	DR087_RS04520
OG0000182	NB626_RS03420	DR087_RS00820
OG0000183	NB626_RS03455	DR087_RS00785
OG0000184	NB626_RS03500	DR087_RS02140
OG0000185	NB626_RS03485	DR087_RS02155
OG0000186	NB626_RS01645	DR087_RS04735
OG0000187	NB626_RS01660	DR087_RS03425
OG0000188	NB626_RS01670	DR087_RS03415
OG0000189	NB626_RS02460	DR087_RS04425
OG0000190	NB626_RS02455	DR087_RS00260
OG0000191	NB626_RS02430	DR087_RS00240
OG0000192	NB626_RS01335	DR087_RS02805
OG0000193	NB626_RS01320	DR087_RS02790
OG0000194	NB626_RS00790	DR087_RS02185
OG0000195	NB626_RS00795	DR087_RS02190
OG0000196	NB626_RS00820	DR087_RS02210
OG0000197	NB626_RS00830	DR087_RS02215
OG0000198	NB626_RS00840	DR087_RS02230
OG0000199	NB626_RS00845	DR087_RS02235
OG0000200	NB626_RS00860	DR087_RS02250
OG0000201	NB626_RS00870	DR087_RS02260
OG0000202	NB626_RS00940	DR087_RS02315
OG0000203	NB626_RS00945	DR087_RS02320
OG0000204	NB626_RS00950	DR087_RS04700
OG0000205	NB626_RS00955	DR087_RS02610
OG0000206	NB626_RS00975	DR087_RS02590
OG0000207	NB626_RS00990	DR087_RS02575
OG0000208	NB626_RS00995	DR087_RS02570
OG0000209	NB626_RS01000	DR087_RS02565
OG0000210	NB626_RS01050	DR087_RS02520
OG0000211	NB626_RS01065	DR087_RS02630
OG0000212	NB626_RS01070	DR087_RS02640
OG0000213	NB626_RS01075	DR087_RS02645
OG0000214	NB626_RS01080	DR087_RS02650
OG0000215	NB626_RS01085	DR087_RS02655
OG0000216	NB626_RS01090	DR087_RS02660
OG0000217	NB626_RS01095	DR087_RS02665
OG0000218	NB626_RS01105	DR087_RS02675
OG0000219	NB626_RS01110	DR087_RS02680
OG0000220	NB626_RS01115	DR087_RS02685
OG0000221	NB626_RS01120	DR087_RS02690
OG0000222	NB626_RS01125	DR087_RS02695
OG0000223	NB626_RS01130	DR087_RS02700
OG0000224	NB626_RS01140	DR087_RS02710
OG0000225	NB626_RS01150	DR087_RS02720
OG0000226	NB626_RS01155	DR087_RS02725
OG0000227	NB626_RS01160	DR087_RS02730
OG0000228	NB626_RS01165	DR087_RS04810
OG0000229	NB626_RS01170	DR087_RS02740
OG0000230	NB626_RS01180	DR087_RS02745
OG0000231	NB626_RS01185	DR087_RS02755
OG0000232	NB626_RS01195	DR087_RS02765
OG0000233	NB626_RS01215	DR087_RS02010
OG0000234	NB626_RS01250	DR087_RS01970
OG0000235	NB626_RS01260	DR087_RS01960
OG0000236	NB626_RS01265	DR087_RS01955
OG0000237	NB626_RS01270	DR087_RS01950
OG0000238	NB626_RS01275	DR087_RS01940
OG0000239	NB626_RS03125	DR087_RS03355
OG0000240	NB626_RS03130	DR087_RS03350
OG0000241	NB626_RS03140	DR087_RS03340
OG0000242	NB626_RS03145	DR087_RS03365
OG0000243	NB626_RS03150	DR087_RS03370
OG0000244	NB626_RS03160	DR087_RS03380
