Orthogroup	MHP_133A_genes	MHP_MHP691_genes
OG0000587	NB626_RS02010	DR087_RS04775
OG0000588	NB626_RS01755	DR087_RS02030
OG0000589	NB626_RS02290	DR087_RS03500
OG0000590	NB626_RS00485	DR087_RS00325
OG0000593	NB626_RS03735	DR087_RS00755
OG0000595	NB626_RS03190	DR087_RS03405
OG0000597	NB626_RS03185	DR087_RS03400
OG0000600	NB626_RS00470	DR087_RS00310
OG0000603	NB626_RS00465	DR087_RS00305
OG0000605	NB626_RS00460	DR087_RS00300
OG0000607	NB626_RS01330	DR087_RS02800
OG0000608	NB626_RS01940	DR087_RS04600
OG0000611	NB626_RS00095	DR087_RS00520
OG0000613	NB626_RS02020	DR087_RS04040
OG0000617	NB626_RS01770	DR087_RS02040
OG0000622	NB626_RS02335	DR087_RS04200
OG0000624	NB626_RS03340	DR087_RS00905
OG0000642	NB626_RS00495	DR087_RS00335
