Orthogroup	MHP_J_genes	MHP_98_genes
OG0000235	MHJ_RS01110	GOM18_RS02925
OG0000236	MHJ_RS01115	GOM18_RS02930
OG0000237	MHJ_RS01120	GOM18_RS02935
OG0000238	MHJ_RS01130	GOM18_RS02940
OG0000239	MHJ_RS02925	GOM18_RS01115
OG0000240	MHJ_RS02930	GOM18_RS01110
OG0000241	MHJ_RS02940	GOM18_RS01100
OG0000242	MHJ_RS02945	GOM18_RS01095
OG0000243	MHJ_RS02950	GOM18_RS01090
OG0000244	MHJ_RS02960	GOM18_RS01080
OG0000245	MHJ_RS02970	GOM18_RS01070
OG0000246	MHJ_RS00115	GOM18_RS01250
OG0000247	MHJ_RS00125	GOM18_RS01260
OG0000248	MHJ_RS00135	GOM18_RS01270
OG0000249	MHJ_RS00140	GOM18_RS01275
OG0000250	MHJ_RS00155	GOM18_RS01290
OG0000251	MHJ_RS00185	GOM18_RS01320
OG0000252	MHJ_RS00195	GOM18_RS01330
OG0000253	MHJ_RS00200	GOM18_RS01335
OG0000254	MHJ_RS00210	GOM18_RS01345
OG0000255	MHJ_RS00220	GOM18_RS01350
OG0000256	MHJ_RS00225	GOM18_RS01355
OG0000257	MHJ_RS00250	GOM18_RS01380
OG0000258	MHJ_RS00260	GOM18_RS01390
OG0000259	MHJ_RS00290	GOM18_RS01420
OG0000260	MHJ_RS00300	GOM18_RS01430
OG0000261	MHJ_RS00310	GOM18_RS04390
OG0000262	MHJ_RS00325	GOM18_RS01455
OG0000263	MHJ_RS00340	GOM18_RS01470
OG0000264	MHJ_RS00355	GOM18_RS01485
OG0000265	MHJ_RS00365	GOM18_RS01495
OG0000266	MHJ_RS00380	GOM18_RS01510
OG0000267	MHJ_RS00395	GOM18_RS01525
OG0000268	MHJ_RS00400	GOM18_RS01530
OG0000269	MHJ_RS00415	GOM18_RS01545
OG0000270	MHJ_RS03460	GOM18_RS04280
OG0000271	MHJ_RS03455	GOM18_RS00450
OG0000272	MHJ_RS03450	GOM18_RS00445
OG0000273	MHJ_RS03445	GOM18_RS00440
OG0000274	MHJ_RS03425	GOM18_RS00420
OG0000275	MHJ_RS03420	GOM18_RS04270
OG0000276	MHJ_RS03415	GOM18_RS00410
OG0000277	MHJ_RS03405	GOM18_RS00400
OG0000278	MHJ_RS03400	GOM18_RS00395
OG0000279	MHJ_RS03390	GOM18_RS00385
OG0000280	MHJ_RS03385	GOM18_RS00380
OG0000281	MHJ_RS03705	GOM18_RS00375
OG0000282	MHJ_RS03360	GOM18_RS04310
OG0000283	MHJ_RS03355	GOM18_RS00705
OG0000284	MHJ_RS03350	GOM18_RS00710
OG0000285	MHJ_RS03345	GOM18_RS04315
OG0000286	MHJ_RS02375	GOM18_RS01875
OG0000287	MHJ_RS02475	GOM18_RS01965
OG0000288	MHJ_RS02485	GOM18_RS01975
OG0000289	MHJ_RS02495	GOM18_RS01980
OG0000290	MHJ_RS02605	GOM18_RS02090
OG0000291	MHJ_RS02595	GOM18_RS02080
OG0000292	MHJ_RS02590	GOM18_RS02075
OG0000293	MHJ_RS02585	GOM18_RS02070
OG0000294	MHJ_RS02570	GOM18_RS02060
OG0000295	MHJ_RS02565	GOM18_RS02055
OG0000296	MHJ_RS02525	GOM18_RS02015
OG0000297	MHJ_RS02520	GOM18_RS02010
OG0000298	MHJ_RS00150	GOM18_RS01285
OG0000299	MHJ_RS00170	GOM18_RS03940
OG0000300	MHJ_RS00350	GOM18_RS01480
OG0000301	MHJ_RS00385	GOM18_RS01515
OG0000302	MHJ_RS00390	GOM18_RS01520
OG0000303	MHJ_RS00545	GOM18_RS01665
OG0000304	MHJ_RS01050	GOM18_RS01710
OG0000305	MHJ_RS02850	GOM18_RS01175
OG0000306	MHJ_RS02775	GOM18_RS03130
OG0000307	MHJ_RS02730	GOM18_RS03100
OG0000308	MHJ_RS02625	GOM18_RS02110
OG0000309	MHJ_RS02555	GOM18_RS02045
OG0000310	MHJ_RS02480	GOM18_RS01970
OG0000311	MHJ_RS02435	GOM18_RS01935
OG0000312	MHJ_RS02420	GOM18_RS01920
OG0000313	MHJ_RS01555	GOM18_RS03620
OG0000314	MHJ_RS01910	GOM18_RS03245
OG0000315	MHJ_RS01940	GOM18_RS02210
OG0000316	MHJ_RS01950	GOM18_RS02220
OG0000317	MHJ_RS02040	GOM18_RS02315
OG0000318	MHJ_RS01955	GOM18_RS04425
OG0000319	MHJ_RS02180	GOM18_RS02375
OG0000320	MHJ_RS02305	GOM18_RS02500
OG0000321	MHJ_RS01305	GOM18_RS02820
OG0000322	MHJ_RS01350	GOM18_RS02780
OG0000323	MHJ_RS01480	GOM18_RS02625
OG0000324	MHJ_RS02220	GOM18_RS02415
OG0000325	MHJ_RS00680	GOM18_RS00130
OG0000326	MHJ_RS00770	GOM18_RS00225
OG0000327	MHJ_RS00775	GOM18_RS00230
OG0000328	MHJ_RS00860	GOM18_RS00315
OG0000329	MHJ_RS00880	GOM18_RS00335
OG0000330	MHJ_RS01075	GOM18_RS02890
OG0000331	MHJ_RS02955	GOM18_RS01085
OG0000332	MHJ_RS03085	GOM18_RS00975
OG0000333	MHJ_RS03095	GOM18_RS00965
OG0000334	MHJ_RS03205	GOM18_RS00865
OG0000335	MHJ_RS03215	GOM18_RS00855
OG0000336	MHJ_RS03375	GOM18_RS04265
OG0000337	MHJ_RS03535	GOM18_RS00535
OG0000338	MHJ_RS03575	GOM18_RS00575
OG0000339	MHJ_RS02280	GOM18_RS02475
OG0000340	MHJ_RS01285	GOM18_RS02840
OG0000341	MHJ_RS02240	GOM18_RS02435
OG0000342	MHJ_RS00710	GOM18_RS00160
OG0000343	MHJ_RS03105	GOM18_RS00955
OG0000344	MHJ_RS00560	GOM18_RS01680
OG0000345	MHJ_RS00995	GOM18_RS01770
OG0000346	MHJ_RS03380	GOM18_RS00370
OG0000347	MHJ_RS01375	GOM18_RS02755
OG0000348	MHJ_RS00780	GOM18_RS00235
OG0000349	MHJ_RS03435	GOM18_RS04275
OG0000350	MHJ_RS02720	GOM18_RS03090
OG0000351	MHJ_RS00475	GOM18_RS01600
OG0000352	MHJ_RS01885	GOM18_RS03265
OG0000353	MHJ_RS01345	GOM18_RS02785
OG0000354	MHJ_RS00620	GOM18_RS03455
OG0000355	MHJ_RS01855	GOM18_RS04535
OG0000356	MHJ_RS01945	GOM18_RS04420
OG0000357	MHJ_RS03065	GOM18_RS04370
OG0000358	MHJ_RS03070	GOM18_RS00990
OG0000359	MHJ_RS00750	GOM18_RS04245
OG0000360	MHJ_RS00255	GOM18_RS01385
OG0000361	MHJ_RS00285	GOM18_RS01415
OG0000362	MHJ_RS02500	GOM18_RS01990
OG0000363	MHJ_RS03840	GOM18_RS04485
OG0000364	MHJ_RS01830	GOM18_RS04185
OG0000365	MHJ_RS01985	GOM18_RS04440
OG0000366	MHJ_RS02010	GOM18_RS02285
OG0000367	MHJ_RS02020	GOM18_RS02295
OG0000368	MHJ_RS00060	GOM18_RS00640
OG0000369	MHJ_RS00025	GOM18_RS04300
OG0000370	MHJ_RS00020	GOM18_RS00600
OG0000371	MHJ_RS00015	GOM18_RS00595
OG0000372	MHJ_RS00010	GOM18_RS00590
OG0000373	MHJ_RS03565	GOM18_RS00565
OG0000374	MHJ_RS03555	GOM18_RS00555
OG0000375	MHJ_RS02175	GOM18_RS02370
OG0000376	MHJ_RS02320	GOM18_RS02515
OG0000377	MHJ_RS02310	GOM18_RS02505
OG0000378	MHJ_RS01265	GOM18_RS02860
OG0000380	MHJ_RS01365	GOM18_RS02765
OG0000381	MHJ_RS01405	GOM18_RS02725
OG0000382	MHJ_RS01435	GOM18_RS02695
OG0000383	MHJ_RS01475	GOM18_RS02630
OG0000384	MHJ_RS00500	GOM18_RS01620
OG0000385	MHJ_RS00505	GOM18_RS01625
OG0000386	MHJ_RS00525	GOM18_RS01645
OG0000387	MHJ_RS00550	GOM18_RS01670
OG0000388	MHJ_RS00555	GOM18_RS04395
OG0000389	MHJ_RS00600	GOM18_RS03480
OG0000390	MHJ_RS02875	GOM18_RS01155
OG0000391	MHJ_RS02865	GOM18_RS01165
OG0000392	MHJ_RS02835	GOM18_RS01190
OG0000393	MHJ_RS02780	GOM18_RS04515
OG0000395	MHJ_RS02690	GOM18_RS02165
OG0000396	MHJ_RS02380	GOM18_RS01880
OG0000397	MHJ_RS01870	GOM18_RS03280
OG0000398	MHJ_RS01875	GOM18_RS03275
OG0000399	MHJ_RS01925	GOM18_RS02195
OG0000400	MHJ_RS03030	GOM18_RS01030
OG0000401	MHJ_RS03090	GOM18_RS00970
OG0000402	MHJ_RS03100	GOM18_RS00960
OG0000403	MHJ_RS03110	GOM18_RS00950
OG0000404	MHJ_RS03140	GOM18_RS00920
OG0000405	MHJ_RS03155	GOM18_RS00905
OG0000406	MHJ_RS03220	GOM18_RS00850
OG0000407	MHJ_RS03225	GOM18_RS04360
OG0000408	MHJ_RS03230	GOM18_RS00840
OG0000409	MHJ_RS03235	GOM18_RS00835
OG0000410	MHJ_RS03290	GOM18_RS00775
OG0000411	MHJ_RS03280	GOM18_RS00785
OG0000412	MHJ_RS03275	GOM18_RS00790
OG0000413	MHJ_RS01490	GOM18_RS02615
OG0000414	MHJ_RS01500	GOM18_RS02605
OG0000415	MHJ_RS01505	GOM18_RS02600
OG0000416	MHJ_RS01515	GOM18_RS02590
OG0000417	MHJ_RS02235	GOM18_RS02430
OG0000418	MHJ_RS02230	GOM18_RS02425
OG0000419	MHJ_RS00690	GOM18_RS00140
OG0000420	MHJ_RS00725	GOM18_RS00175
OG0000421	MHJ_RS00755	GOM18_RS00210
OG0000422	MHJ_RS00765	GOM18_RS00220
OG0000423	MHJ_RS00820	GOM18_RS00275
OG0000424	MHJ_RS00825	GOM18_RS00280
OG0000425	MHJ_RS00835	GOM18_RS00290
OG0000426	MHJ_RS00840	GOM18_RS04250
OG0000427	MHJ_RS00865	GOM18_RS04255
OG0000428	MHJ_RS00890	GOM18_RS00345
OG0000429	MHJ_RS00985	GOM18_RS01780
OG0000430	MHJ_RS01030	GOM18_RS01735
OG0000431	MHJ_RS01040	GOM18_RS01725
OG0000432	MHJ_RS01070	GOM18_RS02885
OG0000433	MHJ_RS01085	GOM18_RS02900
OG0000434	MHJ_RS01090	GOM18_RS02905
OG0000435	MHJ_RS01105	GOM18_RS02920
OG0000436	MHJ_RS01135	GOM18_RS02945
OG0000437	MHJ_RS01145	GOM18_RS02955
OG0000438	MHJ_RS01150	GOM18_RS02960
OG0000439	MHJ_RS01155	GOM18_RS04495
OG0000440	MHJ_RS02935	GOM18_RS04375
OG0000441	MHJ_RS02975	GOM18_RS01065
OG0000442	MHJ_RS00120	GOM18_RS01255
OG0000443	MHJ_RS00165	GOM18_RS01300
OG0000444	MHJ_RS00180	GOM18_RS01315
OG0000445	MHJ_RS00205	GOM18_RS03665
OG0000446	MHJ_RS00235	GOM18_RS01365
OG0000447	MHJ_RS00240	GOM18_RS01370
OG0000448	MHJ_RS00270	GOM18_RS01400
OG0000449	MHJ_RS00295	GOM18_RS01425
OG0000450	MHJ_RS00305	GOM18_RS01435
OG0000451	MHJ_RS00345	GOM18_RS01475
OG0000452	MHJ_RS00370	GOM18_RS01500
OG0000453	MHJ_RS00405	GOM18_RS01535
OG0000454	MHJ_RS01590	GOM18_RS03540
OG0000455	MHJ_RS03480	GOM18_RS00475
OG0000456	MHJ_RS03365	GOM18_RS00695
OG0000457	MHJ_RS03340	GOM18_RS00720
OG0000458	MHJ_RS02470	GOM18_RS01960
OG0000460	MHJ_RS02505	GOM18_RS01995
OG0000461	MHJ_RS02550	GOM18_RS02040
OG0000462	MHJ_RS02545	GOM18_RS02035
OG0000463	MHJ_RS02540	GOM18_RS02030
OG0000464	MHJ_RS02535	GOM18_RS02025
OG0000465	MHJ_RS02530	GOM18_RS02020
OG0000466	MHJ_RS00375	GOM18_RS01505
OG0000467	MHJ_RS02640	GOM18_RS04400
OG0000468	MHJ_RS01920	GOM18_RS02190
OG0000469	MHJ_RS01980	GOM18_RS02250
OG0000470	MHJ_RS03785	GOM18_RS00270
OG0000471	MHJ_RS00895	GOM18_RS00350
OG0000472	MHJ_RS03300	GOM18_RS00765
OG0000473	MHJ_RS03465	GOM18_RS00460
OG0000474	MHJ_RS03470	GOM18_RS00465
OG0000475	MHJ_RS03475	GOM18_RS00470
OG0000476	MHJ_RS01525	GOM18_RS02580
OG0000477	MHJ_RS02580	GOM18_RS02065
OG0000478	MHJ_RS03410	GOM18_RS00405
OG0000479	MHJ_RS01300	GOM18_RS02825
OG0000480	MHJ_RS03770	GOM18_RS02255
OG0000481	MHJ_RS00790	GOM18_RS00245
OG0000482	MHJ_RS01185	GOM18_RS03160
OG0000483	MHJ_RS02025	GOM18_RS02300
OG0000484	MHJ_RS00175	GOM18_RS04385
OG0000485	MHJ_RS01140	GOM18_RS02950
OG0000486	MHJ_RS02255	GOM18_RS02450
OG0000487	MHJ_RS01960	GOM18_RS04430
OG0000488	MHJ_RS01995	GOM18_RS02270
OG0000489	MHJ_RS00050	GOM18_RS00630
OG0000490	MHJ_RS03570	GOM18_RS00570
OG0000491	MHJ_RS01320	GOM18_RS02805
OG0000492	MHJ_RS01395	GOM18_RS02735
OG0000493	MHJ_RS00565	GOM18_RS01685
OG0000494	MHJ_RS00625	GOM18_RS03450
OG0000495	MHJ_RS02805	GOM18_RS01220
OG0000496	MHJ_RS02795	GOM18_RS01230
OG0000497	MHJ_RS02790	GOM18_RS01235
OG0000498	MHJ_RS02700	GOM18_RS03070
OG0000499	MHJ_RS02665	GOM18_RS02140
OG0000500	MHJ_RS01880	GOM18_RS03270
OG0000501	MHJ_RS03040	GOM18_RS01020
OG0000502	MHJ_RS01175	GOM18_RS03150
OG0000503	MHJ_RS00735	GOM18_RS00190
OG0000504	MHJ_RS00870	GOM18_RS00325
OG0000505	MHJ_RS00905	GOM18_RS01860
OG0000506	MHJ_RS00915	GOM18_RS01850
OG0000507	MHJ_RS00950	GOM18_RS01815
OG0000508	MHJ_RS00230	GOM18_RS01360
OG0000509	MHJ_RS00265	GOM18_RS01395
OG0000510	MHJ_RS00275	GOM18_RS01405
OG0000511	MHJ_RS00410	GOM18_RS01540
OG0000512	MHJ_RS02510	GOM18_RS02000
OG0000513	MHJ_RS03395	GOM18_RS00390
OG0000514	MHJ_RS02830	GOM18_RS01195
OG0000515	MHJ_RS01535	GOM18_RS02570
OG0000516	MHJ_RS01965	GOM18_RS04435
