Orthogroup	MHP_J_genes	MHP_98_genes
OG0000517	MHJ_RS00065	GOM18_RS00645
OG0000518	MHJ_RS03080	GOM18_RS00980
OG0000519	MHJ_RS00760	GOM18_RS00215
OG0000520	MHJ_RS00885	GOM18_RS00340
OG0000521	MHJ_RS00245	GOM18_RS01375
OG0000522	MHJ_RS00280	GOM18_RS01410
OG0000523	MHJ_RS03335	GOM18_RS00725
OG0000524	MHJ_RS02635	GOM18_RS02115
OG0000525	MHJ_RS03305	GOM18_RS04345
OG0000527	MHJ_RS03865	GOM18_RS03490
OG0000528	MHJ_RS01970	GOM18_RS02240
OG0000529	MHJ_RS02190	GOM18_RS02385
OG0000530	MHJ_RS02290	GOM18_RS02485
OG0000531	MHJ_RS01370	GOM18_RS02760
OG0000532	MHJ_RS01585	GOM18_RS03550
OG0000534	MHJ_RS00360	GOM18_RS01490
OG0000535	MHJ_RS00045	GOM18_RS04305
OG0000536	MHJ_RS03510	GOM18_RS00505
OG0000537	MHJ_RS00705	GOM18_RS00155
OG0000538	MHJ_RS01095	GOM18_RS02910
OG0000539	MHJ_RS00190	GOM18_RS01325
OG0000540	MHJ_RS02600	GOM18_RS02085
OG0000541	MHJ_RS02680	GOM18_RS02155
OG0000542	MHJ_RS00330	GOM18_RS01460
OG0000543	MHJ_RS03760	GOM18_RS03535
OG0000544	MHJ_RS01225	GOM18_RS04525
OG0000545	MHJ_RS01770	GOM18_RS03390
OG0000546	MHJ_RS02755	GOM18_RS03120
OG0000547	MHJ_RS02885	GOM18_RS01145
OG0000548	MHJ_RS01550	GOM18_RS03615
OG0000549	MHJ_RS03295	GOM18_RS04350
OG0000550	MHJ_RS03430	GOM18_RS00425
OG0000551	MHJ_RS02965	GOM18_RS01075
OG0000552	MHJ_RS03115	GOM18_RS00945
OG0000553	MHJ_RS02650	GOM18_RS04405
OG0000554	MHJ_RS02335	GOM18_RS02530
OG0000555	MHJ_RS03945	GOM18_RS03930
OG0000557	MHJ_RS01235	GOM18_RS03215
OG0000558	MHJ_RS01205	GOM18_RS03185
OG0000559	MHJ_RS01645	GOM18_RS03000
OG0000560	MHJ_RS01760	GOM18_RS03405
OG0000561	MHJ_RS01080	GOM18_RS02895
OG0000562	MHJ_RS01765	GOM18_RS03400
OG0000563	MHJ_RS01750	GOM18_RS03415
OG0000564	MHJ_RS01260	GOM18_RS02875
OG0000565	MHJ_RS01820	GOM18_RS03330
OG0000566	MHJ_RS01810	GOM18_RS03355
OG0000567	MHJ_RS01780	GOM18_RS03385
OG0000568	MHJ_RS00665	GOM18_RS00115
OG0000569	MHJ_RS01210	GOM18_RS03190
OG0000570	MHJ_RS01215	GOM18_RS04520
OG0000571	MHJ_RS01220	GOM18_RS03200
OG0000572	MHJ_RS01240	GOM18_RS03220
OG0000573	MHJ_RS01640	GOM18_RS03005
OG0000574	MHJ_RS01280	GOM18_RS02845
OG0000575	MHJ_RS01195	GOM18_RS03175
OG0000576	MHJ_RS03625	GOM18_RS03050
OG0000577	MHJ_RS02620	GOM18_RS02105
OG0000578	MHJ_RS02645	GOM18_RS02125
OG0000579	MHJ_RS01740	GOM18_RS03500
OG0000581	MHJ_RS01725	GOM18_RS03495
OG0000582	MHJ_RS03835	GOM18_RS04530
OG0000583	MHJ_RS01630	GOM18_RS03015
OG0000585	MHJ_RS03590	GOM18_RS02355
OG0000586	MHJ_RS01620	GOM18_RS03030
OG0000587	MHJ_RS04025	GOM18_RS04190
OG0000588	MHJ_RS01600	GOM18_RS03055
OG0000591	MHJ_RS03990	GOM18_RS04175
OG0000592	MHJ_RS02610	GOM18_RS03985
OG0000593	MHJ_RS03495	GOM18_RS00490
OG0000594	MHJ_RS01200	GOM18_RS03180
OG0000595	MHJ_RS03020	GOM18_RS01055
OG0000601	MHJ_RS01755	GOM18_RS03410
OG0000602	MHJ_RS01990	GOM18_RS02265
OG0000607	MHJ_RS03755	GOM18_RS03165
OG0000610	MHJ_RS03970	GOM18_RS03695
