Orthogroup	MHP_J_genes	MHP_TB1_genes
OG0000506	MHJ_RS00915	B5M19_RS03410
OG0000507	MHJ_RS00950	B5M19_RS03375
OG0000508	MHJ_RS00230	B5M19_RS00170
OG0000509	MHJ_RS00265	B5M19_RS00205
OG0000510	MHJ_RS00275	B5M19_RS00215
OG0000511	MHJ_RS00410	B5M19_RS03685
OG0000512	MHJ_RS02510	B5M19_RS01015
OG0000513	MHJ_RS03395	B5M19_RS00480
OG0000514	MHJ_RS02830	B5M19_RS01405
OG0000516	MHJ_RS01965	B5M19_RS00835
OG0000517	MHJ_RS00065	B5M19_RS01870
OG0000518	MHJ_RS03080	B5M19_RS01515
OG0000519	MHJ_RS00760	B5M19_RS01760
OG0000520	MHJ_RS00885	B5M19_RS01635
OG0000521	MHJ_RS00245	B5M19_RS00185
OG0000522	MHJ_RS00280	B5M19_RS00220
OG0000523	MHJ_RS03335	B5M19_RS00545
OG0000524	MHJ_RS02635	B5M19_RS00900
OG0000525	MHJ_RS03305	B5M19_RS00575
OG0000526	MHJ_RS03870	B5M19_RS04070
OG0000527	MHJ_RS03865	B5M19_RS04065
OG0000527	MHJ_RS03860	B5M19_RS04060
OG0000528	MHJ_RS01970	B5M19_RS00840
OG0000529	MHJ_RS02190	B5M19_RS02935
OG0000530	MHJ_RS02290	B5M19_RS02705
OG0000531	MHJ_RS01370	B5M19_RS01175
OG0000532	MHJ_RS01585	B5M19_RS04500
OG0000533	MHJ_RS00585	B5M19_RS04515
OG0000535	MHJ_RS00045	B5M19_RS04610
OG0000536	MHJ_RS03510	B5M19_RS00365
OG0000537	MHJ_RS00705	B5M19_RS01820
OG0000538	MHJ_RS01095	B5M19_RS04340
OG0000539	MHJ_RS00190	B5M19_RS00130
OG0000540	MHJ_RS02600	B5M19_RS00930
OG0000541	MHJ_RS02680	B5M19_RS00855
OG0000542	MHJ_RS00330	B5M19_RS00275
OG0000544	MHJ_RS01225	B5M19_RS04410
OG0000546	MHJ_RS02755	B5M19_RS02545
OG0000547	MHJ_RS02885	B5M19_RS01355
OG0000548	MHJ_RS01550	B5M19_RS03295
OG0000549	MHJ_RS03295	B5M19_RS00585
OG0000550	MHJ_RS03430	B5M19_RS04055
OG0000551	MHJ_RS02965	B5M19_RS01275
OG0000552	MHJ_RS03115	B5M19_RS01550
OG0000553	MHJ_RS02650	B5M19_RS00885
OG0000554	MHJ_RS02335	B5M19_RS02655
OG0000555	MHJ_RS03945	B5M19_RS01350
OG0000557	MHJ_RS01235	B5M19_RS02615
OG0000558	MHJ_RS01205	B5M19_RS03655
OG0000559	MHJ_RS01645	B5M19_RS02075
OG0000560	MHJ_RS01760	B5M19_RS00635
OG0000561	MHJ_RS01080	B5M19_RS02205
OG0000562	MHJ_RS01765	B5M19_RS00640
OG0000563	MHJ_RS01750	B5M19_RS00625
OG0000564	MHJ_RS01260	B5M19_RS03930
OG0000565	MHJ_RS01820	B5M19_RS00685
OG0000566	MHJ_RS01810	B5M19_RS00675
OG0000567	MHJ_RS01780	B5M19_RS00650
OG0000568	MHJ_RS00665	B5M19_RS01860
OG0000569	MHJ_RS01210	B5M19_RS03665
OG0000570	MHJ_RS01215	B5M19_RS02635
OG0000571	MHJ_RS01220	B5M19_RS02630
OG0000572	MHJ_RS01240	B5M19_RS02610
OG0000573	MHJ_RS01640	B5M19_RS02070
OG0000574	MHJ_RS01280	B5M19_RS02570
OG0000575	MHJ_RS01195	B5M19_RS03670
OG0000576	MHJ_RS03625	B5M19_RS02030
OG0000577	MHJ_RS02620	B5M19_RS00910
OG0000578	MHJ_RS02645	B5M19_RS00890
OG0000579	MHJ_RS01740	B5M19_RS00615
OG0000580	MHJ_RS02760	B5M19_RS02550
OG0000581	MHJ_RS01725	B5M19_RS00600
OG0000582	MHJ_RS03835	B5M19_RS04400
OG0000583	MHJ_RS01630	B5M19_RS02060
OG0000585	MHJ_RS03590	B5M19_RS02965
OG0000588	MHJ_RS01600	B5M19_RS02025
OG0000591	MHJ_RS03990	B5M19_RS04575
OG0000592	MHJ_RS02610	B5M19_RS04115
OG0000593	MHJ_RS03495	B5M19_RS00380
OG0000594	MHJ_RS01200	B5M19_RS03650
OG0000596	MHJ_RS01685	B5M19_RS02110
OG0000598	MHJ_RS01690	B5M19_RS02115
OG0000599	MHJ_RS01695	B5M19_RS02120
OG0000601	MHJ_RS01755	B5M19_RS00630
OG0000606	MHJ_RS01730	B5M19_RS00605
OG0000612	MHJ_RS03855	B5M19_RS04320
OG0000615	MHJ_RS02655	B5M19_RS00880
OG0000621	MHJ_RS03985	B5M19_RS04570
