Orthogroup	MHP_J_genes	MHP_TB1_genes
OG0000029	MHJ_RS00595	B5M19_RS04520, B5M19_RS03510
OG0000030	MHJ_RS03310	B5M19_RS00570
OG0000030	MHJ_RS03325	B5M19_RS00555
OG0000031	MHJ_RS01560	B5M19_RS03305
OG0000032	MHJ_RS03320	B5M19_RS00560
OG0000033	MHJ_RS03905	B5M19_RS04375, B5M19_RS02455
OG0000035	MHJ_RS03170	B5M19_RS01610
OG0000035	MHJ_RS03160	B5M19_RS04235
OG0000036	MHJ_RS00105	B5M19_RS00040
OG0000039	MHJ_RS01575	B5M19_RS03320
OG0000040	MHJ_RS03260	B5M19_RS02985
OG0000041	MHJ_RS00655	B5M19_RS03050
OG0000041	MHJ_RS01160	B5M19_RS04355
OG0000042	MHJ_RS02920	B5M19_RS01320
OG0000043	MHJ_RS01865	B5M19_RS00735
OG0000043	MHJ_RS01865	B5M19_RS02270
OG0000044	MHJ_RS01745	B5M19_RS00620
OG0000045	MHJ_RS01580	B5M19_RS03325
OG0000046	MHJ_RS03960, MHJ_RS03265	B5M19_RS03125
OG0000048	MHJ_RS02050	B5M19_RS03695
OG0000049	MHJ_RS03025	B5M19_RS01455
OG0000050	MHJ_RS02400	B5M19_RS02825
OG0000051	MHJ_RS02615	B5M19_RS04110
OG0000052	MHJ_RS00075	B5M19_RS00005
OG0000053	MHJ_RS01420	B5M19_RS01120
OG0000054	MHJ_RS02425	B5M19_RS02800
OG0000055	MHJ_RS00110	B5M19_RS00045
OG0000056	MHJ_RS03500	B5M19_RS00375
OG0000057	MHJ_RS02900	B5M19_RS01340
OG0000061	MHJ_RS01540	B5M19_RS03265
OG0000062	MHJ_RS03545	B5M19_RS01970
OG0000063	MHJ_RS03540	B5M19_RS01975
OG0000064	MHJ_RS03530	B5M19_RS01990
OG0000065	MHJ_RS02200	B5M19_RS02925
OG0000066	MHJ_RS01325	B5M19_RS01220
OG0000067	MHJ_RS00510	B5M19_RS02375
OG0000068	MHJ_RS00630	B5M19_RS04480
OG0000069	MHJ_RS02785	B5M19_RS03520
OG0000070	MHJ_RS02430	B5M19_RS02795
OG0000071	MHJ_RS03250	B5M19_RS02995
OG0000072	MHJ_RS03255	B5M19_RS02990
OG0000073	MHJ_RS00685	B5M19_RS01840
OG0000074	MHJ_RS00875	B5M19_RS01645
OG0000075	MHJ_RS00320	B5M19_RS00265
OG0000076	MHJ_RS00335	B5M19_RS00280
OG0000077	MHJ_RS00425	B5M19_RS03440
OG0000078	MHJ_RS01625	B5M19_RS02055
OG0000079	MHJ_RS02515	B5M19_RS01010
OG0000080	MHJ_RS03800	B5M19_RS03900
OG0000081	MHJ_RS00315	B5M19_RS00260
OG0000082	MHJ_RS03775	B5M19_RS04415
OG0000083	MHJ_RS01975	B5M19_RS00845
OG0000084	MHJ_RS02000	B5M19_RS02760
OG0000085	MHJ_RS02005	B5M19_RS02755
OG0000086	MHJ_RS02015	B5M19_RS02745
OG0000087	MHJ_RS02030	B5M19_RS02730
OG0000088	MHJ_RS02035	B5M19_RS02725
OG0000089	MHJ_RS02045	B5M19_RS03690
OG0000090	MHJ_RS00070	B5M19_RS03775
OG0000091	MHJ_RS00055	B5M19_RS04280
OG0000092	MHJ_RS00040	B5M19_RS01895
OG0000093	MHJ_RS00035	B5M19_RS01900
OG0000094	MHJ_RS00030	B5M19_RS01905
OG0000095	MHJ_RS00005	B5M19_RS04290
OG0000096	MHJ_RS03580	B5M19_RS01935
OG0000097	MHJ_RS03560	B5M19_RS01955
OG0000098	MHJ_RS03550	B5M19_RS04295
OG0000099	MHJ_RS03505	B5M19_RS00370
OG0000100	MHJ_RS03490	B5M19_RS00385
OG0000101	MHJ_RS03485	B5M19_RS00390
OG0000102	MHJ_RS01650	B5M19_RS02080
OG0000103	MHJ_RS02165	B5M19_RS02960
OG0000104	MHJ_RS02170	B5M19_RS04460
OG0000105	MHJ_RS02185	B5M19_RS02940
OG0000106	MHJ_RS02195	B5M19_RS02930
OG0000107	MHJ_RS02205	B5M19_RS04455
OG0000108	MHJ_RS02210	B5M19_RS04620
OG0000109	MHJ_RS02215	B5M19_RS02910
OG0000110	MHJ_RS02330	B5M19_RS02660
OG0000111	MHJ_RS02325	B5M19_RS02665
OG0000112	MHJ_RS02315	B5M19_RS02675
OG0000113	MHJ_RS02295	B5M19_RS02700
