Orthogroup	MHP_133A_genes	MHP_98_genes
OG0000080	NB626_RS02790	GOM18_RS03980
OG0000081	NB626_RS00335	GOM18_RS01445
OG0000083	NB626_RS02155	GOM18_RS02245
OG0000084	NB626_RS02185	GOM18_RS02275
OG0000085	NB626_RS02190	GOM18_RS02280
OG0000086	NB626_RS02200	GOM18_RS02290
OG0000087	NB626_RS02215	GOM18_RS02305
OG0000088	NB626_RS02220	GOM18_RS02310
OG0000089	NB626_RS02230	GOM18_RS02320
OG0000090	NB626_RS00070	GOM18_RS00650
OG0000091	NB626_RS00055	GOM18_RS00635
OG0000092	NB626_RS00045	GOM18_RS00620
OG0000093	NB626_RS00035	GOM18_RS00615
OG0000094	NB626_RS00030	GOM18_RS00610
OG0000095	NB626_RS00005	GOM18_RS00585
OG0000096	NB626_RS03825	GOM18_RS00580
OG0000097	NB626_RS03805	GOM18_RS00560
OG0000098	NB626_RS03795	GOM18_RS00550
OG0000099	NB626_RS03745	GOM18_RS04285
OG0000100	NB626_RS03730	GOM18_RS00485
OG0000101	NB626_RS03725	GOM18_RS00480
OG0000102	NB626_RS01820	GOM18_RS02995
OG0000103	NB626_RS02370	GOM18_RS02360
OG0000104	NB626_RS02375	GOM18_RS02365
OG0000105	NB626_RS02395	GOM18_RS02380
OG0000106	NB626_RS02400	GOM18_RS02390
OG0000107	NB626_RS02410	GOM18_RS02400
OG0000108	NB626_RS02415	GOM18_RS02405
OG0000109	NB626_RS02420	GOM18_RS02410
OG0000110	NB626_RS02550	GOM18_RS02525
OG0000111	NB626_RS02545	GOM18_RS02520
OG0000112	NB626_RS02535	GOM18_RS02510
OG0000113	NB626_RS02510	GOM18_RS02490
OG0000114	NB626_RS02500	GOM18_RS02480
OG0000115	NB626_RS02490	GOM18_RS02470
OG0000116	NB626_RS01415	GOM18_RS02855
OG0000117	NB626_RS01420	GOM18_RS02850
OG0000118	NB626_RS01455	GOM18_RS02815
OG0000119	NB626_RS01460	GOM18_RS02810
OG0000120	NB626_RS01475	GOM18_RS02795
OG0000121	NB626_RS01505	GOM18_RS02775
OG0000122	NB626_RS01510	GOM18_RS02770
OG0000123	NB626_RS01530	GOM18_RS02750
OG0000124	NB626_RS01535	GOM18_RS02745
OG0000125	NB626_RS01540	GOM18_RS02740
OG0000126	NB626_RS01550	GOM18_RS02730
OG0000127	NB626_RS01560	GOM18_RS02720
OG0000128	NB626_RS01575	GOM18_RS02705
OG0000129	NB626_RS01580	GOM18_RS02700
OG0000130	NB626_RS01590	GOM18_RS02690
OG0000131	NB626_RS01620	GOM18_RS04475
OG0000132	NB626_RS01635	GOM18_RS04470
OG0000133	NB626_RS00630	GOM18_RS01635
OG0000134	NB626_RS00635	GOM18_RS01640
OG0000135	NB626_RS00650	GOM18_RS01655
OG0000136	NB626_RS00655	GOM18_RS01660
OG0000137	NB626_RS00685	GOM18_RS01690
OG0000138	NB626_RS00720	GOM18_RS03470
OG0000139	NB626_RS00750	GOM18_RS03440
OG0000140	NB626_RS00755	GOM18_RS03435
OG0000141	NB626_RS03115	GOM18_RS01125
OG0000142	NB626_RS03110	GOM18_RS04380
OG0000143	NB626_RS03095	GOM18_RS01150
OG0000144	NB626_RS03080	GOM18_RS01160
OG0000145	NB626_RS03070	GOM18_RS01170
OG0000146	NB626_RS03060	GOM18_RS01180
OG0000147	NB626_RS03055	GOM18_RS01185
OG0000148	NB626_RS03040	GOM18_RS01200
OG0000149	NB626_RS03030	GOM18_RS01210
OG0000150	NB626_RS03025	GOM18_RS01225
OG0000151	NB626_RS02965	GOM18_RS03115
OG0000152	NB626_RS02960	GOM18_RS03110
OG0000153	NB626_RS02955	GOM18_RS03105
OG0000154	NB626_RS02945	GOM18_RS03095
OG0000155	NB626_RS02905	GOM18_RS02160
OG0000156	NB626_RS02895	GOM18_RS02150
OG0000157	NB626_RS02890	GOM18_RS04415
OG0000158	NB626_RS02880	GOM18_RS04410
OG0000159	NB626_RS02640	GOM18_RS01915
OG0000160	NB626_RS02635	GOM18_RS01910
OG0000161	NB626_RS02630	GOM18_RS01905
OG0000162	NB626_RS02620	GOM18_RS01895
OG0000163	NB626_RS02615	GOM18_RS01890
OG0000164	NB626_RS01715	GOM18_RS03635
OG0000165	NB626_RS02075	GOM18_RS03260
OG0000166	NB626_RS02090	GOM18_RS02185
OG0000167	NB626_RS02105	GOM18_RS02200
OG0000168	NB626_RS02110	GOM18_RS02205
OG0000169	NB626_RS03230	GOM18_RS01040
OG0000170	NB626_RS03245	GOM18_RS01025
OG0000171	NB626_RS03255	GOM18_RS01015
OG0000172	NB626_RS03260	GOM18_RS01010
OG0000173	NB626_RS03265	GOM18_RS01005
OG0000174	NB626_RS03270	GOM18_RS01000
OG0000175	NB626_RS03290	GOM18_RS00985
OG0000176	NB626_RS03345	GOM18_RS00935
OG0000177	NB626_RS03350	GOM18_RS00930
OG0000178	NB626_RS03355	GOM18_RS00925
OG0000179	NB626_RS03365	GOM18_RS00915
OG0000180	NB626_RS03370	GOM18_RS00910
OG0000181	NB626_RS03410	GOM18_RS04365
OG0000182	NB626_RS03420	GOM18_RS00860
OG0000183	NB626_RS03455	GOM18_RS00825
OG0000184	NB626_RS03500	GOM18_RS00780
OG0000185	NB626_RS03485	GOM18_RS00795
OG0000186	NB626_RS01645	GOM18_RS04465
OG0000187	NB626_RS01660	GOM18_RS02595
OG0000188	NB626_RS01670	GOM18_RS02585
OG0000189	NB626_RS02460	GOM18_RS04445
OG0000190	NB626_RS02455	GOM18_RS02440
OG0000191	NB626_RS02430	GOM18_RS02420
OG0000192	NB626_RS01335	GOM18_RS03170
OG0000193	NB626_RS01320	GOM18_RS03155
OG0000194	NB626_RS00790	GOM18_RS00120
OG0000195	NB626_RS00795	GOM18_RS00125
OG0000196	NB626_RS00820	GOM18_RS00145
OG0000197	NB626_RS00830	GOM18_RS00150
OG0000198	NB626_RS00840	GOM18_RS00165
OG0000199	NB626_RS00845	GOM18_RS00170
OG0000200	NB626_RS00860	GOM18_RS00185
OG0000201	NB626_RS00870	GOM18_RS00195
OG0000202	NB626_RS00940	GOM18_RS00250
OG0000203	NB626_RS00945	GOM18_RS00255
OG0000204	NB626_RS00950	GOM18_RS00260
OG0000205	NB626_RS00955	GOM18_RS00265
OG0000206	NB626_RS00975	GOM18_RS00285
OG0000207	NB626_RS00990	GOM18_RS00300
OG0000208	NB626_RS00995	GOM18_RS00305
OG0000209	NB626_RS01000	GOM18_RS00310
OG0000210	NB626_RS01050	GOM18_RS00360
OG0000211	NB626_RS01065	GOM18_RS01855
OG0000212	NB626_RS01070	GOM18_RS01845
OG0000213	NB626_RS01075	GOM18_RS01840
OG0000214	NB626_RS01080	GOM18_RS01835
OG0000215	NB626_RS01085	GOM18_RS01830
OG0000216	NB626_RS01090	GOM18_RS01825
OG0000217	NB626_RS01095	GOM18_RS01820
OG0000218	NB626_RS01105	GOM18_RS01810
OG0000219	NB626_RS01110	GOM18_RS01805
OG0000220	NB626_RS01115	GOM18_RS01800
OG0000221	NB626_RS01120	GOM18_RS01795
OG0000222	NB626_RS01125	GOM18_RS01790
OG0000223	NB626_RS01130	GOM18_RS01785
OG0000224	NB626_RS01140	GOM18_RS01775
OG0000225	NB626_RS01150	GOM18_RS01765
OG0000226	NB626_RS01155	GOM18_RS01760
OG0000227	NB626_RS01160	GOM18_RS01755
OG0000228	NB626_RS01165	GOM18_RS04580
OG0000229	NB626_RS01170	GOM18_RS01745
OG0000230	NB626_RS01180	GOM18_RS01740
OG0000231	NB626_RS01185	GOM18_RS01730
OG0000232	NB626_RS01195	GOM18_RS01720
OG0000233	NB626_RS01215	GOM18_RS02880
OG0000234	NB626_RS01250	GOM18_RS02915
OG0000235	NB626_RS01260	GOM18_RS02925
OG0000236	NB626_RS01265	GOM18_RS02930
OG0000237	NB626_RS01270	GOM18_RS02935
OG0000238	NB626_RS01275	GOM18_RS02940
OG0000239	NB626_RS03125	GOM18_RS01115
OG0000240	NB626_RS03130	GOM18_RS01110
OG0000241	NB626_RS03140	GOM18_RS01100
OG0000242	NB626_RS03145	GOM18_RS01095
OG0000243	NB626_RS03150	GOM18_RS01090
OG0000244	NB626_RS03160	GOM18_RS01080
OG0000245	NB626_RS03170	GOM18_RS01070
OG0000246	NB626_RS00140	GOM18_RS01250
OG0000247	NB626_RS00150	GOM18_RS01260
OG0000248	NB626_RS00160	GOM18_RS01270
OG0000249	NB626_RS00165	GOM18_RS01275
OG0000250	NB626_RS00180	GOM18_RS01290
OG0000251	NB626_RS00215	GOM18_RS01320
OG0000252	NB626_RS00220	GOM18_RS01330
OG0000253	NB626_RS00225	GOM18_RS01335
OG0000254	NB626_RS00235	GOM18_RS01345
OG0000255	NB626_RS00240	GOM18_RS01350
OG0000256	NB626_RS00250	GOM18_RS01355
OG0000257	NB626_RS00270	GOM18_RS01380
OG0000258	NB626_RS00280	GOM18_RS01390
OG0000259	NB626_RS00310	GOM18_RS01420
OG0000260	NB626_RS00320	GOM18_RS01430
OG0000261	NB626_RS00330	GOM18_RS04390
OG0000262	NB626_RS00350	GOM18_RS01455
OG0000263	NB626_RS00365	GOM18_RS01470
OG0000264	NB626_RS00380	GOM18_RS01485
OG0000265	NB626_RS00390	GOM18_RS01495
OG0000266	NB626_RS00405	GOM18_RS01510
OG0000267	NB626_RS00420	GOM18_RS01525
OG0000268	NB626_RS00520	GOM18_RS01530
OG0000269	NB626_RS00535	GOM18_RS01545
