Orthogroup	MHP_133A_genes	MHP_98_genes
OG0000558	NB626_RS01350	GOM18_RS03185
OG0000559	NB626_RS01815	GOM18_RS03000
OG0000560	NB626_RS01930	GOM18_RS03405
OG0000561	NB626_RS01230	GOM18_RS02895
OG0000562	NB626_RS01935	GOM18_RS03400
OG0000563	NB626_RS01925	GOM18_RS03415
OG0000564	NB626_RS01410	GOM18_RS02875
OG0000565	NB626_RS02000	GOM18_RS03330
OG0000566	NB626_RS01980	GOM18_RS03355
OG0000567	NB626_RS01950	GOM18_RS03385
OG0000568	NB626_RS00785	GOM18_RS00115
OG0000569	NB626_RS01355	GOM18_RS03190
OG0000570	NB626_RS01360	GOM18_RS04520
OG0000571	NB626_RS01365	GOM18_RS03200
OG0000572	NB626_RS01385	GOM18_RS03220
OG0000573	NB626_RS01810	GOM18_RS03005
OG0000574	NB626_RS01425	GOM18_RS02845
OG0000575	NB626_RS01345	GOM18_RS03175
OG0000576	NB626_RS01765	GOM18_RS03050
OG0000577	NB626_RS02840	GOM18_RS02105
OG0000578	NB626_RS02865	GOM18_RS02125
OG0000579	NB626_RS01910	GOM18_RS03500
OG0000581	NB626_RS01905	GOM18_RS03495
OG0000582	NB626_RS01375	GOM18_RS04530
OG0000583	NB626_RS01800	GOM18_RS03015
OG0000584	NB626_RS00475	GOM18_RS00040
OG0000585	NB626_RS02365	GOM18_RS02355
OG0000586	NB626_RS01785	GOM18_RS03030
OG0000587	NB626_RS02010	GOM18_RS04190
OG0000588	NB626_RS01755	GOM18_RS03055
OG0000590	NB626_RS00485	GOM18_RS00030
OG0000591	NB626_RS02025	GOM18_RS04175
OG0000593	NB626_RS03735	GOM18_RS00490
OG0000595	NB626_RS03190	GOM18_RS01055
OG0000597	NB626_RS03185	GOM18_RS01060
OG0000600	NB626_RS00470	GOM18_RS00045
OG0000603	NB626_RS00465	GOM18_RS00050
OG0000604	NB626_RS02985	GOM18_RS04135
OG0000605	NB626_RS00460	GOM18_RS00055
OG0000607	NB626_RS01330	GOM18_RS03165
OG0000608	NB626_RS01940	GOM18_RS03395
OG0000610	NB626_RS00775	GOM18_RS03695
OG0000611	NB626_RS00095	GOM18_RS00670
OG0000613	NB626_RS02020	GOM18_RS04180
OG0000616	NB626_RS00445	GOM18_RS00065
OG0000617	NB626_RS01770	GOM18_RS03045
OG0000620	NB626_RS02005	GOM18_RS04195
