Orthogroup	MHP_UFV02_genes	MFC_MF11_genes
OG0000161	FEF31_RS02185	DR093_RS01165
OG0000162	FEF31_RS02175	DR093_RS02715
OG0000163	FEF31_RS02170	DR093_RS02710
OG0000164	FEF31_RS01270	DR093_RS04010
OG0000165	FEF31_RS01685	DR093_RS02995
OG0000166	FEF31_RS01705	DR093_RS02980
OG0000167	FEF31_RS01720	DR093_RS02890
OG0000168	FEF31_RS01725	DR093_RS02895
OG0000169	FEF31_RS03615	DR093_RS02185
OG0000170	FEF31_RS04785, FEF31_RS04795	DR093_RS02200
OG0000171	FEF31_RS03640	DR093_RS02210
OG0000172	FEF31_RS03645	DR093_RS02215
OG0000173	FEF31_RS03650	DR093_RS02220
OG0000174	FEF31_RS03655	DR093_RS02225
OG0000175	FEF31_RS03670	DR093_RS02240
OG0000176	FEF31_RS03715	DR093_RS02280
OG0000177	FEF31_RS03720	DR093_RS02285
OG0000178	FEF31_RS03725	DR093_RS02290
OG0000179	FEF31_RS03735	DR093_RS02300
OG0000180	FEF31_RS03740	DR093_RS02305
OG0000181	FEF31_RS04690	DR093_RS03965
OG0000182	FEF31_RS03795	DR093_RS02330
OG0000183	FEF31_RS03830	DR093_RS02365
OG0000184	FEF31_RS02980	DR093_RS02865
OG0000185	FEF31_RS02965	DR093_RS02880
OG0000186	FEF31_RS04435	DR093_RS02615
OG0000187	FEF31_RS01200	DR093_RS02600
OG0000188	FEF31_RS01210	DR093_RS02590
OG0000189	FEF31_RS04520	DR093_RS04000
OG0000190	FEF31_RS02035	DR093_RS02575
OG0000191	FEF31_RS02015	DR093_RS02555
OG0000192	FEF31_RS00875	DR093_RS02545
OG0000193	FEF31_RS00860	DR093_RS02530
OG0000194	FEF31_RS00345	DR093_RS02520
OG0000195	FEF31_RS00350	DR093_RS02515
OG0000196	FEF31_RS00370	DR093_RS03995
OG0000197	FEF31_RS00375	DR093_RS02490
OG0000198	FEF31_RS00390	DR093_RS02475
OG0000199	FEF31_RS00395	DR093_RS02470
OG0000200	FEF31_RS00410	DR093_RS02455
OG0000201	FEF31_RS00420	DR093_RS02445
OG0000202	FEF31_RS00475	DR093_RS02390
OG0000203	FEF31_RS00480	DR093_RS02385
OG0000204	FEF31_RS00485	DR093_RS03900
OG0000205	FEF31_RS00490	DR093_RS01450
OG0000206	FEF31_RS00510	DR093_RS01470
OG0000207	FEF31_RS00525	DR093_RS01485
OG0000208	FEF31_RS00530	DR093_RS01490
OG0000209	FEF31_RS00535	DR093_RS01495
OG0000210	FEF31_RS00580	DR093_RS01540
OG0000211	FEF31_RS00590	DR093_RS01550
OG0000212	FEF31_RS00600	DR093_RS01560
OG0000213	FEF31_RS00605	DR093_RS01565
OG0000214	FEF31_RS00610	DR093_RS01570
OG0000215	FEF31_RS00615	DR093_RS01575
OG0000216	FEF31_RS00620	DR093_RS01580
OG0000217	FEF31_RS00625	DR093_RS01585
OG0000218	FEF31_RS00635	DR093_RS03920
OG0000219	FEF31_RS00640	DR093_RS01600
OG0000220	FEF31_RS00645	DR093_RS01605
OG0000221	FEF31_RS00650	DR093_RS01610
OG0000222	FEF31_RS00655	DR093_RS01615
OG0000223	FEF31_RS00660	DR093_RS01620
OG0000224	FEF31_RS00670	DR093_RS01630
OG0000225	FEF31_RS00680	DR093_RS01640
OG0000226	FEF31_RS00685	DR093_RS01645
OG0000227	FEF31_RS00690	DR093_RS01650
OG0000228	FEF31_RS04770	DR093_RS04160
OG0000229	FEF31_RS00700	DR093_RS01660
OG0000230	FEF31_RS00705	DR093_RS01665
OG0000231	FEF31_RS00715	DR093_RS01675
OG0000232	FEF31_RS00725	DR093_RS01685
OG0000233	FEF31_RS00750	DR093_RS01695
OG0000234	FEF31_RS00785	DR093_RS01725
OG0000235	FEF31_RS00795	DR093_RS01735
OG0000236	FEF31_RS00800	DR093_RS01740
OG0000237	FEF31_RS00805	DR093_RS01755
OG0000238	FEF31_RS00810	DR093_RS01760
OG0000239	FEF31_RS02680	DR093_RS01790
OG0000240	FEF31_RS02685	DR093_RS01795
OG0000241	FEF31_RS02695	DR093_RS01805
OG0000242	FEF31_RS02700	DR093_RS01810
OG0000243	FEF31_RS02705	DR093_RS01815
OG0000244	FEF31_RS02715	DR093_RS01825
OG0000245	FEF31_RS02720	DR093_RS01835
OG0000246	FEF31_RS03410	DR093_RS00145
OG0000247	FEF31_RS03420	DR093_RS00155
OG0000248	FEF31_RS03430	DR093_RS00180
OG0000249	FEF31_RS03435	DR093_RS00185
OG0000250	FEF31_RS03450	DR093_RS00200
OG0000251	FEF31_RS03480	DR093_RS00230
OG0000252	FEF31_RS03490	DR093_RS00240
OG0000253	FEF31_RS03495	DR093_RS00245
OG0000254	FEF31_RS03505	DR093_RS00255
OG0000255	FEF31_RS03510	DR093_RS00260
OG0000256	FEF31_RS03515	DR093_RS00265
OG0000257	FEF31_RS03540	DR093_RS00290
OG0000258	FEF31_RS03550	DR093_RS00300
OG0000259	FEF31_RS03580	DR093_RS00330
OG0000260	FEF31_RS03590	DR093_RS00340
OG0000261	FEF31_RS04680	DR093_RS03790
OG0000262	FEF31_RS00010	DR093_RS00365
OG0000263	FEF31_RS00025	DR093_RS00380
OG0000264	FEF31_RS00040	DR093_RS00395
