Orthogroup	MHP_UFV02_genes	MFC_ATCC27716_genes
OG0000079	FEF31_RS02300	MFC_RS02930, MFC_RS03120
OG0000080	FEF31_RS02345	MFC_RS03315
OG0000081	FEF31_RS03610	MFC_RS03430, MFC_RS02560
OG0000082	FEF31_RS02130	MFC_RS02870
OG0000083	FEF31_RS01765	MFC_RS00040
OG0000084	FEF31_RS01795	MFC_RS00070
OG0000085	FEF31_RS01800	MFC_RS00075
OG0000086	FEF31_RS01810	MFC_RS00085
OG0000087	FEF31_RS01825	MFC_RS03320
OG0000088	FEF31_RS01830	MFC_RS00105
OG0000089	FEF31_RS01840	MFC_RS00115
OG0000090	FEF31_RS03355	MFC_RS00165
OG0000091	FEF31_RS03340	MFC_RS00180
OG0000092	FEF31_RS03325	MFC_RS00195
OG0000093	FEF31_RS03320	MFC_RS00200
OG0000094	FEF31_RS03315	MFC_RS00205
OG0000095	FEF31_RS03290	MFC_RS00230
OG0000096	FEF31_RS03285	MFC_RS00235
OG0000097	FEF31_RS03265	MFC_RS00255
OG0000098	FEF31_RS03255	MFC_RS00265
OG0000099	FEF31_RS04640	MFC_RS00320
OG0000100	FEF31_RS03195	MFC_RS00335
OG0000101	FEF31_RS03190	MFC_RS00340
OG0000102	FEF31_RS01365	MFC_RS00350
OG0000103	FEF31_RS01955	MFC_RS00405
OG0000104	FEF31_RS01960	MFC_RS00410
OG0000105	FEF31_RS01975	MFC_RS00425
OG0000106	FEF31_RS01985	MFC_RS00435
OG0000107	FEF31_RS01995	MFC_RS00445
OG0000108	FEF31_RS02000	MFC_RS00450
OG0000109	FEF31_RS02005	MFC_RS00455
OG0000110	FEF31_RS02120	MFC_RS00460
OG0000111	FEF31_RS02115	MFC_RS00465
OG0000112	FEF31_RS02105	MFC_RS00475
OG0000113	FEF31_RS02085	MFC_RS00490
OG0000114	FEF31_RS02075	MFC_RS00500
OG0000115	FEF31_RS02065	MFC_RS00510
OG0000116	FEF31_RS00955	MFC_RS00520
OG0000117	FEF31_RS00960	MFC_RS00525
OG0000118	FEF31_RS00995	MFC_RS00555
OG0000119	FEF31_RS01000	MFC_RS00560
OG0000120	FEF31_RS01020	MFC_RS00575
OG0000121	FEF31_RS01045	MFC_RS00600
OG0000122	FEF31_RS01050	MFC_RS00605
OG0000123	FEF31_RS01070	MFC_RS00625
OG0000124	FEF31_RS01075	MFC_RS00630
OG0000125	FEF31_RS01080	MFC_RS00635
OG0000126	FEF31_RS01090	MFC_RS00645
OG0000127	FEF31_RS01100	MFC_RS00655
OG0000128	FEF31_RS01115	MFC_RS00670
OG0000129	FEF31_RS01120	MFC_RS00675
OG0000130	FEF31_RS01130	MFC_RS00685
OG0000131	FEF31_RS01160	MFC_RS00715
OG0000132	FEF31_RS04430	MFC_RS00735
OG0000133	FEF31_RS00190	MFC_RS00805
OG0000134	FEF31_RS00195	MFC_RS00810
OG0000135	FEF31_RS00210	MFC_RS00825
OG0000136	FEF31_RS00215	MFC_RS00830
OG0000137	FEF31_RS00245	MFC_RS00860
OG0000138	FEF31_RS00280	MFC_RS00885
OG0000139	FEF31_RS00310	MFC_RS00915
OG0000140	FEF31_RS00315	MFC_RS00920
OG0000141	FEF31_RS02670	MFC_RS00955
OG0000142	FEF31_RS04555	MFC_RS00960
OG0000143	FEF31_RS02645	MFC_RS00985
