Orthogroup	MHP_UFV02_genes	MHP_J_genes
OG0000073	FEF31_RS00360	MHJ_RS00685
OG0000074	FEF31_RS04395	MHJ_RS00875
OG0000075	FEF31_RS00005	MHJ_RS00320
OG0000076	FEF31_RS00020	MHJ_RS00335
OG0000077	FEF31_RS00105	MHJ_RS00425
OG0000079	FEF31_RS02300	MHJ_RS02515
OG0000080	FEF31_RS02345	MHJ_RS03800
OG0000081	FEF31_RS03610	MHJ_RS00315
OG0000082	FEF31_RS02130	MHJ_RS03775
OG0000083	FEF31_RS01765	MHJ_RS01975
OG0000084	FEF31_RS01795	MHJ_RS02000
OG0000085	FEF31_RS01800	MHJ_RS02005
OG0000086	FEF31_RS01810	MHJ_RS02015
OG0000087	FEF31_RS01825	MHJ_RS02030
OG0000088	FEF31_RS01830	MHJ_RS02035
OG0000089	FEF31_RS01840	MHJ_RS02045
OG0000090	FEF31_RS03355	MHJ_RS00070
OG0000091	FEF31_RS03340	MHJ_RS00055
OG0000092	FEF31_RS03325	MHJ_RS00040
OG0000093	FEF31_RS03320	MHJ_RS00035
OG0000094	FEF31_RS03315	MHJ_RS00030
OG0000095	FEF31_RS03290	MHJ_RS00005
OG0000096	FEF31_RS03285	MHJ_RS03580
OG0000097	FEF31_RS03265	MHJ_RS03560
OG0000098	FEF31_RS03255	MHJ_RS03550
OG0000099	FEF31_RS04640	MHJ_RS03505
OG0000100	FEF31_RS03195	MHJ_RS03490
OG0000101	FEF31_RS03190	MHJ_RS03485
OG0000102	FEF31_RS01365	MHJ_RS01650
OG0000103	FEF31_RS01955	MHJ_RS02165
OG0000104	FEF31_RS01960	MHJ_RS02170
OG0000105	FEF31_RS01975	MHJ_RS02185
OG0000106	FEF31_RS01985	MHJ_RS02195
OG0000107	FEF31_RS01995	MHJ_RS02205
OG0000108	FEF31_RS02000	MHJ_RS02210
OG0000109	FEF31_RS02005	MHJ_RS02215
OG0000110	FEF31_RS02120	MHJ_RS02330
OG0000111	FEF31_RS02115	MHJ_RS02325
OG0000112	FEF31_RS02105	MHJ_RS02315
OG0000113	FEF31_RS02085	MHJ_RS02295
OG0000114	FEF31_RS02075	MHJ_RS02285
OG0000115	FEF31_RS02065	MHJ_RS02275
OG0000116	FEF31_RS00955	MHJ_RS01270
OG0000117	FEF31_RS00960	MHJ_RS01275
OG0000118	FEF31_RS00995	MHJ_RS01310
OG0000119	FEF31_RS01000	MHJ_RS01315
OG0000120	FEF31_RS01020	MHJ_RS01330
OG0000121	FEF31_RS01045	MHJ_RS01355
OG0000122	FEF31_RS01050	MHJ_RS01360
OG0000123	FEF31_RS01070	MHJ_RS01380
OG0000124	FEF31_RS01075	MHJ_RS01385
OG0000125	FEF31_RS01080	MHJ_RS01390
OG0000126	FEF31_RS01090	MHJ_RS01400
OG0000127	FEF31_RS01100	MHJ_RS01410
OG0000128	FEF31_RS01115	MHJ_RS01425
OG0000129	FEF31_RS01120	MHJ_RS01430
OG0000130	FEF31_RS01130	MHJ_RS01440
OG0000131	FEF31_RS01160	MHJ_RS01470
OG0000132	FEF31_RS04430	MHJ_RS01485
OG0000133	FEF31_RS00190	MHJ_RS00515
OG0000134	FEF31_RS00195	MHJ_RS00520
OG0000135	FEF31_RS00210	MHJ_RS00535
OG0000136	FEF31_RS00215	MHJ_RS00540
OG0000137	FEF31_RS00245	MHJ_RS00575
OG0000138	FEF31_RS00280	MHJ_RS00605
OG0000139	FEF31_RS00310	MHJ_RS00635
OG0000140	FEF31_RS00315	MHJ_RS00640
OG0000141	FEF31_RS02670	MHJ_RS02910
OG0000142	FEF31_RS04555	MHJ_RS02905
OG0000143	FEF31_RS02645	MHJ_RS02880
OG0000144	FEF31_RS02635	MHJ_RS02870
OG0000145	FEF31_RS02625	MHJ_RS02855
OG0000146	FEF31_RS02615	MHJ_RS02845
OG0000147	FEF31_RS02610	MHJ_RS02840
OG0000148	FEF31_RS02595	MHJ_RS02825
OG0000149	FEF31_RS02585	MHJ_RS02815
OG0000150	FEF31_RS02570	MHJ_RS02800
OG0000151	FEF31_RS02525	MHJ_RS02745
OG0000152	FEF31_RS02520	MHJ_RS02740
OG0000153	FEF31_RS02515	MHJ_RS02735
OG0000154	FEF31_RS02505	MHJ_RS02725
OG0000155	FEF31_RS02465	MHJ_RS02685
OG0000156	FEF31_RS02455	MHJ_RS02675
OG0000157	FEF31_RS04545	MHJ_RS02670
OG0000158	FEF31_RS04540	MHJ_RS04010
OG0000159	FEF31_RS02195	MHJ_RS04030
OG0000160	FEF31_RS02190	MHJ_RS02410
OG0000161	FEF31_RS02185	MHJ_RS02405
OG0000162	FEF31_RS02175	MHJ_RS02395
OG0000163	FEF31_RS02170	MHJ_RS02390
OG0000164	FEF31_RS01270	MHJ_RS01565
OG0000165	FEF31_RS01685	MHJ_RS01890
OG0000166	FEF31_RS01705	MHJ_RS01915
OG0000167	FEF31_RS01720	MHJ_RS01930
OG0000168	FEF31_RS01725	MHJ_RS01935
OG0000169	FEF31_RS03615	MHJ_RS03005
OG0000170	FEF31_RS04785, FEF31_RS04795	MHJ_RS03035
OG0000171	FEF31_RS03640	MHJ_RS03045
OG0000172	FEF31_RS03645	MHJ_RS03050
OG0000173	FEF31_RS03650	MHJ_RS03055
OG0000174	FEF31_RS03655	MHJ_RS03060
OG0000175	FEF31_RS03670	MHJ_RS03075
OG0000176	FEF31_RS03715	MHJ_RS03125
OG0000177	FEF31_RS03720	MHJ_RS03130
OG0000178	FEF31_RS03725	MHJ_RS03135
OG0000179	FEF31_RS03735	MHJ_RS03145
OG0000180	FEF31_RS03740	MHJ_RS03150
OG0000181	FEF31_RS04690	MHJ_RS03200
OG0000182	FEF31_RS03795	MHJ_RS03210
OG0000183	FEF31_RS03830	MHJ_RS03245
OG0000184	FEF31_RS02980	MHJ_RS03285
OG0000185	FEF31_RS02965	MHJ_RS03270
OG0000186	FEF31_RS04435	MHJ_RS01495
OG0000187	FEF31_RS01200	MHJ_RS01510
OG0000188	FEF31_RS01210	MHJ_RS01520
OG0000189	FEF31_RS04520	MHJ_RS02250
OG0000190	FEF31_RS02035	MHJ_RS02245
OG0000191	FEF31_RS02015	MHJ_RS02225
OG0000192	FEF31_RS00875	MHJ_RS01190
OG0000193	FEF31_RS00860	MHJ_RS01180
OG0000194	FEF31_RS00345	MHJ_RS00670
OG0000195	FEF31_RS00350	MHJ_RS00675
OG0000196	FEF31_RS00370	MHJ_RS00695
OG0000197	FEF31_RS00375	MHJ_RS00700
OG0000198	FEF31_RS00390	MHJ_RS00715
OG0000199	FEF31_RS00395	MHJ_RS00720
OG0000200	FEF31_RS00410	MHJ_RS00730
OG0000201	FEF31_RS00420	MHJ_RS00740
OG0000202	FEF31_RS00475	MHJ_RS00795
OG0000203	FEF31_RS00480	MHJ_RS00800
OG0000204	FEF31_RS00485	MHJ_RS00805
OG0000205	FEF31_RS00490	MHJ_RS00810
OG0000206	FEF31_RS00510	MHJ_RS00830
OG0000207	FEF31_RS00525	MHJ_RS00845
OG0000208	FEF31_RS00530	MHJ_RS00850
OG0000209	FEF31_RS00535	MHJ_RS00855
OG0000210	FEF31_RS00580	MHJ_RS00900
OG0000211	FEF31_RS00590	MHJ_RS00910
OG0000212	FEF31_RS00600	MHJ_RS00920
OG0000213	FEF31_RS00605	MHJ_RS00925
OG0000214	FEF31_RS00610	MHJ_RS00930
OG0000215	FEF31_RS00615	MHJ_RS00935
OG0000216	FEF31_RS00620	MHJ_RS00940
OG0000217	FEF31_RS00625	MHJ_RS00945
OG0000218	FEF31_RS00635	MHJ_RS00955
OG0000219	FEF31_RS00640	MHJ_RS00960
OG0000220	FEF31_RS00645	MHJ_RS00965
OG0000221	FEF31_RS00650	MHJ_RS00970
OG0000222	FEF31_RS00655	MHJ_RS00975
OG0000223	FEF31_RS00660	MHJ_RS00980
OG0000224	FEF31_RS00670	MHJ_RS00990
OG0000225	FEF31_RS00680	MHJ_RS01000
OG0000226	FEF31_RS00685	MHJ_RS01005
OG0000227	FEF31_RS00690	MHJ_RS01010
OG0000228	FEF31_RS04770	MHJ_RS04015
OG0000229	FEF31_RS00700	MHJ_RS01020
OG0000230	FEF31_RS00705	MHJ_RS01025
OG0000231	FEF31_RS00715	MHJ_RS01035
OG0000232	FEF31_RS00725	MHJ_RS01045
OG0000233	FEF31_RS00750	MHJ_RS01065
OG0000234	FEF31_RS00785	MHJ_RS01100
OG0000235	FEF31_RS00795	MHJ_RS01110
OG0000236	FEF31_RS00800	MHJ_RS01115
OG0000237	FEF31_RS00805	MHJ_RS01120
OG0000238	FEF31_RS00810	MHJ_RS01130
OG0000239	FEF31_RS02680	MHJ_RS02925
OG0000240	FEF31_RS02685	MHJ_RS02930
OG0000241	FEF31_RS02695	MHJ_RS02940
OG0000242	FEF31_RS02700	MHJ_RS02945
OG0000243	FEF31_RS02705	MHJ_RS02950
OG0000244	FEF31_RS02715	MHJ_RS02960
OG0000245	FEF31_RS02720	MHJ_RS02970
OG0000246	FEF31_RS03410	MHJ_RS00115
OG0000247	FEF31_RS03420	MHJ_RS00125
OG0000248	FEF31_RS03430	MHJ_RS00135
OG0000249	FEF31_RS03435	MHJ_RS00140
OG0000250	FEF31_RS03450	MHJ_RS00155
OG0000251	FEF31_RS03480	MHJ_RS00185
OG0000252	FEF31_RS03490	MHJ_RS00195
OG0000253	FEF31_RS03495	MHJ_RS00200
OG0000254	FEF31_RS03505	MHJ_RS00210
OG0000255	FEF31_RS03510	MHJ_RS00220
OG0000256	FEF31_RS03515	MHJ_RS00225
OG0000257	FEF31_RS03540	MHJ_RS00250
OG0000258	FEF31_RS03550	MHJ_RS00260
OG0000259	FEF31_RS03580	MHJ_RS00290
OG0000260	FEF31_RS03590	MHJ_RS00300
OG0000261	FEF31_RS04680	MHJ_RS00310
OG0000262	FEF31_RS00010	MHJ_RS00325
OG0000263	FEF31_RS00025	MHJ_RS00340
OG0000264	FEF31_RS00040	MHJ_RS00355
OG0000265	FEF31_RS00050	MHJ_RS00365
OG0000266	FEF31_RS00065	MHJ_RS00380
OG0000267	FEF31_RS00080	MHJ_RS00395
OG0000268	FEF31_RS00085	MHJ_RS00400
OG0000269	FEF31_RS00100	MHJ_RS00415
OG0000270	FEF31_RS04635	MHJ_RS03460
OG0000271	FEF31_RS03160	MHJ_RS03455
OG0000272	FEF31_RS03155	MHJ_RS03450
OG0000273	FEF31_RS03150	MHJ_RS03445
OG0000274	FEF31_RS03130	MHJ_RS03425
OG0000275	FEF31_RS04625	MHJ_RS03420
OG0000276	FEF31_RS03120	MHJ_RS03415
OG0000277	FEF31_RS03110	MHJ_RS03405
OG0000278	FEF31_RS03105	MHJ_RS03400
OG0000279	FEF31_RS03095	MHJ_RS03390
OG0000280	FEF31_RS03090	MHJ_RS03385
OG0000281	FEF31_RS03085	MHJ_RS03705
OG0000282	FEF31_RS04615	MHJ_RS03360
OG0000283	FEF31_RS03055	MHJ_RS03355
OG0000284	FEF31_RS03050	MHJ_RS03350
OG0000285	FEF31_RS04610	MHJ_RS03345
