Orthogroup	MHP_UFV02_genes	MHP_J_genes
OG0000499	FEF31_RS02445	MHJ_RS02665
OG0000500	FEF31_RS01675	MHJ_RS01880
OG0000502	FEF31_RS00855	MHJ_RS01175
OG0000503	FEF31_RS00415	MHJ_RS00735
OG0000504	FEF31_RS00550	MHJ_RS00870
OG0000505	FEF31_RS00585	MHJ_RS00905
OG0000506	FEF31_RS00595	MHJ_RS00915
OG0000507	FEF31_RS00630	MHJ_RS00950
OG0000508	FEF31_RS03520	MHJ_RS00230
OG0000509	FEF31_RS03555	MHJ_RS00265
OG0000510	FEF31_RS03565	MHJ_RS00275
OG0000511	FEF31_RS00095	MHJ_RS00410
OG0000512	FEF31_RS02295	MHJ_RS02510
OG0000513	FEF31_RS03100	MHJ_RS03395
OG0000514	FEF31_RS02600	MHJ_RS02830
OG0000515	FEF31_RS01240, FEF31_RS01235	MHJ_RS01535
OG0000516	FEF31_RS04490	MHJ_RS01965
OG0000517	FEF31_RS03350	MHJ_RS00065
OG0000518	FEF31_RS03675	MHJ_RS03080
OG0000519	FEF31_RS00440	MHJ_RS00760
OG0000520	FEF31_RS00565	MHJ_RS00885
OG0000521	FEF31_RS03535	MHJ_RS00245
OG0000522	FEF31_RS03570	MHJ_RS00280
OG0000523	FEF31_RS03035	MHJ_RS03335
OG0000524	FEF31_RS02410	MHJ_RS02635
OG0000525	FEF31_RS04585	MHJ_RS03305
OG0000526	FEF31_RS01585	MHJ_RS03870, MHJ_RS01785
OG0000527	FEF31_RS01525	MHJ_RS03865
OG0000528	FEF31_RS01760	MHJ_RS01970
OG0000529	FEF31_RS01980	MHJ_RS02190
OG0000530	FEF31_RS02080	MHJ_RS02290
OG0000531	FEF31_RS01060	MHJ_RS01370
OG0000532	FEF31_RS01290	MHJ_RS01585
OG0000533	FEF31_RS00260	MHJ_RS00585
OG0000534	FEF31_RS00045	MHJ_RS00360
OG0000535	FEF31_RS04655	MHJ_RS00045
OG0000536	FEF31_RS03215	MHJ_RS03510
OG0000537	FEF31_RS00380	MHJ_RS00705
OG0000538	FEF31_RS00780	MHJ_RS01095
OG0000539	FEF31_RS03485	MHJ_RS00190
OG0000540	FEF31_RS02380	MHJ_RS02600
OG0000541	FEF31_RS02460	MHJ_RS02680
OG0000542	FEF31_RS00015	MHJ_RS00330
OG0000544	FEF31_RS04410	MHJ_RS01225
OG0000545	FEF31_RS01570	MHJ_RS01770
OG0000546	FEF31_RS02530	MHJ_RS02755
OG0000547	FEF31_RS02650	MHJ_RS02885
OG0000548	FEF31_RS01255	MHJ_RS01550
OG0000549	FEF31_RS04580	MHJ_RS03295
OG0000550	FEF31_RS03135	MHJ_RS03430
OG0000552	FEF31_RS03710	MHJ_RS03115
OG0000553	FEF31_RS04535	MHJ_RS02650
OG0000554	FEF31_RS02125	MHJ_RS02335
OG0000555	FEF31_RS02655	MHJ_RS03945
OG0000557	FEF31_RS00920	MHJ_RS01235
OG0000558	FEF31_RS00890	MHJ_RS01205
OG0000559	FEF31_RS01360	MHJ_RS01645
OG0000560	FEF31_RS01560	MHJ_RS01760
OG0000561	FEF31_RS00765	MHJ_RS01080
OG0000562	FEF31_RS01565	MHJ_RS01765
OG0000563	FEF31_RS01550	MHJ_RS01750
OG0000564	FEF31_RS00945	MHJ_RS01260
OG0000565	FEF31_RS01620	MHJ_RS01820
OG0000566	FEF31_RS01605	MHJ_RS01810
OG0000567	FEF31_RS01580	MHJ_RS01780
OG0000568	FEF31_RS00340	MHJ_RS00665
OG0000569	FEF31_RS00895	MHJ_RS01210
OG0000570	FEF31_RS04405	MHJ_RS01215
OG0000571	FEF31_RS00905	MHJ_RS01220
OG0000572	FEF31_RS00925	MHJ_RS01240
OG0000573	FEF31_RS01355	MHJ_RS01640
OG0000574	FEF31_RS00965	MHJ_RS01280
OG0000575	FEF31_RS00880	MHJ_RS01195
OG0000576	FEF31_RS01315	MHJ_RS03625
OG0000577	FEF31_RS02400	MHJ_RS02620
OG0000578	FEF31_RS02420	MHJ_RS02645
OG0000579	FEF31_RS01540	MHJ_RS01740
OG0000580	FEF31_RS02535	MHJ_RS02760
OG0000581	FEF31_RS01530	MHJ_RS01725
OG0000582	FEF31_RS04415	MHJ_RS03835
OG0000583	FEF31_RS01345	MHJ_RS01630
OG0000585	FEF31_RS01950	MHJ_RS03590
OG0000586	FEF31_RS01330	MHJ_RS01620
OG0000587	FEF31_RS04780	MHJ_RS04025
OG0000588	FEF31_RS01305	MHJ_RS01600
OG0000589	FEF31_RS01890	MHJ_RS03650
OG0000591	FEF31_RS04065	MHJ_RS03990
OG0000592	FEF31_RS02390	MHJ_RS02610
OG0000593	FEF31_RS03200	MHJ_RS03495
OG0000594	FEF31_RS00885	MHJ_RS01200
OG0000595	FEF31_RS02735	MHJ_RS03020
OG0000596	FEF31_RS01490	MHJ_RS01685
OG0000597	FEF31_RS02730	MHJ_RS03015
OG0000598	FEF31_RS01495	MHJ_RS01690
OG0000599	FEF31_RS01500	MHJ_RS01695
OG0000601	FEF31_RS01555	MHJ_RS01755
OG0000606	FEF31_RS01535	MHJ_RS01730
OG0000607	FEF31_RS00870	MHJ_RS03755
OG0000610	FEF31_RS03930	MHJ_RS03970
OG0000612	FEF31_RS01505	MHJ_RS03855
OG0000615	FEF31_RS02430	MHJ_RS02655
OG0000652	FEF31_RS01250	MHJ_RS03975
