Orthogroup	MHP_MHP709_genes	MHP_MHP691_genes
OG0000554	DR088_RS02390	DR087_RS01690
OG0000555	DR088_RS03765	DR087_RS04580
OG0000557	DR088_RS00965	DR087_RS02850
OG0000558	DR088_RS00935	DR087_RS02820
OG0000559	DR088_RS02315	DR087_RS02085
OG0000560	DR088_RS00405	DR087_RS01645
OG0000561	DR088_RS00805	DR087_RS01990
OG0000562	DR088_RS00410	DR087_RS01640
OG0000563	DR088_RS00395	DR087_RS01655
OG0000564	DR088_RS03880	DR087_RS03320
OG0000565	DR088_RS00470	DR087_RS01590
OG0000566	DR088_RS00455	DR087_RS01600
OG0000567	DR088_RS00425	DR087_RS04055, DR087_RS01625
OG0000568	DR088_RS02845	DR087_RS02180
OG0000569	DR088_RS00940	DR087_RS02825
OG0000570	DR088_RS04365	DR087_RS04705
OG0000571	DR088_RS00950	DR087_RS02835
OG0000572	DR088_RS00970	DR087_RS02855
OG0000573	DR088_RS02320	DR087_RS02080
OG0000574	DR088_RS01010	DR087_RS03300
OG0000575	DR088_RS00925	DR087_RS02810
OG0000576	DR088_RS02365	DR087_RS02035
OG0000577	DR088_RS00085	DR087_RS01270
OG0000578	DR088_RS00105	DR087_RS01250
OG0000580	DR088_RS03750	DR087_RS04010
OG0000582	DR088_RS04375	DR087_RS04715
OG0000583	DR088_RS02330	DR087_RS02070
OG0000585	DR088_RS03515	DR087_RS00175, DR087_RS00170
OG0000586	DR088_RS02345	DR087_RS02055
OG0000587	DR088_RS03785	DR087_RS04775
OG0000588	DR088_RS02370	DR087_RS02030
OG0000589	DR088_RS03680	DR087_RS03500
OG0000592	DR088_RS00075	DR087_RS01280
OG0000593	DR088_RS02110	DR087_RS00755
OG0000594	DR088_RS00930	DR087_RS02815
OG0000595	DR088_RS03435	DR087_RS03405
OG0000597	DR088_RS03445	DR087_RS03400
OG0000601	DR088_RS00400	DR087_RS01650
OG0000602	DR088_RS00645	DR087_RS00080
OG0000607	DR088_RS00915	DR087_RS02800
OG0000608	DR088_RS00415	DR087_RS04600
OG0000609	DR088_RS00440	DR087_RS01615
OG0000611	DR088_RS01940	DR087_RS00520
OG0000613	DR088_RS03790	DR087_RS04040
OG0000614	DR088_RS03280	DR087_RS03590
OG0000617	DR088_RS02360	DR087_RS02040
