Orthogroup	MHP_MHP709_genes	MHP_MHP691_genes
OG0000190	DR088_RS02935	DR087_RS00260
OG0000191	DR088_RS02915	DR087_RS00240
OG0000192	DR088_RS00920	DR087_RS02805
OG0000193	DR088_RS00905	DR087_RS02790
OG0000194	DR088_RS02840	DR087_RS02185
OG0000195	DR088_RS02835	DR087_RS02190
OG0000196	DR088_RS02815	DR087_RS02210
OG0000197	DR088_RS02810	DR087_RS02215
OG0000198	DR088_RS02795	DR087_RS02230
OG0000199	DR088_RS02790	DR087_RS02235
OG0000200	DR088_RS02775	DR087_RS02250
OG0000201	DR088_RS02765	DR087_RS02260
OG0000202	DR088_RS02710	DR087_RS02315
OG0000203	DR088_RS02705	DR087_RS02320
OG0000204	DR088_RS04410	DR087_RS04700
OG0000205	DR088_RS01790	DR087_RS02610
OG0000206	DR088_RS01770	DR087_RS02590
OG0000207	DR088_RS01755	DR087_RS02575
OG0000208	DR088_RS01750	DR087_RS02570
OG0000209	DR088_RS01745	DR087_RS02565
OG0000210	DR088_RS01700	DR087_RS02520
OG0000211	DR088_RS01690	DR087_RS02630
OG0000212	DR088_RS01680	DR087_RS02640
OG0000213	DR088_RS01675	DR087_RS02645
OG0000214	DR088_RS01670	DR087_RS02650
OG0000215	DR088_RS01665	DR087_RS02655
OG0000216	DR088_RS01660	DR087_RS02660
OG0000217	DR088_RS01655	DR087_RS02665
OG0000218	DR088_RS01645	DR087_RS02675
OG0000219	DR088_RS01640	DR087_RS02680
OG0000220	DR088_RS01635	DR087_RS02685
OG0000221	DR088_RS01630	DR087_RS02690
OG0000222	DR088_RS01625	DR087_RS02695
OG0000223	DR088_RS01620	DR087_RS02700
OG0000224	DR088_RS01610	DR087_RS02710
OG0000225	DR088_RS01600	DR087_RS02720
OG0000226	DR088_RS01595	DR087_RS02725
OG0000227	DR088_RS01590	DR087_RS02730
OG0000228	DR088_RS04640	DR087_RS04810
OG0000229	DR088_RS01580	DR087_RS02740
OG0000230	DR088_RS01575	DR087_RS02745
OG0000231	DR088_RS01565	DR087_RS02755
OG0000232	DR088_RS01555	DR087_RS02765
OG0000233	DR088_RS00790	DR087_RS02010
OG0000234	DR088_RS00825	DR087_RS01970
OG0000235	DR088_RS00835	DR087_RS01960
OG0000236	DR088_RS00840	DR087_RS01955
OG0000237	DR088_RS00845	DR087_RS01950
OG0000238	DR088_RS00855	DR087_RS01940
OG0000239	DR088_RS03185	DR087_RS03355
OG0000240	DR088_RS03190	DR087_RS03350
OG0000241	DR088_RS03200	DR087_RS03340
OG0000242	DR088_RS03205	DR087_RS03365
OG0000243	DR088_RS03210	DR087_RS03370
OG0000244	DR088_RS03220	DR087_RS03380
OG0000245	DR088_RS03230	DR087_RS03390
OG0000246	DR088_RS03555	DR087_RS00560
OG0000247	DR088_RS03610	DR087_RS02415
OG0000248	DR088_RS01365	DR087_RS02405
OG0000249	DR088_RS01360	DR087_RS02400
OG0000250	DR088_RS01345	DR087_RS02385
OG0000251	DR088_RS01310	DR087_RS02350
OG0000252	DR088_RS01300	DR087_RS02340
OG0000253	DR088_RS01295	DR087_RS02335
OG0000254	DR088_RS01285	DR087_RS02325
OG0000255	DR088_RS01275	DR087_RS01760
OG0000256	DR088_RS01270	DR087_RS01765
OG0000257	DR088_RS01245	DR087_RS01790
OG0000258	DR088_RS01235	DR087_RS01800
OG0000259	DR088_RS01205	DR087_RS01830
OG0000260	DR088_RS01195	DR087_RS01840
OG0000261	DR088_RS04380	DR087_RS04615
OG0000262	DR088_RS01170	DR087_RS01865
OG0000263	DR088_RS01155	DR087_RS01880
OG0000264	DR088_RS01140	DR087_RS01895
OG0000265	DR088_RS01130	DR087_RS01910
OG0000266	DR088_RS01115	DR087_RS03015
OG0000267	DR088_RS01100	DR087_RS03030
OG0000268	DR088_RS01095	DR087_RS03035
OG0000269	DR088_RS01080	DR087_RS03050
OG0000270	DR088_RS04455	DR087_RS04505
OG0000271	DR088_RS02070	DR087_RS00715
OG0000272	DR088_RS02065	DR087_RS00710
