Orthogroup	MHP_F72C_genes	MHP_TB1_genes
OG0000523	EHI52_RS03360	B5M19_RS00545
OG0000524	EHI52_RS02665	B5M19_RS00900
OG0000525	EHI52_RS03345	B5M19_RS00575
OG0000526	EHI52_RS03800	B5M19_RS04070
OG0000527	EHI52_RS02185	B5M19_RS04065
OG0000528	EHI52_RS01920	B5M19_RS00840
OG0000529	EHI52_RS02250	B5M19_RS02935
OG0000530	EHI52_RS02355	B5M19_RS02705
OG0000531	EHI52_RS01460	B5M19_RS01175
OG0000532	EHI52_RS01685	B5M19_RS04500
OG0000535	EHI52_RS00045	B5M19_RS04610
OG0000536	EHI52_RS03545	B5M19_RS00365
OG0000537	EHI52_RS00725	B5M19_RS01820
OG0000538	EHI52_RS01195	B5M19_RS04340
OG0000539	EHI52_RS00220	B5M19_RS00130
OG0000540	EHI52_RS02635	B5M19_RS00930
OG0000541	EHI52_RS02710	B5M19_RS00855
OG0000542	EHI52_RS00365	B5M19_RS00275
OG0000544	EHI52_RS01315	B5M19_RS04410
OG0000546	EHI52_RS02780	B5M19_RS02545
OG0000547	EHI52_RS02900	B5M19_RS01355
OG0000548	EHI52_RS01650	B5M19_RS03295
OG0000549	EHI52_RS03335	B5M19_RS00585
OG0000550	EHI52_RS03460	B5M19_RS04055
OG0000551	EHI52_RS02975	B5M19_RS01275
OG0000553	EHI52_RS02680	B5M19_RS00885
OG0000554	EHI52_RS02400	B5M19_RS02655
OG0000555	EHI52_RS03850	B5M19_RS01350
OG0000557	EHI52_RS01325	B5M19_RS02615
OG0000558	EHI52_RS01295	B5M19_RS03655
OG0000559	EHI52_RS01755	B5M19_RS02075
OG0000560	EHI52_RS02125	B5M19_RS00635
OG0000561	EHI52_RS01180	B5M19_RS02205
OG0000562	EHI52_RS02120	B5M19_RS00640
OG0000563	EHI52_RS02135	B5M19_RS00625
OG0000564	EHI52_RS03770	B5M19_RS03930
OG0000565	EHI52_RS02070	B5M19_RS00685
OG0000566	EHI52_RS02080	B5M19_RS00675
OG0000567	EHI52_RS02105	B5M19_RS00650
OG0000568	EHI52_RS00685	B5M19_RS01860
OG0000569	EHI52_RS01300	B5M19_RS03665
OG0000570	EHI52_RS01305	B5M19_RS02635
OG0000571	EHI52_RS01310	B5M19_RS02630
OG0000572	EHI52_RS01330	B5M19_RS02610
OG0000573	EHI52_RS01750	B5M19_RS02070
OG0000574	EHI52_RS01370	B5M19_RS02570
OG0000575	EHI52_RS01285	B5M19_RS03670
OG0000576	EHI52_RS01710	B5M19_RS02030
OG0000577	EHI52_RS02655	B5M19_RS00910
OG0000578	EHI52_RS02675	B5M19_RS00890
OG0000579	EHI52_RS02170	B5M19_RS00615
OG0000580	EHI52_RS03845	B5M19_RS02550
OG0000581	EHI52_RS02175	B5M19_RS00600
OG0000582	EHI52_RS03765	B5M19_RS04400
OG0000583	EHI52_RS01740	B5M19_RS02060
OG0000585	EHI52_RS02220	B5M19_RS02965
OG0000588	EHI52_RS01700	B5M19_RS02025
OG0000591	EHI52_RS02045	B5M19_RS04575
OG0000592	EHI52_RS02645	B5M19_RS04115
OG0000593	EHI52_RS03525	B5M19_RS00380
OG0000594	EHI52_RS01290	B5M19_RS03650
OG0000596	EHI52_RS01785	B5M19_RS02110
OG0000598	EHI52_RS01790	B5M19_RS02115
OG0000599	EHI52_RS01795	B5M19_RS02120
OG0000601	EHI52_RS02130	B5M19_RS00630
OG0000604	EHI52_RS03890	B5M19_RS04585
OG0000606	EHI52_RS02160	B5M19_RS00605
OG0000612	EHI52_RS01800	B5M19_RS04320
OG0000615	EHI52_RS02685	B5M19_RS00880
OG0000626	EHI52_RS03695	B5M19_RS03905
