Orthogroup	MHP_F72C_genes	MHP_TB1_genes
OG0000145	EHI52_RS02875	B5M19_RS01380
OG0000146	EHI52_RS02865	B5M19_RS01390
OG0000147	EHI52_RS02860	B5M19_RS01395
OG0000148	EHI52_RS02845	B5M19_RS01410
OG0000149	EHI52_RS02835	B5M19_RS01420
OG0000150	EHI52_RS02820	B5M19_RS04180
OG0000151	EHI52_RS02775	B5M19_RS02540
OG0000152	EHI52_RS02770	B5M19_RS02535
OG0000153	EHI52_RS02765	B5M19_RS02530
OG0000154	EHI52_RS02755	B5M19_RS02520
OG0000155	EHI52_RS02715	B5M19_RS02480
OG0000156	EHI52_RS02705	B5M19_RS00860
OG0000157	EHI52_RS02700	B5M19_RS00865
OG0000158	EHI52_RS03885	B5M19_RS04580
OG0000159	EHI52_RS03925	B5M19_RS02810
OG0000160	EHI52_RS02460	B5M19_RS02815
OG0000161	EHI52_RS02455	B5M19_RS02820
OG0000162	EHI52_RS02445	B5M19_RS02830
OG0000163	EHI52_RS02440	B5M19_RS02835
OG0000164	EHI52_RS01665	B5M19_RS04495
OG0000165	EHI52_RS01995	B5M19_RS00760
OG0000166	EHI52_RS01975	B5M19_RS00785
OG0000167	EHI52_RS01960	B5M19_RS00800
OG0000168	EHI52_RS01955	B5M19_RS00805
OG0000169	EHI52_RS03055	B5M19_RS01450
OG0000170	EHI52_RS03075	B5M19_RS01465
OG0000171	EHI52_RS03085	B5M19_RS01475
OG0000172	EHI52_RS03095	B5M19_RS01480
OG0000173	EHI52_RS03100	B5M19_RS01490
OG0000174	EHI52_RS03105	B5M19_RS01495
OG0000175	EHI52_RS03120	B5M19_RS01510
OG0000176	EHI52_RS03170	B5M19_RS01560
OG0000177	EHI52_RS03175	B5M19_RS01565
OG0000178	EHI52_RS03180	B5M19_RS04200
OG0000179	EHI52_RS03190	B5M19_RS01580
OG0000180	EHI52_RS03195	B5M19_RS01585
OG0000181	EHI52_RS03235	B5M19_RS03045
OG0000182	EHI52_RS03245	B5M19_RS03035
OG0000183	EHI52_RS03280	B5M19_RS03000
OG0000184	EHI52_RS03325	B5M19_RS03105
OG0000185	EHI52_RS03310	B5M19_RS03120
OG0000186	EHI52_RS01585	B5M19_RS03550
OG0000187	EHI52_RS01600	B5M19_RS03535
OG0000188	EHI52_RS01610	B5M19_RS03525
OG0000189	EHI52_RS02310	B5M19_RS03210
OG0000190	EHI52_RS02305	B5M19_RS03215
OG0000191	EHI52_RS02285	B5M19_RS03235
OG0000192	EHI52_RS01280	B5M19_RS03675
OG0000193	EHI52_RS01270	B5M19_RS02360
OG0000194	EHI52_RS00690	B5M19_RS01855
OG0000195	EHI52_RS00695	B5M19_RS01850
OG0000196	EHI52_RS00715	B5M19_RS01830
OG0000197	EHI52_RS00720	B5M19_RS01825
OG0000198	EHI52_RS00735	B5M19_RS01810
OG0000199	EHI52_RS00740	B5M19_RS01805
OG0000200	EHI52_RS00755	B5M19_RS01790
OG0000201	EHI52_RS00765	B5M19_RS01780
OG0000202	EHI52_RS00820	B5M19_RS01725
OG0000203	EHI52_RS00825	B5M19_RS01720
OG0000204	EHI52_RS00830	B5M19_RS01715
