Orthogroup	MHP_168L_genes	MHP_UFV02_genes
OG0000081	MHP168L_RS00315	FEF31_RS03610
OG0000082	MHP168L_RS04020	FEF31_RS02130
OG0000083	MHP168L_RS02110	FEF31_RS01765
OG0000084	MHP168L_RS02265	FEF31_RS01795
OG0000085	MHP168L_RS02260	FEF31_RS01800
OG0000086	MHP168L_RS02250	FEF31_RS01810
OG0000087	MHP168L_RS02235	FEF31_RS01825
OG0000088	MHP168L_RS02230	FEF31_RS01830
OG0000089	MHP168L_RS02215	FEF31_RS01840
OG0000090	MHP168L_RS00070	FEF31_RS03355
OG0000091	MHP168L_RS00055	FEF31_RS03340
OG0000092	MHP168L_RS00040	FEF31_RS03325
OG0000093	MHP168L_RS00035	FEF31_RS03320
OG0000094	MHP168L_RS00030	FEF31_RS03315
OG0000095	MHP168L_RS00005	FEF31_RS03290
OG0000096	MHP168L_RS03665	FEF31_RS03285
OG0000097	MHP168L_RS03645	FEF31_RS03265
OG0000098	MHP168L_RS03635	FEF31_RS03255
OG0000099	MHP168L_RS03520	FEF31_RS04640
OG0000100	MHP168L_RS03505	FEF31_RS03195
OG0000101	MHP168L_RS03500	FEF31_RS03190
OG0000102	MHP168L_RS01735	FEF31_RS01365
OG0000103	MHP168L_RS02175	FEF31_RS01955
OG0000104	MHP168L_RS02170	FEF31_RS01960
OG0000105	MHP168L_RS02155	FEF31_RS01975
OG0000106	MHP168L_RS02145	FEF31_RS01985
OG0000107	MHP168L_RS02135	FEF31_RS01995
OG0000108	MHP168L_RS02130	FEF31_RS02000
OG0000109	MHP168L_RS02125	FEF31_RS02005
OG0000110	MHP168L_RS02410	FEF31_RS02120
OG0000111	MHP168L_RS02405	FEF31_RS02115
OG0000112	MHP168L_RS02395	FEF31_RS02105
OG0000113	MHP168L_RS02375	FEF31_RS02085
OG0000114	MHP168L_RS02365	FEF31_RS02075
OG0000115	MHP168L_RS02350	FEF31_RS02065
OG0000116	MHP168L_RS01385	FEF31_RS00955
OG0000117	MHP168L_RS01390	FEF31_RS00960
OG0000118	MHP168L_RS01430	FEF31_RS00995
OG0000119	MHP168L_RS01435	FEF31_RS01000
OG0000120	MHP168L_RS01450	FEF31_RS01020
OG0000121	MHP168L_RS01475	FEF31_RS01045
OG0000122	MHP168L_RS01480	FEF31_RS01050
OG0000123	MHP168L_RS01500	FEF31_RS01070
OG0000124	MHP168L_RS01505	FEF31_RS01075
OG0000125	MHP168L_RS01510	FEF31_RS01080
OG0000126	MHP168L_RS01520	FEF31_RS01090
OG0000127	MHP168L_RS01530	FEF31_RS01100
OG0000128	MHP168L_RS01545	FEF31_RS01115
OG0000129	MHP168L_RS01550	FEF31_RS01120
OG0000130	MHP168L_RS01560	FEF31_RS01130
OG0000131	MHP168L_RS01590	FEF31_RS01160
OG0000132	MHP168L_RS01605	FEF31_RS04430
OG0000133	MHP168L_RS00515	FEF31_RS00190
OG0000134	MHP168L_RS00520	FEF31_RS00195
OG0000135	MHP168L_RS00535	FEF31_RS00210
OG0000136	MHP168L_RS00540	FEF31_RS00215
OG0000137	MHP168L_RS00575	FEF31_RS00245
OG0000138	MHP168L_RS01030	FEF31_RS00280
OG0000139	MHP168L_RS01005	FEF31_RS00310
OG0000140	MHP168L_RS01000	FEF31_RS00315
OG0000141	MHP168L_RS02965	FEF31_RS02670
OG0000142	MHP168L_RS02960	FEF31_RS04555
OG0000143	MHP168L_RS02935	FEF31_RS02645
OG0000144	MHP168L_RS02925	FEF31_RS02635
OG0000145	MHP168L_RS02915	FEF31_RS02625
OG0000146	MHP168L_RS02905	FEF31_RS02615
OG0000147	MHP168L_RS02900	FEF31_RS02610
OG0000148	MHP168L_RS02885	FEF31_RS02595
OG0000149	MHP168L_RS02875	FEF31_RS02585
OG0000150	MHP168L_RS02860	FEF31_RS02570
OG0000151	MHP168L_RS02815	FEF31_RS02525
OG0000152	MHP168L_RS02810	FEF31_RS02520
OG0000153	MHP168L_RS02805	FEF31_RS02515
OG0000154	MHP168L_RS02795	FEF31_RS02505
OG0000155	MHP168L_RS02755	FEF31_RS02465
OG0000156	MHP168L_RS02745	FEF31_RS02455
OG0000157	MHP168L_RS02740	FEF31_RS04545
OG0000158	MHP168L_RS04120	FEF31_RS04540
OG0000159	MHP168L_RS04145	FEF31_RS02195
OG0000160	MHP168L_RS02485	FEF31_RS02190
OG0000161	MHP168L_RS02480	FEF31_RS02185
OG0000162	MHP168L_RS02470	FEF31_RS02175
OG0000163	MHP168L_RS02465	FEF31_RS02170
OG0000164	MHP168L_RS01825	FEF31_RS01270
OG0000165	MHP168L_RS02030	FEF31_RS01685
OG0000166	MHP168L_RS02050	FEF31_RS01705
OG0000167	MHP168L_RS02065	FEF31_RS01720
OG0000168	MHP168L_RS02070	FEF31_RS01725
OG0000169	MHP168L_RS03045	FEF31_RS03615
OG0000170	MHP168L_RS03060	FEF31_RS04785, FEF31_RS04795
OG0000171	MHP168L_RS03070	FEF31_RS03640
OG0000172	MHP168L_RS03075	FEF31_RS03645
OG0000173	MHP168L_RS03080	FEF31_RS03650
OG0000174	MHP168L_RS03085	FEF31_RS03655
OG0000175	MHP168L_RS03100	FEF31_RS03670
OG0000176	MHP168L_RS03150	FEF31_RS03715
OG0000177	MHP168L_RS03155	FEF31_RS03720
OG0000178	MHP168L_RS03160	FEF31_RS03725
OG0000179	MHP168L_RS03170	FEF31_RS03735
OG0000180	MHP168L_RS03175	FEF31_RS03740
OG0000181	MHP168L_RS03215	FEF31_RS04690
OG0000182	MHP168L_RS03225	FEF31_RS03795
OG0000183	MHP168L_RS03260	FEF31_RS03830
OG0000184	MHP168L_RS03300	FEF31_RS02980
OG0000185	MHP168L_RS03285	FEF31_RS02965
OG0000186	MHP168L_RS01615	FEF31_RS04435
OG0000187	MHP168L_RS01630	FEF31_RS01200
OG0000188	MHP168L_RS01640	FEF31_RS01210
OG0000189	MHP168L_RS02320	FEF31_RS04520
OG0000190	MHP168L_RS02315	FEF31_RS02035
OG0000191	MHP168L_RS02295	FEF31_RS02015
OG0000192	MHP168L_RS01300	FEF31_RS00875
OG0000193	MHP168L_RS01290	FEF31_RS00860
OG0000194	MHP168L_RS00970	FEF31_RS00345
OG0000195	MHP168L_RS00965	FEF31_RS00350
OG0000196	MHP168L_RS00945	FEF31_RS00370
OG0000197	MHP168L_RS00940	FEF31_RS00375
OG0000198	MHP168L_RS00925	FEF31_RS00390
OG0000199	MHP168L_RS00920	FEF31_RS00395
OG0000200	MHP168L_RS00910	FEF31_RS00410
OG0000201	MHP168L_RS00900	FEF31_RS00420
OG0000202	MHP168L_RS00845	FEF31_RS00475
OG0000203	MHP168L_RS00840	FEF31_RS00480
OG0000204	MHP168L_RS00835	FEF31_RS00485
OG0000205	MHP168L_RS00830	FEF31_RS00490
OG0000206	MHP168L_RS00810	FEF31_RS00510
OG0000207	MHP168L_RS00795	FEF31_RS00525
OG0000208	MHP168L_RS00790	FEF31_RS00530
OG0000209	MHP168L_RS00785	FEF31_RS00535
OG0000210	MHP168L_RS00735	FEF31_RS00580
OG0000211	MHP168L_RS00720	FEF31_RS00590
OG0000212	MHP168L_RS00710	FEF31_RS00600
OG0000213	MHP168L_RS03705	FEF31_RS00605
OG0000214	MHP168L_RS00705	FEF31_RS00610
OG0000215	MHP168L_RS00700	FEF31_RS00615
OG0000216	MHP168L_RS00695	FEF31_RS00620
OG0000217	MHP168L_RS00690	FEF31_RS00625
OG0000218	MHP168L_RS00680	FEF31_RS00635
OG0000219	MHP168L_RS00675	FEF31_RS00640
OG0000220	MHP168L_RS00670	FEF31_RS00645
OG0000221	MHP168L_RS00665	FEF31_RS00650
OG0000222	MHP168L_RS00660	FEF31_RS00655
OG0000223	MHP168L_RS00655	FEF31_RS00660
OG0000224	MHP168L_RS00645	FEF31_RS00670
OG0000225	MHP168L_RS00635	FEF31_RS00680
OG0000226	MHP168L_RS00630	FEF31_RS00685
OG0000227	MHP168L_RS00625	FEF31_RS00690
OG0000228	MHP168L_RS04125	FEF31_RS04770
OG0000229	MHP168L_RS00615	FEF31_RS00700
OG0000230	MHP168L_RS00610	FEF31_RS00705
OG0000231	MHP168L_RS00600	FEF31_RS00715
OG0000232	MHP168L_RS00590	FEF31_RS00725
OG0000233	MHP168L_RS01075	FEF31_RS00750
OG0000234	MHP168L_RS01110	FEF31_RS00785
OG0000235	MHP168L_RS01120	FEF31_RS00795
OG0000236	MHP168L_RS01125	FEF31_RS00800
OG0000237	MHP168L_RS01130	FEF31_RS00805
OG0000238	MHP168L_RS01140	FEF31_RS00810
OG0000239	MHP168L_RS02975	FEF31_RS02680
OG0000240	MHP168L_RS02980	FEF31_RS02685
OG0000241	MHP168L_RS02990	FEF31_RS02695
OG0000242	MHP168L_RS02995	FEF31_RS02700
OG0000243	MHP168L_RS03000	FEF31_RS02705
OG0000244	MHP168L_RS03010	FEF31_RS02715
