Orthogroup	MHP_168L_genes	MHP_UFV02_genes
OG0000486	MHP168L_RS02325	FEF31_RS02045
OG0000487	MHP168L_RS02095	FEF31_RS04485
OG0000488	MHP168L_RS02270	FEF31_RS01790
OG0000489	MHP168L_RS00050	FEF31_RS03335
OG0000490	MHP168L_RS03655	FEF31_RS03275
OG0000491	MHP168L_RS01440	FEF31_RS01005
OG0000492	MHP168L_RS01515	FEF31_RS01085
OG0000493	MHP168L_RS00565	FEF31_RS00240
OG0000495	MHP168L_RS02865	FEF31_RS02575
OG0000496	MHP168L_RS02855	FEF31_RS02565
OG0000497	MHP168L_RS02850	FEF31_RS02560
OG0000498	MHP168L_RS02770	FEF31_RS02480
OG0000499	MHP168L_RS02735	FEF31_RS02445
OG0000500	MHP168L_RS02020	FEF31_RS01675
OG0000502	MHP168L_RS01285	FEF31_RS00855
OG0000503	MHP168L_RS00905	FEF31_RS00415
OG0000505	MHP168L_RS00725	FEF31_RS00585
OG0000506	MHP168L_RS00715	FEF31_RS00595
OG0000507	MHP168L_RS00685	FEF31_RS00630
OG0000508	MHP168L_RS00230	FEF31_RS03520
OG0000509	MHP168L_RS00265	FEF31_RS03555
OG0000510	MHP168L_RS00275	FEF31_RS03565
OG0000511	MHP168L_RS00410	FEF31_RS00095
OG0000512	MHP168L_RS02585	FEF31_RS02295
OG0000513	MHP168L_RS03410	FEF31_RS03100
OG0000514	MHP168L_RS02890	FEF31_RS02600
OG0000515	MHP168L_RS03985	FEF31_RS01595
OG0000515	MHP168L_RS01655	FEF31_RS01240, FEF31_RS01235, FEF31_RS01230
OG0000516	MHP168L_RS02100	FEF31_RS04490
OG0000517	MHP168L_RS00065	FEF31_RS03350
OG0000518	MHP168L_RS03105	FEF31_RS03675
OG0000519	MHP168L_RS00880	FEF31_RS00440
OG0000520	MHP168L_RS00750	FEF31_RS00565
OG0000521	MHP168L_RS00245	FEF31_RS03535
OG0000522	MHP168L_RS00280	FEF31_RS03570
OG0000523	MHP168L_RS03350	FEF31_RS03035
OG0000524	MHP168L_RS02705	FEF31_RS02410
OG0000525	MHP168L_RS03320	FEF31_RS04585
OG0000526	MHP168L_RS03980	FEF31_RS01585
OG0000527	MHP168L_RS03975	FEF31_RS01525
OG0000528	MHP168L_RS02105	FEF31_RS01760
OG0000529	MHP168L_RS02150	FEF31_RS01980
OG0000530	MHP168L_RS02370	FEF31_RS02080
OG0000531	MHP168L_RS01490	FEF31_RS01060
OG0000532	MHP168L_RS01805	FEF31_RS01290
OG0000533	MHP168L_RS01060	FEF31_RS00260
OG0000534	MHP168L_RS00360	FEF31_RS00045
OG0000535	MHP168L_RS00045	FEF31_RS04655
OG0000536	MHP168L_RS03525	FEF31_RS03215
OG0000537	MHP168L_RS00935	FEF31_RS00380
OG0000538	MHP168L_RS01105	FEF31_RS00780
OG0000539	MHP168L_RS00190	FEF31_RS03485
OG0000540	MHP168L_RS02670	FEF31_RS02380
OG0000541	MHP168L_RS02750	FEF31_RS02460
OG0000542	MHP168L_RS00330	FEF31_RS00015
OG0000544	MHP168L_RS01335	FEF31_RS04410
OG0000545	MHP168L_RS01925	FEF31_RS01575
OG0000546	MHP168L_RS02820	FEF31_RS02530
OG0000547	MHP168L_RS02940	FEF31_RS02650
OG0000548	MHP168L_RS01840	FEF31_RS01255
OG0000549	MHP168L_RS03310	FEF31_RS04580
OG0000550	MHP168L_RS03445	FEF31_RS03135
OG0000552	MHP168L_RS03140	FEF31_RS03710
OG0000553	MHP168L_RS02720	FEF31_RS04535
OG0000554	MHP168L_RS02415	FEF31_RS02125
OG0000555	MHP168L_RS02945	FEF31_RS02655
OG0000556	MHP168L_RS01195	FEF31_RS04460
OG0000557	MHP168L_RS01345	FEF31_RS00920
OG0000558	MHP168L_RS01315	FEF31_RS00890
OG0000559	MHP168L_RS01740	FEF31_RS01360
OG0000560	MHP168L_RS01915	FEF31_RS01560
OG0000561	MHP168L_RS01090	FEF31_RS00765
OG0000562	MHP168L_RS01920	FEF31_RS01565
OG0000563	MHP168L_RS01905	FEF31_RS01550
OG0000564	MHP168L_RS03955	FEF31_RS00945
OG0000565	MHP168L_RS01965	FEF31_RS01620
OG0000566	MHP168L_RS01955	FEF31_RS01605
OG0000567	MHP168L_RS01930	FEF31_RS01580
OG0000568	MHP168L_RS00975	FEF31_RS00340
OG0000569	MHP168L_RS01320	FEF31_RS00895
OG0000570	MHP168L_RS01325	FEF31_RS04405
OG0000571	MHP168L_RS01330	FEF31_RS00905
OG0000572	MHP168L_RS01350	FEF31_RS00925
OG0000573	MHP168L_RS01745	FEF31_RS01355
OG0000574	MHP168L_RS01395	FEF31_RS00965
OG0000575	MHP168L_RS01305	FEF31_RS00880
OG0000576	MHP168L_RS01780	FEF31_RS01315
OG0000577	MHP168L_RS02695	FEF31_RS02400
OG0000578	MHP168L_RS02715	FEF31_RS02420
OG0000579	MHP168L_RS01890	FEF31_RS01540
OG0000580	MHP168L_RS04050	FEF31_RS02535
OG0000581	MHP168L_RS01875	FEF31_RS01530
OG0000582	MHP168L_RS03935	FEF31_RS04415
OG0000583	MHP168L_RS01755	FEF31_RS01345
OG0000584	MHP168L_RS01245	FEF31_RS01425
OG0000585	MHP168L_RS02180	FEF31_RS01950
OG0000586	MHP168L_RS01765	FEF31_RS01330
OG0000587	MHP168L_RS04085	FEF31_RS04780
OG0000588	MHP168L_RS01785	FEF31_RS01305
OG0000590	MHP168L_RS01255	FEF31_RS01410
OG0000591	MHP168L_RS04095	FEF31_RS04065
OG0000592	MHP168L_RS02680	FEF31_RS02390
OG0000593	MHP168L_RS03510	FEF31_RS03200
OG0000594	MHP168L_RS01310	FEF31_RS00885
OG0000596	MHP168L_RS01705	FEF31_RS01490
OG0000598	MHP168L_RS01700	FEF31_RS01495
OG0000599	MHP168L_RS01695	FEF31_RS01500
OG0000600	MHP168L_RS01240	FEF31_RS01430
OG0000601	MHP168L_RS01910	FEF31_RS01555
OG0000603	MHP168L_RS01225	FEF31_RS01440
OG0000604	MHP168L_RS04100	FEF31_RS04155
OG0000605	MHP168L_RS01220	FEF31_RS01445
OG0000606	MHP168L_RS01880	FEF31_RS01535
OG0000610	MHP168L_RS04075	FEF31_RS03930
OG0000612	MHP168L_RS04070	FEF31_RS01505
OG0000615	MHP168L_RS02725	FEF31_RS02430
OG0000628	MHP168L_RS01185	FEF31_RS01475
OG0000629	MHP168L_RS01265	FEF31_RS01400
OG0000630	MHP168L_RS01175	FEF31_RS01485
OG0000631	MHP168L_RS01180	FEF31_RS01480
