Orthogroup	MHP_111A_genes	MHP_TB1_genes
OG0000053	NB623_RS01570	B5M19_RS01120
OG0000054	NB623_RS02625	B5M19_RS02800
OG0000055	NB623_RS00125	B5M19_RS00045
OG0000056	NB623_RS03725	B5M19_RS00375
OG0000057	NB623_RS03085	B5M19_RS01340
OG0000058	NB623_RS01995	B5M19_RS02250
OG0000058	NB623_RS01990	B5M19_RS02905
OG0000060	NB623_RS00085	B5M19_RS03995
OG0000061	NB623_RS02235	B5M19_RS00680, B5M19_RS03265
OG0000062	NB623_RS03775	B5M19_RS01970
OG0000063	NB623_RS03770	B5M19_RS01975
OG0000064	NB623_RS03760	B5M19_RS01990
OG0000065	NB623_RS02390	B5M19_RS02925
OG0000066	NB623_RS01470	B5M19_RS01220
OG0000068	NB623_RS00640	B5M19_RS04480
OG0000069	NB623_RS02980	B5M19_RS03520
OG0000070	NB623_RS02630	B5M19_RS02795
OG0000071	NB623_RS03425	B5M19_RS02995
OG0000072	NB623_RS03430	B5M19_RS02990
OG0000073	NB623_RS00710	B5M19_RS01840
OG0000074	NB623_RS00910	B5M19_RS01645
OG0000075	NB623_RS00330	B5M19_RS00265
OG0000077	NB623_RS00430	B5M19_RS03440
OG0000079	NB623_RS02720	B5M19_RS01010
OG0000080	NB623_RS02770	B5M19_RS03900
OG0000081	NB623_RS00325	B5M19_RS00260
OG0000083	NB623_RS02075	B5M19_RS00845
OG0000084	NB623_RS02045	B5M19_RS02760
OG0000085	NB623_RS02040	B5M19_RS02755
OG0000086	NB623_RS02030	B5M19_RS02745
OG0000087	NB623_RS02015	B5M19_RS02730
OG0000088	NB623_RS02010	B5M19_RS02725
OG0000089	NB623_RS02000	B5M19_RS03690
OG0000090	NB623_RS00070	B5M19_RS03775
OG0000091	NB623_RS00055	B5M19_RS04280
OG0000092	NB623_RS00050	B5M19_RS01895
OG0000093	NB623_RS00035	B5M19_RS01900
OG0000094	NB623_RS00030	B5M19_RS01905
OG0000095	NB623_RS00005	B5M19_RS04290
OG0000096	NB623_RS03810	B5M19_RS01935
OG0000097	NB623_RS03790	B5M19_RS01955
OG0000098	NB623_RS03780	B5M19_RS04295
OG0000099	NB623_RS03730	B5M19_RS00370
OG0000100	NB623_RS03715	B5M19_RS00385
OG0000101	NB623_RS03710	B5M19_RS00390
OG0000102	NB623_RS01830	B5M19_RS02080
OG0000103	NB623_RS02355	B5M19_RS02960
OG0000104	NB623_RS02360	B5M19_RS04460
OG0000105	NB623_RS02380	B5M19_RS02940
OG0000106	NB623_RS02385	B5M19_RS02930
OG0000107	NB623_RS02395	B5M19_RS04455
OG0000108	NB623_RS02400	B5M19_RS04620
OG0000109	NB623_RS02405	B5M19_RS02910
OG0000110	NB623_RS02525	B5M19_RS02660
OG0000111	NB623_RS02520	B5M19_RS02665
OG0000112	NB623_RS02510	B5M19_RS02675
OG0000113	NB623_RS02490	B5M19_RS02700
OG0000114	NB623_RS02485	B5M19_RS02710
OG0000115	NB623_RS02470	B5M19_RS03610
OG0000116	NB623_RS01415	B5M19_RS02580
OG0000117	NB623_RS01420	B5M19_RS02575
OG0000118	NB623_RS01455	B5M19_RS01235
OG0000119	NB623_RS01465	B5M19_RS01230
OG0000120	NB623_RS01475	B5M19_RS01215
OG0000121	NB623_RS01505	B5M19_RS01190
OG0000122	NB623_RS01510	B5M19_RS01185
OG0000123	NB623_RS01530	B5M19_RS01165
OG0000124	NB623_RS01535	B5M19_RS01160
OG0000125	NB623_RS01545	B5M19_RS01155
OG0000126	NB623_RS01550	B5M19_RS01145
OG0000127	NB623_RS01560	B5M19_RS01135
OG0000128	NB623_RS01575	B5M19_RS01115
OG0000129	NB623_RS01580	B5M19_RS01110
OG0000130	NB623_RS01590	B5M19_RS01100
OG0000131	NB623_RS01620	B5M19_RS01075
OG0000132	NB623_RS01635	B5M19_RS01060
OG0000133	NB623_RS00525	B5M19_RS02380
OG0000134	NB623_RS00530	B5M19_RS02385
OG0000135	NB623_RS00545	B5M19_RS02400
OG0000136	NB623_RS00550	B5M19_RS02405
OG0000137	NB623_RS00590	B5M19_RS02445
OG0000138	NB623_RS00615	B5M19_RS03090
OG0000139	NB623_RS00645	B5M19_RS03070
OG0000140	NB623_RS00650	B5M19_RS03065
OG0000141	NB623_RS03095	B5M19_RS01330
OG0000142	NB623_RS03090	B5M19_RS01335
OG0000143	NB623_RS03075	B5M19_RS01360
OG0000144	NB623_RS03060	B5M19_RS01370
OG0000145	NB623_RS03050	B5M19_RS01380
OG0000146	NB623_RS03040	B5M19_RS01390
OG0000147	NB623_RS03035	B5M19_RS01395
OG0000148	NB623_RS03020	B5M19_RS01410
OG0000149	NB623_RS03010	B5M19_RS01420
OG0000150	NB623_RS02995	B5M19_RS04180
OG0000151	NB623_RS02945	B5M19_RS02540
OG0000152	NB623_RS02940	B5M19_RS02535
OG0000153	NB623_RS02935	B5M19_RS02530
OG0000154	NB623_RS02925	B5M19_RS02520
OG0000155	NB623_RS02885	B5M19_RS02480
OG0000156	NB623_RS02875	B5M19_RS00860
OG0000157	NB623_RS02870	B5M19_RS00865
OG0000158	NB623_RS02860	B5M19_RS04580
OG0000159	NB623_RS02615	B5M19_RS02810
OG0000160	NB623_RS02610	B5M19_RS02815
OG0000161	NB623_RS02605	B5M19_RS02820
OG0000162	NB623_RS02595	B5M19_RS02830
OG0000163	NB623_RS02590	B5M19_RS02835
OG0000164	NB623_RS01725	B5M19_RS04495
OG0000165	NB623_RS02155	B5M19_RS00760
OG0000166	NB623_RS02135	B5M19_RS00785
OG0000167	NB623_RS02120	B5M19_RS00800
OG0000168	NB623_RS02115	B5M19_RS00805
OG0000169	NB623_RS03200	B5M19_RS01450
