Orthogroup	MHP_111A_genes	MHP_TB1_genes
OG0000565	NB623_RS02220	B5M19_RS00685
OG0000566	NB623_RS02240	B5M19_RS00675
OG0000567	NB623_RS02265	B5M19_RS00650
OG0000568	NB623_RS00685	B5M19_RS01860
OG0000569	NB623_RS01360	B5M19_RS03665
OG0000570	NB623_RS01365	B5M19_RS02635
OG0000571	NB623_RS01370	B5M19_RS02630
OG0000572	NB623_RS01390	B5M19_RS02610
OG0000573	NB623_RS01820	B5M19_RS02070
OG0000574	NB623_RS01425	B5M19_RS02570
OG0000575	NB623_RS01350	B5M19_RS03670
OG0000576	NB623_RS01775	B5M19_RS02030
OG0000577	NB623_RS02825	B5M19_RS00910
OG0000578	NB623_RS02850	B5M19_RS00890
OG0000579	NB623_RS02305	B5M19_RS00615
OG0000580	NB623_RS02955	B5M19_RS02550
OG0000581	NB623_RS02310	B5M19_RS00600
OG0000582	NB623_RS01380	B5M19_RS04400
OG0000583	NB623_RS01810	B5M19_RS02060
OG0000584	NB623_RS01955	B5M19_RS02310
OG0000585	NB623_RS02350	B5M19_RS02965
OG0000588	NB623_RS01765	B5M19_RS02025
OG0000590	NB623_RS01945	B5M19_RS02875
OG0000591	NB623_RS02200	B5M19_RS04575
OG0000592	NB623_RS02815	B5M19_RS04115
OG0000593	NB623_RS03720	B5M19_RS00380
OG0000596	NB623_RS01870	B5M19_RS02110
OG0000598	NB623_RS01875	B5M19_RS02115
OG0000599	NB623_RS01880	B5M19_RS02120
OG0000600	NB623_RS01960	B5M19_RS02305
OG0000604	NB623_RS02965	B5M19_RS04585
OG0000612	NB623_RS01885	B5M19_RS04320
OG0000616	NB623_RS01975	B5M19_RS02890
OG0000685	NB623_RS02695	B5M19_RS04135
