Orthogroup	MHP_111A_genes	MHP_NCTC10127_genes
OG0000260	NB623_RS00310	EXC50_RS00330
OG0000261	NB623_RS00320	EXC50_RS00340
OG0000262	NB623_RS00340	EXC50_RS00360
OG0000263	NB623_RS00350	EXC50_RS00375
OG0000264	NB623_RS00365	EXC50_RS00390
OG0000265	NB623_RS00375	EXC50_RS00400
OG0000266	NB623_RS00390	EXC50_RS00420
OG0000267	NB623_RS00405	EXC50_RS00435
OG0000268	NB623_RS00410	EXC50_RS03665
OG0000269	NB623_RS00425	EXC50_RS03650
OG0000270	NB623_RS03685	EXC50_RS02335
OG0000271	NB623_RS03675	EXC50_RS02330
OG0000272	NB623_RS03670	EXC50_RS02325
OG0000273	NB623_RS03665	EXC50_RS02320
OG0000274	NB623_RS03650	EXC50_RS02300
OG0000275	NB623_RS03640	EXC50_RS02295
OG0000276	NB623_RS03635	EXC50_RS02290
OG0000277	NB623_RS03625	EXC50_RS02280
OG0000278	NB623_RS03620	EXC50_RS02275
OG0000279	NB623_RS03615	EXC50_RS02265
OG0000280	NB623_RS03605	EXC50_RS02260
OG0000281	NB623_RS03600	EXC50_RS02255
OG0000282	NB623_RS03570	EXC50_RS02230
OG0000283	NB623_RS03565	EXC50_RS02225
OG0000284	NB623_RS03560	EXC50_RS02220
OG0000285	NB623_RS03555	EXC50_RS02215
OG0000286	NB623_RS02575	EXC50_RS01270
OG0000287	NB623_RS02675	EXC50_RS01365
OG0000288	NB623_RS02685	EXC50_RS01375
OG0000289	NB623_RS02690	EXC50_RS01380
OG0000290	NB623_RS02810	EXC50_RS01490
OG0000291	NB623_RS02800	EXC50_RS01480
OG0000292	NB623_RS02795	EXC50_RS01475
OG0000293	NB623_RS02790	EXC50_RS01470
OG0000294	NB623_RS02780	EXC50_RS01460
OG0000295	NB623_RS02775	EXC50_RS01455
OG0000296	NB623_RS02730	EXC50_RS01415
OG0000297	NB623_RS02725	EXC50_RS01410
OG0000298	NB623_RS00165	EXC50_RS00175
OG0000299	NB623_RS00185	EXC50_RS00200
OG0000300	NB623_RS00360	EXC50_RS00385
OG0000301	NB623_RS00395	EXC50_RS00425
OG0000302	NB623_RS00400	EXC50_RS00430
OG0000303	NB623_RS00555	EXC50_RS03525
OG0000304	NB623_RS01210	EXC50_RS03010
OG0000305	NB623_RS03045	EXC50_RS01720
OG0000306	NB623_RS02970	EXC50_RS01645
OG0000307	NB623_RS02930	EXC50_RS01610
OG0000308	NB623_RS02835	EXC50_RS01510
OG0000309	NB623_RS02765	EXC50_RS01445
OG0000310	NB623_RS02680	EXC50_RS01370
OG0000311	NB623_RS02635	EXC50_RS01330
OG0000312	NB623_RS02620	EXC50_RS01315
OG0000313	NB623_RS01715	EXC50_RS00540
OG0000314	NB623_RS02140	EXC50_RS00900
OG0000315	NB623_RS02110	EXC50_RS00930
OG0000316	NB623_RS02100	EXC50_RS00940
OG0000317	NB623_RS02005	EXC50_RS01030
OG0000318	NB623_RS02095	EXC50_RS00945
OG0000319	NB623_RS02370	EXC50_RS01080
OG0000320	NB623_RS02500	EXC50_RS01215
OG0000321	NB623_RS01450	EXC50_RS02755
OG0000322	NB623_RS01500	EXC50_RS02710
OG0000323	NB623_RS01630	EXC50_RS02580
OG0000324	NB623_RS02410	EXC50_RS01120
OG0000325	NB623_RS00705	EXC50_RS03385
OG0000326	NB623_RS00805	EXC50_RS03290
OG0000327	NB623_RS00810	EXC50_RS03285
OG0000328	NB623_RS00895	EXC50_RS03200
OG0000329	NB623_RS00915	EXC50_RS03180
OG0000330	NB623_RS01235	EXC50_RS02985
OG0000331	NB623_RS03135	EXC50_RS01815
OG0000332	NB623_RS03270	EXC50_RS01950
OG0000333	NB623_RS03280	EXC50_RS01960
OG0000334	NB623_RS03380	EXC50_RS02065
OG0000335	NB623_RS03390	EXC50_RS02075
OG0000336	NB623_RS03590	EXC50_RS02245
OG0000337	NB623_RS03765	EXC50_RS02415
OG0000338	NB623_RS03805	EXC50_RS02455
OG0000339	NB623_RS02475	EXC50_RS01185
OG0000340	NB623_RS01430	EXC50_RS02775
OG0000341	NB623_RS02435	EXC50_RS01140
OG0000342	NB623_RS00735	EXC50_RS03355
OG0000343	NB623_RS03290	EXC50_RS01970
OG0000344	NB623_RS00570	EXC50_RS03510
OG0000345	NB623_RS01155	EXC50_RS03065
OG0000346	NB623_RS03595	EXC50_RS02250
OG0000347	NB623_RS01525	EXC50_RS02685
OG0000348	NB623_RS00815	EXC50_RS03280
OG0000349	NB623_RS03655	EXC50_RS02310
OG0000350	NB623_RS02920	EXC50_RS01600
OG0000351	NB623_RS00480	EXC50_RS03590
OG0000352	NB623_RS02160	EXC50_RS00880
OG0000353	NB623_RS01490	EXC50_RS02715
OG0000354	NB623_RS00630	EXC50_RS03450
OG0000355	NB623_RS02185	EXC50_RS00850
OG0000356	NB623_RS02105	EXC50_RS00935
OG0000357	NB623_RS03245	EXC50_RS01930
OG0000358	NB623_RS03250	EXC50_RS01935
OG0000359	NB623_RS00780	EXC50_RS03310
OG0000360	NB623_RS00265	EXC50_RS00285
OG0000361	NB623_RS00295	EXC50_RS00315
OG0000362	NB623_RS02705	EXC50_RS01390
OG0000363	NB623_RS01565	EXC50_RS02645
OG0000364	NB623_RS02210	EXC50_RS03915
OG0000365	NB623_RS02060	EXC50_RS00975
OG0000366	NB623_RS02035	EXC50_RS01000
OG0000367	NB623_RS02025	EXC50_RS01010
OG0000368	NB623_RS00060	EXC50_RS00060
OG0000369	NB623_RS00025	EXC50_RS00025
OG0000370	NB623_RS00020	EXC50_RS00020
OG0000371	NB623_RS00015	EXC50_RS00015
OG0000372	NB623_RS00010	EXC50_RS00010
OG0000373	NB623_RS03795	EXC50_RS02445
OG0000374	NB623_RS03785	EXC50_RS02435
OG0000375	NB623_RS02365	EXC50_RS01075
OG0000376	NB623_RS02515	EXC50_RS01230
OG0000377	NB623_RS02505	EXC50_RS01220
OG0000378	NB623_RS01410	EXC50_RS02795
OG0000379	NB623_RS01485	EXC50_RS02720
OG0000380	NB623_RS01515	EXC50_RS02695
OG0000381	NB623_RS01555	EXC50_RS02655
OG0000382	NB623_RS01585	EXC50_RS02625
OG0000383	NB623_RS01625	EXC50_RS02585
OG0000384	NB623_RS00510	EXC50_RS03570
OG0000385	NB623_RS00520	EXC50_RS03565
OG0000386	NB623_RS00535	EXC50_RS03545
OG0000387	NB623_RS00560	EXC50_RS03520
OG0000388	NB623_RS00565	EXC50_RS03515
OG0000389	NB623_RS00610	EXC50_RS03470
OG0000390	NB623_RS03065	EXC50_RS01740
OG0000391	NB623_RS03055	EXC50_RS01730
OG0000392	NB623_RS03030	EXC50_RS01705
OG0000393	NB623_RS02975	EXC50_RS01650
OG0000394	NB623_RS02895	EXC50_RS01575
OG0000395	NB623_RS02890	EXC50_RS01570
OG0000396	NB623_RS02580	EXC50_RS01275
OG0000397	NB623_RS02175	EXC50_RS00865
OG0000398	NB623_RS02170	EXC50_RS00870
OG0000399	NB623_RS02125	EXC50_RS00915
OG0000400	NB623_RS03210	EXC50_RS01895
OG0000401	NB623_RS03275	EXC50_RS01955
OG0000402	NB623_RS03285	EXC50_RS01965
OG0000403	NB623_RS03295	EXC50_RS01975
OG0000404	NB623_RS03325	EXC50_RS02005
OG0000405	NB623_RS03340	EXC50_RS02020
OG0000406	NB623_RS03395	EXC50_RS02080
OG0000407	NB623_RS03400	EXC50_RS02085
OG0000408	NB623_RS03405	EXC50_RS02090
OG0000409	NB623_RS03410	EXC50_RS02095
OG0000410	NB623_RS03495	EXC50_RS02155
OG0000411	NB623_RS03480	EXC50_RS02145
OG0000413	NB623_RS01640	EXC50_RS02570
OG0000414	NB623_RS01650	EXC50_RS02560
OG0000415	NB623_RS01655	EXC50_RS02555
OG0000416	NB623_RS01665	EXC50_RS02545
OG0000417	NB623_RS02430	EXC50_RS01135
OG0000418	NB623_RS02420	EXC50_RS01130
OG0000419	NB623_RS00715	EXC50_RS03375
OG0000420	NB623_RS00750	EXC50_RS03340
OG0000421	NB623_RS00790	EXC50_RS03305
OG0000422	NB623_RS00800	EXC50_RS03295
OG0000423	NB623_RS00855	EXC50_RS03240
OG0000424	NB623_RS00860	EXC50_RS03235
OG0000425	NB623_RS00870	EXC50_RS03225
OG0000426	NB623_RS00875	EXC50_RS03220
OG0000427	NB623_RS00900	EXC50_RS03195
OG0000428	NB623_RS00925	EXC50_RS03170
OG0000429	NB623_RS01145	EXC50_RS03075
OG0000430	NB623_RS01190	EXC50_RS03030
OG0000431	NB623_RS01200	EXC50_RS03020
OG0000432	NB623_RS01230	EXC50_RS02990
OG0000433	NB623_RS01245	EXC50_RS02975
OG0000434	NB623_RS01255	EXC50_RS02970
OG0000435	NB623_RS01265	EXC50_RS02955
OG0000436	NB623_RS01290	EXC50_RS02925
OG0000437	NB623_RS01300	EXC50_RS02915
OG0000438	NB623_RS01305	EXC50_RS02910
OG0000439	NB623_RS01310	EXC50_RS02905
OG0000440	NB623_RS03115	EXC50_RS01795
OG0000441	NB623_RS03150	EXC50_RS01835
OG0000442	NB623_RS00135	EXC50_RS00145
OG0000443	NB623_RS00180	EXC50_RS00195
OG0000444	NB623_RS00195	EXC50_RS00210
OG0000445	NB623_RS00220	EXC50_RS00235
OG0000446	NB623_RS00245	EXC50_RS00265
OG0000447	NB623_RS00255	EXC50_RS00270
OG0000448	NB623_RS00280	EXC50_RS00300
OG0000449	NB623_RS00305	EXC50_RS00325
OG0000450	NB623_RS00315	EXC50_RS00335
OG0000451	NB623_RS00355	EXC50_RS00380
OG0000452	NB623_RS00380	EXC50_RS00410
OG0000453	NB623_RS00415	EXC50_RS03660
OG0000455	NB623_RS03705	EXC50_RS02355
OG0000456	NB623_RS03580	EXC50_RS02235
OG0000457	NB623_RS03545	EXC50_RS02210
OG0000458	NB623_RS02670	EXC50_RS01360
OG0000459	NB623_RS02700	EXC50_RS01385
OG0000460	NB623_RS02710	EXC50_RS01395
OG0000461	NB623_RS02755	EXC50_RS01440
OG0000462	NB623_RS02750	EXC50_RS01435
OG0000463	NB623_RS02745	EXC50_RS01430
OG0000464	NB623_RS02740	EXC50_RS01425
OG0000465	NB623_RS02735	EXC50_RS01420
OG0000466	NB623_RS00385	EXC50_RS00415
OG0000467	NB623_RS02845	EXC50_RS01520
OG0000468	NB623_RS02130	EXC50_RS00910
OG0000469	NB623_RS02070	EXC50_RS00970
OG0000470	NB623_RS00850	EXC50_RS03950
OG0000471	NB623_RS00930	EXC50_RS03165
OG0000472	NB623_RS03500	EXC50_RS02165
OG0000473	NB623_RS03690	EXC50_RS02340
OG0000474	NB623_RS03695	EXC50_RS02345
OG0000475	NB623_RS03700	EXC50_RS02350
OG0000476	NB623_RS01675	EXC50_RS02535
OG0000477	NB623_RS02785	EXC50_RS01465
OG0000478	NB623_RS03630	EXC50_RS02285
OG0000479	NB623_RS01445	EXC50_RS02760
OG0000480	NB623_RS02065	EXC50_RS03895
OG0000481	NB623_RS00825	EXC50_RS03270
OG0000482	NB623_RS01330	EXC50_RS02875
OG0000483	NB623_RS02020	EXC50_RS01015
OG0000484	NB623_RS00190	EXC50_RS00205
OG0000485	NB623_RS01295	EXC50_RS02920
OG0000486	NB623_RS02450	EXC50_RS01155
OG0000488	NB623_RS02055	EXC50_RS00985
OG0000490	NB623_RS03800	EXC50_RS02450
OG0000493	NB623_RS00575	EXC50_RS03505
OG0000494	NB623_RS00635	EXC50_RS03445
OG0000495	NB623_RS03005	EXC50_RS01675
OG0000496	NB623_RS02990	EXC50_RS01665
OG0000497	NB623_RS02985	EXC50_RS01660
OG0000498	NB623_RS02900	EXC50_RS01580
OG0000499	NB623_RS02865	EXC50_RS01545
OG0000500	NB623_RS02165	EXC50_RS00875
OG0000501	NB623_RS03220	EXC50_RS01905
OG0000502	NB623_RS01320	EXC50_RS02885
OG0000503	NB623_RS00765	EXC50_RS03325
OG0000504	NB623_RS00905	EXC50_RS03190
OG0000505	NB623_RS01065	EXC50_RS03155
OG0000506	NB623_RS01075	EXC50_RS03145
OG0000507	NB623_RS01110	EXC50_RS03110
OG0000509	NB623_RS00275	EXC50_RS00295
OG0000510	NB623_RS00285	EXC50_RS00305
OG0000511	NB623_RS00420	EXC50_RS03655
OG0000512	NB623_RS02715	EXC50_RS01400
OG0000514	NB623_RS03025	EXC50_RS01700
OG0000516	NB623_RS02090	EXC50_RS00955
OG0000517	NB623_RS00065	EXC50_RS00065
OG0000519	NB623_RS00795	EXC50_RS03300
OG0000520	NB623_RS00920	EXC50_RS03175
OG0000522	NB623_RS00290	EXC50_RS00310
OG0000523	NB623_RS03540	EXC50_RS02205
OG0000524	NB623_RS02840	EXC50_RS01515
OG0000525	NB623_RS03505	EXC50_RS02170
OG0000526	NB623_RS02260	EXC50_RS04005
OG0000527	NB623_RS02315	EXC50_RS00720
OG0000528	NB623_RS02080	EXC50_RS00960
OG0000531	NB623_RS01520	EXC50_RS02690
OG0000532	NB623_RS01745	EXC50_RS00575
OG0000533	NB623_RS00595	EXC50_RS03490
OG0000534	NB623_RS00370	EXC50_RS00395
OG0000536	NB623_RS03735	EXC50_RS02385
OG0000540	NB623_RS02805	EXC50_RS01485
OG0000541	NB623_RS02880	EXC50_RS01560
OG0000543	NB623_RS01930	EXC50_RS00505
OG0000544	NB623_RS01375	EXC50_RS02835
OG0000545	NB623_RS02270	EXC50_RS00770
OG0000546	NB623_RS02950	EXC50_RS01630
OG0000552	NB623_RS03300	EXC50_RS01980
OG0000553	NB623_RS02855	EXC50_RS01530
