Orthogroup	MHP_111A_genes	MHP_NCTC10127_genes
OG0000554	NB623_RS02535	EXC50_RS01245
OG0000555	NB623_RS03080	EXC50_RS04055
OG0000556	NB623_RS01970	EXC50_RS03790, EXC50_RS03775
OG0000557	NB623_RS01385	EXC50_RS02825
OG0000558	NB623_RS01355	EXC50_RS02855
OG0000559	NB623_RS01825	EXC50_RS00655
OG0000560	NB623_RS02290	EXC50_RS00760
OG0000561	NB623_RS01240	EXC50_RS02980
OG0000562	NB623_RS02280	EXC50_RS00765
OG0000563	NB623_RS02295	EXC50_RS00750
OG0000564	NB623_RS01405	EXC50_RS04095
OG0000565	NB623_RS02220	EXC50_RS00810
OG0000566	NB623_RS02240	EXC50_RS00800
OG0000567	NB623_RS02265	EXC50_RS00775
OG0000568	NB623_RS00685	EXC50_RS03400
OG0000569	NB623_RS01360	EXC50_RS02850
OG0000570	NB623_RS01365	EXC50_RS02845
OG0000571	NB623_RS01370	EXC50_RS02840
OG0000572	NB623_RS01390	EXC50_RS02820
OG0000573	NB623_RS01820	EXC50_RS00650
OG0000574	NB623_RS01425	EXC50_RS02780
OG0000575	NB623_RS01350	EXC50_RS02865
OG0000576	NB623_RS01775	EXC50_RS00610
OG0000577	NB623_RS02825	EXC50_RS01505
OG0000578	NB623_RS02850	EXC50_RS01525
OG0000579	NB623_RS02305	EXC50_RS00740
OG0000580	NB623_RS02955	EXC50_RS04050
OG0000581	NB623_RS02310	EXC50_RS00725
OG0000582	NB623_RS01380	EXC50_RS04100
OG0000583	NB623_RS01810	EXC50_RS00640
OG0000584	NB623_RS01955	EXC50_RS03715, EXC50_RS03705, EXC50_RS03755
OG0000586	NB623_RS01795	EXC50_RS00625
OG0000587	NB623_RS02215	EXC50_RS03910
OG0000588	NB623_RS01765	EXC50_RS00600
OG0000590	NB623_RS01945	EXC50_RS03745
OG0000591	NB623_RS02200	EXC50_RS03890
OG0000592	NB623_RS02815	EXC50_RS01495
OG0000593	NB623_RS03720	EXC50_RS02370
OG0000596	NB623_RS01870	EXC50_RS00685
OG0000598	NB623_RS01875	EXC50_RS00690
OG0000599	NB623_RS01880	EXC50_RS00695
OG0000600	NB623_RS01960	EXC50_RS02480, EXC50_RS03760
OG0000603	NB623_RS01965	EXC50_RS03765
OG0000604	NB623_RS02965	EXC50_RS04240
OG0000607	NB623_RS01335	EXC50_RS04105
OG0000608	NB623_RS02275	EXC50_RS04000
OG0000609	NB623_RS02250	EXC50_RS03905
OG0000610	NB623_RS00675	EXC50_RS04245
OG0000611	NB623_RS00100	EXC50_RS00090
OG0000612	NB623_RS01885	EXC50_RS03995
OG0000616	NB623_RS01975	EXC50_RS03795
