Orthogroup	MHP_UFV01_genes	MHP_F72C_genes
OG0000514	FEF30_RS03240	EHI52_RS02850
OG0000515	FEF30_RS01895, FEF30_RS01890, FEF30_RS01885	EHI52_RS02090
OG0000516	FEF30_RS04330	EHI52_RS01925
OG0000517	FEF30_RS00395	EHI52_RS00065
OG0000518	FEF30_RS03455	EHI52_RS03125
OG0000519	FEF30_RS01095	EHI52_RS00785
OG0000520	FEF30_RS01220	EHI52_RS00910
OG0000521	FEF30_RS00580	EHI52_RS00275
OG0000522	FEF30_RS00615	EHI52_RS00310
OG0000523	FEF30_RS00080	EHI52_RS03360
OG0000524	FEF30_RS03045	EHI52_RS02665
OG0000525	FEF30_RS04105	EHI52_RS03345
OG0000526	FEF30_RS02235	EHI52_RS03800
OG0000527	FEF30_RS02175	EHI52_RS02185
OG0000528	FEF30_RS02395	EHI52_RS01920
OG0000529	FEF30_RS02615	EHI52_RS02250
OG0000530	FEF30_RS02720	EHI52_RS02355
OG0000531	FEF30_RS01715	EHI52_RS01460
OG0000532	FEF30_RS01945	EHI52_RS01685
OG0000534	FEF30_RS00695	EHI52_RS00395
OG0000535	FEF30_RS04175	EHI52_RS00045
OG0000536	FEF30_RS00260	EHI52_RS03545
OG0000537	FEF30_RS01035	EHI52_RS00725
OG0000538	FEF30_RS01435	EHI52_RS01195
OG0000539	FEF30_RS00530	EHI52_RS00220
OG0000540	FEF30_RS03015	EHI52_RS02635
OG0000541	FEF30_RS03095	EHI52_RS02710
OG0000542	FEF30_RS00665	EHI52_RS00365
OG0000544	FEF30_RS04245	EHI52_RS01315
OG0000546	FEF30_RS03165	EHI52_RS02780
OG0000547	FEF30_RS03290	EHI52_RS02900
OG0000548	FEF30_RS01910	EHI52_RS01650
OG0000549	FEF30_RS04100	EHI52_RS03335
OG0000550	FEF30_RS00180	EHI52_RS03460
OG0000551	FEF30_RS03360	EHI52_RS02975
OG0000553	FEF30_RS04365	EHI52_RS02680
OG0000554	FEF30_RS02765	EHI52_RS02400
OG0000555	FEF30_RS03295	EHI52_RS03850
OG0000557	FEF30_RS01575	EHI52_RS01325
OG0000558	FEF30_RS01545	EHI52_RS01295
OG0000559	FEF30_RS02015	EHI52_RS01755
OG0000560	FEF30_RS02215	EHI52_RS02125
OG0000561	FEF30_RS01420	EHI52_RS01180
OG0000562	FEF30_RS02220	EHI52_RS02120
OG0000563	FEF30_RS02205	EHI52_RS02135
OG0000564	FEF30_RS01600	EHI52_RS03770
OG0000565	FEF30_RS02260	EHI52_RS02070
OG0000566	FEF30_RS02245	EHI52_RS02080
OG0000567	FEF30_RS02230	EHI52_RS02105
OG0000568	FEF30_RS00995	EHI52_RS00685
OG0000569	FEF30_RS01550	EHI52_RS01300
OG0000570	FEF30_RS04240	EHI52_RS01305
OG0000571	FEF30_RS01560	EHI52_RS01310
OG0000572	FEF30_RS01580	EHI52_RS01330
OG0000573	FEF30_RS02010	EHI52_RS01750
OG0000574	FEF30_RS01620	EHI52_RS01370
OG0000575	FEF30_RS01535	EHI52_RS01285
OG0000576	FEF30_RS01970	EHI52_RS01710
OG0000577	FEF30_RS03035	EHI52_RS02655
OG0000578	FEF30_RS03055	EHI52_RS02675
OG0000579	FEF30_RS02195	EHI52_RS02170
OG0000580	FEF30_RS03170	EHI52_RS03845
OG0000581	FEF30_RS02180	EHI52_RS02175
OG0000582	FEF30_RS04250	EHI52_RS03765
OG0000583	FEF30_RS02000	EHI52_RS01740
OG0000585	FEF30_RS02585	EHI52_RS02220
OG0000586	FEF30_RS01985	EHI52_RS01725
OG0000587	FEF30_RS04465	EHI52_RS03915
OG0000588	FEF30_RS01960	EHI52_RS01700
OG0000589	FEF30_RS02520	EHI52_RS00950
OG0000591	FEF30_RS03985	EHI52_RS02045
OG0000592	FEF30_RS03025	EHI52_RS02645
OG0000593	FEF30_RS00245	EHI52_RS03525
OG0000594	FEF30_RS01540	EHI52_RS01290
OG0000595	FEF30_RS04470	EHI52_RS03000
OG0000596	FEF30_RS02140	EHI52_RS01785
OG0000597	FEF30_RS03375	EHI52_RS02995
OG0000598	FEF30_RS02145	EHI52_RS01790
OG0000599	FEF30_RS02150	EHI52_RS01795
OG0000601	FEF30_RS02210	EHI52_RS02130
OG0000602	FEF30_RS02420	EHI52_RS01900
OG0000604	FEF30_RS04060	EHI52_RS03890
OG0000606	FEF30_RS02185	EHI52_RS02160
OG0000607	FEF30_RS01525	EHI52_RS03630
OG0000612	FEF30_RS02155	EHI52_RS01800
OG0000615	FEF30_RS03065	EHI52_RS02685
OG0000618	FEF30_RS03625	EHI52_RS03300
